Student
Magarete Klingelhöfer-Mans
Hinrich Römer
Traudl Röhrdanz-Spieß
Hans-J. Trapp-Koch II
Ing. Justina Fiebig
Ralf-Peter Schacht
Dipl.-Ing. Dorina Lindau B.Sc.
Prof. Vesna Scholz
Hartmuth Eberhardt
Univ.Prof. Helge Pieper
Ivana Mielcarek
Deborah Etzler
Gudrun Reichmann MBA.
Univ.Prof. Steffen Tröst
Gottlieb Kade
Asta Hesse
Ricardo Hesse
Canan Beyer
Eva-Maria Zänker
Süleyman Baum
Gerolf auch Schlauchin
Henryk Jacobi Jäckel B.Sc.
Sieghard Hahn
Dr. Oswin Junken
Cilli Gorlitz
Ing. Ramazan Kabus B.Eng.
Boris Stumpf
Harold Bohlander B.Sc.
Giesela Wagner
Anne-Kathrin Bachmann
Dipl.-Ing. Mariechen Bonbach
Robin Schuchhardt-Reichmann
Cathleen Mies MBA.
Wibke Reuter
Sevim Schmiedt-Döhn
Franz Josef Flantz
Reni Roht-Binner
Anica Austermühle
Hannelore Noack MBA.
Dr. Selma Geisel B.Sc.
Alla Rohleder
Heinz-Joachim Trüb B.Sc.
Alf Jacobi Jäckel-Fritsch
Dipl.-Ing. Jose Löchel
Paul-Gerhard Jungfer B.Eng.
Stephen Reichmann
Herr Heinz-Josef Wende MBA.
Gisa Atzler
Univ.Prof. Leszek Gieß B.Eng.
Arzu Ullrich
Sandro Täsche
Filippo Patberg
Eva-Maria Eberth B.A.
Prof. Marion Martin
Florentine Eimer
Mandy Rädel
Concetta Wohlgemut
Dierk Buchholz MBA.
Ing. Marleen Hölzenbecher MBA.
Jennifer Berger
Johanna Finke-Ehlert
Alwin Scholl
Edgar Rohleder-Fröhlich
Damian Jopich B.A.
Univ.Prof. Herta Zänker
Janko Schulz-Becker
Hans-Herbert Harloff
Michaele Schacht
Frau Julie Wieloch
Judith Hering B.A.
Susanna Söding
Leokadia Putz
Ing. Steffen Röhrdanz B.A.
Ing. Carolin Hoffmann
Tino Metz
Marie-Louise Wulff
Frank-Peter Kambs
Wendelin Schäfer B.Sc.
Vitali Walter-Krein
Ingried Hauffer-Lübs
Marica Walter
Anika Sager
Hanspeter Benthin
Gunter Schenk B.Sc.
Hans-Detlef Schäfer
Bayram Kostolzin-Rosenow
Lukas Zirme
Univ.Prof. Gisa Meister
Anatol Hübel
Gerhild Löffler
Ewa Eimer-Linke
Ing. Tillmann Geisel
Halina Römer-Hartung
Burghard Wohlgemut
Univ.Prof. Valeria Putz
Felix Müller
Prof. Gerd Schenk
Vassilios Birnbaum
Luis Oderwald
Annita Lorch
Aurelia Dussen van MBA.
Berit Pärtzelt
Univ.Prof. Markus Finke B.Sc.
Ing. Aldo Pechel B.Eng.
Karla Conradi
Ing. Aldo Radisch
Denis Etzold
Helen Hein B.A.
Mariele Peukert
Marianne Ernst-Zirme
Prof. Mathias Kambs
Univ.Prof. Sibylle Zirme B.Sc.
Frau Suse Zorbach
Kazim Hörle
Reimar Trüb
Dipl.-Ing. Gülten Hoffmann B.Eng.
Ferdi Hoffmann
Petra Wagner
Jonathan Birnbaum-Stiebitz
Raymund Mosemann-Eckbauer
Niko Gutknecht B.Sc.
Achim Budig
Frau Swantje Heinrich B.A.
Edith Binner
Engin Trub
Constance Drubin
Jonas Adler
Irmi Biggen
Jaroslaw Pieper MBA.
Kordula Dobes-Buchholz
Ottomar Kraus
Deborah Scholtz B.A.
Maurizio Hermann
Dipl.-Ing. Christel Beer B.Eng.
Franco Loos B.Eng.
Ing. Leo Schulz
Leopoldine Butte
Slawomir Bohnbach
Luciano Wirth
Ing. Dörte Freudenberger
Dorothea Kroker-Misicher
Dipl.-Ing. Sigrun Neuschäfer B.Sc.
Geert Zänker
Emmy Bohnbach
Gert Hölzenbecher B.Sc.
Paulina Oderwald
Frank-Peter Bien
Univ.Prof. Nicole Höfig B.Sc.
Dr. Elif Peukert B.Eng.
Halil Warmer B.Sc.
Bertram Höfig B.Sc.
Kay-Uwe Jähn-Schwital
Catrin Hamann
Heinz-Gerd Beyer
Frau Ina Dietz MBA.
Pedro Beer
Univ.Prof. Karen Etzold B.A.
Remo Reinhardt
Sylke Binner B.A.
Constantin Jacob B.Sc.
Hans-Georg Dörschner
Heinz-Günther Bohnbach
Maurizio Mans-Ullmann
Gisa Dörr B.Eng.
Helene Kuhl-Austermühle
Herr Tomislav Ladeck
Marina Radisch
Ing. Alwine Scholz
Zeljko Kobelt B.Eng.
Irmela Krein-Bolzmann
Madlen Geißler
George Käster-Eberth
Jiri Bärer
Ing. Czeslaw Geisel
Ladislaus Hande
Ing. Jürgen Jopich B.A.
Hansjörg Roht
Hülya Scheibe
Bayram Lübs B.Eng.
Univ.Prof. Luka Mende
Eberhardt Schäfer
René Hölzenbecher-Berger
Giuseppina Linke
Marijan Killer
Rene Lindau-Jäkel
Abram Scholz B.Sc.
Isabell Buchholz
Sofia Mielcarek B.A.
Frau Reinhilde Wirth MBA.
Ellen Liebelt
Egbert Tschentscher
Univ.Prof. Cläre Weihmann B.A.
Herr Muzaffer Klotz B.Sc.
Albrecht Seifert B.Sc.
Birgit Pergande
Univ.Prof. Dragan Thies MBA.
Valerie Kallert B.A.
Dr. Herbert Jockel B.Eng.
Therese Rohleder
Gunar Dobes B.Sc.
Hans-Jochen Gorlitz B.Sc.
Univ.Prof. Frieder Döhn MBA.
Ottmar Hölzenbecher
Univ.Prof. Hanspeter Gorlitz
Ingried Stiffel B.A.
Tibor Briemer
Prof. Beatrice Misicher
Willy Trub-Freudenberger
Univ.Prof. Gusti Schlosser
Ing. Iwan Wagner
Aleksander Wagner-Barth
Prof. Mathilde Segebahn MBA.
Anneliese Gnatz
Dipl.-Ing. Birgitta Boucsein
Susi Seifert
Eduard Ruppersberger
Prof. Roy Blümel
Gina Pieper
Ron Dobes-Weihmann
Imre Mülichen
Dunja Trub
Waltraud Hentschel
Ljiljana Ruppert
Univ.Prof. Meta Rädel
Kriemhild Gude
Marco Schinke B.Eng.
Dipl.-Ing. Daniele Geißler
Lothar Beckmann
Ing. Alberto Werner
Monique Ullmann MBA.
Prof. Irmela Hellwig B.Sc.
Jasmina Cichorius-Barth
Ing. Pavel Weller B.Eng.
Hanspeter Davids
Prof. Sahin Kreusel
Krzysztof Mülichen
Christiana Pohl
Samir Wähner-Butte
Claudio Freudenberger
Peer Hölzenbecher
Dipl.-Ing. Roland Bien B.Sc.
Aribert Kusch
Kristian Meyer
Univ.Prof. Heinz-Werner Renner B.A.
Emilie Bolander
Marie-Therese Wagner
Marianna Segebahn-Wernecke
Zdravko Jacob
Elizabeth Vollbrecht
Brita Flantz-Knappe
Kasimir Albers-Stiebitz
Herr Mario Pergande
Natalie Werner
Maren Drub
Inna Ditschlerin
Stephan Warmer B.Eng.
Gabi Gertz
Frau Annett Tlustek B.Eng.
Arzu Kuhl
Etta Hellwig
Univ.Prof. Florentine Schomber B.Eng.
Herr Alwin Sager B.A.
Tassilo Beckmann
Falk Höfig
Danny Mälzer
Dr. Ellen Schlosser B.A.
Wilhelm Klemm B.A.
Dana Köster
Dr. Marija Stiebitz
Carolin Siering
Wally Anders B.Eng.
Marian Hande
Ulrike Rädel B.Eng.
Kristian Anders B.Sc.
Berta Hörle-Börner
Irmtrud Bolzmann
Dr. Jacqueline Trubin B.Sc.
Valerij Weller-Barkholz
Halil Löwer
Siegmar Pergande B.Eng.
Rosina Ditschlerin-Ortmann
Irmengard Jüttner B.Eng.
Patric Geisler-Becker
Stefanie Pruschke
Univ.Prof. Änne Finke B.Sc.
Ernst-Otto Heß-Hartmann
Brian Blümel B.Eng.
Prof. Ingbert Nette
Dietlinde Söding
Univ.Prof. Metin Martin B.Sc.
Josefine Rosemann
Dragan Trub
Helmtrud Börner B.A.
Rocco Trub
Jeanette Mälzer
Univ.Prof. Annegrete Henck B.A.
Klaas Vogt
Lars Weller
Roger Hendriks-Ruppersberger
Dr. Krista Wirth
Emilia Scheel
Frau Beatrix Bonbach B.A.
Dr. Hans Jörg Zobel
Dipl.-Ing. Lilly Trüb
Konstanze Mohaupt
Veit Beckmann
Siegward Hertrampf
Friedericke Lehmann B.Sc.
Ing. Cläre Dowerg
Zeki Hartung
Ilja Hölzenbecher-van der Dussen
Corinne Koch II
Hellmuth Söding-Bonbach
Cäcilie Patberg
Tadeusz Weller
Reinhart Jopich
Dr. Jasmina Ruppert
Denny Salz
