Student
Hans-Karl Rust MBA.
Herr Otto Vollbrecht
Falko Kusch B.A.
Abram Eckbauer B.A.
Pia Fliegner
Stanislav Reuter
Lambert Misicher-Dörschner
Gabriele Schmidt
Laila Trüb
Beata Lübs
Herr Hinrich Mühle
Marlis Wiek
Hilde Lübs
Evangelos Staude
Traudel Loos
Isabell Kroker B.Eng.
Peter-Michael Kostolzin
Benno Gehringer-Wohlgemut
Frau Julie Wieloch
Ingried Stiffel B.A.
Dipl.-Ing. Henrike Hörle B.A.
Mariechen Nohlmans
Justine Kade
Janusz Trub-Mühle
Hans-Jochen Stolze
Dipl.-Ing. Dajana Beer
Manuel Stolze MBA.
Malte Schäfer
Univ.Prof. Claudio Schmiedt
Hans-Bernd Trupp
Ing. Knut Christoph
Rosi Renner-Graf
Otto Butte
Antoinette Schottin
Traugott Ruppert
Kläre Kohl
Guiseppe Tschentscher
Josefine Rosemann
Margarete Linke
Ben Eimer-Loos
Dörte Dobes-Bonbach
Antonina Wagner
Univ.Prof. Hans-Martin Scholz
Willfried Kostolzin
Edelbert Bruder
Hans-Martin Junk-Kuhl
Ing. Hans-Heinrich Reichmann B.Sc.
Gunter Schenk B.Sc.
Ing. Michel Harloff
Wulf Steckel-Lachmann
Ekaterina Wieloch
Czeslaw Bohnbach B.Eng.
Tillmann Stolze
Dominik Jungfer
Helge Finke-Wähner
Zehra Ernst-Bohnbach
Prof. Sylvester Bender
Dipl.-Ing. Sigrun Bärer
Gregor Dippel
Peter-Michael Spieß
Maxim Roht
Reinhard Beer-Etzler
Frau Wenke Klemt
Steffi Schmiedt B.Sc.
Benno Ritter
Prof. Ildiko Adler MBA.
Nelly Buchholz
Dipl.-Ing. Bekir Boucsein
Prof. Ingetraud Seidel B.Sc.
Leonardo Vogt
Nina Putz-Ritter
Ing. Lucie Karz
Ing. Wieslaw Kobelt B.Sc.
Marc Henck B.Eng.
Anka Gieß
Cordula Schmiedecke-Wilms
Birgitta Hettner
Nelly Schlosser
Bartholomäus Karge B.Eng.
Damian Hentschel
Univ.Prof. Simona Holzapfel MBA.
Dorothe Adler-Trubin
Marlene Drubin
John Gunpf B.Sc.
Rene Rohleder
Cornelia Gehringer
Ing. Hannes Jähn B.Sc.
Adina Söding
Dr. Elwira Hiller
Dr. Annika Gude MBA.
Karl-Heinz Rohleder
Marika Zänker B.A.
Julia Hecker-Krebs
Saban Hendriks
Prof. Kordula Vollbrecht B.A.
Diethelm Hübel MBA.
Juan Schweitzer
Benno Kraushaar
Prof. Irmgard Mühle
Roy Gumprich-Klemm
Senta Weihmann
Ehrentraud Trubin
Paula Heinz
Johanna Stumpf
Univ.Prof. Teresa Weinhage B.A.
Dr. Czeslaw Neureuther
Prof. Niko Hethur B.Eng.
Rainer Gunpf B.Eng.
Diane Butte-Schleich
Karoline Hübel
Dr. Caroline Ortmann
Manuel Wagenknecht
Magdalene Patberg-Mosemann
Joachim Höfig
Silvia Henschel
Martin Rose B.A.
Domenico Nohlmans-Eberhardt
Alwine Wirth-Klemm
Danilo Ehlert
Carina Killer
Felicitas Ruppersberger
Birgid Drewes-Seifert
Alma Eimer-Seip
Heribert Ring B.A.
Dipl.-Ing. Charles Täsche
Univ.Prof. Nikola Graf MBA.
Sibilla Eimer
Frau Evamaria Geißler
Tassilo Beckmann
Dipl.-Ing. Chantal Vollbrecht B.Eng.
Kristian Meyer
Ottilie Scheel
Maria Mans B.Eng.
Guido Pieper
Jose Tlustek B.Sc.
Alan Eigenwillig
Carolina Ditschlerin
Aziz Bauer MBA.
Adolfine Lange
Antje Kambs
Oxana Linke B.Eng.
Tomas Tlustek
Univ.Prof. Nadeschda Staude
Herr Thorsten Hartmann B.Eng.
Viktor Kusch
Uta Kade
Bert Ortmann
Univ.Prof. Jürgen Weiß
Imelda Söding
Judith Koch-Mude
Dr. Gaby Sontag MBA.
Wulf Caspar
Eckard Textor
Otto Lindner
Imke Austermühle-Löwer
Prof. Clarissa Barth
Dipl.-Ing. Georgine Adolph B.Eng.
Edward Dippel
Prof. Evelyn Henk
Simone Harloff B.Eng.
Irmtraud Hauffer-Matthäi
Gunda Ditschlerin B.A.
Nikola Riehl
Else Gröttner
Ilija Hofmann
Denny Salz
Maximilian Pohl B.A.
Erich Klotz B.Sc.
Leo Roskoth B.Sc.
Artur Schaaf
Dipl.-Ing. Elisabeth Wiek
Ehrenfried Seidel MBA.
Rico Cichorius
Marlis Rogge B.Sc.
Marie-Theres Trupp
Cathrin Weitzel MBA.
Leon Bauer
Gero Gumprich B.Sc.
Belinda Huhn
Carina Hövel
Anna-Luise Segebahn
Univ.Prof. Till Vogt MBA.
Dr. Inna Mude MBA.
Freia Hamann-Eckbauer
Heinrich Döring
Dr. Harald Ritter
Frau Gertraude Wesack B.Eng.
Ingeborg Wesack
Maik Schottin
Prof. Ralf-Peter Schlosser B.Eng.
Rosita Wiek
Wolfhard Jäkel MBA.
Josef Butte-Lindau
Ferdinand Junck-Hölzenbecher
Kati Koch II
Domenico Reichmann
Brian Preiß
Dörte Schlosser
Adriana Vogt
Walentina auch Schlauchin-Albers
Rosi Spieß
Univ.Prof. Wibke Reinhardt B.Eng.
Ivana Mans-Bruder
Ron Beer
Ing. Thomas Drewes B.A.
Steven Steinberg B.Eng.
Linus Drub
Celal Scheel B.A.
Udo Grein Groth
Henri Finke-Lehmann
Dipl.-Ing. Danuta Stumpf B.Eng.
Alida Trupp
Marko Trupp
Johan Buchholz
Balthasar Kruschwitz B.A.
Mariusz Wilmsen B.A.
Herr Oliver Stahr
Dipl.-Ing. Laila Scheuermann B.Sc.
Micha Albers-Wilms
Dr. Constance Römer
Johann Beer
Sandy Haering
Dr. Lilly Conradi B.Sc.
Christa Kabus
Sofie Staude
Magnus Heidrich
Paolo Wernecke
Gerda Schleich
Frau Almuth Kostolzin B.A.
Milos Wiek
Hans-Martin Bärer
Nada Hänel
Prof. Fabian Scholl MBA.
Wiltrud Jäkel
Marijan Killer
Gitta Römer
Dr. Walburga Kobelt B.Eng.
Samuel Ackermann
Prof. Dietlind Ullrich B.Sc.
Ing. Philipp Textor
Krzysztof Mülichen
Dominik Naser B.A.
Prof. Maya Peukert
Univ.Prof. Christa-Maria Lehmann B.A.
Hans-Friedrich Ruppert-Ullrich
Heinz-Joachim Jähn
Prof. Wolfgang Mohaupt
David Losekann
Wolf-Dieter Eigenwillig
Herr Darko Gutknecht MBA.
Frau Josefa Henschel B.A.
Ing. Marie-Therese Seifert
Alfred Weinhage-Stiffel
Paul Hettner
Helma Schaaf B.A.
Pavel Jessel
Bayram Hering
Melita Schacht
Dr. Auguste Sager
Ing. Alban Mohaupt
Ing. Selim Tintzmann B.A.
Univ.Prof. Cläre Weihmann B.A.
Prof. Johannes Holzapfel MBA.
Slavko Schüler B.Eng.
Gebhard Krein
Stefano Koch B.Eng.
Wolf-Dietrich Berger
Klaus-Michael Hahn
Rainer Henk-Gotthard
Elvira Cichorius
Ralf-Dieter Riehl B.Eng.
Herr Jonathan Beckmann B.A.
Mehdi Niemeier-Noack
Deborah Finke
Regina Becker
Emilia Scheel
Frau Alexandra Beckmann B.A.
Reinhilde Metz
Sara Johann
Univ.Prof. Rotraut Juncken B.A.
Dr. Elfie Tintzmann
Deborah Scholtz B.A.
Mira Sontag
Ludmila Dobes B.A.
Prof. Guenther Margraf B.Eng.
Univ.Prof. Michaele Heser MBA.
Dipl.-Ing. Jost Bruder B.Eng.
Katharina Speer
Eckhard Weitzel
Ingried Hänel
Lilli Meyer-Reuter
Rüdiger Hellwig B.A.
Frau Britt Heß
Univ.Prof. Hans D. Ullrich
Rena Rohleder
Tanja Plath
Wolf-Dietrich Gotthard-Dussen van
Zenon Hahn MBA.
Ing. Gotthard Reuter B.A.
Dr. Janett Schottin B.Eng.
Maurizio Hartmann
Undine Dehmel
Peer Grein Groth-Lange
Damian Söding
Mareike Wilmsen
Anne-Marie Drewes
Guiseppe Kranz
Sibilla Mälzer
Falk Höfig
Markus Eimer
Steven Käster B.Sc.
Dr. Wilfriede Reuter
Vincenzo Jopich
Semra Gorlitz
Yasmin Wiek
Helge Wilmsen-Hein
Marc Heintze B.A.
Centa Bohlander-Stiebitz
Dipl.-Ing. Johanna Henck
Burghard Hamann-Dippel
Siegrun Reinhardt
Damian Bauer
Dr. Egbert Kraus
Anthony Bonbach
Mariusz Hartung
Bernhard Fischer
Ronald Werner
Pia Steuer
Angela Hamann
Guenter Kohl-Nette
Heimo Bauer
Herr Tino van der Dussen MBA.
Gundula Scheel-Döring
Marlen Flantz
Vladimir Patberg-Weller
Karl Heinz Stiebitz
Maritta Boucsein
Eugenie Pieper
Anne-Katrin Höfig
Laurenz Siering-Kallert
Prof. Jonas Scholtz
Ariane Löchel
Dipl.-Ing. Peer Kuhl
Christos Beier
Prof. Liane Jungfer
Dana Löwer MBA.
Branka Speer B.A.
Aneta Heydrich
Chantal Kade
Dr. Helge Täsche MBA.
Dr. Helma Kohl B.A.
Berndt Mohaupt MBA.
Solveig Trapp MBA.
Konstantinos Lindner
Ilija Höfig
Eugen Schottin
Ing. Arndt Schäfer
Rosita Möchlichen-Stumpf
Univ.Prof. Pauline Klemt
Leszek Hentschel
Gusti Vollbrecht
Margret Hentschel-Davids
Ing. Cosimo Steinberg
Ida Buchholz B.Eng.
Hans-Ulrich Dussen van
Herr Filippo Rosemann B.A.
Gerd Becker
Caroline Harloff
Tibor Köhler-Schönland
Prof. Susanne Rose
Hildegund Gunpf
René Säuberlich B.Eng.
Alma Kaul
Univ.Prof. Johan Lange
Marie-Theres Jäkel
Univ.Prof. Dorle Fröhlich
Swen Wirth
Friedrich-Wilhelm Stahr-Henck
Karl Heinz Kruschwitz-Reising
Nadeschda Barkholz
Marek Hesse B.Eng.
Alena Neureuther
Konstantin Knappe
Marisa Hartmann-Kusch
Anastasia Mans
Ing. Pawel Rörricht
Abraham Junken-Beckmann
Univ.Prof. Annekatrin Neureuther B.A.
Karl-Georg Lehmann
Jochem Hermighausen
Juan Fechner
Prof. Horst Mälzer B.Sc.
Hanna Speer
Chantal Kramer
Ing. Justus Binner
Sieghard Sorgatz
Marion Weihmann
Hildegunde Wende-Spieß
Peer Nohlmans B.Sc.
Ehrhard Pruschke
Hardy Weller
Regina Hamann B.Sc.
Ada Ullmann-Hermann
Harold Bohlander B.Sc.
Ilka Lachmann
Hedda Haase
Ruthild Juncken B.Sc.
Ingetraud Caspar
Emanuel Holsten
Raymund Koch II-Margraf
Gönül Kallert
Brunhild Briemer B.Sc.
Rainer Hänel
Miodrag Dörr-Austermühle
Ernst-August Beyer
Ing. Rose-Marie Hölzenbecher
Frau Jane Sauer
Prof. Lieschen Mälzer B.Sc.
Abraham Carsten
Nadia Thanel
Friedrich-Karl Jopich B.Eng.
Rüdiger Geisler
Henner Schweitzer
Sergej Dippel
Marijan Kruschwitz
Meike Rosenow
Marzena Mentzel
Marianna Geisler
Larissa Mangold
Inka Hornig B.A.
Prof. Romy Bohnbach
Ferenc Pergande B.Eng.
Reingard Jungfer
Gilda Scholz
Aloisia Faust
Gotthilf Bohnbach-Seip
Siegmar Ullmann-Fritsch
Ing. Daria Lorch B.A.
René Hölzenbecher-Berger
Dipl.-Ing. Slawomir Ebert MBA.
Raymond Drub B.Sc.
Ole Losekann
Vadim Bender B.A.
Fedor Röhrdanz
Ditmar Bien
Dipl.-Ing. Iris Stumpf MBA.
Sina Wulff-Dussen van
Tim Sorgatz
Brigitta Walter
Ernst-Dieter Geisler B.Eng.
Josephine Nerger-Mende
Thorsten Ruppersberger
Frau Etta Wesack MBA.
Käthe Langern-Jacob
Babette Rohleder
Aysel Löchel
Ljubica Wohlgemut-Schmidt
Karl-Hans Hande-Schuster
Univ.Prof. Arno Kramer B.Eng.
Kaspar Hänel
Thorsten Kensy B.Eng.
