Student
Danilo Ehlert
Ilija Höfig
Dipl.-Ing. Mariola Lange B.Sc.
Uwe Schwital MBA.
Arne Ziegert B.Sc.
Reinhard Zänker
Dierk Dörr
Reinald Gerlach
Marie-Luise Rogner
Kornelius Pergande-Weiß
Ronald Stiebitz
Gisa Mohaupt
Prof. Susanne Rose
Teresa Schönland
Brian Blümel B.Eng.
Curt Mühle
Dr. Mirko Langern MBA.
Herr Thorsten Hartmann B.Eng.
Dr. Gunther Jähn B.A.
Ing. Bernard Schleich B.Sc.
Janin Hermann
Ira Scholz-Pohl
Bertha Barkholz
Sören Trommler
Diedrich Scheel-Hübel
Ing. Gabriela Dippel MBA.
Gerta Beer
Iwan Butte B.Sc.
Dörthe Hiller
Traute Fröhlich
Karl-Wilhelm Meyer
Dr. Danica Scheuermann B.Sc.
Traudel Loos
Edda Junck-Eimer
Änne Wagner
Vito Gorlitz
Jonas Adler
Harm Nette
Dina Johann
Corina Pergande
Theresa Killer
Ing. Henning Drub
Liesa Sauer
Univ.Prof. Leszek Gieß B.Eng.
Gert Naser
Nikolas Siering
Anatol Hübel
Erdal Tintzmann
Claire Rogner-Scheel
Ing. Eckart Becker B.Sc.
Kathi Christoph
Erhard Otto
Gotthard Scheuermann
Ben Ullmann MBA.
Frau Raissa Ruppersberger B.Eng.
Prof. Antonia Mielcarek B.Eng.
Daniel Stiebitz
Frau Angelina Martin
Univ.Prof. Marc Schmiedt
Janus Walter
Maximilian Pohl B.A.
Dipl.-Ing. Lioba Plath
Ing. Britt Trupp B.Eng.
Gertraude Hahn
Ernest auch Schlauchin
Ahmet Thies
Siegrun Christoph
Anastasios Heinz
Dr. Janos Reising
Liane Reuter
Hanno Löffler
Burghard Davids
Ralph Jessel B.A.
Univ.Prof. Resi Kobelt
Univ.Prof. Kevin Juncken B.Eng.
Univ.Prof. Tina Rose
Jolanta Döring
Sina Barkholz
Michelle Klingelhöfer B.Eng.
Leokadia Finke-Dippel
Leonardo Vogt
Hans-Christian Eimer
Prof. Necati Stey B.A.
Ing. Marie-Therese Schleich
Dipl.-Ing. Giorgio Drubin B.Eng.
Caterina Ullrich
Dipl.-Ing. Manuel Kade
Valerij Barth
Augustin Renner
Marcella Franke B.A.
Lutz Mies-Hesse
Anatolij Trub
Esther Ehlert
Mike Matthäi
Rosl Trupp
Volkhard Köster-Jüttner
Gundula Weitzel-Liebelt
Halina Segebahn
Rebecca Oderwald
Anette Bien
Irmi Döhn
Waldemar Ladeck
Rudi Schacht
Jan-Peter Grein Groth
Marianne Heser
Angelique Speer B.A.
Friedhilde Hornig B.A.
Marzena Mentzel
Dr. Zehra Etzler
Inka Meyer
Prof. Tina Ullrich
Maja Fischer B.A.
Ewald Kreusel
George Käster-Eberth
Sükrü Fiebig
Dipl.-Ing. Salvatore Zänker MBA.
Univ.Prof. Dorle Röhrdanz B.A.
Burkhard Fröhlich-Dussen van
Ludmila Dobes B.A.
Ing. Anna-Maria Stey
Serge Kraus B.Eng.
Mehdi Neureuther
Linus Mans-Röhrdanz
Agatha Kostolzin
Hanspeter Juncken
Liesel Klapp
Burkhardt Holt
Claire Faust B.A.
Inga Wieloch
Hans D. Kusch B.Sc.
Engin Johann-Weihmann
Leon Linke
Dr. Sara Niemeier
Marlen Weihmann-Trub
Elfie Preiß
Aline Atzler-Beckmann
Heiderose Bärer
Bartholomäus Trapp
Evangelia Gierschner
Goran Benthin
Dipl.-Ing. Slavica Mälzer
Prof. Vadim Stroh
Senol Hande MBA.
Stjepan Hofmann-Hethur
Wilma Paffrath
Walther Hofmann
Chantal Fröhlich
Univ.Prof. Hiltrud Löwer
Danilo Hande MBA.
Ramona Sontag
Arndt Bachmann B.Eng.
Agathe Trommler
Prof. Marion Scholz
Steven Trub
Helmuth Jäntsch
Prof. Katalin Lindner B.Eng.
Margitta Hethur MBA.
Abbas Segebahn
Jennifer Hoffmann
Harm Sontag-Wilms
Zita Ullmann-Heydrich
Dr. Diedrich Krebs B.A.
Frau Cordula Anders B.Eng.
Gerda Sauer
Dipl.-Ing. Christoph Schulz B.Sc.
Ing. Denny Mende
Edit Dowerg
Marian Vollbrecht MBA.
Paolo Wernecke
Silja Jüttner
Inna Hande
Alessandro Caspar
Prof. Sepp Blümel
Dr. Gundolf Römer MBA.
Horst-Peter Ritter
Uwe Dussen van
Danuta Löwer
Anthony Oderwald
Dolores Conradi
Ilija Rosenow
Joachim Steuer
Mary Reuter B.Sc.
Margareta Trub
Klaus-D. Segebahn
Cora Steuer-Junken
Univ.Prof. Amelie Gröttner B.Eng.
Prof. Axel Davids MBA.
Ole Süßebier MBA.
Jeannine Lehmann
Thies Birnbaum B.A.
Vesna Döhn
Gerhild Löffler
Univ.Prof. Galina Kobelt B.Eng.
Luise Gertz-Fliegner
Henriette Bruder
Georg Misicher
Vitali Walter-Krein
Lili Heydrich-Beyer
Dipl.-Ing. John Ortmann MBA.
Janko Rose
Univ.Prof. Traude Gertz
Carin Pruschke
Siegmar Kramer
André Kraushaar-Henck
Wendelin Zorbach MBA.
Dipl.-Ing. Julian Mühle
Annett Dehmel MBA.
Rene Berger-Jäkel
Michel Kuhl
Deborah Beier
Ing. Cynthia Weihmann B.Eng.
Marliese Becker
Dipl.-Ing. Petar Lübs
Friedhold Löwer-Ebert
Alan Stadelmann-Lindner
Alexandra Henk MBA.
Helen Hahn
Dr. Aldo Fritsch
Jessica Gotthard
Irina Seip-Bolnbach
Fedor Roskoth B.A.
Emma Trub-Scheuermann
Klaus-Dieter van der Dussen
Siglinde Kambs-Geißler
Univ.Prof. Philip Kranz B.Sc.
Ingelore Heinz
Edit Siering
Theodor Striebitz
Prof. Vadim Rogner
Leopoldine Butte
Günter Fischer
Bruno Henschel
Thorben Rosenow
Marie-Therese Schleich
Karla Freudenberger MBA.
Stanislaw Misicher
Karl-Dieter Speer
Käte Ditschlerin-Roht
Emanuel Schinke B.Sc.
Priska Rädel
Andrei Hertrampf-Trommler
Ansgar Seidel
Reinhild Pergande
Filippo Hermann
Friedrich-Wilhelm Stahr-Henck
Janusz Beckmann
Magdalene Fröhlich
Tülay Schmidtke B.Sc.
Kira Eckbauer
Lieschen Steckel
Milka Wohlgemut-Meyer
Dr. Annita Kallert
Helga Salz
Ortwin Scholl
Isabell Briemer
Gilbert Bolnbach
Felix Müller
Wiltrud Geißler
Alexandre Caspar
Herr Hans-Detlef Grein Groth
Dorothe Adler-Trubin
Aleksandra Benthin
Hans-Werner Mohaupt
Dr. Filippo Eberhardt B.Eng.
Lilly Girschner-Ritter
Jörg Pechel
Lisette Stoll B.Eng.
Hans-Martin Bärer
Stephan Haase MBA.
Ing. Hanna Killer
Ada Heser B.Sc.
Gülten Ruppersberger-Wende
Karl-Dieter Süßebier
Dr. Ralf Hölzenbecher
Valeria Conradi
Julia Conradi-Mentzel
Benita Holzapfel-Hecker
Ing. Eugenie Birnbaum
Maren Heser-Kreusel
Gerd Wiek MBA.
Hans-Theo Bärer B.Eng.
Kristina Wernecke
Dorle Killer
Editha Jacob
Karl-Heinrich Schüler
Karen Rädel
Theda Klotz
Ricardo Hesse
Dorit Zimmer-Krein
Dorle Schmidtke MBA.
Stanislav Reuter
Heide Hesse-Bärer
Heidelore Zirme
Björn Steckel B.Eng.
Univ.Prof. Czeslaw Heuser
Herr Oliver Stahr
Edeltraut Klemt
Herr Hellmuth Birnbaum B.A.
Alicja Faust B.Eng.
Traudl Gierschner
Mohamed Stiebitz-Pärtzelt
Karl-Wilhelm Weiß
Aenne Mende B.Eng.
Dagobert Bohnbach
Antonios Schönland
Lambert Wilmsen
Maik Schottin
Leokadia Oestrovsky
Dr. Valentin Eigenwillig
Mirja Dehmel B.A.
Herr Erich Rosenow
Angelique Kruschwitz
Emanuel Scholz B.Eng.
Michel Heß
Micha Albers-Wilms
Konstantinos Seifert
Friedhilde Wernecke
Siegrid Paffrath
Ibrahim Eberth
Prof. Maya Peukert
Dipl.-Ing. Tim Fritsch
Uwe Sorgatz
Ing. Annekatrin Heß
Mirja Bähr
Ing. Carla Ziegert B.Eng.
Hellmuth Heidrich
Gislinde Müller
Senta Wernecke B.Sc.
Johanna Stumpf
Janet Jüttner
Bertha Ritter-Drubin
Stefano Wagenknecht
Guenter Lachmann
Francisco Schmidtke-Albers
Silvia Eberth
Klaus-Jürgen Jockel
Virginia Kaul
