Student
Eckehard Wernecke
Antonia Köster B.A.
Tülay Henschel
Elenore Hofmann-Aumann
Frau Rosalinde Riehl
Tino Gnatz
Maurizio Mans-Ullmann
Eleni Mühle MBA.
Eberhardt Gute
Elfriede Gnatz
Stephanie Kranz B.A.
Traudel Wilmsen B.A.
Ercan Oestrovsky B.Eng.
Lothar Ladeck
Muharrem Benthin
Alla Weihmann
Leopold Weller-Zobel
Frau Raissa Radisch B.Eng.
Rudolf Weihmann
Burghard Davids
Otmar Gierschner
Josefa Stolze
Nikolaos Reichmann
Pauline Bolzmann
Univ.Prof. Marko Schmiedecke MBA.
Marko Renner
Prof. Roy Blümel
Gina Killer
Katalin Butte
Irene Stumpf
Irmtrud Pohl
Irmi Jüttner
Hanne-Lore Johann
Michail Pechel
Herr Hermann-Josef Hauffer
Benita Neuschäfer
Galina Kraus-Hermighausen
Univ.Prof. Harro Fröhlich
Heimo Kuhl
Herr Jan Kobelt
Dr. Aysel Kohl
Xenia Christoph
Myriam Hänel
Anett Bien-Schuster
Bettina Schlosser
Heinz-Walter Juncken
Carin Atzler
Ilka Faust
Univ.Prof. Rosl Pölitz
Birgitta Schleich
Univ.Prof. Margrit Davids B.Eng.
Maria-Luise Schaaf
Siegrun Ring
Univ.Prof. Anna-Luise Faust
Frau Ina Dietz MBA.
Thilo Patberg
Carla Ruppersberger
Antonina Neureuther
Jasmina Rädel
Irmtrud Schaaf-Jacobi Jäckel
Caroline Linke
Dipl.-Ing. Christoph Jockel B.Sc.
Karl-Heinrich Karz
Dipl.-Ing. Jörg-Peter Conradi B.Sc.
Annegrete Jüttner
Jiri Kambs
Franz-Josef Schmidtke
Felizitas Jungfer
Peer Bärer
Antonina Wagner
Virginia Eigenwillig
Orhan Dörr-Salz
Elena Pruschke
Babett Süßebier B.A.
Anneliese Trub
Univ.Prof. Markus Finke B.Sc.
Roswita Sauer
Jelena Jüttner
Concetta Seifert
Karl-Peter Grein Groth B.Eng.
Dipl.-Ing. Ilse Heß B.Sc.
Sevim Vollbrecht B.A.
Frederike Stoll
Dr. Änne Radisch
Manuel Pärtzelt
Stephen Kensy
Meral Stroh-Henschel
Luigi Gude
Gunhild Stroh-Jacob
Klaus-Ulrich Blümel B.A.
Univ.Prof. Romuald Hermighausen
Karl-Heinz Rohleder
Bayram Lübs B.Eng.
Frau Ariane Weinhage MBA.
Berta Hörle-Börner
Prof. Denis Segebahn MBA.
Meike Rosenow
Reimar Rädel
Eberhard Pechel
Joseph Harloff
Elma Junken
Birthe Trommler
Dipl.-Ing. Alf Graf
Sofia Hethur
Dr. Margarethe Ernst
Antje Drub
Jan-Peter Grein Groth
Elisa Steinberg
Frau Mia Kaul MBA.
Hans-Detlef Schäfer
Franziska Beer
Christiane Blümel
Celal Seifert
Ing. Katarzyna Noack
Edwin Förster-Albers
Carmen Berger
Univ.Prof. Dana Seifert
Maya Haering-Becker
Joerg Döhn
Krista Gertz B.Eng.
Maurice Steckel
Uschi Trüb
Nicolaus Seifert B.A.
Sönke Gumprich
Luka Stiffel
Bertha Ritter-Drubin
Dr. Matthias Niemeier
Ing. Marga Lehmann MBA.
Burckhard Mende
Slavica Ernst-Schmidtke
Rosa Hübel
Miroslav Kohl
Herwig Jäntsch B.Sc.
Hans-Willi Baum-Staude
Univ.Prof. Milka Bähr
Heiko Metz
Pius Röhrdanz
Dipl.-Ing. Freya Höfig
Dr. Uta Gumprich
Frau Mirjana Baum B.Sc.
Prof. Theodoros Paffrath B.A.
Hans Jürgen Lange
Dr. Sigfried Seip B.Eng.
Anatolij Junk
Univ.Prof. Diethard Klotz
Irmtraut Fröhlich-Hertrampf
Kamil Hecker-Hahn
Ernest auch Schlauchin
Zlatko Lehmann
Gottlieb Kade
Frau Patricia Gorlitz B.A.
Erhardt Heidrich
Geraldine Wagner
Oskar Weitzel
Annelies Heidrich
Helen Hein B.A.
Eleonore Kuhl-Koch
Birgitta Hettner
Augustin Hoffmann MBA.
Almuth Haase
Univ.Prof. Annegrete Holt
Klaus-Peter Häring
Gert Fischer
Annelore Riehl
Univ.Prof. Theresia Lange MBA.
Gerta Hartmann
Michaela Hecker B.Eng.
Milan Holzapfel
Marie-Theres Trupp
Prof. Juan Hamann
Gerda Mans
Harro Gunpf
Prof. Dolores Butte
Univ.Prof. Tilmann Pieper B.Eng.
Thorben Stiebitz
Imre Mülichen
Miriam Hentschel
Prof. Ivonne Boucsein B.Eng.
Viviane Kensy
Hartwig Zirme
Gerhart Hentschel
Lukas Gierschner
Ronald Werner
Dr. Deborah Kade
Edelgard Finke B.Eng.
Frau Delia Hellwig B.Sc.
Univ.Prof. Hardy Hartung
Amanda Stadelmann-Mende
Dipl.-Ing. Werner Scholl B.Eng.
Prof. Eckhart Jockel B.Eng.
Ing. Ernest Rogge B.A.
Dipl.-Ing. Ryszard Buchholz
Luka Binner
Karl-Peter Hofmann B.A.
Kira Hartmann B.Sc.
Gilda Rohleder
Nina Müller B.Eng.
Frau Annita Beckmann
Nadja Ladeck B.Sc.
Prof. Siegbert Scheuermann B.A.
Eveline Kruschwitz B.Sc.
Frau Melita Huhn
Dr. Irmtraut Gnatz B.Eng.
Utz Christoph-Henck
Hertha Gieß
Diedrich Jäntsch B.A.
Harm Hein
Guiseppe Rust
Ingolf Ruppersberger-Berger
Heinz Dieter Barkholz
Mariusz Stadelmann-Jähn
Frau Nadeshda Ruppert
Roman Bloch
Carsten Junken
Friedericke Lange
Marika Zimmer
Sieghard Hahn
Dipl.-Ing. Hans-Günther Peukert B.Eng.
Heinz-Peter Biggen
Janusz Beckmann
Dipl.-Ing. Rigo van der Dussen B.Eng.
Olav Thies
Erdmute Mosemann
Prof. Joanna Kreusel
Prof. Irmela Klemt B.Eng.
Miroslawa Jäkel-Bohnbach
Reza Misicher
Ante Hermann-Mans
Eugenie Benthin-Ziegert
Siegmar Kramer
Dipl.-Ing. Korinna Pärtzelt
Dr. Jan-Peter Döhn B.A.
Dr. Catharina Gerlach B.Eng.
Elke Scholl MBA.
Carsten Jüttner B.Eng.
Walfried Wohlgemut B.Eng.
Ditmar Adolph
Adolfine Dippel
Prof. Heinz-Peter Thies
Karl-Wilhelm Weiß
Ing. Wencke Speer
Emilie Bolander
Matteo Krein-Müller
Berit Pärtzelt
Maria-Theresia Scholl
Camilla Kühnert MBA.
Lore Tröst
Dipl.-Ing. Gudula Margraf B.Sc.
Carla Schacht
Prof. Sofie Gröttner
Heinz-Günter Weimer B.Sc.
Adalbert Vollbrecht
Felicia Hamann
Elisabeth Roskoth
Reinhard Rogge
Hanne Junk
Heiderose Bärer
Resi Margraf
Karl-Wilhelm Rogner
Elise Ackermann
Violetta Beyer
Gabriella Schuster
Veronique Eimer
Tomislav Mende
Fredi Jäntsch
Christos Sölzer
Kristiane Hermann
Josef Butte-Lindau
Renate Austermühle B.Eng.
Felicitas Biggen
Hiltrud Klemm
Erkan Trub
Herr Ansgar Gnatz
Zofia Schulz
Helma Hänel B.A.
Alban Butte
Mehdi Kohl B.A.
Anika Binner-Löffler
Hans-Martin Junk-Kuhl
Univ.Prof. Fatima Faust B.A.
Jörg-Peter Christoph
Ingried Ullrich
Angela Weimer
Goran Junck-Bauer
Ilja Freudenberger B.A.
Alessandro Krause
Prof. Bertha Jacobi Jäckel MBA.
Daniela Siering
Moritz Schönland
Marcella Ehlert
Alexandre Geisel
Geraldine Gutknecht
José Tschentscher-Textor
Kunigunda Hamann-Hermighausen
Ing. Karl-Georg Dobes
Ing. Pauline Linke
Werner Heydrich-Schmidtke
Gloria Schulz-Huhn
Corinne Berger
Bianka Schuster-Ziegert
Univ.Prof. Arno Kramer B.Eng.
Herr Ilja Kroker
Prof. Annita Putz
Ing. Janin Winkler MBA.
Luzia Kranz
Lidia Franke
Elena Gotthard
Marliese Roht
Uwe Dussen van
Prof. Frithjof Binner
Margareta Zirme
Frau Anna Mangold B.A.
Prof. Cora Bolander
Univ.Prof. Antoinette Wende B.A.
Nicole Scheibe
Adelinde Zimmer
Martha auch Schlauchin
Dipl.-Ing. Klaus-D. Kostolzin
Sami Stolze-Döhn
Dipl.-Ing. Marisa Scholl
Dr. Elmar Junk
Jann Geisler
Friedericke Ruppersberger
Robby Kramer
Dr. Aribert Sontag
Herr Ekkehart Sorgatz
Adriane Gröttner
Hans Misicher
Dipl.-Ing. Alla Karge
Siegrid Schmiedt
Gisela Schwital-Scheel
Univ.Prof. Katharina Werner MBA.
Burckhard Margraf
Madlen Lübs
Milica Reichmann
Gabriela Gierschner
Wilfriede Blümel
Dipl.-Ing. Zenta Hornig B.Sc.
Renate Franke B.A.
Sören Liebelt
Anatoli Anders
Ignatz Börner
Prof. Niko Atzler B.Sc.
Frau Wenke Klemt
Melissa Stey
Traugott Textor-Wagenknecht
Hedy Loos
Walter Schleich-Segebahn
Hans-Wilhelm Weller
Kuno Mälzer B.Eng.
Tanja Rörricht-Haering
Hertha Stoll
Dr. Gabriel Junitz
Herr Gisbert Langern
Britt Gorlitz
Patrick Haering
Rene Henck
Liane Fechner
Joachim Rogge
Marcel Hermighausen
Zehra Putz
Prof. Niels Barkholz
Vadim Jacobi Jäckel
Prof. Alexei Krebs
Marie-Theres Jäkel
Lena Dowerg
Ing. Kläre Radisch
Imelda Geißler
Bayram Hering
Heinrich Bohlander-Ullrich
Siegmund Schleich MBA.
Nicolaus Seifert
Thies Rose
Heinz-Werner Schleich-Mies
Prof. Urs Flantz
Nadja Häring B.Eng.
Justine Lindner
