Student
Marleen Etzler
Hans-Hinrich Bohlander
Melissa Dietz
Anka Boucsein
Rolf-Dieter Jacobi Jäckel-Nerger
Hannelore Haase
Hans-Rudolf Huhn
Jakob Seifert
Hildegard Schlosser-Jacobi Jäckel
Klemens Förster
Anni Seidel B.Eng.
Lieschen Rörricht
Fredi Lindner
Ing. Imke Eigenwillig B.A.
Dr. Franz-Peter Löffler
Peer Bärer
Theresa Hethur-Kabus
Univ.Prof. Harriet Heintze
Bernard Bien-Lübs
Dipl.-Ing. Sigrun Neuschäfer B.Sc.
Ing. Carmen Birnbaum
Frau Belinda Plath B.A.
Ing. Margarete auch Schlauchin MBA.
Edda Jungfer
Pero Gutknecht
Wilfried Söding
Dipl.-Ing. Beatrix Henk B.Eng.
Ing. Sina Johann MBA.
Nikolai Stiebitz
Kay-Uwe Trommler
Univ.Prof. Athanasios Drub B.Sc.
Priska Wende
Ing. Romuald Kreusel B.A.
Rose Beer
Univ.Prof. Cynthia Löwer
Prof. Katalin Lindner B.Eng.
Joachim Höfig
Cetin Schwital
Gisa Budig-Löwer
Dipl.-Ing. Karl-Heinz Rörricht
Alida Tröst
Fadime Heidrich B.A.
Christian Jacobi Jäckel
Dr. Frieda Metz
Urszula Killer B.A.
Torben Säuberlich-Linke
Nadeschda Barkholz
Hassan Kroker-Girschner
Ing. Arthur Schwital B.Eng.
Piotr Ruppersberger
Anneliese Trub
Univ.Prof. Tabea Dörschner MBA.
Emilia Scheel
Roderich Scholtz
Reinhild Patberg
Centa Kaul
Kira Hartmann B.Sc.
Univ.Prof. Philomena Kensy
Undine Scheibe-Stey
Susann Hartung-Schmiedecke
Frauke Staude
Univ.Prof. Francesco Schulz B.Eng.
Klaus-D. Hövel
Ljiljana Rädel
Kornelius Sontag
Helen Hein B.A.
Paul-Gerhard Gunpf
Silvia Eberth
Sofia Etzler B.Eng.
Carl-Heinz Kraus
Michaele Schwital
Elisa Mälzer
Jacob Süßebier
Ruthild Schüler B.Eng.
Annelene Reuter B.A.
Josef Butte-Lindau
Prof. Knud Salz
Dipl.-Ing. Petar Wohlgemut
Kunigunda Hänel-Briemer
Maria Mans B.Eng.
Kornelius Winkler
Antonie Ladeck
Mirko Eckbauer
Mathilde Kreusel
Patrizia Spieß
Arzu Stiffel-Drubin
Gerda Gröttner B.Sc.
Asta Mielcarek-Blümel
Edelgard Neureuther-Vollbrecht
Edda Henschel
Andrei Bolander-Jäkel
Urs Matthäi
Edmund Schmidt-Fliegner
Inge Paffrath
Franz Ortmann B.Eng.
Korinna Koch II
Hertha Caspar MBA.
Eckhard Lindau B.A.
Wally Bien-Kraushaar
Michaele Schacht
Heinz-Joachim Kobelt
Joachim Löffler-Riehl
Berndt Bähr
Anastasios Kuhl
Elli Meister
Alwina Hettner
Augustin Hoffmann MBA.
Monika Haering
Lissi Kohl
Frau Evelin Löffler
Bogdan Zirme
Slawomir Bohnbach
Tino Metz
Bogdan Pohl
Waltrud Jockel B.Eng.
Calogero Mude-Etzold
Ingeborg Wesack
Hajo Ziegert-Noack
Maren Anders
Annemarie Seidel
Ilija Kohl
Hans-Joachim Häring
Elisabeth Roskoth
