Student
Gundel Dietz
Prof. Bela Noack
Henny Vogt
Mathilde Wähner-Bien
Dipl.-Ing. Alan Schacht B.Eng.
Zeljko Kobelt B.Eng.
Antonina Neureuther
Gino Ernst
Ekkehart Niemeier
Jadwiga Gierschner-Schulz
Frau Stella Plath B.A.
Reinhold Schäfer-Eimer
Frau Cynthia Bähr B.Sc.
Sigmund Kensy
Dr. Valentina Knappe
Claire Junk
Slavko Schüler B.Eng.
Frau Lilli Möchlichen MBA.
Uwe Rosenow
Erik Wirth B.Eng.
Univ.Prof. Mira Mende B.Eng.
Radmila Linke MBA.
Ursula Jacobi Jäckel
Univ.Prof. Melita Langern
Karl-Heinrich Schüler
Balthasar Müller-Drub
Helen Hein B.A.
Zeljko Baum
Herr Muzaffer Schäfer
Univ.Prof. Waldtraut Riehl
Thorsten Ruppersberger
Lena Wende
Dina Hartung
Caroline Harloff
Leokadia Putz
Dolores Stey-Matthäi
Vera Scholl
Fabian Pechel-Dippel
Dipl.-Ing. Ana Rosemann
Dörthe Hiller
Hajo Kranz-Heser
Gülsen Davids-Heinz
Univ.Prof. Maxim Matthäi
Amelie Pruschke MBA.
Margot Ullmann
Ivo Lorch
Dagmar Franke-Schleich
Prof. Cora Bolander
Rose-Marie Schüler
Siegrun Reinhardt
Prof. Mathias Kambs
Prof. Meral Jüttner MBA.
Alban Dippel
Miroslawa Jessel B.Sc.
Francisco Budig-Geisler
Gisa Hendriks
Karen Hendriks
Univ.Prof. Mahmoud Liebelt
Sybilla Herrmann-Pärtzelt
Univ.Prof. Adelbert Zimmer
Dr. Alma Warmer MBA.
Lukas Gierschner
Kriemhild Warmer
Janet Johann B.A.
Christiane Mentzel
Maurizio Mans-Ullmann
Abram Eckbauer B.A.
Sevim Schmiedt-Döhn
Sandor Ritter
Manuel Schenk
Hannah Stiffel-Börner
Leonid Mühle
Esther Hoffmann-Hermighausen
Lidwina Sorgatz-Weihmann
Miroslawa Jäkel-Bohnbach
Orhan Dörr-Salz
Zlatko Lehmann
Alan Stadelmann-Lindner
Dajana Trapp-Kreusel
Dr. Daniel Trommler
Miodrag Dörr-Austermühle
Margit Walter
Ing. Wenke Karge B.Sc.
