Student
Wilfried Söding
Irina Gröttner
Thoralf Geisel
Edeltrud Koch
Martha auch Schlauchin
Mandy Loos
Gunda Warmer
Hans-Gerhard Döhn
Herr Yusuf Kabus B.A.
Dr. Nadja Wulf
Gerfried Dippel
Marcel Schlosser
Sükrü Fiebig
Natalja Seidel
Emilie Scholz
Jiri Bärer
Stefano Koch B.Eng.
Dipl.-Ing. Nikolaus Conradi MBA.
Thilo Tschentscher
Dr. Annika Gude MBA.
Elwira Hellwig
Brita Roht MBA.
Catherine Huhn
Kira Eckbauer
Luigi Wähner
Hiltrud Adolph
Prof. Gerda Barkholz MBA.
Prof. Gertraud Drewes
Waltrud Scholl
Ismail Junck-Trommler
Brita Jäkel
Arif Killer
Angela Weimer B.A.
Univ.Prof. Karin Beier
Dr. Trude Girschner
Franjo Löffler B.Eng.
Ing. Jaqueline Wende B.A.
Manuel Stolze MBA.
Karl Ruppersberger
Theres Heser
Lisbeth Karge
Cord Mende B.Eng.
Prof. Knud Salz
Carl Schmiedt
Bernard Bien-Lübs
Siegrid Schmiedt
Helmtrud Neureuther
Lilija Kensy
Dr. Semra Wagenknecht
Heinz-Walter Juncken
Herr Hans-Martin Heuser
Aloys Barkholz
Dipl.-Ing. Annemarie Trommler B.Sc.
Bekir Cichorius-Döring
Ramona Römer
Dr. Sigrun Schönland B.A.
Karl-Dieter Thies
Edelgard Gnatz-Dobes
Prof. Timo Schleich MBA.
Lore Tröst
Celal Hettner MBA.
Friedlinde Mühle B.A.
Hans-Joachim Pohl
Martine Conradi
Riza Römer
Harro Söding
Herma Bender-Scholtz
Gaetano Paffrath
Fanny Zänker-Hein
Bela Naser-Löwer
Univ.Prof. Manuela Heinrich
Kristin Kabus
Frau Raissa Ruppersberger B.Eng.
Univ.Prof. Milan Hande
Elwira Wirth
Univ.Prof. Edit Ehlert B.Eng.
Albin Fischer B.Eng.
Dipl.-Ing. Sylke Gute B.A.
Ing. Hans Peter Schenk B.A.
Alois Römer-Becker
Kuno Kreusel
Holger Gröttner B.Eng.
Wiebke Hölzenbecher
Prof. Karl-Heinz Ruppersberger
Friedl Briemer-Austermühle
Rainer Henk-Gotthard
Annemie Herrmann
Krista Scholtz
Tillmann Dobes-Trupp
Susi Schuchhardt
Manuel Hering-Jäntsch
Ing. Natalie Oderwald B.Sc.
Bartholomäus Trapp
Dierk Steinberg
Anatol Hübel
Susi Seifert
Denis Ruppersberger
Gerold Thanel
Univ.Prof. Beate Eberth
Gerolf Radisch
