Student
Dorit Köster
Univ.Prof. Hans-Theo Kroker
Siegfried Schuster
Sandro Täsche
Karla Conradi
Pirmin Reising
Heino Römer
Sonja Löchel
Yusuf Seifert
Dr. Thekla Lindau B.Sc.
Birte Jüttner
Gunhild Nohlmans
Prof. Marion Martin
Herr Evangelos Schacht
Roswita Henck
Dr. Frank Oderwald MBA.
Burckhard Mende
Rosa-Maria Seifert
Ing. Gabriela Dippel MBA.
Walter Schleich-Segebahn
Reinhard Christoph
Kornelia Kade
Senol Harloff-Lindau
Martina Keudel
Univ.Prof. Pamela Kambs MBA.
Dipl.-Ing. Viktor Scheibe MBA.
Herr Leonid Röhricht MBA.
Prof. Felicitas Dörschner
Alexandre Caspar
Cecilia Stoll
Waldemar Hendriks
Judith Sorgatz
Prof. Siegbert Scheuermann B.A.
Pirmin Wulf B.Sc.
Ralph Stahr
Willfried Mende
Lore Tröst
Agathe Weinhage B.A.
Riza Römer
Dipl.-Ing. Sergio Hövel B.Eng.
Maren Bachmann-Stumpf
Michail Schmidt
Kathi Häring
Hannah Jacobi Jäckel
Dr. Theresia Mende
Bertram Caspar
Elfi Wesack
Sven Walter
Dipl.-Ing. Kevin Henk B.A.
Ottilie Scheel
Konstantin Ladeck
Zofia Schönland B.Sc.
Diether Dussen van-Rohleder
Sandra Hornig
Jaroslav Benthin
Willfried Kostolzin
Kuno Kreusel
Margareta Schmidt
Jacqueline Hofmann
Ing. Jaqueline Wende B.A.
Josephine Rogge
Ing. Alexander Mude
Michaela Hecker B.Eng.
Prof. Mirko Adolph B.A.
Univ.Prof. Karl-Friedrich Mosemann B.Sc.
José Gröttner B.Sc.
Friedl Briemer-Austermühle
Hasso Renner
Anne-Rose Klapp-Jockel
Frau Caren Schmidt MBA.
Johannes Schuchhardt-Junitz
Egbert Heintze
Olaf Hethur
Birgitta Schleich
Marlen Jacobi Jäckel B.Eng.
Svea Hartung B.Eng.
Mahmut Rose B.A.
Emanuel Kitzmann
Dr. Alena Hövel
Frau Dorothe Mielcarek
Gundula Vollbrecht
Andrei Wulff
Gaetano Köhler
Kai-Uwe Hartung
