Student
Monika Haering
Alwina Hettner
Anatoli Caspar
Birthe Trommler
Ekkehart Grein Groth
Ing. Birte Heidrich B.Eng.
Prof. Anka Schulz
Maik Schottin
Prof. Katalin Heinrich
Franz Josef Nette-Werner
Erol Jäntsch
Willfried Kostolzin
Hansjürgen Lindner
Wendelin Pärtzelt
Iris Mans
Carin Binner
Dr. Edda Hecker B.Eng.
Dr. Frank Oderwald MBA.
Kunigunda Heser
Carla Ruppersberger
Frau Francesca Blümel
Mariechen Nohlmans
Meral Eberhardt B.A.
Wulf Thanel-Scheibe
Elena Gotthard
Herr Darius Heuser
Dr. Gaby Sontag MBA.
Dipl.-Ing. Ira Röhricht B.Sc.
Dipl.-Ing. Margarethe Holt MBA.
Leni Heß
Dipl.-Ing. Berend Niemeier
Ria Stroh
Frau Rosa-Maria Sauer B.Sc.
Maria Bruder
Uta Kade
Herr Tino van der Dussen MBA.
Dipl.-Ing. Wilfriede Bruder
Augustin Renner
Herr Vinzenz Jäntsch B.A.
Karoline Hübel
Miroslav Paffrath
Kathy Kitzmann
Karlfried Karge-Wieloch
Marko Kensy-Atzler
Andrea Wulf
Drago Gierschner B.Eng.
Maya Lindner-Zimmer
Ottmar Kruschwitz
Norbert Niemeier
Reimar Pohl
Univ.Prof. Diedrich Köhler B.A.
Silvester Fischer
Gerta Beer
Melanie Jungfer-Preiß
Celal Ortmann-Otto
Univ.Prof. Katharina Werner MBA.
Änne Wagner
Prof. Dorit Käster B.Sc.
Reinald Zahn
Kata Gierschner
Hulda Seidel-Carsten
Heinz-Joachim Kobelt
Katerina Hauffer
Theresia Liebelt
Anneli Butte
Dr. Heiderose Kallert B.Eng.
Irmtrud Textor B.Eng.
Notburga Pölitz
Ferenc Pergande B.Eng.
Christos Gumprich
Sybilla Herrmann-Pärtzelt
Univ.Prof. Anneke Gunpf
Prof. Liliana Klemm MBA.
Dipl.-Ing. Katarina Schmidtke
Franca Börner
Tanja Plath
Heribert Kensy
Jonas Mühle
Teresa Möchlichen
Dipl.-Ing. Christoph Schulz B.Sc.
André Kraushaar-Henck
Valentina Weihmann-Zahn
Eckhard Lindau B.A.
Dr. Lina Hiller
Laila Trüb
Ing. Isabell Hartmann MBA.
Dusan Ruppersberger B.Sc.
Gregor Buchholz
Sandra Scholtz
Prof. Hans-Hinrich Schmidt
Prof. Dietlind Ullrich B.Sc.
Erhardt Heidrich
Blanka Ladeck
Margareta Zirme
Domenico Reichmann
Sarah Beckmann
Dr. Annekatrin Striebitz
Stephen Lübs
Henner Schmidt
Frau Margit Gehringer MBA.
Maren Roht
Ilija Lindner
Cengiz Dehmel
Katerina Barkholz
Univ.Prof. Horst Scholtz
Carl-Heinz Kraus
Dipl.-Ing. Meral Beyer
Iris Kraushaar B.Sc.
Ing. Klothilde Hörle B.A.
Dipl.-Ing. John Ortmann MBA.
Gilbert Schottin
Diana Drubin-Walter
Ing. Arthur Schwital B.Eng.
Luciano Wirth
Nermin Martin
Heinrich Putz B.Sc.
Aleksander Dowerg
Centa Kaul
Svenja Hartmann
Prof. Necati Stey B.A.
Univ.Prof. Marita Pohl
Kristina Röhricht
Monique Schleich-Kroker
Baldur Metz
Annelene Zänker
Dr. Danica Scheuermann B.Sc.
Ing. Hatice Gehringer
Rolf-Peter Reising B.Sc.
Christiane Wirth B.Eng.
Lydia Jopich
Evangelos Staude
Ing. Käthi Schäfer
Salvatore Tlustek
Czeslaw Jacobi Jäckel-Zahn
Ing. Emmy Beer
Steven Trub
Dipl.-Ing. Hans-Günther Schuster
Anthony Bonbach
Luciano Tintzmann
Dipl.-Ing. Ildiko Löffler B.A.
Ing. Hulda Schaaf
Hannelore Haase
Belinda Huhn
Genoveva Gieß
Siegmar Keudel-Gude
Resi Knappe
Ing. Nadeschda Tschentscher B.A.
Univ.Prof. Mirella Peukert
Eckhart Gutknecht
Univ.Prof. Baptist Mende MBA.
Arndt Weinhold MBA.
Ryszard Süßebier-Neureuther
Adelbert Rörricht
Amalie Gotthard
Prof. Irmhild Fritsch
Frau Emma Kaul B.Eng.
Herr Wieland Hartmann MBA.
Prof. Lydia Siering
Meike Trupp
Resi Ullmann
Univ.Prof. Gunda Höfig
Diana Weitzel
Elisa Noack-Seifert
Miroslawa Rose
Dr. Salih Ullmann
Univ.Prof. Leif Süßebier B.A.
Theo Neuschäfer
Gundel Bien MBA.
Elisabet Schuster B.A.
Gordon Lehmann
Antonius Kraus
Rahel Hartmann
Hans-Rainer Rogner
Arno Mude
Florentine Bärer B.A.
Edgar Jüttner
Univ.Prof. Robby Vollbrecht
Adriane Wende
Georgine Schinke
André Kroker
Gerhart Staude
Wibke Pärtzelt-Wieloch
Antonie Heser B.Sc.
Mattias Kensy
Edgar Rohleder-Fröhlich
Dipl.-Ing. Mariechen Bonbach
Ellen Röhrdanz
Dipl.-Ing. Walfried Rosemann B.Eng.
Henri Wirth
Lina Hein-Gotthard
Herr Ilhan Tröst B.A.
Annette Ullmann
Almuth Haase
Constantin Jacob B.Sc.
Dr. Edelgard Sauer B.Sc.
Viviane Girschner
Ehrhard Bohnbach B.Eng.
Lissi Kohl
Philomena Bloch
Uschi Keudel
Herr Andrej Rose
Ramona Sontag
Cecilia Scholz-Barth
Justus Schüler MBA.
Ewa Bolnbach-Textor
Stephanie Beer
Univ.Prof. German Rörricht
Petar Bauer
Wulf Schuster
Andree Wilmsen B.Eng.
Ingo Löffler
Gunhild Zimmer
Ing. Dirk Paffrath
Gislinde Wagenknecht
Margitta Wulf-Nerger
Lutz Kobelt
Tamara Nette-Ladeck
Dr. Annita Kallert
Corinne Berger
Ing. Pauline Linke
Reinhard Beckmann
Mira Sontag
Mariana Kranz
Rosa Christoph-Sontag
Nuran Schäfer B.A.
Carl Schmiedt
Bianka Schmidt
Irene Stumpf
Kati Süßebier
Karl-August Reichmann B.Sc.
Mehdi Kohl B.A.
Dipl.-Ing. Dragica Neureuther
Helma Schaaf B.A.
Stefania Möchlichen
Gunnar Junk
Dr. Gert Trapp MBA.
Lilli Meyer-Reuter
Dr. Fredy Niemeier
Therese Neureuther
Evangelia Harloff B.A.
Sonja Löchel
Eleni Matthäi
Teresa Jessel
Annelore Täsche
Paolo Zänker MBA.
Pawel Peukert-Rörricht
Patrizia Wirth
Hans-Erich Warmer B.A.
Herr Mirko Häring B.Sc.
Carla Gnatz
Mercedes Rädel-Drub
Ingetraud Freudenberger
Kornelius Pergande-Weiß
Elli Meister
Theresia Henck
Heiner Rörricht
Gabriele Stahr
Desiree Klotz
Justina Neureuther
Bernard Bien-Lübs
Magdalena Tintzmann B.Sc.
Hilde Walter
Inken Gorlitz
Carola Franke
Ing. Serpil Rudolph MBA.
Lena Holzapfel
Anni Kraus
Constance Rogge
Josefine Rosemann
Christos Ruppert B.A.
Ing. Gerold Gotthard
Othmar Täsche-Loos
Concetta Dehmel
Roderich Weitzel
Oliver Schwital
Karl-Peter Häring-Kruschwitz
Dipl.-Ing. Peer Kuhl
Anica Sorgatz B.Sc.
André Röhrdanz B.A.
Marten Wesack
Hans-Uwe Sager
Dr. Torben Stey
Cläre Bruder-Hentschel
Marietta Geißler
Gert Seifert
Hans-Bernd Trubin-Klemt
Univ.Prof. Ivonne Haase B.Sc.
Andre Stroh
Prof. Helga Hesse
Adem Schleich
Kathi Seip
Prof. Olga Steckel B.A.
Ing. Helmuth Bruder
Herr Konstantin Neureuther B.A.
Siegrid Misicher
Andy Mangold
Adriane Heinz-Metz
Univ.Prof. Alois Jähn B.Eng.
Ing. Eugenie Birnbaum
Sieghard Kensy
Frau Mechtild Fliegner
Christiane Mentzel
Dipl.-Ing. Burckhard Jäntsch
Ing. Pawel Rörricht
Ing. Boris Junck MBA.
Dr. Meinhard Hiller
Jessica Kohl
Ryszard Anders B.Sc.
Ulrich Segebahn
Liliana Gehringer
Ekaterina auch Schlauchin
Karen Rädel
Hans-Hinrich Stiffel
Vinko Reuter
Dr. Filippo Eberhardt B.Eng.
Susanna Weitzel
Svetlana Schenk-Barth
Dr. Annika Gude MBA.
Dr. Isabell Trupp
Aenne Hübel-Mühle
Wolf Häring-Kallert
Ahmed Freudenberger B.Sc.
Svenja Langern
Alina Hoffmann
Zeljko Meyer
Prof. Bela Noack
Ing. Leander Weimer B.Eng.
Rolf-Dieter Jacobi Jäckel-Nerger
Sieghard Sorgatz
Walther Hofmann
Kamil Hecker-Hahn
Marek Adler
Danuta Kreusel
Marie-Therese Wagner
Ivana Mans-Bruder
Hans-J. Bolander
Anneliese Trub
Dr. Annedore Wulff B.Sc.
Ingried Bähr
Johann Baum
Dipl.-Ing. Stefano Ditschlerin
Alf Jüttner
Steven Steinberg B.Eng.
Marcella Holzapfel
Dietrich Kruschwitz
Raisa Stey-Sauer
Antonietta Kostolzin
Hedda Schönland
Birthe Schüler
Evi Wilmsen MBA.
Christos Sölzer
Teresa Schomber B.A.
Prof. Ruthild Nette B.A.
Nikola Riehl
Katalin Butte
Dipl.-Ing. Annemarie Trommler B.Sc.
Dr. Valentin Eigenwillig
Marie-Therese Steuer
Prof. Klaas Geißler B.A.
Prof. Heide Krebs
Dorle Killer
Meryem Graf-Lange
Bertha Ritter-Drubin
Ivo Lorch
Malgorzata Tlustek
Johann Liebelt MBA.
Dipl.-Ing. Werner Scholl B.Eng.
Ladislaus Stadelmann
Bayram Cichorius-Zobel
Krzysztof Kruschwitz
Edmund Scholtz B.Sc.
Harry Lange
Univ.Prof. Waldtraut Riehl
