Student
Stefani Caspar
Prof. Henriette Killer
Semra Gorlitz
Dr. Gert Trapp MBA.
Frau Antonina Kitzmann
Ismail Geisler
Claire Rogner-Scheel
Kirstin Boucsein B.Eng.
Ing. Felicia Dörschner B.Sc.
Slawomir Ehlert-Reising
Frau Anny Niemeier B.A.
Helmtrud Atzler
Frau Swantje Heinrich B.A.
Madeleine Hartung
Mandy Huhn B.A.
Ioannis Junck
Hans-Albert Lindau
Univ.Prof. Resi Knappe
Gundula Weitzel-Liebelt
Jonas Löchel
Hansjoachim Kraus-Beer
Univ.Prof. Leif Süßebier B.A.
Sibilla Hofmann
Ehrentraud Biggen-Kreusel
Gülsen Davids-Heinz
Corinna Täsche B.A.
Fabienne Dobes-Heuser
Danny Gumprich
Emilia Seifert
Univ.Prof. Franca Ritter B.Eng.
Frau Emma Kaul B.Eng.
Yvette Schinke
Ilka Zimmer-Wesack
Nadeshda Hänel-Kaul
Ilonka Wulf
Maik Schottin
Patrizia Schleich
Bartholomäus Trapp
Manuela Linke B.Eng.
Emanuel Holsten
Bertram Höfig B.Sc.
Dr. Gerti Scheel
Darius Kallert
Frauke Staude
Ing. Willi Warmer B.Eng.
Dr. Annelene Geisel B.Sc.
Ahmet Eckbauer-Sölzer
Anika Biggen MBA.
Pascal Freudenberger
Marlen Wende
Katja Heidrich
Juergen Bähr
Wulf Thanel-Scheibe
Nico Hartung-Linke
Thea Schmiedecke
Krystyna Rust-Baum
Elwira Pölitz B.Sc.
Nikolas Hethur MBA.
Univ.Prof. Frederike Heintze
Slavko Schüler B.Eng.
Adelbert Rörricht
Prof. Cora Bolander
Celal Hettner MBA.
Dr. Erkan Stroh
Susanna Jäntsch
Herma Bender-Scholtz
Traugott Textor-Wagenknecht
Theresa Caspar
Claire Römer-Hornich
Ing. Tilman Kitzmann
Paul Carsten
Frau Brit Stoll
Ignatz Budig
Univ.Prof. Teresa Weinhage B.A.
Hiltrud Bolander-Ziegert
Erwin Etzold
Imke Keudel B.Sc.
Siegbert Henschel
Dipl.-Ing. Undine Warmer
Ursel Conradi
Michaela Hecker B.Eng.
Dr. Myriam Pieper B.Eng.
Annekatrin Wilms
Hilma Berger
Calogero Hoffmann B.Eng.
Freia Kraushaar B.A.
Yvette Margraf-Wernecke
Kriemhild Junk MBA.
Roy Schmidt B.Eng.
Univ.Prof. Jann Schleich
Albin Schuchhardt
Alexandros Heintze
Kunigunda Heser
Tilman Eberhardt
Tatiana Pechel
Otmar Gierschner
Bela Köster
Prof. Marius Herrmann
Anica Tintzmann B.Eng.
Ludger Stiffel
Hans-Michael Krein-Wernecke
Victoria Klingelhöfer
Hildegunde Dörr
Mary Staude
Ing. Marlene Wirth B.Sc.
Johann Oestrovsky
Sibylle Jäntsch
Irma Atzler-Herrmann
Dipl.-Ing. Jost Bruder B.Eng.
Beatrix Möchlichen
Marlies Mude
Dr. Anatoli Bonbach
Patrik Ditschlerin
Univ.Prof. Maxim Matthäi
Florian Wulff
Björn Rädel-Rohleder
Bruni Vogt MBA.
Wibke Tschentscher-Wulf
Anny Zirme
Alfred Holzapfel-Hamann
Ben Schomber
Torsten Trapp B.A.
Gerhart Stumpf
Dorothea Finke
Toralf Pieper
Ing. Herwig Drub MBA.
Univ.Prof. Ferenc Knappe B.Sc.
Corina Pergande
Henny Rose
Thorsten Gude
Eva-Maria Geisler
Guenter Kohl-Nette
Ing. Agnes Zobel
Konrad Schuster
Sofia Hethur
Volker Adler
Hans Misicher
Dipl.-Ing. Enver Drubin
Johanna Finke-Ehlert
Damaris Eigenwillig
Herr Hans Peter Jacob
Regina Becker
Boris Stumpf
Irmengard Jüttner B.Eng.
Else Heß MBA.
Viktor Kusch
Henny Wulff
Ing. Anatolij Heintze
Dominic Möchlichen
Klaus-Ulrich Blümel B.A.
Halina Segebahn
Herbert Budig
Carin Binner
Gunter Beyer
Patrick Haering
Mariana Kranz
Heidemarie Köhler
Ronald Stiebitz
Käthe Hande
Georgia Ruppersberger
Univ.Prof. Zofia Rust
Danuta Löwer
Filippo Juncken
Uli Schönland-Trupp
Prof. Ada Wähner
Vassilios Trommler-Gieß
Resi Margraf
Klemens Knappe
Anto Kobelt-Kobelt
Univ.Prof. Jeannette Schleich B.Sc.
Sybilla Eigenwillig
Ing. Swen Sorgatz B.Eng.
Dipl.-Ing. Harm Ruppert MBA.
Inna Ditschlerin
Paul-Gerhard Hein
Käthe Ernst
Ing. Silke Kambs
Patrizia Biggen
Dr. Zeljko Pruschke
Grete Rudolph
Miguel Gehringer-Reising
Benita Holzapfel-Hecker
Dr. Gabriel Freudenberger MBA.
Knud Zimmer
Linus Drub
Ing. Petar Hänel MBA.
Muharrem Rosemann-Heidrich
Frau Annette Fiebig B.Eng.
Erol Lindner
Dipl.-Ing. Eveline Jäkel MBA.
Anka Jäkel-Ackermann
Ludwina Haase
Cilli Gorlitz
Beatrix Scheibe B.Sc.
Dipl.-Ing. Louis Spieß B.A.
Jacob Bähr
Prof. Kathy Warmer MBA.
Ing. Eugenie Kreusel MBA.
Elfie Preiß
Anne-Marie Sontag
Dr. Annelies Stumpf
Bernhardine Mangold
Vera Scholl
Johann Rust
Hiltraud Köster MBA.
Luigi Hartung
Fanny Bolnbach B.Sc.
Carl Mühle-Wulf
Helge Ladeck MBA.
Klaudia Löffler-Zorbach
Mina Beyer
