Student
Univ.Prof. Petra Scheel
Prof. Goran Sölzer MBA.
Dr. Heiderose Kallert B.Eng.
Angela Stiffel
Xaver Schönland
Zeljko Gieß
Rosa Christoph-Sontag
Fernando Tschentscher-Schacht
Prof. Marija Seidel
Hans D. Haering
Karina Tschentscher-Butte
Annelies Beer
Annekatrin Neureuther
Edith Hettner
Bogdan Löffler
Cläre Heser
Maximilian Jockel
Gerd Wiek MBA.
Nuran Schottin B.Eng.
Dogan Bolander
Frau Angelina Martin
Dr. Senol Beier MBA.
Dagobert Hornig
Hülya Stadelmann
Eckhard Weitzel
Thilo Patberg
Swetlana Binner
Univ.Prof. Marjan Graf B.Sc.
Univ.Prof. Liliana Drub
Phillip Hermann
Vincenzo Jopich
Richard Mende-Hendriks
Karlfried Müller
Elisa Noack-Seifert
Ing. Muharrem Paffrath B.Sc.
Prof. Clarissa Barth
Meryem Sager
Mohamed Schottin
Johan Heydrich
Leonore Hettner-Staude
Henri Finke-Lehmann
Jonas Albers
Pirmin Reising
Ing. Engelbert Bauer
Helge Pohl
Ing. Annekatrin Heß
Annika Lindner
Corinne Berger
Eggert Börner-Geisler
Dr. Jens-Uwe Ruppert
Univ.Prof. Cynthia Löwer
Hermann Josef Börner
Univ.Prof. Claudio Schmiedt
Emmerich Killer
Timm Wende
Frau Britt Heß
Miriam Juncken
Daniela van der Dussen B.Eng.
Ing. Elisabet Jopich B.Sc.
Ing. Carolin Anders
Rosa-Maria Knappe
Emma Sorgatz-Radisch
Viktor Kusch
Luka Binner
Frau Gertrud Jüttner
Dr. Cengiz Säuberlich
Aneta Schlosser-Köster
Margitta Hethur MBA.
Lydia Jopich
Edelgard Gnatz-Dobes
Steven Weinhold B.A.
Guenther Steinberg MBA.
Gebhard Kitzmann
Ing. Canan Gutknecht B.A.
Roman Jäntsch
Karl-August Döhn B.A.
Herr Ekkehart Sorgatz
Vlado Kramer B.Eng.
Dipl.-Ing. Helmut Hauffer
Marie-Therese Birnbaum
Gundi Sager
Univ.Prof. Jeanette Girschner B.Sc.
Heinz-Georg Hornich
Dipl.-Ing. Enver Drubin
Ing. Stanislaw Weihmann B.A.
Alena Hänel
Edgar Jüttner
Univ.Prof. Antonina Becker
Geraldine Wagner
Univ.Prof. Pia Schlosser MBA.
Univ.Prof. Nermin Rosemann B.Sc.
Ladislaus Hande
Ottomar Hermann
Claudius Rust-Mans
Univ.Prof. Simona Holzapfel MBA.
Frau Annita Beckmann
Dr. Bernfried Schomber
Annegrete Jüttner
Konstanze Mohaupt
Eduard Ruppersberger
Prof. Heinz-Willi Lindau MBA.
Ingetraud Freudenberger
Ralph Fröhlich
Tibor Budig
Hans-Gerhard Döhn
Felizitas Werner
William Zirme
Dipl.-Ing. Waltraut Kallert
Karola Zorbach B.Eng.
Ursel Conradi
Prof. Ingetraud Seidel B.Sc.
Hedwig Briemer
Teresa Möchlichen
Heribert Steuer
Wieslaw Freudenberger
Jörn Barth-Möchlichen
Fedor Röhrdanz
Branka Speer B.A.
Claire Rogner-Scheel
Dr. Otto Schmidtke MBA.
Antonina Christoph MBA.
Sonja Löchel
Heinz-Peter Butte B.Eng.
Elwira Wirth
Sören Spieß
Martin Pechel-Freudenberger
Frau Annette Fiebig B.Eng.
Ralph Jacobi Jäckel
Dr. Elfie Tintzmann
Univ.Prof. Tabea Dörschner MBA.
Irina Mielcarek
Semra Fiebig
Stanislav Löffler MBA.
Erdal Tintzmann
Karlheinz Stahr
Valentine Bähr B.A.
Sandy Römer-Bien
Hans-Herbert Gutknecht
Stephan Haase MBA.
Enrico Kobelt-Klemt
Ann-Kathrin Mühle
Kathleen Hahn B.A.
Thies Birnbaum B.A.
Bozena Carsten B.Sc.
Anne-Katrin Lorch
Evelyn Ortmann
Friedrich-Karl Weimer
Harro Gunpf
Catrin Caspar
Prof. Sibel Wohlgemut B.Sc.
Athanasios Bloch
Irmtrud Schmiedt B.Sc.
Dr. Damian Scheel
Univ.Prof. Zita Löchel B.Sc.
Dipl.-Ing. Igor Henck B.A.
Marianne Heser
Frau Margit Gehringer MBA.
Ilse Krebs
Mareike Scholl
Britt Gorlitz
Friedrich-Wilhelm Stahr-Henck
Gerlinde Albers-Hörle
Margareta Dörschner B.Sc.
Mark Röhricht
Dr. Herbert Jockel B.Eng.
Univ.Prof. Amalie Warmer B.Eng.
Isa Rose
Sandro Täsche
Artur Kreusel
Bertold Stadelmann
Franz-Peter Benthin-Reichmann
Isabelle Förster-Beyer
Hansgeorg Klotz
Ing. Swen Ehlert
Dr. Edelgard Sauer B.Sc.
Ing. Anton Gotthard MBA.
Harold Bohlander B.Sc.
Johanne Kusch
Leokadia Finke-Dippel
Mariana Kranz
Prof. Angelique Seidel MBA.
Johann Liebelt MBA.
Susanna Beyer B.Eng.
Rahel Heidrich-Jüttner
Frau Tatiana Hande B.Sc.
Univ.Prof. Gisa Meister
Trudi Keudel B.A.
Guenter Wende
Univ.Prof. Wibke Reinhardt B.Eng.
Nadine Schleich
Prof. Marika Davids B.A.
Ing. Hanny Noack MBA.
Dr. Valentina Knappe
Simon Hahn
Ilse Nette
