Student
Gerhart Schenk MBA.
Janus Oderwald-auch Schlauchin
Dipl.-Ing. Klaus Geisler
Henny Stey
Riza Römer
Dominik Spieß
Univ.Prof. Friedl Peukert B.Eng.
Victoria Hiller
Ekaterina Wieloch
Ing. Cynthia Weihmann B.Eng.
Erhardt Loos
Ilja Hölzenbecher-van der Dussen
Erhard Otto
Elwira Wirth
Harriet Rohleder
Dajana Trapp-Kreusel
Dr. Silvio Täsche
Univ.Prof. Tilmann Pieper B.Eng.
Dr. Denise Girschner B.Sc.
Brunhild Müller
Erdal Bruder
Dipl.-Ing. Regine Renner
Irina Mielcarek
Dipl.-Ing. Ehrenfried Kranz MBA.
Anke Hettner
Univ.Prof. Gretl Langern B.A.
Theresia Paffrath
Isa Rose
Arnulf Süßebier
Erwin Weimer-Bohlander
Birgitta Beckmann-Thanel
Karl-Peter Hofmann B.A.
Svea Hartung B.Eng.
Heinrich Rogner
Balthasar Klemm
Madlen Steinberg
Natascha Gotthard
Andreas Gunpf
Darko Wilms
Univ.Prof. Kirstin Killer B.Eng.
Ulf Kensy MBA.
Heinz Dieter Trubin
Aleksandra Stey MBA.
Nelly Schlosser
Frau Maria Jopich
Jan-Peter Scheuermann-Jungfer
Frau Nuray Mangold MBA.
Jerzy Hermighausen-Lübs
Alena Neureuther
Lilija Döring
Käthe Langern-Jacob
Janko Stey MBA.
Charlotte Hecker B.Eng.
Ing. Marcel Gute
Silvia Lübs
Lioba Söding
Jerzy Wagenknecht B.A.
Aenne Mende B.Eng.
Emmy Bohnbach
Cecilia Stoll
Martina Hartung
Marie-Theres Jäkel
Dipl.-Ing. Berit Weinhage
Rita Käster B.A.
Tilly Pergande
Andreas Metz
Herr Recep Junk B.A.
Thomas Drub
Carmen Textor-Krebs
Annelise Steckel B.Sc.
Michelle Klingelhöfer B.Eng.
Sofie Staude
Dr. Hans-Hermann Rosemann B.A.
Judith Sorgatz
Traudl Christoph
Anatol Hübel
Dr. Mario Lorch
Aneta Schlosser-Köster
Anne-Marie Drewes
Mahmut Rose B.A.
Walli Jopich
Roy Schmidt B.Eng.
Dietlinde Binner
Dipl.-Ing. Salvatore Zänker MBA.
Josef Langern
Ignatz Franke
Rose-Marie Jäkel
Dr. Franco Stumpf B.Eng.
Luka Weimer-Beyer
Julie Schweitzer
Susan Riehl B.Sc.
Kilian Patberg
Ing. Marie-Therese Seifert
Ewa Kade
Celal Pohl
Herr Ignatz Boucsein MBA.
Univ.Prof. Gottlob Tröst B.Eng.
Tino Paffrath B.Eng.
Ditmar Bien
Dipl.-Ing. Slobodan Sölzer
Liane Kambs
Sören Trommler
Manja Stadelmann
Univ.Prof. Romuald Hermighausen
Josip Stey
Gislinde Lehmann
Kathi Etzler
Marie-Luise Zorbach MBA.
Univ.Prof. Gerhardt Dowerg B.Eng.
Thorsten Ruppersberger
Ing. Karl-Peter Weinhold B.Sc.
Ing. Nelli Hornig
Alida Tröst
Bärbel auch Schlauchin
Eleonore Kuhl-Koch
Herr Tony Lindner
Rigo Conradi
Olivia Thies B.A.
Paul Carsten
Ann Stumpf
