Student
Trudi Keudel B.A.
Gaetano Söding
Murat Meister
Prof. Wolf-Dietrich Schweitzer MBA.
Aurelia Dussen van MBA.
Heidemarie Köhler
Dr. Auguste Sager
Jörg Haase-Röhricht
Univ.Prof. Willfried Werner B.Sc.
Thorben Ruppert
Antje Drub
Herr Hartmuth Pruschke
Dr. Caroline Ortmann
Klaus-Werner Koch II B.Sc.
Cecilia Eigenwillig
Hedda Haase
Joachim Fischer
Prof. Marika Junken B.Eng.
Sinaida Heinz-Gnatz
Willy Reichmann
Willy Weiß
Yusuf Sontag
Lara Stroh
Thorsten Kensy B.Eng.
Micha Eckbauer B.Sc.
Hans-Christian Eimer
Harold Scheibe
Orhan Mude
Kathrin Johann-Schulz
Jaroslaw Seip
Dipl.-Ing. Hans-Erich Klemm
Leon Bauer
Dipl.-Ing. Fred Meister
Chantal Kade
Hanife Ullrich
Marit Thanel B.Sc.
Herr Vincenzo Liebelt
Marianne Heser
Sevim Textor-Schinke
Anatolij Kroker B.Eng.
Roman Hauffer
Carolina Ditschlerin
Univ.Prof. Markus Schottin
Vincenzo Haering
Ing. Gotthard Reuter B.A.
Asta Hesse
Rosi Renner-Graf
Ing. Alf Lachmann
Herr Wolfhard Hövel
Univ.Prof. Siegfried Karz B.Sc.
Ursel Conradi
Ditmar Pölitz B.A.
Jens-Uwe Schlosser
Gloria Schulz-Huhn
Frau Katarina Lindner
Janus Ring
Teresa Schomber B.A.
Jens Trub
Regine Häring
Helena Hettner
Marita Berger B.A.
Josip Hiller-Hauffer
Ing. Hulda Schaaf
Mareike Lübs
Birthe Graf
Annamaria Hänel-Zimmer
Frau Danielle Junk
Ing. Zoran Tintzmann
Jiri Förster
Thomas Kraushaar
Dr. Reinhart Hecker B.A.
Rebecca Oderwald
Egbert Bender
Emanuel Kitzmann
Paola Margraf
Prof. Hannah Hölzenbecher MBA.
Rosmarie Kambs MBA.
Andres Sager
Ing. Hans Peter Schenk B.A.
Faruk Birnbaum
Leonhard Patberg
Prof. Ana Textor
Burkhard Schweitzer
Dittmar Graf
Sigmar Zobel
Hans-Günther Kohl B.Eng.
Ralf-Dieter Rörricht B.Eng.
Dipl.-Ing. Margarita Stey
Kunigunda Zimmer
Cäcilie Haase
Dipl.-Ing. Georgine Adolph B.Eng.
Cynthia Langern
Anica Austermühle
Constantin Jacob B.Sc.
Kordula Kambs B.Eng.
Magdalene Mude
Frau Belinda Plath B.A.
Fatima Röhrdanz
Gertrude Bärer
Antonietta Barth
Gitte Rohleder-Bruder
Frau Ellinor Tintzmann
Siegrid Hande
Günter Wiek B.A.
Bettina Lachmann
Hanns Zänker B.A.
Rosi Spieß
Nicolai Röhricht-Spieß
Cilli Gorlitz
Jana Langern
Dipl.-Ing. Elisabeth Wiek
Gereon Trapp
Hugo Junken
Miroslawa Jäkel-Bohnbach
Jacqueline Hofmann
Malte Kallert-Möchlichen
Prof. Trude Schäfer MBA.
Adina Söding
Hedda Mielcarek
Dipl.-Ing. Nikolaus Conradi MBA.
Julia Ruppersberger
Eckehard Nette
Manuel Hering-Jäntsch
Trude Scholtz B.A.
Martine Zobel
Milka Scholl
Hendrik Gehringer
Virginia Eigenwillig
Apollonia Trüb B.A.
Teresa Schönland
Achim Etzold MBA.
Hanspeter Koch II-Wohlgemut
Recep Hecker
Dipl.-Ing. Wenzel Hellwig B.Sc.
Cosimo Zimmer
Geert Zänker
Horst-Dieter Gude
Ing. Cord Hermighausen B.Eng.
Catrin Förster B.A.
Anneli Schleich-Ullmann
Anni Dietz-Blümel
Gisela Schwital-Scheel
Ing. Tilman Kitzmann
Karl-Georg Zahn
Vincenzo Steinberg B.Sc.
Eberhardt Mielcarek
Alexej Wagner
Univ.Prof. August Gunpf B.A.
Mareen Mies B.Eng.
Liesbeth Koch II
Elfie Preiß
Alwina Neureuther
Adem Schleich
Eva-Marie Berger MBA.
Zita Klemt
Dipl.-Ing. Lotte Austermühle B.A.
Ing. Henrike Kramer
Ljiljana Rädel
Fatma Hesse
Larissa Ullmann
Alfredo Möchlichen
Prof. Ahmad Rörricht
Mechtild Patberg
Elmar Förster
Mariusz Wilmsen B.A.
Anna-Luise Seip-Hofmann
Heinrich Döring
Gloria Bruder B.A.
Magdalena Warmer MBA.
Hansgeorg Hettner
Jaqueline Weitzel-Pölitz
Gönül Steinberg
Annemie Herrmann
Prof. Mathias Kambs
Dr. Aldo Fritsch
Dr. Tony Ditschlerin
Heidemarie Kreusel
Filippo Hermann
Kaspar Junken
Jorge Weitzel
Roswita Sauer
Isidor Niemeier
Julia Heinrich
Marco Kostolzin-Bruder
Karl-Dieter Speer
Frau Margitta Staude
Anka Gieß
Heidelore Stolze
Marzena Mentzel
Lydia Schenk
Dr. Ottfried Lachmann B.Sc.
Friedrich Bolnbach-Gnatz
Woldemar Bolzmann B.A.
Heinz-Jürgen Adolph
Raisa Scholtz
Frau Gertrud Jüttner
Univ.Prof. Romana Hiller
Hans-J. Neureuther
Dierk Dörr
Lydia Wirth
José Gröttner B.Sc.
Wiebke Gehringer
Maja Jungfer
Rudi Schacht
Dipl.-Ing. Eberhardt Fechner
Marijan Killer
Walburga Junk
Magdalena Tintzmann B.Sc.
Gesche Kühnert
Ralph Jacobi Jäckel
Mina Segebahn B.A.
Ing. Therese Rust
Friedrich-Wilhelm Metz
Patrik Ditschlerin
Frau Antonina Kitzmann
Senol Langern
Brunhilde Tröst
Aleksander Wagner-Barth
Ing. Jenny Oestrovsky
Ekaterina auch Schlauchin
Ekaterina Conradi
Danny Gumprich
Regina Becker
Claire Faust B.A.
Ing. Emanuel Tintzmann
Ilja Wende
Jürgen Herrmann-Koch
Theresa Schüler
Georgia Liebelt
Hanspeter Juncken
Leszek Hentschel
Alf Jüttner
Verena Davids
Dipl.-Ing. Ernst-Dieter Harloff MBA.
Vanessa Hornig
Harro Söding
Dursun Gehringer
Meinhard Schuster
Bernt Jessel
Eleni Matthäi
Prof. Mechtild Steuer
Oxana Henschel
Osman Liebelt
Kuno Mälzer B.Eng.
Natali Patberg B.A.
Prof. Irma Bien B.Eng.
Alwine Bien
Oskar Rosemann
Prof. Josefa Beier B.Sc.
Dipl.-Ing. Lidija Pölitz
Senta Weihmann
Univ.Prof. Betty Conradi B.A.
Karl Heinz Eigenwillig
Mijo Seidel B.Sc.
Luka Zorbach
Dr. Danica Scheuermann B.Sc.
Mariola Heinrich
Karl-August Döhn B.A.
Claus-Peter Flantz
Karoline Carsten
Fredi Wilmsen
Univ.Prof. Olivia Gnatz MBA.
Eugenie Benthin-Ziegert
Stavros Schinke
Daniela van der Dussen B.Eng.
Alexandra Butte
Carina Killer
Isabell Briemer
Clara Gehringer
Timo Butte
Klothilde Blümel B.A.
Bruno Hethur
Dr. Annelies Stumpf
Ing. Gregor Lindau
Camilla Gunpf
Gerold Schuchhardt B.Sc.
Hans-Bernd Trubin-Klemt
Heinz-Otto Hermighausen
Sigmund Kensy
Gitte Buchholz
Anica Kade-Steuer
Benjamin Jäntsch B.Sc.
Catharina auch Schlauchin
Ilonka Zimmer
Dipl.-Ing. Karsten Fechner
Herr Andy Förster B.A.
Jan-Peter Scheuermann-Jungfer
Ellen Gutknecht
Claudius Rust-Mans
Mareile Löwer
Irmtraud Hauffer-Matthäi
Burghard Wohlgemut
Darius Gieß
Arnim Bärer
Herr Rüdiger Ruppersberger
Cynthia Linke
Sina Mende
Dr. Theresia Mende
Florence Davids
Carla Schacht
Univ.Prof. Frieder Döhn MBA.
Gottfried Keudel MBA.
Calogero Hoffmann B.Eng.
Ira Scholz-Pohl
Fredi Jäntsch
Ing. Ortrun Weimer
Prof. Klaus-Ulrich Boucsein MBA.
Regina Ring
Miroslawa Jessel B.Sc.
Louise Jessel
Daria Liebelt
Agathe Söding
Philippe Wähner
Friedericke Lehmann B.Sc.
Ing. Gerold Mende
Songül Tschentscher
Nuri Jopich
Peggy Rogge-Lachmann
Univ.Prof. Petra Scheel
Friedrich Austermühle-Döring
Dr. Samuel Dobes B.Sc.
Prof. Marten Söding B.A.
Prof. Jürgen Blümel B.A.
Cornelia Römer
Agata Hertrampf
Maritta Bien
Klaus-D. Segebahn
Hans-Gerhard Staude
Dipl.-Ing. Hildegunde Bachmann
Krista Putz
Hans-Martin Junk-Kuhl
Ing. Catrin Dippel MBA.
Nikolas Hövel
Klaus-Dieter Meister
Falk Höfig
Brita Jäkel
Prof. Ingbert Nette
Dr. Leopoldine Kostolzin
Ing. Hansgeorg Jockel B.Eng.
Aloys Barkholz
Herr Hans Peter Jacob
Aleksander Drub
Dietlind Anders B.A.
Dietrich Bien
Silvia Henschel
Arnfried Lorch B.A.
Ing. Thomas Drewes B.A.
Veronique Hartung-Haering
Elfi Kranz
Zita Ullmann-Heydrich
Sina Wulff-Dussen van
Britta Nerger B.Eng.
Dr. Diedrich Krebs B.A.
Kasimir Lindau
Marlies Beckmann
Anto Kobelt-Kobelt
Hans-Günther Eimer
Maren Anders
Leokadia Oestrovsky
Lambert Misicher-Dörschner
Marga Vogt
Inge Kabus
Ing. Amalia Walter
Nadeshda Mentzel
Lena Dowerg
Gülay Haase
Dr. Marija Stiebitz
Gerolf auch Schlauchin
Kevin Trubin
Fredy Birnbaum-Kensy
Sieghard Stoll-Harloff
Birger Becker
Philippe Geisler
Ing. Hans-Heinrich Reichmann B.Sc.
Dipl.-Ing. Emmy Börner
Dipl.-Ing. Melanie Kreusel B.A.
Hans Josef Striebitz
Monika Mühle-Hiller
Janos Kobelt-Henck
Rene Lindau-Jäkel
Jeanette Speer
Hansjürgen Faust
Dipl.-Ing. Mariechen Bonbach
Eckard Textor
Cemal Hamann
Annett Mies-Hellwig
Julian Lehmann-Ortmann
Danilo Hein-Scheibe
Prof. John Jessel
Tabea Rogge
Dr. Samuel Tröst
Beatrice Käster
Univ.Prof. Fatima Hiller B.A.
Evi Oestrovsky
Waltrud Jacob
Univ.Prof. Aleksander Wiek B.A.
Guenter Wende
Gerhart Staude
Recep Weihmann
Willi Birnbaum
Siegmund Heidrich
Ismail Koch
Ayse Thies B.Eng.
Dr. Torben Stey
Alina Finke
Ingried Ullmann
Alicja Gieß
Angelique Speer B.A.
Benno Kraushaar
Hulda Seidel-Carsten
Ewa Kade
Ismail Steinberg
Filiz Bähr
Frau Gilda Ebert
Heinrich Rogner
Hans Georg Gorlitz-Schäfer
Ing. Mariechen Nerger B.Eng.
Magda Berger B.A.
Thilo Tschentscher
Ewald Dussen van
Prof. Eckhart Jockel B.Eng.
Jakob Seifert
Frau Zdenka Boucsein B.Eng.
Dipl.-Ing. Margarete Schmidt
Gabriella Schuster
Eckard Dehmel MBA.
Herr Tomislav Ladeck
Joseph Austermühle
Clarissa Adler
Dipl.-Ing. Emanuel Nette
Mark Sauer B.A.
Traugott Hövel
Lorenz Schüler B.A.
Univ.Prof. Luka Mende
Joana Preiß
Herr Wieslaw Trupp
Nancy Hartmann-Schottin
Veronika Kruschwitz B.A.
Univ.Prof. Jens Weinhage
Jadwiga Gierschner-Schulz
Hilmar Graf
Frau Hildegunde Koch II
Dipl.-Ing. Patric Fröhlich
Ramon Salz
Gottfried Martin-Martin
Liesel Klapp
Gerwin Bonbach-Fliegner
Prof. Katalin Lindner B.Eng.
Vlado Kramer B.Eng.
Nicolaus Seifert B.A.
Tomislav Steckel
Elke Hiller
Hajo Thies
Thorben Henk-Mende
Ottilie Hartung
Sinaida Roskoth B.A.
Heinrich Köster
Alwin Schaaf
Zeljko Meyer
Elfi Harloff
Annamaria Margraf
Dr. Filippo Eberhardt B.Eng.
Ing. Meinhard Schweitzer
Gerhart Hentschel
Paolo Weller-Heinrich
Gordana Bolnbach
Natascha Eigenwillig
Siegrid Segebahn
Jutta Franke-Rosenow
Karl-Hans Schuchhardt-Mohaupt
Angelo Schmidtke
Ing. Denny Mende
Waldemar Hendriks
Marlene Heuser-Trub
Diether Dussen van-Rohleder
Franjo Löffler B.Eng.
Karlfried Karge-Wieloch
Kazim Rohleder
Guido Junck
Käthe Langern-Jacob
Elizabeth Budig
Lothar Fischer
Willibald Seidel
Liselotte Lindau
Sibilla Bachmann
Theda Stumpf B.Eng.
Erwin Jungfer
Dr. Ehrhard Gieß B.Sc.
Herr Rudi Neuschäfer
Süleyman Wende
Univ.Prof. Gönül Meister B.Sc.
Helene Gröttner-Hornich
Luka Binner
Magrit Lange
Edgar Karge
Herr Herbert Dowerg
Drago Gierschner B.Eng.
Ingried Hänel
Prof. Irmhild Fritsch
Dimitrios Fiebig
Mandy Huhn B.A.
Milica Reichmann
Dr. Alma Warmer MBA.
Leander Dobes-Schlosser
Pius Römer MBA.
Maria Mans B.Eng.
Lisbeth Hentschel
Prof. Cora Bolander
Ernst-August Gutknecht
Dr. Frederike Hering B.Eng.
Frau Florence Ditschlerin B.Eng.
Roger Wagenknecht
Reimer Kitzmann
Prof. Sofie Gröttner
Eveline Kruschwitz B.Sc.
Dr. Tim Hornig B.Sc.
Hanne-Lore Losekann B.Sc.
Karina Tschentscher-Butte
Prof. Bela Noack
Maurizio Eckbauer
Michaela Döhn
Rosalinde Losekann
Reimund Eimer
Oxana Lübs
Hans-Detlef Bender
Univ.Prof. Gustav Sölzer
Frithjof Mielcarek MBA.
Ing. Marko Linke
Andreas Birnbaum-Kallert
Dagobert Rogge
Julian Dussen van B.Eng.
Frau Kirsten Geißler
Klaus-Ulrich Blümel B.A.
Bertram Eigenwillig
Leokadia Herrmann
Wolfhard Kensy
Ing. Torsten Hartung B.Eng.
Alessandro Werner
Ernst-Dieter Geisler B.Eng.
Lidija Pärtzelt
Irmtraut Wende
Dr. Erkan Stroh
Herr André Scholl B.Sc.
Günther Mude B.A.
Hanspeter Benthin
Arnfried Scheuermann
Alessandro Henk-Käster
Dipl.-Ing. Patric Johann
Paula Stroh
Dajana Meyer
Mike Krein
Rolf-Dieter Jacobi Jäckel-Nerger
Janine Müller-Steckel
Juergen Beier B.A.
Sabine Gude
Adolfine Wilms
Dr. Jacqueline Trubin B.Sc.
Ulrike Klemt B.Sc.
Ing. Rotraud Schmidt
Celal Seifert
Reimar Klemm MBA.
Erkan Kuhl-Oestrovsky
Inna Winkler
Steven Trub
Univ.Prof. Änne Finke B.Sc.
Hildegunde Dörr
Detlev Weihmann-Schäfer
Marliese Drubin
Univ.Prof. Tina Rose
Sinaida Ruppersberger
Eva-Marie Hendriks
Selim Pieper
Univ.Prof. Mira Riehl
Leonardo Trub B.A.
Mirko Bolander
Edda Gertz B.Eng.
Valentine Tschentscher
Prof. Gabriella Holt B.Eng.
Magdalene Hering MBA.
Ing. Eugenie Birnbaum
Mohammed Geißler
Edward Dippel
Sibille Kallert
Reinhold Schäfer-Eimer
