Student
Univ.Prof. Änne Finke B.Sc.
Traugott Textor-Wagenknecht
Czeslaw Bohnbach B.Eng.
Maximilian Hellwig
Phillip Rosemann-Bachmann
Marcel Stumpf
Willi Heinz
Diedrich Lachmann-Oestrovsky
Roselinde Metz MBA.
Olivia Nerger B.Eng.
Pius Römer MBA.
Prof. Mathias Kambs
Henry Schüler B.Eng.
Hans-Martin Drewes
Herr Eberhardt Gierschner
Hedi Butte-Neuschäfer
Dipl.-Ing. Jaqueline Striebitz
Henni Keudel B.Sc.
Erdal Meyer B.A.
Anna Linke
Jadwiga Karge
Ing. Fredi Löffler
Ing. Elenore Kostolzin
Univ.Prof. Kirstin Killer B.Eng.
Bruni Freudenberger
Marliese Becker
David Faust-Holsten
Prof. Linda Beier
Heinrich Döring
Ehrentraud Biggen-Kreusel
Dr. Klothilde Lachmann B.A.
Sophie Scheibe
Univ.Prof. Nadja Jacob B.Eng.
Ralph Jessel B.A.
Saskia Heidrich
Klaus-Peter Gieß-Winkler
Univ.Prof. Ron Rörricht
Francoise Freudenberger-Stey
Erna Kensy-Bähr
Sigmund Conradi
Anika Holsten
Benita Hahn-Wieloch
Philipp Killer B.A.
Friedemann Stoll
Gernot Kobelt
Ralf-Dieter Rörricht B.Eng.
Frau Francesca Blümel
Kreszenz Ruppert-Dobes
Notburga Huhn
Wiltrud Christoph
Änne Schweitzer-Putz
Marlies Beckmann
Stefano Koch B.Eng.
Marieluise Kruschwitz
Veli Junitz
Mareike Wilmsen
Günter Löwer
Tatjana Käster-Schüler
Friedemann Kostolzin
Henny Vogt
Gero Gumprich B.Sc.
Tatiana Kade-Rust
Henry Austermühle
Prof. Bianka Reinhardt
Andrea Hamann
Prof. Sylvester Bender
Herr Hermann-Josef Hauffer
Franz-Peter Preiß B.A.
Franz-Xaver Bachmann
Wiebke Hölzenbecher
Dr. Francisco Hänel
Wilhelm Metz
Ing. Cosimo Steinberg
Heinz Dieter Zirme
Univ.Prof. Hiltrud Löwer
Veli Rädel
