Student
Heinz-Werner Briemer B.A.
Prof. Hansjürgen Langern
Ralph Jessel B.A.
Magnus Heidrich
Dagobert Bohnbach
Alexej Röhrdanz
Ralf-Dieter Kroker
Univ.Prof. Ahmet Birnbaum MBA.
Artur Briemer
Sofia Hethur
Walfried Wohlgemut B.Eng.
Thomas Drub
Tilman Eberhardt
Susanna Beyer B.Eng.
Kunigunda Zimmer
Dr. Silvio Täsche
Ioannis Klemt
Univ.Prof. Beatrix Roskoth
Regina Becker
Elfie Preiß
Nadia Steckel
Mary Reuter B.Sc.
Ing. Siegmar Meyer B.A.
Curt Mühle
Arnfried Lorch B.A.
Nadine Schleich
Dr. Lilly Conradi B.Sc.
Abram Scholz B.Sc.
Gerhart Hentschel
Rocco Rosemann B.A.
Lieschen Röhricht MBA.
Hans-Otto Trubin B.Eng.
Herr Jacek Budig B.Eng.
Mesut Trommler
Nadeshda Mentzel
Samir Wähner-Butte
Nadine Sauer
Romy Zahn-Bien
Tomislav Steckel
Tülay Fiebig
Kira Eckbauer
Andreas Gunpf
Kazim Rohleder
Johann Oestrovsky
Jelena Löffler
Marlen Hesse
Agnes Vollbrecht
Dr. Hildegund Gnatz B.Eng.
Martina Hartung
Konstanze Zänker MBA.
Frau Aleksandra Bähr B.Eng.
Gülay Haase
Franjo Junitz-Hahn
Erol Röhrdanz
Dr. Annekatrin Striebitz
Massimo Dörschner
Urs Ebert
Dipl.-Ing. Julian Mühle
Ing. Carolin Matthäi
Hans-Herbert Walter
Fredi Wilmsen
Radmila Schomber B.Eng.
Janko Rose
Univ.Prof. Lissi Schomber
Agathe Söding
Wenke Patberg
Eitel Hethur
Gunhild Meister
Silvio Weimer
Luigi Hartung
Dipl.-Ing. Sandro Bärer B.A.
Ing. Mahmoud Becker
Regina Hamann B.Sc.
Dr. Karla Christoph
Lia Heydrich
Pawel Schlosser
Ing. Alwine Scholz
Madeleine Thanel MBA.
Zenta Mende
Anke Bähr
Alwina Neureuther
Ing. Mike Stolze
Prof. Reza Ebert B.Eng.
Anatolij Junk
Hermann Josef Börner
Prof. Magda Textor
Univ.Prof. Hans-Theo Kroker
Ing. Leonid Budig B.A.
Anke Hettner
Hannes Meyer
Vassilios Trommler-Gieß
Dorina Dippel
Carin Atzler
Wiebke Hölzenbecher
Christos Beier
Stavros Ortmann
Ricardo Hesse
Ing. Lisette Kaul B.A.
Univ.Prof. Romana Hiller
Antonia Stey
Hannes Jäntsch
Herr Goran Paffrath
Marit Thanel B.Sc.
Traudl Gierschner
Irmtrud Klingelhöfer
Uwe Schwital MBA.
Prof. Natalja Käster MBA.
James Nohlmans
Prof. Hannah Hölzenbecher MBA.
Petra Wagner
Änne Boucsein B.Sc.
Ibrahim Ditschlerin
Nuray Aumann
Herr Andy Förster B.A.
Rose-Marie Schüler
Marie-Louise Hendriks-Dörschner
Miroslawa Jäkel-Bohnbach
Univ.Prof. Arne Hoffmann
Valerie Kallert B.A.
Wendelin Schäfer B.Sc.
Ing. Pamela Gerlach
Svenja Langern
Oxana Linke B.Eng.
Lidija Löchel B.A.
Dipl.-Ing. Gilbert Plath B.Sc.
Virginia Textor
Denis Ruppersberger
Catherine Cichorius
Janet Ullrich
H.-Dieter Gerlach
Hans-Christian Eimer
Ben Ullmann MBA.
Daniela Schweitzer
Robin Schuchhardt-Reichmann
Helge Finke-Wähner
Melitta Salz
Diedrich Scheel-Hübel
Frau Ilka Pärtzelt B.Eng.
Mia Paffrath-Ortmann
Heinz-Walter Juncken
Metin Hande
Univ.Prof. Reginald Lorch
Malte Kallert-Möchlichen
Alfredo Möchlichen
