Student
Prof. Emine Wulf B.Eng.
Ing. Alexandros Vogt MBA.
Annie Schlosser
Natalia Fröhlich-Kabus
Ariane Roskoth
Vassilios Trommler-Gieß
Gerald Albers-Jähn
Dipl.-Ing. Agatha Pruschke
Annemie Kade-Kuhl
Prof. Alina Barth
Elfriede Gnatz
Ing. Zoran Tintzmann
Birgid Nohlmans
Gottlob Römer
Fabienne Holt MBA.
Frau Inken Seip B.Eng.
Jorge Killer
Fritz Schenk B.A.
Karl Heß
Prof. Friedo Reuter
Friederike Sölzer-Hentschel
Wilfriede Ziegert
Hans Kohl MBA.
Imre Mülichen
Dipl.-Ing. Sigrun Neuschäfer B.Sc.
Necati Koch
Hans Georg Niemeier
Ing. Kristina Biggen
Jaroslaw Eckbauer
Ferenc Trüb B.A.
Univ.Prof. Oscar Lindau MBA.
Annaliese Heser B.Sc.
Marie-Luise Zorbach MBA.
Gabi Heinz
Konrad Schuster
Frau Herlinde Kade B.A.
Urs Bähr
Francesco Nerger
Hubert Hertrampf
Ahmad Fechner-Wulff
Abdul Trüb MBA.
Hildegunde Geißler-Klemm
Univ.Prof. Giovanna Bachmann B.Eng.
Gislinde Wagenknecht
Adelheid Schmidtke
Helene Keudel
Cordula Schmiedecke-Wilms
Stjepan Hofmann-Hethur
Prof. Klaas Geißler B.A.
Ferenc Bolzmann-Girschner
Alicia Ring
Dr. Elif Peukert B.Eng.
Sonja Löchel
Karl Heinz Stiebitz
Elma Heser
Wilhelmine Knappe
Margita Hartung-Zänker
Regina Fliegner
Ing. Sibel Mies
Torben Säuberlich-Linke
Jacek Täsche
Prof. Sylvester Bender
Zenon Pärtzelt
Herr Leonid Röhricht MBA.
Melanie Hauffer
Hans-Wolfgang Harloff
Corina Pergande
Lars Weller
Ria Stroh
Heinz-Georg Rosemann-Bohnbach
Dorothea Kroker-Misicher
Semra Gorlitz
Fredy Hiller
Käthi Löffler
Rolf-Dieter Preiß
Marisa Hartmann-Kusch
Liane Reuter
Gottfried Keudel MBA.
Jurij Bärer
Guiseppe Tschentscher
Elvira Gute-Käster
Angela Weimer B.A.
Anneli Neuschäfer
Janet Jüttner
Alois Jungfer B.Eng.
Leszek Wagner-Häring
Gino Ernst
Norma Jungfer
Henriette Sager
Univ.Prof. Petra Scheel
Sylvio Stiffel
Hans-Werner Mohaupt
Dipl.-Ing. Gerdi Wende
Stanislav Löffler MBA.
Univ.Prof. Alexa Junitz B.Eng.
Kläre Mohaupt-Salz
Gislinde Klapp B.Sc.
Piotr Hande
Univ.Prof. Gustav Sölzer
Hans-Detlef Kobelt
Kreszenz Beier
Wolf-Dieter Sölzer-Putz
Univ.Prof. Jaqueline Dehmel
Celal Hettner MBA.
Dr. Peer Schwital MBA.
Prof. Urs Flantz
Josip Kuhl
