Student
Herr Andy Förster B.A.
Univ.Prof. Marjan Graf B.Sc.
Hans-Hinrich Trub
Alina Finke
Ing. Andrew Nerger
Frau Swantje Heinrich B.A.
Erna Kensy-Bähr
Mariusz Baum
Käthe Langern-Jacob
Tomas Tlustek
Detlev Weihmann-Schäfer
Dr. Ursel Gute
Meral Liebelt
Lilo Scholz
Univ.Prof. Romana Hiller
Ing. Hanne-Lore Ackermann
Bozena Meyer
Cord Benthin
Alida Trupp
Dipl.-Ing. Patricia Werner B.Sc.
Ismail Geisler
Ralf-Peter Schacht
Ing. Arndt Schäfer
Tibor Schleich
Ing. Georgia Rogner
Tibor Budig
Herr Swen Kraushaar B.A.
Ing. Rosalinde Rogner MBA.
Annette Ullmann
Univ.Prof. Adelbert Zimmer
Evi Heuser
Timm Wende
Tabea Birnbaum
Beatrix Gehringer
Dipl.-Ing. Mareike Noack B.Sc.
Bogdan Pohl
Prof. Marijan Hoffmann
Theo Neuschäfer
Univ.Prof. Milan Hande
Ulrike Misicher MBA.
Wanda Stoll B.A.
Hildegart Scheel B.A.
Marietta Heinrich
Reinhilde Metz
Gertraude Ruppersberger
Alfredo Möchlichen
Eleonore Kuhl-Koch
Heinz-Willi Geisel
Veit Beckmann
Marit Söding
Ernst-Dieter Geisler B.Eng.
Irmtraut Noack
Änne Schweitzer-Putz
Susanna Söding
Henni Wagenknecht B.Sc.
Gilbert Peukert B.Eng.
Peer Grein Groth-Lange
Urban Klemt
Hanife Thies
Dipl.-Ing. Adem Gerlach
Alicja Gieß
Horst-Peter Ritter
Lorenzo Hornig
Dr. Editha Rohleder
Helen Hahn
Dipl.-Ing. Julian Mühle
Dr. Alma Warmer MBA.
Ilonka Lange
Massimo Dörschner
Frau Silvana Bolzmann B.Eng.
Swantje Heinz
Frau Xenia Blümel
Edda Salz
Baldur Käster B.A.
Cora Reichmann B.A.
Leopold Jungfer
Dipl.-Ing. Annelise Naser
Dr. Jorge Kambs B.A.
Cilli Röhricht
Frau Magarete Mans B.Sc.
Ing. Swen Ehlert
Fadime Heidrich B.A.
Edda Gertz B.Eng.
Dr. Elly Junk
Vito Gorlitz
Wibke Cichorius
Dr. Walburga Kobelt B.Eng.
Angelo Röhrdanz
Waltrud Scholl
Lili Birnbaum
Fabienne Birnbaum
Tobias Wirth
Goran Benthin
Heinz-Josef Meister
Ilka Lachmann
Gusti Henschel
Prof. Riza Niemeier
Alexander Hörle
