Student
Thomas Hänel
Filiz Bähr
Karl-Hans Weinhold-Noack
Florence Schulz
Thilo Patberg
Tino Niemeier
Michel Heß
Herr Vinzenz Jäntsch B.A.
Rocco Rosemann B.A.
Anto Tröst-Schäfer
Veli Junitz
Ernst-August Gunpf
Wulf Schuster
Vitus Pruschke B.A.
Gertraude Hahn
Johannes Freudenberger
Univ.Prof. Sebastian Sontag
Liesa Sauer
Dipl.-Ing. Margarethe Holt MBA.
Sina Mende
Herr Konstantin Neureuther B.A.
Achim Etzold MBA.
Gerald Hendriks
Heimo Gorlitz B.A.
Hildegund Ruppersberger
Prof. Siegbert Scheuermann B.A.
Anselm Dowerg
Gitta Berger
Justus Schleich-Drewes
Lydia Wirth
Regina Ring
Alban Butte
Betti Adolph
Vadim Jacobi Jäckel
Aenne Hübel-Mühle
Günter Wiek B.A.
Gilbert Peukert B.Eng.
Mirko Eckbauer
Univ.Prof. Inga Hermighausen B.Eng.
Jörg-Peter Jüttner-Winkler
Frau Käte Zahn
Sylvester Neuschäfer-Schacht
Linda Ziegert-Junken
Isabelle Förster-Beyer
Ole Losekann
Ljiljana Stoll
Carolina Ditschlerin
Alwin Schaaf
Bianca Mans
Georg Misicher
Manuel Stolze MBA.
Torsten Schwital-Gude
Bogdan Zirme
Prof. Reza Ebert B.Eng.
Dipl.-Ing. Edda Barth MBA.
Evi Oestrovsky
Danny Gumprich
Brit Anders
Vincenzo Steinberg B.Sc.
Erdal Meyer B.A.
Cilli Lindau B.A.
Anneke Jähn
Jadwiga Gotthard
Markus Eimer
Mirjam Stumpf
Dr. Lea Kraushaar B.Eng.
Dipl.-Ing. Katarina Schmidtke
Gunter Schenk B.Sc.
Rouven Ziegert
Annelie Bloch
Univ.Prof. Nadeshda Oestrovsky
Gunar Börner
Herr Laurenz Häring
Hartmut Zirme
Karl-Heinrich Jacob
Magarete Schomber
Jessika Käster
Dipl.-Ing. Berend Niemeier
Insa Jacobi Jäckel
Christos Bolander
Hans Peter Beckmann
Prof. Swen Benthin MBA.
Theodor Bolnbach-Kroker
Herr Hans-Ludwig Steinberg
Lisbeth Karge
Univ.Prof. Natalie Flantz
Bettina Schlosser
Valerij Schulz B.A.
Tabea Rogge
Evi Wilmsen MBA.
Kunigunda Hamann-Hermighausen
Waltraud Trapp-Pechel
Constantin Jacob B.Sc.
Karl-Heinz Buchholz
Ing. Chantal Schleich B.Eng.
