Student
Ulla Hamann
Gerda Eberhardt B.Sc.
Josefa Junk
Anton Müller
Heinz-Günter Weimer B.Sc.
Dusan Ruppersberger B.Sc.
Leo Gunpf-Bolzmann
Jasmina Heuser
Istvan Scheuermann
Ralf-Peter Ebert
Vincent Kranz B.A.
Dr. Elif Peukert B.Eng.
Reimund Eimer
Marko Trupp
Karlfried Müller
Michel Heß
Heinz-Josef Conradi-Klapp
Thies Birnbaum B.A.
Luitgard Weiß-Rörricht
Zbigniew Höfig B.Eng.
Antoinette Schottin
Emin van der Dussen
Christof Ditschlerin
Albina Stadelmann
Niklas Scholtz
Marliese Becker
Evangelia Harloff B.A.
Agata Hertrampf
Kristin Jacob
Heino Römer
Fredo Bärer
Frau Danica Davids B.A.
Magdalene Hering MBA.
Rainer Scheel B.Eng.
Reinhardt Pärtzelt
Rosa Kobelt
Univ.Prof. Melita Langern
Robin Junk-Henk
Dipl.-Ing. Eberhardt Fechner
Ulrike Albers
Dipl.-Ing. Adele Huhn MBA.
Peggy Rogge-Lachmann
Dipl.-Ing. Freya Höfig
Kenan Pieper
Mariana Wirth
Anka Jäkel-Ackermann
Gerwin Bonbach-Fliegner
Nermin Jopich
Nadin Stiebitz B.Eng.
Katherina Hesse
Marie Hoffmann B.Sc.
Abram Gunpf
Edda Henschel
Anna-Luise Seip-Hofmann
Dipl.-Ing. Sarina Dörr
Ing. Marko Linke
Heimo Karge-Freudenberger
Lieselotte Dussen van MBA.
Prof. Ricardo Kensy
Wolf-Dieter Rudolph-Bruder
Edward Dippel
Margitta Wulf-Nerger
Lilli Atzler
Gaby Bähr
Univ.Prof. Sergio Kreusel MBA.
Herr Erich Rosenow
Ralph Jessel B.A.
Zehra Putz
Univ.Prof. Gesa Loos
Dr. Timo Ernst
Frauke Söding
Olaf Wesack
Bernt Jessel
Univ.Prof. Ivonne Haase B.Sc.
Irmtraut Mülichen B.A.
Ludmila Löffler
Eberhard Junitz
Christiana Bauer
Alicia Kroker
Fredi Meyer-Weiß
Curt Jopich
Janos Winkler B.A.
Conrad Killer
Jurij Zimmer
Matthäus Hübel
Zeki Otto
Hans-Rudolf Dehmel
Paul-Gerhard Gunpf
Horst-Peter Ritter
Maria Hellwig
Univ.Prof. Liliana Niemeier B.Eng.
Univ.Prof. Nikola Graf MBA.
Gabor Pechel-Junken
Toni Dehmel-Striebitz
Ing. Gotthard Reuter B.A.
Elena Gotthard
Sami Linke B.A.
Nikolaos Ebert-Grein Groth
Ing. Baldur Blümel MBA.
Marlen Schenk-Schuchhardt
Ralf-Dieter Kroker
Aurelia Dussen van MBA.
Anja Meyer B.A.
Ing. Mariechen Nerger B.Eng.
Saban Eimer
Salvatore Eberhardt-Ring
Martha Dowerg
Fredy Birnbaum-Kensy
Helen Hein B.A.
Caren Neureuther
Kläre Beier B.A.
Berthold Haase-Trub
Georg Nerger
Ronald Rädel
Rosa Rosenow B.Eng.
Klaus Dieter Rädel
Darius Loos
Sonja Paffrath-Reichmann
Ing. Janin Winkler MBA.
Dursun Gehringer
Frau Melita Huhn
Waltraud Trapp-Pechel
Prof. Folkert Ernst MBA.
Anny Wagenknecht
Marijan Huhn
Frank-Peter Ullmann
Ignatz Franke
Dr. Annette Linke MBA.
Prof. Walter Pechel
Dr. Alena Hövel
Sinaida Adolph
Univ.Prof. Ivo Mies
Wally Wähner
Katalin Butte
Heimo Hübel MBA.
Ben Bonbach B.A.
Ing. Jeanette Rosemann B.Eng.
Annegret Holt-Heuser
Dr. Hedda Radisch
Prof. Loretta Speer MBA.
Univ.Prof. Alois Jähn B.Eng.
Svenja Langern
Ansgar Seidel
Hans Peter Beckmann
Dörte Warmer
Ing. Gundi Boucsein B.Sc.
Dr. Saban Hoffmann B.Eng.
Viviane Kensy
Gert Fischer
Dipl.-Ing. Ingolf Krein
Brita Jäkel
Waltraud Wernecke
Arnfried Lorch B.A.
Dr. Sybille Bärer B.Sc.
Elmar Fröhlich
Dr. Elena Kade B.Sc.
Cäcilie Schmidt
Eberhardt Fiebig
Anatolij Keudel
Susann Henk
Sylvana Hornich MBA.
Dr. Wolf-Rüdiger Trüb
Univ.Prof. Fedor Eimer
Prof. Sylvio Gumprich
Mercedes Sauer
Wolf-Dietrich Berger
Gaby Noack
Marten Wesack
Luka Binner
Hans-Jürgen Klemm
Dr. Evangelia Killer B.Sc.
Helmtrud Neureuther
Hans-Hermann Haering
Herr Karl Dippel B.A.
Gotthilf Gehringer B.A.
Kay-Uwe Jähn-Schwital
Dipl.-Ing. Bernward Putz B.Eng.
Patrizia Bender-Reuter
Änne Boucsein B.Sc.
Edit Martin B.Sc.
Torben Roskoth-Wilmsen
Leif Wulff
