Student
Mareike Reichmann
Nadja Geisler
Sofie Reichmann
Gottlob Seip
Krystyna Rust-Baum
Prof. Cathrin Misicher
Hassan Kroker-Girschner
Kathleen Hahn B.A.
Hanno Trub
Ing. Siegmar Meyer B.A.
Mariele Bolander
Abraham Adler
Jolanda Henck
Dorle Rädel
Prof. Tina Ullrich
Alessandro Henk-Käster
Jonas Walter
Herta Hoffmann
Emmy Koch
Celal Ortmann-Otto
Silja Kraus-Schuster
Willy Hornig
Nikolas Siering
Josephine Schweitzer
Cemal Hamann
Henning Fechner
Prof. Meik Blümel B.Sc.
Wilfriede Ehlert
Dino Martin
Victor Seifert
Alwina Neureuther
Dogan Sauer
Kilian Patberg
Helen Hein B.A.
Josefa Junk
Denis Weimer
Viola Oderwald B.A.
Dr. Walburga Kobelt B.Eng.
Hans-Hinrich Bohlander
Karl Heinz Eigenwillig
Emine Tlustek B.Sc.
Miriam Juncken
Raphael Barth
Melanie Jungfer-Preiß
Hans Jörg Koch
Herr Jonathan Hänel MBA.
Hans-Bernd Zobel
Prof. Cilli Wulf
Moritz Roht
Karl-Friedrich Kitzmann
Ursel Conradi
Catrin Ziegert-Meyer
Armin Scholz
Elena Linke-Wohlgemut
Ottilie Trüb
Gusti Vollbrecht
Karolin Mitschke
Dipl.-Ing. John Ortmann MBA.
Linda Ziegert-Junken
Ortrun Krebs
Kristin Kabus
Evelyn Bien
Dipl.-Ing. Ingbert Krebs B.Eng.
Lidwina Jockel
Herr Hanno Hesse
Edit Rädel
Siegrid Segebahn
Horst-Peter Thies
Nadeschda Rädel
Marianna Segebahn-Wernecke
Rocco Rosemann B.A.
Torben Roskoth-Wilmsen
Albert Seifert MBA.
Veronica Benthin
Elfi Harloff
Renate Franke B.A.
Sieghard Hahn
Magdalena Gude
Jens-Uwe Schlosser
Gabi Gertz
Hulda Junk
Oskar Beyer
Milos Wiek
Dipl.-Ing. Janet Ruppersberger
Gundula Adler-Bien
Frau Friederike Albers
Miguel Briemer
Univ.Prof. Mahmoud Liebelt
Annegrete Pergande
Frau Gertrud Jüttner
Herr Alexandre Eimer B.A.
Elsa Preiß
Faruk Hoffmann
Laura Wilms
Rosa Tintzmann
Stephanie Kranz B.A.
Dr. Wolf-Rüdiger Trüb
Jens-Peter Graf-Schmidt
Dr. Agathe Jähn B.A.
Senol Heintze-Gerlach
Gilda Tintzmann
Kenan Pieper
Heinz-Gerd Beyer
Rosalinde Trupp
Karla Freudenberger MBA.
Herlinde Schenk B.A.
Fatma Möchlichen
Annelie Heuser
Sofie Schmiedecke
Susi Grein Groth-Steuer
Meinrad Barkholz B.Eng.
Dipl.-Ing. Mathias Metz B.A.
Heinz-Dieter Gute
Wilfried Steinberg
Frau Alexandra Beckmann B.A.
Vladimir Wulf B.A.
Ing. Utz Klemt B.A.
Hanspeter Davids
Jasmina Heuser
Heinz-Josef Conradi-Klapp
Utz Christoph-Henck
Prof. Dorit Käster B.Sc.
Meta Harloff
Dipl.-Ing. Aloys Hentschel
Sofia Etzler B.Eng.
Siegried Caspar B.A.
Gerold Loos-Rogge
Henriette Sager
Sandro Täsche
Klaus-Dieter Hänel B.Sc.
Edda Henschel
Marlen Schenk-Schuchhardt
Prof. Frithjof Binner
Herr Frank-Peter Jopich
Hugo Ruppert-Kade
Ing. Rocco Reuter
Bogdan Zirme
Heinz-Joachim Stiebitz
Dipl.-Ing. Woldemar Benthin B.A.
Abram Eckbauer B.A.
Tadeusz Hentschel
Georg Nerger
Tülay Hettner-Ebert
Univ.Prof. Fatima Hölzenbecher
Dr. Constance Römer
Arnd Jacobi Jäckel
Augusta Beer
Peer Grein Groth-Lange
Xenia Margraf
Prof. Gerda Barkholz MBA.
Chantal Kramer
Margarethe Wagenknecht
Damaris Eigenwillig
Sieglinde Stahr
Hans-Joachim Häring
Eleni Franke
Anatoli Caspar
Univ.Prof. Alois Jähn B.Eng.
Frau Emilia Pruschke B.A.
Steven Seifert
Dipl.-Ing. Stefano Ditschlerin
Enrico Reising MBA.
Hans Josef Striebitz
Ing. Dietlind Gieß
Dr. Jochem Trapp MBA.
Univ.Prof. Jaroslav Seifert B.Eng.
