Student
Marcella Sölzer
Heinz-Wilhelm Steuer-Mende
Henriette Bruder
Prof. Johan van der Dussen
Ralph Rogge
Kay-Uwe Mühle
Ing. Giorgio Warmer B.Eng.
Hans-Herbert Walter
Dipl.-Ing. Alan Schacht B.Eng.
Herr Steven Eberhardt
Ing. Therese Rust
Magdalena Tintzmann B.Sc.
Rainer Conradi
Claire Rogner-Scheel
Univ.Prof. Edelgard Naser B.A.
Brigitte Geisler
Cosimo Zimmer
Rouven Eberhardt
Virginia Gieß
Gilda Tintzmann
Sylwia Wilmsen-Ullmann
Annamaria Hänel-Zimmer
Julius Kraushaar
Dr. Reinhilde Thies B.Eng.
Herr Guido Knappe B.Eng.
Sabrina Schomber
Dipl.-Ing. Arthur Ziegert
Frau Patricia Gorlitz B.A.
Maxim Roht
Prof. Oswald Ehlert MBA.
Joachim Süßebier
Murat Meister
Juliana Weinhage
Frau Juliane Schulz B.Sc.
Gertraud Jüttner
Adam Krein-Karge
Aribert Putz
Dr. Lidija Metz
Urszula Rudolph
Marko Trupp
Dipl.-Ing. Hans-Karl Dussen van B.A.
Ing. Selim Tintzmann B.A.
Edgar Rohleder-Fröhlich
Jelena Löffler
Dipl.-Ing. Maik Mende B.Sc.
Prof. Amelie Rose MBA.
Meta Eigenwillig
Vesna Bähr
Günter Schottin
Aziz Bauer MBA.
Helmtrud Neureuther
Luciano Biggen
Prof. Elzbieta Fechner B.Sc.
Dipl.-Ing. John Ortmann MBA.
Waltrud Scholl
Magarete Krause
Renate Bärer
Ahmed Freudenberger B.Sc.
Klaus-Peter Schüler-Schaaf
Tülay Gnatz-Sorgatz
Susan Seip MBA.
Ing. Petar Wilmsen
Wibke Cichorius
Britt Bolander B.A.
Dr. Sandra Mangold B.Sc.
Ljudmila Trapp
Kunigunda Reising
Klaus Dieter Rädel
Dr. Aldo Fritsch
Gerlind Trüb-Losekann
Nicolaus Jessel
Kordula Kambs B.Eng.
Frau Ina Dietz MBA.
Gunda Ditschlerin B.A.
Blanka Ladeck
Jose Tlustek B.Sc.
Raymond Ruppersberger
Herr Mahmoud Schleich B.Sc.
Ing. Knud Vogt
Elizabeth Budig
Tino Niemeier
Hannelore Weinhold B.Sc.
Irmtrud Mohaupt-Etzler
Dr. Alberto Kabus B.Sc.
Univ.Prof. Viktoria Seifert
Dr. Klothilde Lachmann B.A.
Klaus Dieter Weimer-Hein
Krista Junken-Hövel
Lidia Franke
Valerij Barth
Xenia Margraf
Klaus Peter Weller
Hans-Ulrich Dussen van
Karolina Hartmann
Ing. Konstanze Geisel
Marion Wohlgemut B.A.
Dipl.-Ing. Cora Baum
Gitta Römer
Anneli Neuschäfer
Yusuf Seifert
Zita Winkler
Torben Säuberlich-Linke
Jo Gnatz
Wilhelm Walter
Univ.Prof. Harro Fröhlich
Frau Hedwig Wirth
Jolanthe Jessel
Suse Hornich
Dr. Reza Hering B.Sc.
Paul Carsten
Felicitas Biggen
Mechthilde Lindau B.A.
Wolf-Dieter Sölzer-Putz
Gotthard Schuster
Beate Johann
Marina Hofmann
Dittmar Berger
Mehdi Bähr B.A.
Daria Stiffel
Gero Gierschner
Aenne Hübel-Mühle
Mareike Lübs
Frank-Michael Köhler
Bayram Lübs B.Eng.
Johanna Finke-Ehlert
Ludwina Hölzenbecher
Elvira Scholtz
Concetta Neureuther
Gunar Lindner
Susanne Etzold
Hans-Georg Dörschner
Berta Hörle-Börner
Faruk Schomber
Dr. Annika Gude MBA.
Rosita Peukert-Scheibe
H.-Dieter Mülichen B.A.
Moritz Schönland
Dr. Myriam Pieper B.Eng.
Albina Stadelmann
Alexa Dietz
Emine Lübs
Dr. Jan-Peter Martin B.Eng.
Eva-Maria Zänker
Jerzy Mende-Wagenknecht
Wiltrud Jäkel
Elizabeth Stahr
Maya Haering-Becker
Nicolai Röhricht-Spieß
Maik Tintzmann B.Sc.
Franz-Josef Kohl
Elli Junck
Prof. Dorit Käster B.Sc.
Ivo Lorch
Rolf-Dieter Kensy
Dittmar Graf
Frau Antonina Kitzmann
Jann Geisler
Cläre Mohaupt
Cäcilie Patberg
Aldo Förster
Univ.Prof. Linus Seifert
Gusti Wagenknecht
André Segebahn
Henning Fechner
Oscar Nerger
Ada Heser B.Sc.
Franz-Peter Preiß B.A.
Süleyman Baum
Sylvie Börner
Dipl.-Ing. Ladislaus Weinhold
Dipl.-Ing. Patricia Werner B.Sc.
Peer Grein Groth-Lange
Reimar Hahn-Neureuther
Friedericke Bolzmann
Corinna Täsche B.A.
Erwin Weimer-Bohlander
Steven Steinberg B.Eng.
Ing. Chantal Schleich B.Eng.
Carl-Heinz Kraus
Kathleen Hahn B.A.
Sigmar Zobel
Hanne Ackermann
Beatrice Fechner
Herma Geisler-Beckmann
Dipl.-Ing. Undine Warmer
Cilli Röhricht
Wolfhard Kensy
Univ.Prof. Veli Etzler
Slavica Ernst-Schmidtke
Prof. Sylvester Bender
Krista Putz
Annamaria Kade-Fischer
Hanife Ackermann
Ingo Heinz
Ing. Carla Ziegert B.Eng.
Ing. Margareta Hethur B.A.
Marliese Roht
Univ.Prof. Mira Riehl
Aloisia Faust
Dipl.-Ing. Rudi Wiek B.Eng.
Auguste Buchholz B.Sc.
Viviane Jopich
Wally Wähner
Christopher Gertz-Kade
Gerti Trupp-Dowerg
Ernestine Karz
José Gröttner B.Sc.
Hermine Eberhardt
Gerti Döring
Susann Mielcarek
Constance Lange
Univ.Prof. Franca Ritter B.Eng.
Kathi Wesack
Zeljko Jessel
Dr. Jacqueline Trubin B.Sc.
Marika Sager
Fanny Zänker-Hein
Fredy Birnbaum-Kensy
Frau Gertrud Jüttner
Valentine Bähr B.A.
Joana Wähner
Ing. Helmtrud Dussen van
Hans-Karl Rust MBA.
Univ.Prof. Ioannis Lübs B.Eng.
Dr. Athanasios Noack MBA.
Hanns Zänker B.A.
Ilja Freudenberger B.A.
Traudel Wilmsen B.A.
Herr Benedikt Säuberlich
Dipl.-Ing. Violetta Briemer B.A.
Heinz-Werner Briemer B.A.
Helmtrud Gerlach
Traugott Textor-Wagenknecht
Carl Schmiedt
Aleksej Fröhlich
Hans-Karl Christoph-Schleich
Hedwig Matthäi
Dr. Deborah Kade
Galina Kraus-Hermighausen
Alessandro Werner
Else Heß MBA.
Ilias Freudenberger
Bertold Schenk
Caroline Wende
Dipl.-Ing. Janus Roht B.Sc.
Karl-Peter Kramer
Gerta Klemt
Oxana Stumpf
Lorenzo Adler-Trommler
Rene Lindau-Jäkel
Günter Fischer
Cemal Trapp
Eleni Krause B.A.
Ing. Imke Eigenwillig B.A.
Eckard Dehmel MBA.
Prof. Grete Müller
Sören Trommler
Isa Tlustek
Mandy Rädel
