Student
Herr Gundolf Barth
Pawel Peukert-Rörricht
Katerina Barkholz
Cemal Budig-Holt
Dipl.-Ing. Ryszard Buchholz
Abraham Adler
Herr Bartholomäus Adolph MBA.
Reinhild Patberg
Peer Bärer
Natalja Seidel
Josip Kuhl
Ehrenfried Drubin-Paffrath
Univ.Prof. Josefine Gerlach
Dipl.-Ing. Hans-Peter Hertrampf
Gitta Römer
Anatol Gude MBA.
Sigmar Briemer
Jörg Pechel
Uli Schönland-Trupp
Jakob Pohl
Beatrix Scheibe B.Sc.
Anto Kobelt-Kobelt
Hanne-Lore Johann
Erkan Trub
Dipl.-Ing. Burckhard Jäntsch
Jann Cichorius
Ing. Brunhilde Albers
Ing. Svenja Aumann
Beate Nette
Klaus-Peter Gieß-Winkler
Roselinde Ebert
Prof. Annita Wulff
Irina Mielcarek
Necati Lindner
Xenia Hermann
Ing. Leonid Budig B.A.
Viola Sager
Elias Gierschner
Regina Ring
Gabriel Roskoth
Univ.Prof. Amalie Warmer B.Eng.
Niko Butte-Rosenow
Ing. Alexander Mude
Hans-Herbert Harloff
Reingard Jungfer
Dr. Leopoldine Kostolzin
Justus Schüler MBA.
Dragan Trub
Frau Christiane Zänker B.A.
Elisa Karz-Rohleder
Prof. Ignaz Cichorius
Tim Sorgatz
Franca Börner
Niels Faust
Jolanthe Jessel
Heidelore Zirme
Osman Liebelt
Annita Jähn
Univ.Prof. Filiz Rudolph MBA.
Semra Gorlitz
Roger Hendriks-Ruppersberger
Rochus Gude
Anette Anders
Ricardo Hesse
Sabrina Schomber
Frau Jane Sauer
Waltraud Hentschel
Susi Seifert
Prof. Alexei Krebs
Sandor Riehl
Jolanta Döring
Catrin Weller
Sylvester Neuschäfer-Schacht
Frau Gitte Hänel
Mariele Bolander
Wenke Neureuther-Hermighausen
Raissa Mitschke MBA.
Herr Maik Klemt MBA.
Prof. Mahmut Barth B.A.
Frau Suse Zorbach
Elise Hentschel
Frau Evamaria Geißler
Danny Mälzer
Radmila Schomber B.Eng.
Gertraud Mende
Dr. Anatoli Bonbach
Bernhard Fischer
Detlef Köster
Nikolas Hövel
Gislinde Junken
Emilia Römer
Janine Hendriks B.A.
Leif Wulff
Anatol Hübel
Dr. Ralf Hölzenbecher
Helen Hein B.A.
Ernst-August Oestrovsky-Kreusel
Guntram Warmer
Günter Rudolph B.Eng.
Diethelm Hofmann
Dipl.-Ing. Gabriel Roskoth
Ivo Börner
Andy Jockel B.Eng.
Frau Anny Niemeier B.A.
Dr. Valentin Eigenwillig
Angelo Schmidtke
Zdravko Müller-Fritsch
Otmar Schmidtke
Gina Killer
Manja Koch II-Heuser
Esther Eberth-Kensy
Dipl.-Ing. Adem Gerlach
Kay-Uwe Jähn-Schwital
Luka Zorbach
Freddy Nette-Hendriks
Zenon Pärtzelt
Univ.Prof. Clara Heidrich B.Sc.
Dr. Meral Thies B.Sc.
Prof. Guiseppe Gröttner B.Sc.
Univ.Prof. Veli Etzler
Univ.Prof. Kirstin Killer B.Eng.
Gisa Gerlach
Herr Torsten Hermighausen B.Sc.
Dipl.-Ing. Robert Köhler
Urban Geißler B.A.
Ilias Freudenberger
Nikolai Rädel-Klemt
