Student
Oskar Rosemann
Bertold Schenk
Janusz Rädel B.Sc.
Annemie Margraf
Univ.Prof. Hans D. Ullrich
Judith Gerlach
Magdalena Sauer
Univ.Prof. Pauline Klemt
Raphael Barth
Angelique Speer B.A.
Ilonka Lange
Helga Gerlach-Seifert
Anton Stey
Apollonia Trüb B.A.
Univ.Prof. Nadeshda Oestrovsky
Thies Blümel
Bruno Wagenknecht
Canan Berger-Hellwig
Wladimir Rogge
Ortrun Krebs
Tabea Schomber
Dittmar Graf
Zeynep Keudel
Diedrich Lachmann-Oestrovsky
Heinrich Köster
Prof. Volkmar Heuser
Micha Schottin
Jonas Christoph B.Eng.
Kasimir Lindau
Halina Römer-Hartung
Karlfried Franke
Lieschen Rörricht
Heinz-Günther Bohnbach
Dipl.-Ing. Lotte Austermühle B.A.
Ulla Fliegner-Sölzer
Univ.Prof. Willfried Werner B.Sc.
Carola Kusch
Mirco Barth
Herr Wieslaw Trupp
Dr. Hans-Herbert Losekann B.A.
Horst-Günter Zirme
Cosimo Bender
Cornelia Schinke
Frau Francesca Blümel
Prof. Felicitas Dörschner
Univ.Prof. Damian Sorgatz B.Eng.
August Weihmann
Catrin Bachmann
Dr. Evangelia Killer B.Sc.
Marius Klotz
Elena Fiebig
Rahel Heidrich-Jüttner
Stefano Atzler
Therese Neureuther
Janusz Killer
Dr. Timo Ernst
Carlo Ackermann-Birnbaum
Hans-Günther Kohl B.Eng.
Bekir Cichorius-Döring
Friederike Geisler
Ida Weihmann
Ariane Roskoth
Wiltrud Christoph
Rupert Kallert
Hülya Stadelmann
Dr. Aribert Sontag
Katharina Käster MBA.
Frau Trudi Wähner B.A.
Luciano Wirth
Siegbert Conradi
Fredi Huhn
Verena Davids
Herr Hilmar Stumpf
Alexandros Ernst
Hildegunde Dörr
Prof. Katalin Lindner B.Eng.
Ing. Christel Margraf MBA.
Jorge Killer
Ellen Haase
Dipl.-Ing. Marisa Scholl
Gilda Scholz
Danilo Losekann
Jörg-Peter Christoph
Natalija Haering
Gino Hövel B.Sc.
Willy Reichmann
Britt Gorlitz
Brita Kaul
Dipl.-Ing. Stefano Wernecke B.A.
Götz Hofmann B.A.
Regine Sorgatz
Edmund Caspar B.Sc.
Hans-Henning Heydrich MBA.
Univ.Prof. Gustav Sölzer
Univ.Prof. Greta Trapp
Gerhart Hentschel
Dipl.-Ing. Gudula Margraf B.Sc.
Roy Holt
Patricia Wiek
Ing. Klothilde Hörle B.A.
Gunter Misicher
Adelheid Schinke
Ing. Alexandros Vogt MBA.
Elke Scholl MBA.
Annelise Jungfer
Larissa Ullmann
Dipl.-Ing. Mahmoud Mühle B.Eng.
Eckart Klotz
Univ.Prof. Walter Barkholz
Istvan Patberg-Anders
Theres Heser
Herr Bertold Löffler
Margareta Lübs-Vollbrecht
Lutz Mies-Hesse
Dusan Ruppersberger B.Sc.
Daniele Heintze B.Eng.
Fredy Birnbaum-Kensy
Prof. Mirko Adolph B.A.
Dr. Lea Kraushaar B.Eng.
Dr. Ayse Martin MBA.
Hans Jürgen Grein Groth-Rudolph
Kathrin Beckmann-Heinz
Arif Killer
Dorina Fiebig
Ing. Margot Bonbach B.Eng.
Reni Rosemann MBA.
Gerd Wiek MBA.
Gabriel Süßebier-Eigenwillig
Dipl.-Ing. Virginia Käster
Edward Hering MBA.
Dipl.-Ing. Laurenz Gerlach MBA.
Susann Mielcarek
Robby Weller
