Student
Norbert Eimer
Hans-Bernd Eimer-Pechel
Hans Josef Reinhardt B.A.
Edmund Caspar B.Sc.
Dr. Jochem Trapp MBA.
Ing. Jürgen Jopich B.A.
Univ.Prof. Gottlieb Steuer B.A.
Milos Kuhl B.Sc.
Andrei Hertrampf-Trommler
Traudl Christoph
Ewald Kreusel
Inken Gorlitz
Konstantinos Stolze-Biggen
Antonius Bonbach-Juncken
Dipl.-Ing. Bernward Putz B.Eng.
Giuseppe Trupp
Annaliese Gerlach
Ernst-August Beyer
Harro Trapp B.Eng.
Wolf-Dieter Schmiedt
Wibke Cichorius
Katherina Hesse
Frau Hildegund Vogt B.A.
Susanna Söding
Ing. Stella Wagner
Frederike Dippel
Susann Hartung-Schmiedecke
Detlev Heintze
Laila Trüb
Christos Ruppert B.A.
Hellmut Siering
Dipl.-Ing. Elisabeth Wiek
Ing. Leopold Beier B.Sc.
Dr. Francisco Hänel
Wulf Steckel-Lachmann
Sylvester Zirme
Margareta Lübs-Vollbrecht
Simona Lorch
Univ.Prof. Nadeshda Oestrovsky
Herr Julian Gotthard B.Eng.
Susi Grein Groth-Steuer
Jann Geisler
Ann Werner-Wilms
Inken Ziegert
Univ.Prof. Greta Trapp
Wibke Pärtzelt-Wieloch
Arne Dobes
Claudius Rust-Mans
Anneli Heintze
Univ.Prof. Roman Misicher
Herr Yilmaz Vollbrecht B.Eng.
Frau Renate Geisler
Univ.Prof. Annegrete Holt
Univ.Prof. Jaroslav Seifert B.Eng.
Dr. Abdullah Becker
Franco Radisch
Margareta Dörschner B.Sc.
Dipl.-Ing. Julian Mühle
Jasmina Rudolph
Grzegorz Bohlander
Madlen Geißler
Mohammad Finke
Gloria Bruder B.A.
Kirstin Boucsein B.Eng.
Inge Dehmel
Milica Reichmann
Krystyna Rust-Baum
Univ.Prof. Damian Sorgatz B.Eng.
Prof. Julia Möchlichen B.A.
Süleyman Baum
Univ.Prof. Franz-Josef Zänker
Lucia Kohl
Loni Trubin
Traudl Gierschner
Helene Keudel
Siegmund Hövel
Cäcilie Schmidt
Univ.Prof. Ricardo Sorgatz B.A.
Mechtild Niemeier
Dipl.-Ing. Hermann-Josef Jüttner
Univ.Prof. Helmut Junitz B.Eng.
Dr. Lisa Stroh B.Sc.
Cecilia Eigenwillig
Undine Lindner
Karen Rädel
Wladimir Rogge
Curt Jopich
Danuta Löwer
Geert Rudolph
Univ.Prof. Jaqueline Dehmel
Marzena Hein
Mercedes Rädel-Drub
Frau Inken Zimmer B.Eng.
Jacek Täsche
Dipl.-Ing. Gloria Heidrich
Steven Käster B.Sc.
Karl-Jürgen Ziegert
Karl-August Döhn B.A.
Moritz Spieß
Gisa Hornig-Geißler
Theo Neuschäfer
Roberto Jockel
Univ.Prof. Nadeschda Staude
Heinz-Walter Roskoth-Hertrampf
Univ.Prof. Wibke Reinhardt B.Eng.
Metin Hande
Nathalie Krause
Doris Kraushaar
Maren Bruder
Karl Heinz Hörle
Slavko Fliegner B.Sc.
Guiseppe Rust
Aleksej Kühnert B.A.
Vera Losekann
Gotthard Schuster
Dipl.-Ing. Freya Höfig
Edda Henschel
Prof. Auguste Scholz
Maximilian Pohl B.A.
Ing. Dierk Striebitz
Ing. Adam Klemt MBA.
Eleni Krause B.A.
Dietlinde Binner
Reinhold Schönland
Rena Rohleder
Edgar Jüttner
Freia Hamann-Eckbauer
Ilona Roskoth-Bolander
Dipl.-Ing. Christoph Schulz B.Sc.
Dietlind Drubin
Ralph Rogge
Ilonka Wulf
Hans-Gerd Jockel
Czeslaw Jacob B.Eng.
Yvette Dietz
Edeltraud Bärer
Roman Bloch
Mariana Wirth
Dietrich Adolph MBA.
Zita Wieloch-Scholtz
Ada Ullmann-Hermann
Prof. Anna Kühnert B.Sc.
Oscar Junitz
Angelo Pärtzelt
Gunhild Nohlmans
Univ.Prof. Heinrich Knappe B.A.
Dipl.-Ing. Ernst-Dieter Harloff MBA.
Carl Mühle-Wulf
Herr Oliver Pechel
Abraham Hoffmann
Fatma Seidel B.A.
Harriet Ullmann
Marvin Gröttner MBA.
Prof. Hans Dieter Kitzmann MBA.
Ing. Siglinde Bolzmann
Heinz-Gerd Gorlitz B.Eng.
Eberhardt Schäfer
Mara Vollbrecht B.A.
Ekrem Hornich
Frank-Michael Sontag
Hertha Gutknecht
Univ.Prof. Fredi Hölzenbecher
Klaus-D. Sölzer
Mareile Löwer
Bastian Röhrdanz
Janin Hamann
Nora Klapp-Finke
Dipl.-Ing. Hans-Karl Dussen van B.A.
Univ.Prof. Heinz-Werner Renner B.A.
Natascha Eigenwillig
Ehrhard Häring B.A.
Ing. Carolin Matthäi
Ludmilla Pieper
Ronald Stiebitz
Wulf Schuster
Bernhardine Mangold
Nikolai Haase B.Sc.
Gertraud Jüttner
Dipl.-Ing. Jiri Wesack B.A.
Ilija Lindner
Gert Hölzenbecher B.Sc.
Diana Drubin-Walter
Denis Ruppersberger
Vlado Lindner
Ernest auch Schlauchin
Dipl.-Ing. Mareike Noack B.Sc.
Sergio Schleich
Darius Trupp
Bianka Schmidt
Univ.Prof. Dana Seifert
Alexandros Heintze
Anna-Luise Seip-Hofmann
Veli Junitz
Julie Schweitzer
Berthold Rudolph
Herr Salih Blümel
Dipl.-Ing. Berend Niemeier
Univ.Prof. Herta Zänker
Rolf-Dieter Kensy
Annelise Jungfer
Valeska Zimmer-Schleich
Bruni Freudenberger
Konstantinos Seifert
Dipl.-Ing. Petar Wohlgemut
Friedemann Stoll
Thea Nette
Engin Trub
Univ.Prof. Dorle Fröhlich
Caterina Weinhage
Edda Junck-Eimer
Moritz Schönland
Eberhard Junitz
Siegbert Bachmann-Hövel
Cathleen Gude
Hartmut Zirme
Dr. Immo Kramer
Martha auch Schlauchin
Ing. Alberto Schlosser
Ria Stroh
Igor Dörschner
Anett Wieloch
Zeljko Henck
Hildegunde Wende-Spieß
Johanna Bohlander
Eckart Klotz
Waltraut Ernst
Gordana Budig B.A.
Ivana Eimer
Käthe Briemer MBA.
Sergei Ritter
Louis Loos B.Eng.
Ing. Helmtrud Dussen van
Liane Gröttner
Nicole Scheibe
Univ.Prof. Pauline Klemt
Johanna Fischer
Hilma Berger
Susann Henk
Vassilios Birnbaum
Simon Meyer
David Faust-Holsten
Mariele Peukert
Edit Martin B.Sc.
Marianne Killer
Raymond Drub B.Sc.
Viviane Kensy
Auguste Lorch
Milan Weiß-Schuchhardt
Univ.Prof. Kevin Juncken B.Eng.
Mechthilde Lindau B.A.
Ing. Maria Lübs
Monique Rose-Schuchhardt
Ing. Karin Werner
Theresia Henck
Prof. Natalija Weinhold
Frau Mareile Birnbaum
Karl-Peter Heser
Dariusz Rädel
Heimo Karge-Freudenberger
Raisa Stey-Sauer
Bertold Schenk
Hansgeorg Klotz
Ingried Stiffel B.A.
Tina Radisch
Kordula Kambs B.Eng.
Vadim Jacobi Jäckel
Kornelius Winkler
Prof. Manuela Schleich B.Sc.
Alexej Liebelt
Helge Wilmsen-Hein
Elfi Bolander
John Bauer
Ing. Pavel Weller B.Eng.
Dr. Hans-Hermann Rosemann B.A.
Peter-Michael Spieß
Edeltrud Koch
Gerwin Salz
Catrin Weller
Horst-Peter Ritter
Emanuel Kitzmann
Ing. Marcel Gute
Irmgard Liebelt
Emanuel Scholz B.Eng.
Änne Schweitzer-Putz
Sybilla Hornig
Anna-Lena Bloch
Robby Weller
Freia Lübs
Gebhard Sorgatz
Hugo Junken
Nada Hänel
Matteo Dehmel-Weimer
Claus Butte
Valeria Finke
Gundel Bien MBA.
Ing. Henrike Kramer
Univ.Prof. Simona Holzapfel MBA.
Mechtild Patberg
René Rose-Krebs
Johann Liebelt MBA.
Ing. Hüseyin Gutknecht B.Sc.
Necati Koch
Valeri Tschentscher
Dr. Patrizia Dörschner B.A.
Magda Geißler
Emine Lübs
Anna-Marie Ullrich
Ryszard Junitz
Gabriella Schuster
Melanie Hauffer
Liesa Neureuther
Hildegard Roht B.Sc.
Bayram Meister
Annamaria Kade-Fischer
Univ.Prof. Pamela Kambs MBA.
