Student
Fatima Eckbauer-Rosemann
Lambert Gehringer
Dipl.-Ing. Leokadia Junk
Edith Hettner
German Speer
Vittorio Harloff
Evangelia Harloff B.A.
Hans-Michael Krein-Wernecke
Horst-Dieter Seifert
Rüdiger Buchholz-Kuhl
Frau Etta Wesack MBA.
Univ.Prof. Nicole Höfig B.Sc.
Ignaz Beer-Eckbauer
Karl-Heinrich Karz
Adelinde Putz
Loni Trubin
Herr Andrej Rose
Sebastian Karge
Jana Wulf MBA.
Dipl.-Ing. Mathias Metz B.A.
Gitte Buchholz
Ludwina Beer
Frau Elfi Winkler MBA.
Alf auch Schlauchin
Dina Koch
Nadia Herrmann
Hansjoachim Salz-Junk
Dipl.-Ing. Cläre Geißler
Daniele Pieper-Käster
Rena Rohleder
Ignaz Warmer
Prof. Meik Blümel B.Sc.
Joachim Rogge
Yasemin Hande
Marcus Langern
Dipl.-Ing. Katarina Schmidtke
Anneli Heintze
Calogero Mude-Etzold
Hans Georg Gorlitz-Schäfer
Caroline Wende
Annekatrin Neureuther
Frauke Stadelmann
Wolf-Dieter Sölzer-Putz
Madlen Geißler
Ing. Louis Eckbauer B.Eng.
Gertraude Pärtzelt MBA.
Alice Nette
Sophie Scheibe
Clara Gehringer
Helma Häring
Etta Hellwig
Slavica Ernst-Schmidtke
Siegfried Kreusel
Inga Ruppersberger
Ulrich Segebahn
Annamaria Scholtz
Prof. Robert Heintze
Dr. Daniela Linke MBA.
Anne-Rose Hettner B.A.
Alois Knappe
Univ.Prof. Sonja Hande MBA.
Caren Neureuther
Samir Krein B.A.
Herwig Krebs
Karl-Dieter Seifert
Liane Gröttner
Ing. Helene Jähn B.Eng.
Alwine Wulf
Giuseppe Stahr
Dipl.-Ing. Tomislav Dowerg B.Eng.
Univ.Prof. Alberto Steuer
Dipl.-Ing. Corina Fischer
Annamaria Kade-Fischer
Prof. Ricardo Kensy
Ing. August Hellwig B.Eng.
Univ.Prof. Polina Schmidt B.Eng.
Edgar Karge
Prof. Irmgard Mühle
Otmar Ditschlerin
Reni Cichorius
Kriemhild Gude
Timm Wende
Jo Dussen van
Univ.Prof. Arno Kramer B.Eng.
Fernando Neuschäfer
Maximilian Juncken
Wolfhard Ziegert
Madlen Salz
Brian Ditschlerin
Britt Schwital-Seip
Dr. Luisa Anders B.A.
Fabienne Dobes-Heuser
Rolf-Dieter Kensy
Dr. Lina Hiller
Marie-Louise Hendriks-Dörschner
Tillmann Dobes-Trupp
Birte Jüttner
Freia Lübs
Emil Grein Groth
Hans-Josef Butte-Dussen van
Jann Cichorius
Nicole Hoffmann
Slavko Weitzel B.Sc.
Marko Trupp
Herr Vladimir Zimmer MBA.
Philip Fritsch
Engelbert Sauer MBA.
Orhan Hecker-Heuser
Dr. Damian Scheel
Marlies Seifert-Roht
Ing. Alexander Mude
Katharine Renner
Hans-Albert Lindau
Daria Liebelt
Maurizio Tschentscher
Marlene Drubin
Rosita Wesack B.Sc.
Johann Rust
Klaus Dieter Stoll-Wilms
Dr. Leonhard Otto
Luka Zorbach
Isa Kramer-Matthäi
Nadeschda Rädel
Rolf-Peter Reising B.Sc.
Annegret Holt-Heuser
Univ.Prof. Almuth Cichorius B.Eng.
Raimund Hande
Gabriel Kreusel
Roselinde Zobel
Kristin Kaul B.Sc.
Dr. Rosmarie Seip
Amalie Gotthard
Emin van der Dussen
Mahmoud Ditschlerin-Trüb
Dorit Ebert
Dr. Inna Mude MBA.
Zdravko Staude B.Sc.
Gertrude Lehmann-Kostolzin
Herr Sigismund Gieß MBA.
Sonja Löchel
Milka Scholl
Marga Vogt
Ariane Roskoth
Heinz-Otto Hermighausen
Edmund Schmidt-Fliegner
Univ.Prof. Lisbeth Köhler
Ismail Geisler
Leokadia Herrmann
Adalbert Hande B.Eng.
Miodrag Fliegner B.A.
Alexandre Caspar
Reni Putz-Tintzmann
Lotti Rosemann
Univ.Prof. Romana Hiller
Claudius Rust-Mans
Ing. Alban Mohaupt
Ignaz Schottin
Pasquale Karge
Catrin Weller
Anna-Lena Röhrdanz B.Sc.
Helfried Seifert-Schönland
Dipl.-Ing. Danuta Stumpf B.Eng.
Semra Fiebig
Marianna Geisler
Gunhild Zimmer
Dariusz Wirth
Guntram Scholz MBA.
Prof. Patrik Scheel
Egon Paffrath
Oskar Weitzel
Dipl.-Ing. Oskar Vogt B.A.
Dr. Annita Kallert
Blanka Birnbaum
Dr. Leopoldine Kostolzin
Hans-Rudolf Dehmel
Marleen Langern-Oderwald
Manuela Sauer
Stefanie Benthin
Dipl.-Ing. Edda Barth MBA.
Ing. Tilman Kitzmann
Wolfhard Vogt
Adriane Wende
Danielle Drubin
Vito Davids-Schwital
Dipl.-Ing. Magrit Junck
Theo Döring
Ditmar Pölitz B.A.
Edda Stahr
Ditmar Adolph
Univ.Prof. Änne Finke B.Sc.
Silvio Scholl B.Eng.
Slawomir Tlustek B.A.
Inna Weinhage
Alexej Kohl
Silja Eberhardt-Boucsein
Roy Holt
Dipl.-Ing. Frederik Rörricht B.Sc.
Dr. Edit Scheibe B.A.
Dipl.-Ing. Sebastiano Käster B.Eng.
Danilo Hande MBA.
Gert Naser
Siegried Otto
Ron Dobes-Weihmann
Rebecca Börner
Käthe Briemer MBA.
Aldo Kusch-Klemm
Carl Mühle-Wulf
Bruno Siering MBA.
Carolin Etzler
Marie-Louise Girschner
Theresa Killer
Fadime Reinhardt MBA.
Judith Koch-Mude
Yvette Dietz
Edit Kitzmann
Anna-Lena Sontag-Köhler
Kornelius Hornig MBA.
George Käster-Eberth
Ing. Sebastian Killer B.A.
Constanze Schleich
Dipl.-Ing. Friedrich Hiller B.Eng.
Aneta Heydrich
Gaby Noack
Käthi Löffler
Raymond Speer
Jana Langern
Hansjürgen Weitzel
Witold Heintze
Klara Blümel
Carla Tintzmann
Ing. Melanie Hamann
Jurij Eimer
Karsten Schwital
Laura Beier
Niko Bähr B.Sc.
Alma Rörricht
Eugen Schottin
Klaus-Werner Jäkel-Holsten
Ljiljana Rädel
Ludwina Mohaupt
Helmtrud Gerlach
Henning Scholl
Lotti Mosemann
Lilly Beckmann B.Sc.
Theres Heser
Margita Schleich-Becker
Kaspar Hänel
Dr. Gundolf Römer MBA.
Heinz-Jürgen Hesse
Dr. Luciano Ortmann
Wiebke Gehringer
Hermann Josef Börner
Dr. Hans-Heinrich Kaul B.Eng.
Ing. Bernard Schleich B.Sc.
Stephanie Dörr-Bärer
Julie Mentzel
Karin Beckmann
Vesna Bähr
Ing. Berta Oestrovsky B.Eng.
Bekir Gumprich-Kabus
Ing. Vesna Kroker B.Eng.
Herr Recep Junk B.A.
Rouven Ziegert
Berndt Grein Groth B.Sc.
Giesela Dowerg
Hiltrud Klemm
Käte Ditschlerin-Roht
Rudolph Metz-Mitschke
Mariana Steckel
Dr. Zehra Etzler
Herr Mario Pergande
Hanne-Lore Berger
Danuta Kreusel
Christina Geisel-Hesse
Esther Eberth-Kensy
Ing. Swen Sorgatz B.Eng.
Geza Bloch-Mühle
Susann Haering
Mona Söding
Ing. Marten Hering
Univ.Prof. Friedlinde Bien MBA.
Stefanie Pruschke
Valentina Weihmann-Zahn
Ute Möchlichen
Ilija Lindner
Katerina Barkholz
Ing. Eckehard Bloch MBA.
Prof. Hans Dieter Kitzmann MBA.
Gabi Gertz
Emanuel Scholz B.Eng.
Kirstin Boucsein B.Eng.
Pawel Schlosser
Roselinde Ebert
Karen Grein Groth-Dörschner
Anneliese Wähner
Ing. Horst-Dieter Seip
Paul Hettner
William Zirme
Ing. Steffen Röhrdanz B.A.
Alexei Meister
Ruthild Schüler B.Eng.
Danielle Ritter B.Eng.
Ernst-Dieter Rörricht B.Eng.
Carmelo Klapp-Berger
Anatol Adler
Calogero Hoffmann B.Eng.
Dipl.-Ing. Miguel Bärer
Cläre Heser
Wilfried Steinberg
Prof. Ahmad Rörricht
Mariusz Baum
Rosalia Johann
Edeltraut Klemt
Ing. Hellmuth Scholl
Diether Dussen van-Rohleder
Dr. Stephanie Ladeck
Amanda Weller
Alena Steuer
Daniele Finke
Magarete Beyer B.Eng.
Marzena Mentzel
Beatrix Rädel MBA.
Larissa Mangold
Matthias Dowerg
Kornelia Bachmann
Gudrun Rörricht
Alwine Wirth-Klemm
Ing. Dagmar Bohnbach B.Eng.
Niklas Scholtz
Tanja Henk
Elfie Jäkel
Univ.Prof. Bela Kraus
Mark Gute-Faust
Franca Börner
Aurelia Dussen van MBA.
Kata Gierschner
Ilka Faust
Cemal Klingelhöfer-Otto
Fabian Lübs
Marie-Luise Rogner
Gaetano Köhler
Dr. Gerd Fechner
Nurettin Mans-Klemt
Herr Rudi Neuschäfer
Enrico Reising MBA.
Ingetraud Freudenberger
Gerda Eberhardt B.Sc.
Ottomar Hermann
Aribert Kusch
Angelina Ruppert-Siering
Prof. Raymond Söding
Melitta Salz
Stanislaus Geißler
Prof. Jolanthe Gude
Kunigunda Hamann-Hermighausen
Romy Baum
Prof. Theda Hölzenbecher
Zeljko Henck
Matteo Krein-Müller
Dorina Weinhold
Prof. Carina Eimer
Ludmila Karge B.A.
Univ.Prof. Nikola Graf MBA.
Cosima Johann
Univ.Prof. Sybilla Gehringer
Ing. Dietlind Gieß
Ing. Amalia Walter
Kathy Kitzmann
Valeska Zimmer-Schleich
Heribert Austermühle-Trupp
Elma Heser
Gebhard Sorgatz
Hans-Uwe Sager
Herr Dimitri Mohaupt B.A.
Priska Wende
Karl-August Liebelt-Köhler
Dr. Ella Warmer
Jens-Uwe Schlosser
Prof. Ruthild Nette B.A.
Marta Roht B.Sc.
Ottilie Hartung
Jörg Haase-Röhricht
Gülten Peukert
Jörn Trupp MBA.
Frau Dana Röhrdanz
Annemie Kade-Kuhl
Heinz-Günter Mülichen
Alexandros Heintze
Ellen Jessel-Walter
Janette Wiek
Univ.Prof. Karl-Otto Dowerg MBA.
Pavel Ehlert
Marie-Louise Hauffer
Univ.Prof. Vinko Tschentscher
Ernst-August Oestrovsky-Kreusel
Waltrud Jacob
Kevin Tlustek-Heinz
Cemal Budig-Holt
Herr Bruno Kreusel
Helmar Klapp
Simona Heidrich
Karl-Heinz Hahn
Mariusz Wilmsen B.A.
Leopold Jungfer
Jolanda Jopich
Carla Schacht
Prof. Lieschen Mälzer B.Sc.
Reingard Jungfer
Ulrike Misicher MBA.
Edward Dippel
Karen Hendriks
Pedro Hande B.Sc.
Muzaffer Sorgatz
Volkhard Köster-Jüttner
Korinna Koch II
Prof. Mohammed Kambs
Dr. Lidwina Oestrovsky
Korbinian Bolander
Deborah Beier
Margot Sontag MBA.
David Warmer
Radmila Kraus-Schacht
Dr. Lidia Flantz B.Sc.
Sofia Roht MBA.
Günter Schottin
Ing. Galina Hahn
Prof. Irmhild Fritsch
Dipl.-Ing. Freya Höfig
Prof. Marius Herrmann
Freia Kraushaar B.A.
Reimer Hethur-Gutknecht
Dimitrios Kraushaar-Adolph
Prof. Ingeborg Noack
Francoise Freudenberger-Stey
Margarete Kabus
Frank-Michael Klemt
Chantal Fröhlich
Roswita Hofmann MBA.
Lukas Gierschner
Mareen Mies B.Eng.
Nadine Schleich
Dorle Knappe
Edeltrud Koch
Myriam Hänel
Berthold Austermühle MBA.
Anni Seidel B.Eng.
Dr. Hans-Albert Stroh
Josefa Lange
Hans-Herbert Gutknecht
Prof. Mathilde Segebahn MBA.
Prof. John Jessel
Ing. Carin Zorbach MBA.
Univ.Prof. Paul-Heinz Heinz
Heimo Gorlitz B.A.
Hans-Bernd Zobel
Univ.Prof. Jörg-Peter Riehl
Dr. Mohamed Kroker B.Eng.
Holger Röhricht
Marko Kensy-Atzler
Luzie Sager-Gierschner
Liliana Zorbach MBA.
Christopher Sager
Hanspeter Benthin
Dr. Tony Ditschlerin
Sina Barkholz
Henry Schüler B.Eng.
Elli Kuhl B.Eng.
Reimar Rädel
Univ.Prof. Hans-Eberhard Bauer
Prof. Norbert Wilms B.A.
Heinz-Joachim Jähn
Evi Oestrovsky
Frau Dora Rosemann B.A.
Lucie Trüb-Schmiedt
Folker Otto MBA.
Dipl.-Ing. Alan Schacht B.Eng.
Georgine Schinke
Heiner Pieper
Halina Austermühle-Bender
Dipl.-Ing. Jens-Uwe Dobes
Dipl.-Ing. Gisa Jüttner B.Sc.
Arnulf Kusch
Brigitta Eimer
Edda Gertz B.Eng.
Calogero Wagner
Camilla Wiek
Dipl.-Ing. Lara Tlustek
Kathleen Hahn B.A.
Krista Scholtz
Prof. Ullrich Rosenow B.A.
Frau Belinda Plath B.A.
Wilhelm Klemm B.A.
Waldtraut Hoffmann
Cosimo Löffler B.Sc.
Lili Kaul
Frau Maria Jopich
Damian Jopich B.A.
Gottfried Martin-Martin
Hanife Ackermann
Gunhild Holt-Rust
Caterina Weinhage
Dipl.-Ing. Margaretha Köhler B.Eng.
Andrea Wulf
Univ.Prof. Francisco Tröst B.Eng.
Bozena Meyer
Dipl.-Ing. Svea Neureuther
Carin Mohaupt-Heser
Dorle Killer
Heinz-Günter Fischer
Faruk Birnbaum
Dipl.-Ing. Claas Ladeck
Claus Butte
Anthony Oderwald
Prof. Anna Kühnert B.Sc.
Emilie Bolander
Christopher Gertz-Kade
Prof. Trude Schäfer MBA.
Kristian Ritter
Univ.Prof. Anika Jockel MBA.
Francisco Schmidtke-Albers
Boris Bachmann
Heinz-Dieter Caspar-Hande
Herr Roderich Hauffer
Alfonso Grein Groth-Henck
Filippo Kostolzin
Hildegunde Staude
Yvette Margraf-Wernecke
Ingetraut Jopich
Univ.Prof. Beate Gude
Albina Stadelmann
Univ.Prof. Jörg Jessel MBA.
Raymond Drub B.Sc.
Constantin Beckmann
Kai-Uwe Mitschke
Ing. Carla Ziegert B.Eng.
Anna-Luise Eckbauer
Ole Ritter MBA.
Ljiljana Henk
Ludger Stiffel
Karl-Wilhelm Rogner
Natalie Werner
Hans-Bernd Trupp
Lilli Harloff
Frau Kirsten Boucsein
Jörn Barth-Möchlichen
Univ.Prof. Nikolaus Sölzer B.A.
Karl-Otto Putz
Konrad Henschel
Prof. Susanne Rose
Univ.Prof. Resi Knappe
Herr Hanno Hesse
Sylwia Bolander
Xenia Margraf
Sedat Gude
Herr Andy Förster B.A.
Alwina Koch
Dr. Maren Steckel B.Sc.
Klemens Knappe
Reimar Kabus
Hans Jörg Koch
Valeri Mielcarek
Toni Scholl-Scholl
Tomas Gröttner
Anika Binner-Löffler
Olaf Weinhage
Theo Trubin
Karl-Jürgen Ziegert
Nikolaj Scholz
Mato Trubin
Ing. Helmuth Bruder
Willy Hornig
Prof. Katarzyna Gehringer B.Eng.
Frieda Tintzmann-Löchel
Dipl.-Ing. Bodo Junk B.Eng.
Hellmuth Hörle
Loni van der Dussen B.Sc.
Prof. Tillmann Holt B.A.
Daria Jopich
Franz Schweitzer
Hilmar Graf
Prof. Katalin Heinrich
Liliana Davids
Herr Klaus Peter Krause B.A.
Vitali Walter-Krein
Gertrude Ullmann
Dagmar Schinke B.Sc.
Tabea Schomber
Karl-Hermann Rädel-Müller
Irmtraut Hahn-Walter
Charles Heinz
Marie Henk B.Sc.
Alessandro Henk-Käster
Claudius Mude
Frau Mareile Birnbaum
Till Tlustek
Ing. Kristina Biggen
Hans-H. Naser
Dipl.-Ing. Rüdiger Otto B.A.
Alla Rohleder
Prof. Dolores Butte
Katja Heidrich
Hans-Hinrich Bohlander
Karlfried Rörricht
Wolf-Dieter Eigenwillig
Ing. Hanna Killer
Herr Leonid Röhricht MBA.
Frau Anne-Katrin Rädel
Carmelo Weinhold
Betti Zirme B.A.
Fredi Meyer-Weiß
Hans Dieter Fiebig B.Eng.
Elli Täsche B.Eng.
Imre Mülichen
Univ.Prof. Josefine Gerlach
Frau Trude Walter B.A.
Franz-Peter Preiß B.A.
Silvester Sorgatz MBA.
Anette Anders
Johannes Schuchhardt-Junitz
Isidor Heinrich
Tillmann Mude
Senta Wernecke B.Sc.
Aleksandra Stey MBA.
Pirmin Boucsein MBA.
Agathe Jäntsch-Käster
Ing. Elsa Liebelt
Dorothee Koch II
Ehrhard Häring B.A.
Moritz Spieß
Frau Ingried Rogner B.Sc.
Undine Eimer
Thorsten Herrmann
Alexa Dietz
Birger Becker
Salvatore Eberhardt-Ring
Michail Schmidt
Gislinde Wagenknecht
Nadeshda Mentzel
Korinna Spieß MBA.
Jessika Thies
Hartmuth Vollbrecht
Anton Drubin
Elias Hethur
Guenther Metz
Bernhard Rogner B.Eng.
Rosa-Maria Losekann-Schulz
Anni Kraus
Anatolij Junk
Karl-Friedrich Kitzmann
Hanny Martin
Univ.Prof. Kevin Juncken B.Eng.
Friedo Lorch
Theresa Caspar
Heide-Marie Heß B.A.
Anny Wähner
Christian Jacobi Jäckel
Francisco Wirth
Berit Pärtzelt
Rosi Spieß
Frau Inken Zimmer B.Eng.
Dipl.-Ing. Cora Baum
Hansjürgen Faust
Ing. Willi Warmer B.Eng.
Burkhard Holt-Schleich
Wally Anders B.Eng.
Heinz Dieter Zirme
Carsten Jüttner B.Eng.
Iwan Butte B.Sc.
Univ.Prof. Helge Pieper
Esther Hoffmann-Hermighausen
Mandy Loos
Prof. Stefania Briemer
Herta Hoffmann
Beatrix Gehringer
Wiltrud Ladeck MBA.
Heinz-Willi Jockel
Oskar Rosemann
Edda Jungfer
Hannelore Haase
Emilie Schmiedecke
Henry Hofmann B.Eng.
Antonietta Putz B.Eng.
Klaus-Peter Kitzmann
Hans-Willi Ladeck
Dunja Trub
Janin Hamann
Univ.Prof. Gislinde Rohleder
Valerij Weller-Barkholz
Prof. Folker Trupp B.Sc.
Prof. Guenter Mosemann
Julia Heinrich
Dipl.-Ing. Götz Bloch
Marc Henck B.Eng.
Frau Rosa-Maria Sauer B.Sc.
Inken Gorlitz
Elfi Kranz
Iris Mans
Sami Junitz
Gabriel Werner
Gerta Beer
Tülay Henschel
Dipl.-Ing. Sedat Sontag
Falko Kusch B.A.
Herr Oliver Stahr
Dr. Amir Jäkel
Nada Dowerg-Jähn
Frau Xenia Blümel
Hildegund Gunpf
Siegmar Keudel-Gude
Dr. Ralf Hölzenbecher
Carlo Bohlander
Lorenzo Hornig
Rosa-Maria Steckel
Univ.Prof. Gusti Schlosser
Hassan Kroker-Girschner
Dipl.-Ing. Jens-Peter Dippel MBA.
Ing. Hans-Heinrich Reichmann B.Sc.
Sonja Barkholz
Dorothee Seidel
Ing. Romy Gieß
Käthi Naser-Tlustek
Dipl.-Ing. Margarethe Holt MBA.
Inge Dehmel
Heidrun Lindner-Bolnbach
Herwig Jäntsch B.Sc.
Ing. Rosina Kabus MBA.
Mariana Jüttner
Ingetraud Fiebig
Kunibert Hahn-Lindau
Irene Rogner
Traudl Röhrdanz-Spieß
Nina Ladeck
Oxana Ortmann MBA.
Annie Gnatz B.A.
Gülay Werner
Irmtraut Ortmann MBA.
Magda Geißler
Dr. Joseph Bien
Hulda Seidel-Carsten
Heide Hesse-Bärer
Heinz-Wilhelm Kuhl
Maria Hellwig
Osman Liebelt
Zita Wieloch-Scholtz
Andre Schönland B.Sc.
Klaus-Dieter Knappe
Hans-Theo Thies
Ing. Arndt Schäfer
Frau Hildegart Etzler B.A.
Torben Roskoth-Wilmsen
Astrid Schweitzer
Eva-Maria Eberth B.A.
Herr Wieland Hartmann MBA.
Vera Scholl
Univ.Prof. Manuela Heinrich
Irina Seip-Bolnbach
Frau Anne-Kathrin Wagner
Christel Bärer-Zirme
Rosalinde Killer
Kati Koch II
Wilfriede Misicher
Berndt Mohaupt MBA.
Tomasz Preiß
Lieschen Walter
Irina Birnbaum
Abram Vogt MBA.
Hans-Günther Scheuermann B.Eng.
Dr. Markus Roskoth B.Sc.
Ing. Toralf Wiek
Dr. Leo Schlosser MBA.
Marlies Mude
Eleni Mühle MBA.
Siegmar Dowerg
Harriet Ullmann
Nancy Eckbauer
Jennifer Hoffmann
Ortrun Pohl B.Eng.
Franz-Xaver Carsten
Ing. Roman Tröst
Jasmina Rudolph
Thorsten Gude
Fatima Rörricht
Milos Kuhl B.Sc.
Maria-Theresia Scholl
Hans-Friedrich Ruppert-Ullrich
Else Gröttner
Hans-Henning Heydrich MBA.
Sigrun Mälzer
Felicia Hamann
Cathrin Weitzel MBA.
Halina Römer-Hartung
Gloria Mosemann
Ingried Hauffer-Lübs
Eckehard Steckel
Ingbert Binner-Heidrich
Bertram Caspar
Heinz-Gerd Gorlitz B.Eng.
Cynthia Langern
Bayram Cichorius-Zobel
Univ.Prof. Heimo Dobes B.A.
Katharina Käster MBA.
Tino Kensy
Hans Dieter Stahr
Herr Wilhelm Schuchhardt B.A.
Klara Schlosser
Murat Förster
Wiebke Caspar B.A.
Reimar Trüb
Gert Hölzenbecher B.Sc.
Miguel Lehmann
Jens-Peter Heinrich
Prof. Monique Budig B.Eng.
Antonie Ladeck
Ignaz Stoll
Lukas Juncken MBA.
Kai-Uwe Köhler
Paul Carsten
Univ.Prof. Teresa Weinhage B.A.
Dr. Alwina Lorch MBA.
Wenzel Wilmsen
Dagmar Koch
Ilja Hölzenbecher-van der Dussen
Janna Kambs
Ellinor Schmidtke B.Sc.
Nikolaus Rosenow
Anett Bien-Schuster
Tino Wagenknecht B.Eng.
Wolf Martin
Prof. Angelique Seidel MBA.
Univ.Prof. Fatima Faust B.A.
Andrew Schlosser
Telse Steuer B.Eng.
Ignaz Löwer
Linus Mans-Röhrdanz
Asta Mielcarek-Blümel
Hans Jürgen Winkler
Valeska Geisler B.Eng.
Univ.Prof. Damian Sorgatz B.Eng.
Rosa Kobelt
Ing. Clemens Wirth
Reinhilde Hesse B.Sc.
Egbert Heintze
Univ.Prof. Henry Wohlgemut B.Eng.
Catherine Huhn
Ljiljana Kostolzin
Ingbert Hartung
Philip Mangold
Bertha Barkholz
Siegmund Hövel
Hans-Ulrich Liebelt-Hauffer
Luigi Junitz
Veit Etzler
Univ.Prof. Josefine Lindau
Felicitas Kensy-Stey
Dipl.-Ing. Karsten Fechner
Uli Renner
Dipl.-Ing. Annelise Naser
Hans-Karl Bauer B.Eng.
Ivanka Gierschner-Pergande
Helge Finke-Wähner
Marleen Etzler
Gregor Loos-Gehringer
Agatha Sager-Geisler
Ditmar Bien
Univ.Prof. Matthäus Gude
Bekir Bonbach
Wolf Häring-Kallert
Alexandros Ernst
Univ.Prof. Isabel Ladeck
Prof. Jelena Krebs B.Sc.
Angelica Lorch B.Eng.
Peer Bärer
Nadja Schleich MBA.
Siegfried Schuster
