Student
Heinz-Otto Linke
Carla Tintzmann
Benno Kraushaar
Ing. Karin Werner
Giesela Wagner
Fritz Schenk B.A.
Konrad Henschel
Ing. Berta Oestrovsky B.Eng.
Kordula Drub B.Sc.
Jan Freudenberger
Heinz-Joachim Trupp
Friedericke Roht
Bianka Dobes-Seifert
Elli Kuhl B.Eng.
Dipl.-Ing. Theobald Knappe B.Eng.
Univ.Prof. Lucia Zobel
Hansjürgen Lindner
Ottilie Trüb
Univ.Prof. Ludwig Jähn B.A.
Sandy Fechner
Aldo Kusch-Klemm
Dipl.-Ing. Iris Stumpf MBA.
Burkhard Schweitzer
Gregor Loos-Gehringer
Ing. Pauline Linke
Ing. Hellmuth Scholl
Rosalia Pruschke
Georgine Schäfer
Univ.Prof. Gunda Höfig
Aloys Barkholz
Viviane Fritsch-Martin
Folkert Schwital
Frau Lisbeth Girschner MBA.
Aenne Kraus
Ing. Siegrid Birnbaum
Wilfried Radisch
Eleni Matthäi
Michael Mies B.Sc.
Hans-Christian Trüb
Siegward Hertrampf
Gilda Faust
Heinz-Joachim Kobelt
Ditmar Dehmel
Siegfried Knappe
Frau Anka Hering
Edmund Schmidt-Fliegner
Tillmann Matthäi B.Eng.
Univ.Prof. Rotraut Juncken B.A.
Hanns Stiffel
Ibrahim Eberth
Dipl.-Ing. Jörgen Rose B.Eng.
Imre Sauer
Nurten Henschel-Stroh
Univ.Prof. Simona Holzapfel MBA.
Antonina Pärtzelt-Gerlach
Sylvester Hamann
Karl-Hermann Rädel-Müller
Carmen Weinhold
Theo Trubin
Martine Conradi
Karoline Carsten
Janko Rose
Ehrenfried Drubin-Paffrath
Bernward Fröhlich
Jens-Uwe Käster
Ing. Bianca Paffrath
Zoran Oestrovsky
Frau Marie-Therese Mielcarek
Antonius Käster
Frau Hildegart Etzler B.A.
Sabine Gude
Osman Schäfer
Margaret Kramer B.A.
Eleonora Gehringer
Domenico Nohlmans-Eberhardt
Anatoli Caspar
Diane Butte-Schleich
Gitte Rohleder-Bruder
Harm Nette
Prof. Kaspar Mosemann
Univ.Prof. Heinz-Dieter Schuster
Tino Wagenknecht B.Eng.
Dipl.-Ing. Ilse Heß B.Sc.
Ralf-Dieter Rörricht B.Eng.
Elif Röhricht
Roderich Weitzel
Dr. Diedrich Krebs B.A.
Hans Jörg Koch
Wieslaw Löchel
Stanislav Löffler MBA.
Anton Stey
Michael Scholz
Gerda Gröttner B.Sc.
Ing. Klaus-Dieter Karge MBA.
Janine Söding
Karl-August Döhn B.A.
Mohammed Ritter
Emmy Trub MBA.
Dr. Anto Wende
Univ.Prof. Dolores Rust
Dr. Damian Scheel
Dr. Mohammed Höfig
Hartmuth Vollbrecht
Bianca Mans
Tanja Rörricht-Haering
Eva-Maria Zänker
Frau Bianka Henk B.Sc.
Sofie Schmiedecke
Edith Kostolzin
Hartmut Zirme
Inna Schulz
Theresa Killer
Wenke Stolze
Marisa Wagenknecht
Damian Dörr
Ing. Chantal Schleich B.Eng.
Gunhild Zimmer
Dr. Vitus Franke
Justine Dippel-Rosemann
Prof. Trude Schäfer MBA.
Annamaria Hesse
Dipl.-Ing. Edgar Gehringer B.Eng.
Ing. Bianka Bärer MBA.
Karl-Wilhelm Weiß
Bernhard Becker
Corina Pergande
