Student
Jörn Trupp MBA.
Irma Neureuther
Marko Kensy-Atzler
Margit Müller
Katharine Mohaupt-Heuser
Hildburg Dowerg-Pergande
Janusz Trub-Mühle
Ditmar Adolph
Sergej Dippel
Lidija Pärtzelt
Dr. Mohamed Kroker B.Eng.
Ilonka Rose
Margaret Kramer B.A.
Theodor Mangold
Herr Janus Matthäi B.Sc.
Sylvester Neuschäfer-Schacht
Liane Fechner
Daniela Weimer
Raphael Barth
Univ.Prof. Wibke Reinhardt B.Eng.
Trudi Kranz B.Eng.
Janin Hamann
Adriane Heinz-Metz
Dipl.-Ing. Johanna Henck
Karl-Peter Hering
Evelyne Beyer
Klaus-Werner Koch II B.Sc.
Reiner Ziegert-Walter
Dr. Lea Kraushaar B.Eng.
Roy Gumprich-Klemm
Bernhard Fischer
Annette Schwital
Prof. Susanne Heidrich B.Eng.
Friedericke Lehmann B.Sc.
Romy Zahn-Bien
Prof. Sylvana Trapp
Patricia Schäfer
Margret Hentschel-Davids
Horst-Peter Ritter
Dipl.-Ing. Enver Drubin
Siegbert Hartmann B.A.
Massimo Ernst
Wilma Drub B.Eng.
Hans-Hinrich Bohlander
Dr. Jann Wesack B.A.
Franz Ortmann B.Eng.
Prof. Beatrix Döring MBA.
Pirmin Reising
Univ.Prof. Natalie Flantz
Rosa Kobelt
Wilfried Börner
Katharine Renner
Yvette Margraf-Wernecke
Dipl.-Ing. Oskar Vogt B.A.
Leonardo Lehmann
Florentine Eimer
Jann Geisler
Paul Hettner
Enver Conradi-Hecker
Dipl.-Ing. Apollonia Steuer
Dipl.-Ing. Corina Fischer
Univ.Prof. Niklas Mohaupt MBA.
Dipl.-Ing. Bekir Boucsein
Annett Ullrich
Hüseyin Stahr
Hildegard Roht B.Sc.
Dipl.-Ing. Dajana Beer
Franz Schweitzer
Tatiana Kade-Rust
Giesela Wagner
Ellen Trub
Anastasios Drub
Phillip Hermann
Ivan Plath
Dipl.-Ing. Ismet Käster B.Eng.
Frau Britt Heß
Emma Hornich-Kraushaar
Mesut Trommler
Clarissa Buchholz
Hansgeorg Klotz
Bettina Klapp
Herma Geisler-Beckmann
Radmila Kraus-Schacht
Milos Kuhl B.Sc.
Dipl.-Ing. Jaqueline Striebitz
Nick Hermighausen-Krein
Traudl Röhrdanz-Spieß
Senol Hölzenbecher
Janusz Beckmann
Leonore Schacht
Fredo Paffrath-Kohl
Benno Kraushaar
Univ.Prof. Milan Hande
Slawomir Ehlert-Reising
Domenico Nohlmans-Eberhardt
Univ.Prof. Alexa Junitz B.Eng.
Christa Kabus
Univ.Prof. Hans-Eberhard Bauer
Marcus Langern
Dipl.-Ing. Hans-Günther Schuster
Univ.Prof. Tina Rose
Univ.Prof. Theresia Lange MBA.
Mahmut Rose B.A.
Luciano Tintzmann
Univ.Prof. Dolores Jäkel
Saskia Kallert
Erdal Bähr
Marek Hesse B.Eng.
Rosa Hübel
Mike Hofmann
Marlene Heuser-Trub
Karl-Ludwig Bolnbach
Frau Herlinde Kade B.A.
Heinz-Günter Fischer
Univ.Prof. Markus Finke B.Sc.
Univ.Prof. Ricardo Sorgatz B.A.
Kai-Uwe Bohnbach
Univ.Prof. Ivanka Hübel
Marliese Becker
Gunter Misicher
Josip Kuhl
Edmund Junck
Maurizio Hartmann
Prof. Ingbert Nette
Dipl.-Ing. Wilfried Ortmann
Jurij Bärer
Helena Franke
Radmila Schomber B.Eng.
Ann Mielcarek
Tina van der Dussen
Hildegart Weitzel
Dipl.-Ing. Sibylle Kensy
Prof. Gundula Dörr B.Sc.
Alfredo Bolzmann B.A.
Pia Fliegner
Ignaz Löwer
Orhan Dörr-Salz
Annamaria Margraf
Dogan Bolander
Angelo Röhrdanz
Lili Döhn-Margraf
Herr Rolf-Peter Renner MBA.
Hanife Ackermann
Philip Fritsch
Karolina Hartmann
Olaf Juncken
Dipl.-Ing. Hans-Günther Peukert B.Eng.
Nils Hermighausen
Martin Dörr
Aneta Heydrich
Gunda Knappe
Kristina Wernecke
Ing. Therese Rust
Nina Putz-Ritter
Willy Weiß
Susann Hartung-Schmiedecke
Ing. Kay-Uwe Flantz
Sibylle Jäntsch
Henri Wilms
Jenny Scholtz
Arno Lindner
Univ.Prof. Halil Staude
Univ.Prof. Steffen Tröst
Mahmoud Ditschlerin-Trüb
Stanislaus Davids MBA.
Aribert Schulz B.Eng.
Alwine Wirth-Klemm
Hansgeorg Hettner
Ing. Wiltrud Sauer B.Sc.
Jeannette Heuser
Dr. Miguel Jungfer
Tülay Trapp
Faruk Köhler
Heinz-Joachim Kobelt
Emil Preiß-Hecker
Dipl.-Ing. Friedrich Hiller B.Eng.
Rosa-Maria Reising
Canan auch Schlauchin-Dussen van
Elli Kohl
Nermin Martin
Arno Ullmann
Anka Jäkel-Ackermann
Hiltraud Klemm-Pärtzelt
Wiltrud Jäkel
Irena Wilmsen
Herr Wieland Hartmann MBA.
Univ.Prof. Nadeschda Staude
Lisette Schönland B.Eng.
Kristiane Zahn
Gitta Mohaupt
Zita Ullmann-Heydrich
Lidija Löchel B.A.
Dr. Elvira Cichorius B.A.
Dipl.-Ing. Henriette Lindau
Prof. Marika Junken B.Eng.
Evelin Wagenknecht-Döhn
Lisbeth Karge
Therese Rohleder
Meinhard Schuster
Danilo Ehlert
Jerzy Hermighausen-Lübs
Annaliese Gute
Alexandra Henk MBA.
Lieselotte Dussen van MBA.
Magdalena Warmer MBA.
Zdravko Müller-Fritsch
Hans Georg Gorlitz-Schäfer
Prof. Sahin Kreusel
Recep Hecker
Meinrad Barkholz B.Eng.
Dagmar Schinke B.Sc.
Ing. Rocco Reuter
Patrizia Spieß
Rainer Henk-Gotthard
Hans-Christian Finke
Udo Grein Groth
Dipl.-Ing. Theobald Knappe B.Eng.
Ehrhard Klotz
Dr. Leopoldine Kostolzin
Jost Gröttner-Mülichen
Ignaz Warmer
