Student
Frau Xenia Blümel
Wojciech Girschner B.A.
Univ.Prof. Kläre Oderwald B.Sc.
Luciano Biggen
Elvira Mälzer
Bertha Heser MBA.
Lydia Jopich
Klaus Peter Weller
Thies Blümel
Senta Ruppersberger
Annamaria Hesse
Eleni Franke
Karlfried Franke
Ekrem Pruschke-Jäkel
Helma Zorbach
Heidelore Heinrich
Stefanie Hertrampf MBA.
Wilma Röhrdanz
Klaus-Peter Zorbach
Thies Rose
Alina Hoffmann
Baptist Vogt
Herr Anton Mohaupt B.A.
Dominic Martin
Roswita Sauer
Adelinde Putz
Univ.Prof. Traude Gertz
Emmerich Wilmsen
Dipl.-Ing. Erwin Hamann
Univ.Prof. Hans-Rudolf Wohlgemut
Ing. Mariechen Nerger B.Eng.
Lothar Fischer
Centa Bohlander-Stiebitz
Annekatrin Schleich
Nathalie Lehmann
Dorothee Koch II
Hans-Friedrich Heydrich
Frau Kordula Geisler MBA.
Kordula Lange
Almuth Rosenow-Schönland
Aleksandra Stey MBA.
Dipl.-Ing. Cynthia Hauffer B.A.
Michaela Kade
Frau Hildegart Etzler B.A.
Prof. Dorit Käster B.Sc.
Dr. Hans-Willi Hertrampf MBA.
Prof. Concetta Mies B.Eng.
Alwina Koch
Herr Lukas Eimer
Heinz-Joachim Kobelt
Dorota Wilms
Frau Anne-Katrin Rädel
Hans-Bernd Trupp
Dr. Diedrich Atzler
Ivana Mans-Bruder
Detlev Wilmsen
Frau Nuray Mangold MBA.
Leopoldine Butte
Univ.Prof. Heinrich Reinhardt MBA.
Ing. Willibert Steckel
Heinz-Wilhelm Kuhl
Dana Schäfer
Karlfried Rörricht
Sigurd Höfig B.Sc.
Zita Winkler
Rose-Marie Jäkel
Andrey Lorch
Robin Junk-Henk
Daria Liebelt
Prof. Lydia Siering
Ing. Lucie Karz
Juergen Bähr
Valentin Rädel
Dipl.-Ing. Grete Stiebitz
Alicja Gieß
Nina Putz-Ritter
Isabell Buchholz
Erhard Geisel
Univ.Prof. Charlotte Lindner MBA.
Ottilie auch Schlauchin B.Eng.
Xaver Schönland
Otmar Ditschlerin
Prof. Hans-Gerhard Reinhardt B.Eng.
Nurten Henschel-Stroh
Hans-Theo Kuhl
Jens Trub
Jeannine Heinz-Tlustek
Luisa Seip B.Sc.
Marleen Austermühle-Tintzmann
Ralph Schottin-Graf
Ing. Hedi Wulf
Janos Kobelt-Henck
Pawel Peukert-Rörricht
Marie-Luise Rogner
Steven Trub
Hanne-Lore Kraus
Hanife Thies
Frau Julia Fliegner
Slobodan Hauffer
Valentin Klingelhöfer
Heinz-Gerd Beyer
Univ.Prof. Dorle Röhrdanz B.A.
Lambert Misicher-Dörschner
Silvia Weiß
Karla Wirth
Ewa Kade
Wilma Drub B.Eng.
Patrizia Wirth
Conrad Killer
Ida Buchholz B.Eng.
Valentin Gute
Lieschen Steckel
Enver Dehmel
Branka Hering
Augustin Ernst
Ilka Heß
Tülay Scholtz
Ilonka Noack
Jakob Seifert
Karen Grein Groth-Dörschner
Stilla Klotz
Nikolas Heß
Henryk Plath-Jopich
Fredy Hiller
Nadin Radisch
Frau Trudel Hövel
Horst Reising
Wibke Cichorius
Ernst-Dieter Geisler B.Eng.
Prof. Jelena Krebs B.Sc.
