Student
Dipl.-Ing. Reimer Werner MBA.
Dipl.-Ing. Henrike Hörle B.A.
Hans-H. Pergande
Hagen Girschner
Felicitas Kensy-Stey
Klaus Dieter Stoll-Wilms
Kazim Hörle
Raphael Barth
Jo Dussen van
Henryk Bauer
Cornelia Gehringer
Heinrich Putz B.Sc.
Anatolij Junk
Karen Grein Groth-Dörschner
Raymond Speer
Frau Elsa Mälzer
Joachim Löffler-Riehl
Johannes Freudenberger
Luis Ackermann
Anne-Rose Klapp-Jockel
Emmerich Wilmsen
Gerta Stey-Klemm
Amalie Gotthard
Carla Ruppersberger
Janko Margraf MBA.
Ivo Wesack B.Sc.
Juliana Schönland
Gaetano Lübs
Ismet Kroker
Engelbert Carsten-Hiller
Prof. Nikolai Gunpf
Dr. Hildegund Gnatz B.Eng.
Tanja Rörricht-Haering
Dipl.-Ing. Tamara Seifert B.A.
Ignaz Beer-Eckbauer
Ing. Denny Mende
Maurice Pieper-Loos
Mechtild Niemeier
Olivia Thies B.A.
Valeria Conradi
Dr. Leo Schlosser MBA.
Univ.Prof. Hardy Hartung
Jessika Käster
Herr Sigismund Gieß MBA.
Siegbert Seifert
Fanny Zänker-Hein
Dipl.-Ing. Katarina Schmidtke
Dipl.-Ing. Julian Mühle
Gretchen Jessel B.Sc.
Felicia Hamann
Eva-Maria Geisler
Dipl.-Ing. Tomislav Dowerg B.Eng.
Janine Müller-Steckel
Ilka Faust
Madeleine Henk
Susan Warmer
Ottilie Gute
Dipl.-Ing. Babette Bauer B.Sc.
Dr. Torben Stey
Hans-Rudolf Fröhlich
Prof. Tina Nohlmans MBA.
Ilija Eckbauer-Steinberg
Valeria Mende
Filippo Jäntsch
Andy Mangold
Valentina Weihmann-Zahn
Univ.Prof. Teresa Weinhage B.A.
Bernadette Sorgatz
Hartwig Keudel B.Eng.
Brigitte Knappe
Ulla Süßebier
Tibor Schleich
Jann Fröhlich
Frau Kirsten Boucsein
Claudio Freudenberger
Jose Tlustek B.Sc.
Urs Bähr
Ellen Jessel-Walter
Jonas Walter
Waltrud Jockel B.Eng.
Frau Jane Sauer
Carmelo Klapp-Berger
Burkhardt Holt
Ing. Igor Barth
Hildegunde Wende-Spieß
Bodo Ullrich
Herr Rolf-Peter Renner MBA.
Maren Anders
Hanspeter Benthin
Aribert Kusch
Herr Bartholomäus Adolph MBA.
Horst-Peter Thies
Dipl.-Ing. Marek Jockel
Jiri Bärer
Heike Karge
Ramona Henk B.Sc.
Henny Vogt
Conny Geißler-Karge
Dipl.-Ing. Patric Johann
Zoltan Wilms
Dr. Carmela Rudolph
Herr Gustav Noack
Adina Finke
Dagobert Sorgatz
Klaus Lorch-Graf
Wiltrud Dietz
Antonia Stey
Prof. Bertha Jacobi Jäckel MBA.
Dr. Gabriela Geißler
Agathe Söding
Anneli Wernecke
Kunibert Trommler-Renner
Canan Beyer
Univ.Prof. Hans-Albert Ruppert
Ing. Catrin Dippel MBA.
Lissi Rust-Metz
Dipl.-Ing. Liliana Hartmann
Bayram Meister
Ing. Loni Gnatz MBA.
Univ.Prof. Dana Seifert
Ivana Nerger
Dipl.-Ing. Emanuel Nette
Yasemin Hande
Gülsen Davids-Heinz
Kathi Hering
Philipp Killer B.A.
Margit Klapp
Anne-Rose Klemm
Ing. Georg Lübs
Lena Holzapfel
Univ.Prof. Anika Pärtzelt MBA.
Elmar Patberg
George Hörle
Ole Losekann
Hans-Henning Heydrich MBA.
Heinz-Peter Biggen
Reinhild Pergande
Mariusz Stadelmann-Jähn
Romy Baum
Alexander Hörle
Timm Wende
Dr. Siegfried Heinz B.Eng.
Prof. Klaus Peter Hellwig B.Sc.
Svea Krebs-Scheibe
Babette Rohleder
Adelheid Schinke
Siegmar Keudel-Gude
Dr. Rotraud Gorlitz
Prof. Anka Schulz
Univ.Prof. Anneke Gunpf
Tony Hecker
Fredi Lindner
Giuseppe Trupp
Manuel Krause MBA.
André Röhrdanz B.A.
Olaf Juncken
Wanda Vollbrecht-Reinhardt
Mike Sölzer
Ing. Petar Hänel MBA.
Bianka Holsten
Herr Jens Becker MBA.
Ing. Serpil Rudolph MBA.
Regine Sorgatz
Ing. Massimo Losekann
Wera Schmidt
Herr Wilhelm Schuchhardt B.A.
Ayse Scheuermann-Sölzer
Gino Hartung
Dipl.-Ing. Elly Davids B.Sc.
Victoria Hiller
Anastasia Mans
Irmgard Hövel
Kay-Uwe Ziegert
Marcella Franke B.A.
Gunnar Hornig
Dipl.-Ing. Tina Wagenknecht MBA.
Mathias Matthäi
Hasan Klemm
Frau Hella Stumpf
Tomasz Preiß
Juergen Beier B.A.
Gülten Peukert
Anatoli Caspar
Dora Jockel
Mareike Scholl
Woldemar Heinz
Ing. Monika Ullrich
Ingbert Binner-Heidrich
Gundula Klotz
Frau Ingried Rogner B.Sc.
Henryk Plath-Jopich
Rita Käster B.A.
Liliana Zorbach MBA.
Leokadia Finke-Dippel
Olivia Jäkel
Ing. Klaus-Michael Bolzmann
Aldo Kusch-Klemm
Dipl.-Ing. Hardy Kohl
Ljudmila Nerger
Anita Mohaupt
Jakob Döring
Herr Dimitri Mohaupt B.A.
Rosa Kobelt
Frau Raissa Ruppersberger B.Eng.
Univ.Prof. Regina Salz B.Eng.
Dr. Hans-Albert Stroh
Heimo Huhn B.A.
Irina Seip-Bolnbach
Ing. Eugenie Birnbaum
Heinz Dieter Trubin
Sonja Paffrath-Reichmann
Eileen Etzler
Theodor Bolnbach-Kroker
Gotthilf Gertz
Kornelius Winkler
Willy Kallert
Cetin Schwital
Lorenz Schwital-Stadelmann
Dr. Gabriel Freudenberger MBA.
Marianna Karge
Mina auch Schlauchin
Luisa Seip B.Sc.
Mattias Wieloch
Henri Wirth
Ing. Klaus-Dieter Karge MBA.
Andre Mülichen-Scholz
Folker Fischer
Roswita Atzler
Cathrin Weitzel MBA.
Kordula Kambs B.Eng.
Univ.Prof. Franca Ritter B.Eng.
Elfi Bolander
Mirjana Schlosser B.Eng.
André Kraushaar-Henck
Valerij Schulz B.A.
Hans-Uwe Noack-Fröhlich
Ernest Stahr
Univ.Prof. Ilja Hentschel MBA.
Gordana Bolnbach
Denis Weimer
Jessica Gotthard
Dogan Rogge
Bernt Conradi
Sergej Hauffer MBA.
Herr Rüdiger Ruppersberger
Arzu Ullrich
Dipl.-Ing. Hans-Günther Bien
Univ.Prof. Traude Gertz
Eberhardt Mielcarek
Janusz Eberhardt MBA.
Ing. Marcel Gute
Jessica Stumpf
Vesna Wähner
Jasmina Bolzmann-Hövel
Ing. Heinz-Josef Hoffmann
Inna Weinhage
Dr. Mario Lorch
Ida Weihmann
Elfi Fröhlich-Löchel
Leon Linke
Siegbert Kranz
Univ.Prof. Nadine Gnatz
Vassilios Kramer
Damaris Zirme
Univ.Prof. Rotraut Juncken B.A.
Dipl.-Ing. Dorina Lindau B.Sc.
Eleni Franke
Gundula Scheel-Döring
Luise Junk
Hans-Detlef Schleich
Univ.Prof. Philomena Kensy
Ekkehart Grein Groth
Michael Scholz
Gretchen Eimer-Wilmsen
Ing. Rotraud Schmidt
Damian Hentschel
Slawomir Tlustek B.A.
Meral Liebelt
Renate Franke B.A.
Thilo Berger
Ing. Marko Linke
Detlev Stadelmann
Änne Schweitzer-Putz
Annekatrin Wilms
Ernst-August Gunpf
Horst-Dieter Gude
Kordula Dobes-Buchholz
Dipl.-Ing. Rigo van der Dussen B.Eng.
Kathrin Beckmann-Heinz
Univ.Prof. Michail Tintzmann B.Eng.
Eveline Birnbaum
Jerzy Wagenknecht B.A.
Benno Klemt
Dr. Mato Geisel
Daniele Finke
Hannchen Drewes B.Sc.
Julie Mosemann
Frau Dora Rosemann B.A.
Mariusz Wilmsen B.A.
Dr. Rolf Walter
Prof. Fredy Hahn
Wiltrud Wilmsen-Graf
Janko Stey MBA.
Horst-Dieter Seifert
Isa Koch
Gertraud Tröst
Ing. Heinz Ehlert
Bodo Martin
Emilia Römer
Berthold Rohleder
Katharina Krause-Hornig
Univ.Prof. Frederike Heintze
Utz Christoph-Henck
Imke Keudel B.Sc.
Prof. Sylvio Gumprich
Isa Weihmann
Alina Spieß
Nikolai Rädel-Klemt
Ing. Josip Ruppert
Deborah Scholtz B.A.
Herr Herbert Dowerg
Frau Patricia Schmiedecke B.Eng.
Dipl.-Ing. Karl-Heinz Rörricht
Ryszard Anders B.Sc.
Marek Schenk B.A.
Renato Bolnbach
Elvira Cichorius
Gerti Trupp-Dowerg
Angelica Klemt
Ingrid Rudolph
Franz Josef Girschner
Czeslaw Bohnbach B.Eng.
Lilly Beckmann B.Sc.
Herr Hans Rogge
Ing. Nadeschda Tschentscher B.A.
Johan Heydrich
Hansjoachim Salz-Junk
Ekkehart Niemeier
Claire Faust B.A.
Univ.Prof. Fatima Hiller B.A.
Siglinde Zahn
Krzysztof Niemeier-Kostolzin
Burckhard Heuser
Prof. Siegbert Scheuermann B.A.
Francesco Drub
Günther Mude B.A.
Magdalena Löwer B.Eng.
Anne-Rose Hettner B.A.
Josef Rädel
Hilmar Ziegert
Dipl.-Ing. Mariola Lange B.Sc.
Herr Günther Krein MBA.
Philip Fritsch
Stavros Zirme
Amanda Heinz
Reimer Kitzmann
Helge Wilmsen-Hein
Hansgeorg Beier-Freudenberger
Herr Winfried Vollbrecht B.Eng.
Thorsten Bolzmann-Hesse
Julia Graf
Falko Kusch B.A.
Franka Peukert
Janett Zorbach
Zeljko Hiller-Misicher
Ing. Bernfried Pruschke
Iwan Butte B.Sc.
Anna-Marie Zorbach
Univ.Prof. Ivanka Hübel
Melissa Gehringer
Frau Magarete Mans B.Sc.
Herr Benedikt Säuberlich
Simona Heidrich
Herr Hermann-Josef Lehmann B.A.
Dipl.-Ing. Nathalie Bender
Ing. Zbigniew Warmer MBA.
Susann Mielcarek
Dipl.-Ing. Wanda Dussen van
Otmar Ditschlerin
Cecilia Scholz-Barth
Bertha Reuter
Metin Peukert-Lindner
Bernhardine Wilmsen
Horst-Peter Ritter
Dr. Jochen Schäfer
Friedlinde Sauer
Prof. Ingbert Nette
Mehdi Neureuther
Dr. Trude Ziegert B.A.
Francoise Rust
Hans-Detlef Bender
Fatma Löffler B.Sc.
Dr. Sedat Schäfer
Alexandre Häring
Prof. Berend Käster B.A.
Frau Myriam Walter B.Sc.
Dr. Elif Peukert B.Eng.
Zita Klemt
Hans-Bernd Eimer-Pechel
Dr. Alma Warmer MBA.
Heiner Ruppersberger-Hentschel
Rosina Ortmann
Raymund Koch II-Margraf
Eleonore Kuhl-Koch
Hellmut Siering
Hanne-Lore Berger
Willy Trub-Freudenberger
Nurettin Koch II
Rena Radisch
Theda Stumpf B.Eng.
Franz Ortmann B.Eng.
Annett Ullrich
Johann Rust
Nina Müller B.Eng.
Ludwina Beer
Marijan Kruschwitz
Annemarie Schaaf B.Sc.
Lilija Ruppert
Dr. Songül Tlustek MBA.
Theodora Aumann
Matthias Dowerg
Frau Clarissa Rosenow B.A.
Albrecht Metz B.A.
Dipl.-Ing. Jiri Wesack B.A.
Dr. Almut Peukert MBA.
Insa Karz-Mangold
Sibylle Stey
Justina Zirme
Janet Ullrich
Vitali Junken
Alwina Koch
Paolo Wernecke
Eckhart Gutknecht
Prof. Annita Wulff
Nurettin Dippel
Ibrahim Ditschlerin
Univ.Prof. Dorina Lange
Hans-Herbert Eckbauer
Erica Lachmann
Herr Sylvester Jopich B.Eng.
Benno Hofmann
Thorben Henk-Mende
Margit Walter
Margarethe Wagenknecht
Brian Preiß
Damian Jopich B.A.
Edeltraud Kaul
Regina Hamann B.Sc.
Beatrix Rädel MBA.
Anne-Kathrin Geisler
Adeline Hahn
Sibille Kallert
Jonas Adler
Anna Linke
Damian Söding
Anselm Mühle
Frau Mira Klemm
Reinhard Beckmann
Ludwina Fritsch
Ingried Ullmann
Veit Etzler
Dolores Atzler B.A.
Änne Möchlichen
Helene Gröttner-Hornich
Muzaffer Sorgatz
Bertram Höfig B.Sc.
Zbigniew Höfig B.Eng.
Ing. Antonius Jacobi Jäckel MBA.
Wilma Paffrath
Almuth Rosenow-Schönland
Berthold Jäntsch-Jessel
Dr. Emin Dietz B.Sc.
Milica Huhn
Dr. Ayse Martin MBA.
Dipl.-Ing. Rüdiger Otto B.A.
Domenico Gertz
Prof. Marie-Theres Löffler B.Sc.
Hans-Detlef Kobelt
Henning Fechner
Ing. Leander Weimer B.Eng.
Sinaida Roskoth B.A.
Richard Drub
Dr. Walburga Kobelt B.Eng.
Tibor Briemer
