Student
Alida Tröst
Giesela Wagner
Sara Rogge
Ariane Tintzmann
Agatha Kostolzin
Prof. Danny Bähr B.Eng.
Gotthard Scheuermann
Klaus-Ulrich Gude
Dipl.-Ing. Hans-Günther Schuster
Ekaterina auch Schlauchin
Prof. Romy Bohnbach
Prof. Mohammad Reinhardt
Margrit Förster
Dagmar Koch
Francesco Drub
Gertrude Pieper
Anne-Katrin Butte MBA.
Mesut Gute
Felizitas Jungfer
Karl-Otto Putz
Univ.Prof. Antonina Becker
Liliane Koch II
Cora Reichmann B.A.
Univ.Prof. Filiz Rudolph MBA.
Tibor Briemer
Desiree Gierschner B.Eng.
Kirstin Kusch-Meister
Prof. Vadim Rogner
Halina Segebahn
Bruno Martin-Kaul
Wolf-Dietrich Gotthard-Dussen van
Jörg-Peter Christoph
Silke Heydrich-Albers
Othmar Zänker
Heike Karge
Konstantin Ladeck
Jakob Döring
Anastasios Drub
Magdalene Hering MBA.
Madeleine Hermann B.Sc.
Herr Bodo Steckel
Mehmet Löwer-Trupp
Maren Scholz-Bohlander
Ing. Karl-Georg Dobes
Robin Flantz
Valerie Losekann
Dr. Hans-Peter Adolph MBA.
Ing. Pius Börner
Judith Sorgatz
Dipl.-Ing. Waltraut Kallert
Otmar Gierschner
Albrecht Metz B.A.
Heinz-Georg Döhn
Hans-Albert Wirth
Leni Heß
Sebastian Karge
Frau Emilia Pruschke B.A.
Liliane Gröttner-Albers
Anatolij Trub
Miroslawa Rose
Berthold Rohleder
Traudel Loos
Ing. Leopold Beier B.Sc.
Sofia Austermühle
Annelies Heidrich
Zita Winkler
Trude Ruppersberger
Evelyn Bien
Tomislav Schüler
Siegbert Schweitzer
Änne Schweitzer-Putz
Prof. Ignaz Cichorius
Dipl.-Ing. Gerold Kusch B.Eng.
Lars Eckbauer-Möchlichen
Harry Lange
Alicja Gieß
Gitta Hübel
Andy Jockel B.Eng.
Tomasz Niemeier
Justus Schüler MBA.
Swantje Binner B.A.
Gebhard Krein
Horst-Dieter Bähr
Edda Henschel
Kreszentia Bloch-Steckel
Hannes Meyer
Lilly Beckmann B.Sc.
Nicolaus Seifert
Caterina Ullrich
Henny Vogt
Frau Käte Zahn
Alicia van der Dussen-Patberg
Univ.Prof. Harro Fröhlich
Dogan Sauer
Rosalinde Losekann
Betti Zirme B.A.
Mehmet Sauer
Zenon Hahn MBA.
Kunigunda Hänel-Briemer
Alfred Holzapfel-Hamann
Heinz-Günter Weimer B.Sc.
Joachim Süßebier
Dipl.-Ing. Erwin Hamann
Karl-Heinrich Jacob
Ludmila Löffler
Marc Heintze B.A.
Hedi Bärer
Genoveva Gieß
Wenke Stolze
Sybilla Herrmann-Pärtzelt
Irina Täsche
Karl-Wilhelm Rogner
Faruk Hoffmann
Hilma Berger
Timo Siering-Hübel
Ann Stumpf
Konstanze Sontag
Josip Stey
Xenia Christoph
Hannchen Löwer B.Eng.
Dr. Matthias Niemeier
Horst Hauffer B.Eng.
Carsten Jüttner B.Eng.
Dipl.-Ing. Walfried Rosemann B.Eng.
Hildegunde Wende-Spieß
Natalia Stroh
Anne Zorbach
Waldtraut Hoffmann
Hans-Ulrich Dussen van
Janet Kade
Dr. Hildegund Gnatz B.Eng.
Nils Stey
Anka Gieß
Ing. Hatice Gehringer
Dr. Regine Gotthard
Ruth Hartung
Justine Lindner
Steffen Cichorius B.Eng.
Frederik Bohlander
Adelheid Salz
Werner Kramer B.A.
Monika Haering
Dr. Melitta Mans B.Eng.
Herr Christopher Speer
Klaudia Vollbrecht B.A.
Marcella Franke B.A.
Prof. Constance Girschner MBA.
Elizabeth Schlosser B.A.
Norbert Niemeier
Dr. Adriane Bärer B.Eng.
Bernt Jessel
Ing. Czeslaw Geisel
Hanne Ackermann
Frau Katarina Lindner
Elvira Cichorius
Herr Tino van der Dussen MBA.
Sina Barkholz
Raymond Speer
Tomislav Girschner
Ernst Gunpf-Naser
Wanda Becker
Ing. Zlatko Gerlach
Caren Neureuther
Czeslaw Jäkel-Röhrdanz
Roselinde Ebert
Madeleine Hartung
Ewa Bolnbach-Textor
Dr. Anika auch Schlauchin B.Sc.
Prof. Evelyn Henk
Ing. Marko Linke
Leokadia Bloch
Murat Linke
Annelie Metz
Anke Hettner
Tilo Hande
Dipl.-Ing. Woldemar Benthin B.A.
Maja Jungfer
Zoltan Wilms
Mechtild Hering
Thea Schmiedecke
Sigmund Kensy
Dipl.-Ing. Rüdiger Otto B.A.
Henni Mälzer-Tlustek
Miroslav Kohl
Hanne-Lore Berger
Geert Etzold
Dipl.-Ing. Mara Otto B.Sc.
Dipl.-Ing. Dragica Neureuther
Ing. Konstanze Schmidtke MBA.
Prof. Emil Kruschwitz
Univ.Prof. Michail Tintzmann B.Eng.
Miroslaw Holt
Marlies Beckmann
Ewa Eimer-Linke
Roland Ring
Michaela Kade
Frau Dana Röhrdanz
Eckart Cichorius
Prof. Magdalena Bohlander B.Sc.
Prof. Beatrice Misicher
Sigmund Hentschel MBA.
Immo Koch II
Geza Hertrampf B.A.
Krzysztof Kruschwitz
Jerzy Hermighausen-Lübs
Herr Louis Hövel
Heimo Knappe
Felix Hölzenbecher B.A.
Ditmar Adolph
Dipl.-Ing. Hanns Killer B.Sc.
Univ.Prof. Samira Drewes
Hanspeter Juncken
Friedl Hartmann
Roman Bloch
Dipl.-Ing. Christel Beer B.Eng.
Änne Boucsein B.Sc.
Dipl.-Ing. Gilbert Plath B.Sc.
Albin Budig
Jenny Scholtz
Univ.Prof. Blanka Linke B.Eng.
Matthäus Eckbauer
Pedro Pölitz
Rena Radisch
Dolores Conradi
Erol Kreusel B.Sc.
Danuta Kreusel
Slobodan Hauffer
Mahmoud Ditschlerin-Trüb
Henny Wulff
Ing. Krzysztof Kambs B.Eng.
Annita Lorch
Frau Inken Seip B.Eng.
Margret Hentschel-Davids
Antonino Klingelhöfer
Sinaida Adolph
Damian Bauer
Karl-August Liebelt-Köhler
Victoria Klingelhöfer
Tomas Tlustek
Dr. Tony Ditschlerin
Miguel Lehmann
Univ.Prof. Galina Kobelt B.Eng.
Stilla Köhler
Philip Weller B.A.
Nuran Schäfer B.A.
Toralf Jessel
Karl-Peter Heser
Prof. Balthasar Hecker B.Eng.
Nadin Hertrampf-Killer
Alexandre Häring
Ditmar Trub
Herr Gerolf Hermann B.Eng.
Konstanze Mühle
Gabriel Kreusel
Jerzy Mende-Wagenknecht
Prof. Ruth Gehringer
Joerg Döhn
Karl-Dieter Speer
Ing. Berta Oestrovsky B.Eng.
Diana Haering
Dipl.-Ing. Walburga Steckel
René Rose-Krebs
Giuseppina Linke
Olivia Schleich
Heinz-Willi Geisel
Irmengard Jüttner B.Eng.
Siegrid Paffrath
Marten Wesack
Arne Knappe
Paolo Weller-Heinrich
Eberhardt Fiebig
Dipl.-Ing. Mathias Metz B.A.
Henry Schüler B.Eng.
Prof. Tadeusz Mosemann B.Sc.
Veronique Löwer
Senta Warmer
Liesa Gröttner
Laszlo Nerger MBA.
Theres Heser
Dipl.-Ing. Mariola Lange B.Sc.
Christel Bärer-Zirme
Camilla Kühnert MBA.
Antonios Walter
Ing. Gabriela Dippel MBA.
Julia Ruppersberger
Franz Schweitzer
Sonja Paffrath-Reichmann
Mehmet Beckmann-Geisel
Magdalena Löwer B.Eng.
Oliver Bien
Larissa Mangold
Birgitta Loos
Marleen Austermühle-Tintzmann
Lilo Scholz
Ing. Valentine Scheibe
Constanze Schleich
Rene Henck
Univ.Prof. Heinrich Reinhardt MBA.
Oscar Fritsch
Stephen Kensy
Goran Benthin
Burkhardt Holt
Prof. Dorit Käster B.Sc.
Frau Francesca Blümel
Prof. Katrin Mülichen B.Eng.
Univ.Prof. Frederike Heintze
Erkan Kuhl-Oestrovsky
Dipl.-Ing. Marica Sager
Elli Junck
Helma Häring
Piotr Schaaf
Univ.Prof. Hartwig Holsten B.Sc.
Ben Zahn
Ilias Wagner
Gisela Hornich-Metz
Tobias Wirth
Amir Reuter
Klaas Eckbauer
Helma Fliegner
Eugenie Pieper
Dagmar Schinke B.Sc.
Hansjürgen Weitzel
Karl-Jürgen Ziegert
Clarissa Adler
Ing. Birte Heidrich B.Eng.
Ilja Preiß
Dr. Annika Gude MBA.
Prof. Olga Steckel B.A.
Marianna Etzler
Nikolaos Reichmann
Jadwiga Koch
Erwin Weimer-Bohlander
Hermine Wohlgemut
Tino Wagenknecht B.Eng.
Univ.Prof. Traudel Wernecke B.A.
Brian van der Dussen
Hiltrud Klemm
Karlfried Rörricht
Mary Hofmann B.A.
Alwin Scholl
Heribert Austermühle-Trupp
Ing. Damaris Bonbach
Rolf-Peter Staude
Herr Mahmoud Schleich B.Sc.
Reni Römer
Univ.Prof. Mira Riehl
Anneli Neuschäfer
Benjamin Lübs
Milan Weiß-Schuchhardt
Gloria Mosemann
Catrin Förster B.A.
Lena Wende
Emine Vollbrecht B.Eng.
Prof. Gertrude Renner B.A.
Giovanna Zobel-Liebelt
Sylvester Bachmann
Univ.Prof. Fatima Hölzenbecher
Marten Möchlichen
Malte Schäfer
Alena Hänel
Augustin Lachmann
Theodoros Vollbrecht-Gutknecht
Jost Lindau
Univ.Prof. Waldtraut Riehl
Ariane Löchel
Josip Kuhl
Mary Reuter B.Sc.
Kunibert Hahn-Lindau
Frau Beatrix Bonbach B.A.
Gert Naser
Amanda Stadelmann-Mende
Hanspeter Koch II-Wohlgemut
Mona Wiek B.Eng.
Vitus Schmidt
Univ.Prof. August Gunpf B.A.
Valentin Rädel
Karl-Ernst Reuter
Elwira Pölitz B.Sc.
Jacek Klemt
Herr Julian Gotthard B.Eng.
Jonathan Gertz-Hertrampf
Gudrun Heß B.Sc.
Klara Löchel-Bien
Nevenka Fritsch
Kristiane Steckel
Urban Pieper
Irmtraut Süßebier
Rene Berger-Jäkel
Clemens Barth
Ilonka Lange
Viktoria Trub-Budig
Dipl.-Ing. Klaus Geisler
Univ.Prof. Gottlob Tröst B.Eng.
Prof. Almuth Dippel
Kathi Hering
Trudel Bloch
Silke Scheuermann B.Sc.
Vincent Kranz B.A.
Maren Roht
Achim Etzold MBA.
Gisa Budig-Löwer
Univ.Prof. Marko Schmiedecke MBA.
Mariana Steckel
Liane Gröttner
Ing. Knut Christoph
Ana Klapp MBA.
Marit Thanel B.Sc.
Herr Mario Pergande
Annamaria Margraf
Sonia Säuberlich-Langern
Arif Pergande-Wagenknecht
Heinz-Günter Fischer
Änne Tlustek-Freudenberger
Dr. Jens-Uwe Ruppert
Dipl.-Ing. Hardy Kohl
Anselm Dowerg
Hans-Hermann Hande
Ulrike Ackermann B.Sc.
Univ.Prof. Karin Beier
Hartwig Sorgatz B.Eng.
Edit Martin B.Sc.
Udo Grein Groth
Mohammed Ritter
Ilonka Döring-Schulz
Dr. Elena Kade B.Sc.
Elke Hiller
Tobias Liebelt
Frau Gilda Ebert
Ivo Lorch
Univ.Prof. Anne-Kathrin Gerlach B.Sc.
Henriette Sager
Martine Zobel
Rainer Hänel
Anika Sager
Filippo Jäntsch
Marianne Hecker
Zita Klemt
Hans-Herbert Gutknecht
Karlheinz Martin
Hansjoachim Salz-Junk
Univ.Prof. Liliana Drub
Ing. Ivonne Nerger
Nicolai Röhricht-Spieß
Dipl.-Ing. Alla Karge
Ignaz Schottin
Käthi Lübs
Gebhard Kitzmann
Elise Heinz
Kläre Mohaupt-Salz
Dipl.-Ing. Margarete Schmidt
Hansjürgen Faust
Murat Meister
Geraldine Gutknecht
Edgar Bauer
Helga Franke
Aloys Barkholz
Dipl.-Ing. Manuel Kade
Cosima Johann
Erica Holsten
Helga Mosemann-Hecker
Univ.Prof. Viktoria Seifert
Desiree Klotz
Dipl.-Ing. Tomislav Dowerg B.Eng.
Dr. Ella Warmer
Univ.Prof. Jacqueline Faust
René Matthäi
Frau Annegrete Junk B.A.
Adam Gertz
Frau Monique Wesack B.Eng.
Ludmila Patberg
Ing. Ramazan Kabus B.Eng.
Friedo Ritter
Ilse Henschel
Herr Jens Ritter B.Eng.
Christl Wähner
Hilmar Hörle
Gerhart Davids B.A.
Edmund Schmidt-Fliegner
Goran Junck-Bauer
Erdal Bähr
Ing. Karl-Peter Weinhold B.Sc.
Luciano Biggen
Cilli Lindau B.A.
Gert Nette
Helga Hövel MBA.
Prof. Theda Hölzenbecher
Abram Vogt MBA.
Kristin Kaul B.Sc.
Deborah Becker
Gülay Haase
Urs Bähr
Birthe Trommler
Rosa Tintzmann
Myriam Aumann
Heinz-Otto Geisler B.Sc.
Dierk Steinberg
Susan Riehl B.Sc.
Univ.Prof. Pius Kühnert
Prof. Orhan Ladeck MBA.
Antonina Wagner
Prof. Folkert Ernst MBA.
Frida Stolze
Ernest Müller
Verena Davids
Catrin Ziegert-Meyer
Brita Jäkel
Michail Schmidt
Jana Langern
Mareike Reichmann
Frau Gertrud Jüttner
Gertrude Ullmann
Annamaria Hänel-Zimmer
Bruni Freudenberger
Dipl.-Ing. Hermann-Josef Jüttner
Olaf Wesack
Cord Mende B.Eng.
Lars Walter
Hans Jürgen Winkler
Andrei Säuberlich
Univ.Prof. Sybilla Gehringer
Sylke Binner B.A.
Berthold Austermühle MBA.
Sevim Junitz
Jonas Boucsein
Prof. Hermann Josef Söding
Miguel Dussen van B.Eng.
Prof. Robert Heintze
Rainer Henk-Gotthard
Sylvana Holzapfel
Marek Mitschke B.Sc.
Ekkehart Niemeier
Mechtild Niemeier
Wilhelm Klemm B.A.
Ahmet Pärtzelt
Evelyn Stolze
Univ.Prof. Siegrun Klingelhöfer MBA.
Samir Krein B.A.
Nicole Hoffmann
Hans-Willi Baum-Staude
Hans-Hinrich Bohlander
Rüdiger Heinrich
Meral Eberhardt B.A.
Inna Schulz
Carola Köhler MBA.
Zeynep Lehmann
Bernhard Fischer
Annie Gnatz B.A.
Univ.Prof. Anika Pärtzelt MBA.
Herr Rupert Jüttner MBA.
Ing. Jonas Schaaf
Raymond Löchel-Ziegert
Rahel Dörschner
Ing. Mattias Boucsein
Adam Krein-Karge
Kerstin Eigenwillig B.Eng.
Frau Krista Rädel B.Sc.
Jochem Hermighausen
Prof. Friedbert Tschentscher B.Eng.
Detlev Heintze
Senta Wernecke B.Sc.
Herr Wieslaw Trupp
Dajana Meyer
Dietrich Kruschwitz
Aenne Mende B.Eng.
Helga Gerlach-Seifert
Marlies Seifert-Roht
Drago Täsche
Massimo Ernst
Dipl.-Ing. Hans-Gerhard Schleich
Mirja Wähner
Ekkehart Binner
Eva-Maria Mies MBA.
Ing. Jens Henck B.Eng.
Ing. Ronny Metz B.A.
Ilija Fischer
Sybilla Eigenwillig
Ing. Gundolf Steinberg B.Sc.
Hanny Martin
Adelinde Zimmer
Ignatz Franke
Serge Kade
Univ.Prof. Adelbert Zimmer
Lisbeth Hentschel
Irina Birnbaum
Karl-Josef Thanel
Giuseppe Trupp
Mathias Matthäi
Rose-Marie Jäkel
Prof. Tillmann Holt B.A.
Lore Margraf
Krystyna Holsten B.A.
Daria Liebelt
Prof. Irmhild Fritsch
Gordana Bolnbach
Tino Paffrath B.Eng.
Viola Ackermann
Reinhardt Pärtzelt
Anastasios Karge
