Student
Univ.Prof. Aloisia Fröhlich B.A.
Hermann Josef Drubin
Natali Patberg B.A.
Ing. Nikolai Niemeier B.A.
Zeljko Henck
Ing. Hans Peter Schenk B.A.
Dr. Annika Gude MBA.
Hans-Herbert Walter
Veit Etzler
Dino Martin
Annemarie Schaaf B.Sc.
Jörg Haase-Röhricht
Univ.Prof. Vadim Vollbrecht B.A.
Prof. Reza Ebert B.Eng.
Aloys Trupp
Gaetano Paffrath
Sigmund Hentschel MBA.
Josefa Lange
Franz Josef Girschner
Dr. Aldo Fritsch
Peggy Haering B.Sc.
Dr. Peer Schwital MBA.
Hans-Ulrich Plath B.A.
Claire Rogner-Scheel
Kay-Uwe Dippel
Irmtraut Fröhlich-Hertrampf
Ingried Sauer
Rudolf Weihmann
Larissa Löffler
Uschi Dobes
Carmela Lindau
Marko Renner
Heinz-Günter Mülichen
Prof. Kaspar Mosemann
Thilo Patberg
Jan Gumprich
Hildegund Ruppersberger
Marion Wohlgemut B.A.
Univ.Prof. Francisco Tröst B.Eng.
Elvira Cichorius
Margot Ullmann
Univ.Prof. Franz-Josef Zänker
Josefa Hauffer
Ing. Alexandros Vogt MBA.
Brita Schwital
Mike Sölzer
Ing. Anatolij Heintze
Anne-Katrin Höfig
Stefano Koch B.Eng.
Gereon Wende MBA.
Karl-Jürgen Ziegert
Wladimir Rogge
Alida Trupp
Vito Gorlitz
Irmgard Pieper B.Eng.
Valeska Geisler B.Eng.
Vitus Schmidt
Guenther Steinberg MBA.
Prof. Edgar Roht
Wenke Stolze
Ferdinand Junck-Hölzenbecher
Diether Dussen van-Rohleder
Denny Bohlander B.A.
Achim Budig
Gottfried Hettner-Reising
Johann Seidel
Prof. Berend Käster B.A.
Ana Heinz B.A.
Uschi Trüb
Thea Nette
Dipl.-Ing. Till Schenk
Heinz-Josef Jähn MBA.
Annaliese Heser B.Sc.
Roland Ring
Adelbert Rörricht
Sinaida Roskoth B.A.
Constance Drubin
Prof. Ludger Kohl MBA.
Gereon Weitzel
Emmerich Wilmsen
Angela Weimer
Heinz-Günter Schuster
Friedrich-Wilhelm Metz
Myriam Schäfer-Tschentscher
Dorle Knappe
Ernestine Tröst
Veli Rädel
Frau Josefa Henschel B.A.
Hellmuth Hörle
Bertram Eigenwillig
Zeljko Gieß
Theres Beer
Notburga Pölitz
Dipl.-Ing. Ingbert Krebs B.Eng.
Friedl Hänel
Ing. Anneliese Döring
Giuseppe Trupp
Frau Rosalinde Mitschke B.A.
Eva-Marie Hendriks
Adelinde Ackermann-Knappe
Edelgard Gnatz-Dobes
Edeltraut Anders-Rohleder
Konrad Henschel
Univ.Prof. Nurten Neuschäfer MBA.
Domenico Reichmann
Johan Buchholz
Dr. Bastian Christoph MBA.
Univ.Prof. Waldtraut Riehl
Dr. Editha Rohleder
Nora Klapp-Finke
Ing. Hanny Schlosser MBA.
Dr. Katalin Knappe B.Eng.
Stavros Zirme
Vesna Döhn
Univ.Prof. Sibylle Zirme B.Sc.
Friedhold Löwer-Ebert
Frieda Tintzmann-Löchel
Klaus-Peter Schüler-Schaaf
Karl-Heinrich Schüler
Kreszenz Beier
Georg Misicher
Rena Radisch
Karl-Dieter Thies
Krzysztof Mülichen
Elias Hethur
Centa Kaul
Reni Rosemann MBA.
Bernd-Dieter Kostolzin B.A.
Anne-Katrin Rogge
Armin Scholz
Vincent Kranz B.A.
Ing. Eleonora Holzapfel
Eugenia Anders B.A.
Ing. Antonius Jacobi Jäckel MBA.
Ing. Dörte Freudenberger
Lothar Fischer
Carlos Klotz
Gretel Hande
Rosita Peukert-Scheibe
Hans-Joachim Häring
Nurten Henschel-Stroh
Fredi Lindner
Bruni Freudenberger
Frieda Gröttner
Alexandre Häring
Robby Weller
Ing. Jens Henck B.Eng.
Daniele Finke
Ing. Kay-Uwe Flantz
Hans-Albert Lindau
Hilda Metz-Dehmel
Hilde Lübs
Sybilla Herrmann-Pärtzelt
Ing. Leonid Budig B.A.
Dipl.-Ing. Zenta Hornig B.Sc.
Damaris Bien
Christian Jacobi Jäckel
Uwe Rosenow
Felicia Löffler
George Käster-Eberth
Curt Jopich
Herr Augustin Thies B.A.
Ing. Therese Rust
Mirko Ehlert
Ruth Hartung
Larissa Käster
Prof. Heinz-Peter Sager
Univ.Prof. Margareta Naser
Clarissa Buchholz
Herr Hans Rogge
Florian Finke
Gerhart Stumpf
Gregor Dippel
Ing. Utz Klemt B.A.
Josef Butte-Lindau
Adrian Trupp
Adina Kallert
Wanda Stoll B.A.
Aziz Anders
Danilo Ehlert
Hedda Mielcarek
Marion Weihmann
Laura Beier
Pawel Peukert-Rörricht
Katharina Speer
Kay-Uwe Trapp
Univ.Prof. Klaus-Günter Renner B.A.
Herr Alexandre Eimer B.A.
Dipl.-Ing. Dragica Neureuther
Ing. Siglinde Bolzmann
Vlado Hübel B.Eng.
Elmar Förster
Rudolph Metz-Mitschke
Anica Kade-Steuer
Ing. Alla Schottin B.A.
Johann Beer
Thies Rose
Elsa Preiß
Diana Drubin-Walter
Thorsten Gude
Ing. André Christoph
Oxana Linke B.Eng.
Ulrike Misicher MBA.
Antonina Neureuther
Emilia Römer
René Gude B.A.
Stephan Hauffer
Prof. Clarissa Barth
Tibor Briemer
Dipl.-Ing. Waltraut Kallert
Cordula Wohlgemut
Marina Radisch
Aloisia Faust
Ioannis Klemt
Ing. Carla Ziegert B.Eng.
Univ.Prof. Nadeschda Staude
Ingrid Rudolph
Susann Hartung-Schmiedecke
Ing. Louis Eckbauer B.Eng.
Traude Kuhl
Recep Hecker
Gabriel Kreusel
Ing. Felicia Dörschner B.Sc.
Iris Kraushaar B.Sc.
Apostolos Kreusel-Noack
Mariana Steckel
Erwin Etzold
Hans-J. Bolander
Rolf-Dieter Flantz B.Eng.
Marion Weinhold-Pechel
Frau Jane Caspar
Marlene Drubin
Gebhard Seidel
Hans Georg Gorlitz-Schäfer
Lissi Thanel MBA.
Herr Tony Lindner
Gerti Ullrich
Univ.Prof. Cord Becker
Brunhild Briemer B.Sc.
Dipl.-Ing. Ernst-Dieter Harloff MBA.
Jiri Hoffmann B.Sc.
Renate Austermühle B.Eng.
Magarete Krause
Frau Herlinde Schleich B.Sc.
Irmingard Meyer MBA.
Fabienne Dobes-Heuser
Wolf-Dieter Schmiedt
Karl-Dieter Speer
Gerolf Döring-Buchholz
Kunigunda Heser
René Rose-Krebs
Eveline Wagenknecht
Inka Trub
Gülsen Benthin
Dr. Ljiljana Henck MBA.
Caroline Haering MBA.
Sergej Hauffer MBA.
Ben Täsche
Alessandro Caspar
Wiltrud Bolander
Dr. Ralf Hölzenbecher
Hannelore Heser-Boucsein
Edmund Junck
Janus Oderwald-auch Schlauchin
Wieslaw Käster
Domenico Nohlmans-Eberhardt
Carl Schomber-Mälzer
Dipl.-Ing. Marek Jockel
Christos Gumprich
Dr. Oswin Junken
Ing. Alberto Werner
Hans-Erich Staude
Gerard Scholl
Hans Dieter Stahr
Rosita Köster B.A.
Dr. Aribert Sontag
Enver Börner MBA.
Dr. Natascha Trüb
Teresa Jessel
Irma Neureuther
Brunhilde Scholz
Alois Jungfer B.Eng.
Bernhard Becker
Fridolin Paffrath-Geisler
Dorothe Adler-Trubin
Gaetano Lübs
George Hörle
Maximilian Steinberg
Dr. Miguel Jungfer
Stephan Stolze-Holt
Wally Fliegner
Klaus Lorch-Graf
Friedl Hölzenbecher-Eberth
Leni Heß
Elfi Bolander
Eberhardt Warmer
Henni Mälzer-Tlustek
Eitel Hethur
Hans-Josef Butte-Dussen van
Guiseppe Bien
Univ.Prof. Pius Kühnert
Heinz-Otto Geisler B.Sc.
Hedy Rudolph MBA.
Hans-Hinrich Linke
Alfons Klingelhöfer
Ernest Tlustek
Olaf Juncken
Marliese Becker
Melita Schleich
Maya Conradi
Cordula Hornig
Delia Rust
Abram Scholz B.Sc.
Lina Hein-Gotthard
Ing. Margareta Hethur B.A.
Dr. Dora Fischer
Heinz-Wilhelm Steuer-Mende
Renato Bolnbach
Thorsten Ruppersberger
Luciano Biggen
Ing. Annekatrin Heß
Dipl.-Ing. Beatrix Henk B.Eng.
Sylvana Hornich MBA.
Dr. Amir Jäkel
Hannchen Löwer B.Eng.
Dipl.-Ing. Bernhardine Heß
Kaspar Hänel
Univ.Prof. Gustav Sölzer
Edeltraut Klemt
Dipl.-Ing. Babette Bauer B.Sc.
Univ.Prof. Mira Heser B.Sc.
Jeanette Speer
Nelly Schlosser
Univ.Prof. Mira Riehl
Andreas Trapp
Marie-Luise Zorbach MBA.
Karl-Georg Sontag B.Sc.
Dr. Reinhart Hecker B.A.
Hanns Stiffel
Karl-Otto Winkler B.Eng.
Erhard Reinhardt
Milica Reichmann
Erdal Tintzmann
Dipl.-Ing. Anneliese Kühnert
Edda Gertz B.Eng.
Klaus-Michael Hahn
