Student
Dipl.-Ing. Margarita Stey
Kati Koch II
Margarete Kabus
Alice Nette
Univ.Prof. Axel Dörschner B.Sc.
Luitgard Weiß-Rörricht
Gerda Gröttner B.Sc.
Beatrice Fechner
Tim Sorgatz
Ilse Henschel
Arndt Weinhold MBA.
Herr Guido Knappe B.Eng.
Wally Krein-Bien
Henryk Bauer
Alma Eimer-Seip
Eckhard Sölzer
Dr. Valeri Sölzer B.Sc.
Karl-August Reichmann B.Sc.
Albrecht Metz B.A.
Johann Beer
Brita Roht MBA.
Prof. Frithjof Binner
Liesbeth Huhn
Dr. Jeannine Schleich B.Sc.
Damian Hentschel
Mijo Karge-Löchel
Prof. Kunigunda Pergande MBA.
Brita Klemm
Ing. Giuseppe van der Dussen B.A.
Ing. Hanna Killer
Karl Heinz Kruschwitz-Reising
Peer Grein Groth-Lange
Frau Josefa Henschel B.A.
Irmela Krein-Bolzmann
Dipl.-Ing. Adem Gerlach
Sylvester Zirme
Mandy Rädel
Moritz Holzapfel
Inna Schulz
Klaus-Peter Zorbach
Adam Krein-Karge
Hans Dieter Kallert
Herr Alexandre Eimer B.A.
Hans-Bernd Knappe-Gröttner
Norman Wulf
Prof. Edgar Roht
Beatrice Käster
Dr. Ute Schuchhardt
Dipl.-Ing. Igor Henck B.A.
Prof. Marko Rohleder B.A.
Massimo Hecker
Gerta Stey-Klemm
Prof. Linus Kambs B.A.
Heino Römer
Mona Thies
Pavel Jessel
Magrit Lange
Prof. Ludger Kohl MBA.
Francoise Freudenberger-Stey
Anthony Oderwald
Oxana Ladeck
Dipl.-Ing. Jiri Wesack B.A.
Vanessa Hornig
Pirmin Boucsein MBA.
Swetlana Binner
Norbert Eimer
Conny Zirme B.Sc.
Univ.Prof. Klaus-Günter Renner B.A.
Frau Etta Wesack MBA.
Frau Katarina Bolander B.Sc.
Univ.Prof. Fedor Eimer
Janus Ring
Gerald Albers-Jähn
Friedo Meister-Klemm
Marlies Mude
Lieschen Steckel
André Sauer
Wenke Neureuther-Hermighausen
Marica Walter
Heidemarie Kreusel
Horst Reising
Ing. Zbigniew Warmer MBA.
Friedl Hänel
Dipl.-Ing. Korinna Pärtzelt
Dr. Gunther Jähn B.A.
Karl-Peter Häring-Kruschwitz
Drago Täsche
Alena Seip
Frau Anne-Katrin Rädel
Rosmarie Kambs MBA.
Tobias Wirth
Felicia Flantz-Lehmann
Annamaria Margraf
Ehrenfried Seidel MBA.
Conny Fliegner
Hans-Detlef Schleich
Dipl.-Ing. Wilfriede Bruder
Sibylla Pohl
Mahmut Rose B.A.
Katerina Hauffer
Anne-Marie Drewes
Mercedes Kobelt MBA.
Pero Scheuermann
Antje Etzold
Alwine Bien
Mary Staude
Eckehard Mude
Alicia Kroker
Prof. Vesna Scholz
Evangelos Hartmann B.A.
Dr. Ante Jüttner B.A.
