Student
Edmund Junck
Jochen Naser
Camilla Kühnert MBA.
Ing. Siglinde Speer MBA.
Roger Wagenknecht
Frau Nuray Mangold MBA.
Ing. Paolo Meister
Dr. Jan-Peter Döhn B.A.
Semra Gorlitz
Stephanie Kranz B.A.
Ludwina Fritsch
Prof. Emine Wulf B.Eng.
Helge Pohl
Dipl.-Ing. Tamara Seifert B.A.
Helge Ladeck MBA.
Mohamed Stiebitz-Pärtzelt
Hagen Weimer
Dr. Ljiljana Henck MBA.
Johann Beer
Monja Siering
Wilfriede Blümel
Rene Henck
Melita Schacht
Ludmila Löffler
Univ.Prof. Leni Bonbach
Stjepan Wesack-Winkler
Leila Hethur
Silke Biggen MBA.
Carmelo Weinhold
Margrit Förster
Ingbert Birnbaum-Ring
Stephanie Weller
Doris Karz
Emma Sorgatz-Radisch
Ralph Fröhlich
Heinz-Peter Biggen
Arno Ullmann
Gaetano Söding
Lieschen Walter
Sigrun Weinhold
Patrick Döring
Dolores Atzler B.A.
Prof. Angelique Seidel MBA.
Dr. Rotraud Gorlitz
Univ.Prof. Natalie Noack MBA.
Marten Röhricht B.Sc.
Melitta Fliegner
Nicolaus Franke-Paffrath
Florian Finke
Reinhard Zänker
Karla Wirth
Prof. Mirko Adolph B.A.
Hildburg Dowerg-Pergande
Hans-Dietrich Fliegner
Ulrike Hiller
Herr Laurenz Häring
Roy Holt
Marieluise Schulz
Agatha Kostolzin
Teresa Jessel
Gisela Weinhold B.Sc.
Prof. Anna-Lena Wagner MBA.
Prof. Rudolph Linke
Ing. Friedhold Hartung B.Sc.
Dipl.-Ing. Albrecht Metz
Dr. Vitus Franke
Jeannine Heinz-Tlustek
Dominik Naser B.A.
Heinz-Dieter Caspar-Hande
Amanda Heinz
Gretchen Pohl
Dr. Karl-Hermann Gude
Raisa Stey-Sauer
Frau Jane Caspar
Fabienne Birnbaum
Ing. Leopold Beier B.Sc.
Engelbert Margraf-Trommler
Birte Jüttner
Dr. Halina Haase
Heinz-Gerd Beyer
Dörthe Hiller
Prof. Henriette Killer
Jessika Schacht
Frauke Söding
Pius Römer MBA.
Roselinde Zobel
Alexej Hornig-Radisch
Helma Häring
Burckhard Margraf
Till Karz
Urszula Trapp
Prof. Jürgen Blümel B.A.
Dipl.-Ing. Patric Fröhlich
Herr Peter-Michael Kensy B.Sc.
Ing. Louis Eckbauer B.Eng.
Ing. Elisabet Jopich B.Sc.
Dominic Schönland
Elsa Beer
Beata Stahr
Florentine Eimer
Tülay Gnatz-Sorgatz
Ramona Henk B.Sc.
Freia Hofmann
Francisco Budig-Geisler
Herr Julian Gotthard B.Eng.
Prof. Torsten Geisel B.Sc.
