Student
Halina Segebahn
Theres Heser
Paul-Gerhard Gunpf
Henni Ullmann MBA.
Carolin Etzler
Theresa Caspar
Marcella Holzapfel
Ing. Adalbert Heser
Geza Beckmann
Arnulf Süßebier
Damian Holsten
Tomas Gröttner
Frau Renate Geisler
Annelene Möchlichen-Weiß
Radmila Linke MBA.
Helen Tschentscher
Hans D. Schenk
Anne-Rose Klemm
Gisela Girschner
Anica Kade-Steuer
Semra Fiebig
Hilmar Ziegert
Gülten Ruppersberger-Wende
Domenico Gertz
Hansgeorg Beier-Freudenberger
Meryem Graf-Lange
Sabine Gude
Torben Wiek-Ring
Univ.Prof. Immo Mangold
Herr Evangelos Schacht
Gina Stumpf
Lorenz Kohl
Uwe Sorgatz
Timo Butte
Univ.Prof. Melita Langern
Christos Ruppert B.A.
Alexandros Ernst
Kai-Uwe Mitschke
Cathleen Gude
Prof. Urs Flantz
Norbert Eimer
Ing. Hans-Wolfgang Weitzel B.Sc.
Herr Augustin Thies B.A.
Ing. Aldo Radisch
Ute Hartmann
Univ.Prof. Ayten Lorch
Beatrix Rädel MBA.
Mirko Bolander
Fanny Bolnbach B.Sc.
Ottilie Gute
Herr Sylvester Jopich B.Eng.
Kreszenz Beier
Gertraude Ruppersberger
Larissa Löffler
Ing. Helmuth Bruder
Gabi Heinz
Wencke Salz
Maya Haering-Becker
Ing. Jaqueline Wende B.A.
Hans-Gerhard Staude
Benita Geißler
Catrin Weller
Ing. Abraham Thanel B.Eng.
Natalia Fröhlich-Kabus
Dipl.-Ing. Jörgen Rose B.Eng.
Korinna Koch II
Dr. Sigrun Schönland B.A.
Philomena Salz
Prof. Vadim Stroh
Heinz-Joachim Jähn
Dipl.-Ing. Dragica Neureuther
Dietlinde Schönland
Leon Linke
Frau Almut Kuhl
Ing. Leander Weimer B.Eng.
Ing. Gundi Boucsein B.Sc.
Elvira Cichorius
Prof. Guiseppe Gröttner B.Sc.
Myriam Hänel
Ingelore Heinz
Kuno Kreusel
Czeslaw Fiebig
Patrick Anders-Stolze
Walli Baum-Kohl
Konstantinos Lindner
Kunigunde Ziegert
Gretchen Pohl
Dipl.-Ing. Sebastiano Käster B.Eng.
Rosita Köster B.A.
Paola Kroker-Klotz
Hilde Lübs
Franziska Beer
Frau Hedwig Wirth
Anja Meyer B.A.
Dipl.-Ing. Gülten Hoffmann B.Eng.
Maja Fischer B.A.
Alice Hesse
Judith Hering B.A.
Dunja Trub
Calogero Wende
Bozena Meyer
Univ.Prof. Dogan Mielcarek
Hellmut Lindner
Burkhardt Jäntsch B.A.
Birthe Graf
Dr. Jochen Schäfer
Iris Kraushaar B.Sc.
Mark Lindau
Emine Tlustek B.Sc.
Calogero Seip
Dipl.-Ing. Detlef Schacht
Dr. Luisa Anders B.A.
Cindy Meyer
Friederike Sölzer-Hentschel
Ing. Erica Schottin
Dipl.-Ing. Friedrich Hiller B.Eng.
Luzia Kranz
Madeleine Hermann B.Sc.
Dr. Ante Jüttner B.A.
Hajo Jäntsch
Miguel Lehmann
Brian van der Dussen
Patrizia Schleich
Fernando Dobes
Anne-Rose Klapp-Jockel
Geert Rudolph
Katherina Hesse
Hajo Thies
Pero Scheuermann
Ilija Eckbauer-Steinberg
Marliese Drubin
Lena Mitschke
Valerie Kallert B.A.
Lilija Kensy
Amanda Fechner-Weinhage
Olaf Weinhage
Dr. Daniela Linke MBA.
Tatiana Kade-Rust
Prof. Goran Sölzer MBA.
Jutta Franke-Rosenow
Emmerich Wilmsen
Cindy Schleich
