Student
Enver Dehmel
Emine Lübs
Herr Anton Mohaupt B.A.
Dr. Natascha Schmidtke B.Eng.
Dominic Schönland
Christos Ruppert B.A.
Carola Köhler MBA.
Milica Reichmann
Mesut Trommler
Gerhardt Barkholz B.Eng.
Aleksander Scheuermann
Dipl.-Ing. Denise Beier
Isabell Briemer
Jonas Walter
Salvatore Ruppersberger
Dariusz Reising-Ernst
Ingried Ullrich
Emanuel Kitzmann
Rosi Spieß
Alessandro Werner
Rahel Heidrich-Jüttner
Luigi Hartung
Alex Ziegert
Ing. Elenore Kostolzin
Gebhard Kitzmann
Denis Ruppersberger
Oskar Löwer B.Eng.
Salih Eckbauer-Renner
Timo Siering-Hübel
Janina Faust MBA.
Dr. Rosalinde Stolze B.Eng.
Prof. Hans-Hinrich Schmidt
Elmar Patberg
Felix Wilms
Prof. Juliane Henck MBA.
Kira Eckbauer
Gülten Ruppersberger-Wende
Univ.Prof. Ilka Jäntsch B.A.
Conny Fliegner
Dorothe Adler-Trubin
Pirmin Reising
Frau Anne-Kathrin Wagner
Ansgar Seidel
Theresia Henck
Melitta Fliegner
Prof. Gesine Lange
Hans Jürgen Lange
Virginia Eigenwillig
Miriam Hentschel
Gislinde Wagenknecht
Felicitas Biggen
Herta Keudel
Dorle Schmidtke MBA.
Heimo Karge-Freudenberger
Dr. Denise Girschner B.Sc.
Frau Raissa Ruppersberger B.Eng.
Mina Segebahn B.A.
Silva Plath
Willibald Seidel
Piotr Schaaf
Andreas Trapp
Siegbert Conradi
Prof. Pascale Kruschwitz
Emma Briemer B.Eng.
Gerhart Karz
Janine Müller-Steckel
Dipl.-Ing. Hans-Erich Klemm
Erol Röhrdanz
Ing. Anastasios Berger
Theresia Paffrath
Rolf-Dieter Preiß
Friedo Lorch
Ante Gunpf
Antonietta Lindner MBA.
Dragica Kreusel
Herr Ruben Schüler B.Eng.
Heinrich Köster
Imke Gieß B.Sc.
Änne Schweitzer-Putz
Konstantinos Lindner
Jasmina Bolzmann-Hövel
Hannchen Zahn
Reiner Ziegert-Walter
Walfried Wohlgemut B.Eng.
Leonore Jäkel
Marten Röhricht B.Sc.
Annaliese Gute
Achim Etzold MBA.
Prof. Arif Mielcarek B.Eng.
Regina Hamann B.Sc.
Dipl.-Ing. Willibert Süßebier
Reza Misicher
Mike Krein
Helmtrud Atzler
Ekaterina auch Schlauchin
Aysel Löchel
Sofie Fiebig-Hermighausen
Ingried Stiffel B.A.
Senta Warmer
Dr. Peer Schwital MBA.
