Student
Ing. Rose-Marie Hölzenbecher
Ing. Berta Oestrovsky B.Eng.
Hans-Günther Etzold
Rahel Stey
Dr. Adriane Bärer B.Eng.
Prof. Orhan Ladeck MBA.
Wilma Matthäi
Milica Reichmann
Ronald Börner-Hentschel
Sandro Schmiedt
Milka Wohlgemut-Meyer
Imelda Geißler
Carsten Jüttner B.Eng.
Alma Eimer-Seip
Leonhard Adolph
Heinz-Gerd Gorlitz B.Eng.
Ben Eimer-Loos
Egon Haase
Univ.Prof. Dolores Jäkel
Clarissa Buchholz
Gundula Vollbrecht
Dipl.-Ing. Slavica Mälzer
Hans-Jürgen Barth
Frau Patricia Schmiedecke B.Eng.
Dominik Jungfer
Tobias Mühle
Sigrun Mälzer
Dipl.-Ing. Mariechen Bonbach
Willibald Seidel
Univ.Prof. Othmar Geisel
Geraldine Gutknecht
Lara Stroh
Cindy Meyer
Dr. Friedhilde Adler MBA.
Silvia Weiß
Angela Hamann
Dipl.-Ing. Rigo van der Dussen B.Eng.
Sigurd Lange-Seifert
Ing. Madlen Beier B.A.
Univ.Prof. Nermin Rosemann B.Sc.
Klara Löchel-Bien
Frau Kunigunda Schaaf B.A.
Univ.Prof. Vinko Tschentscher
Sami Junitz
Kathrin Johann-Schulz
Denny Pechel
Daria Stiffel
Kay-Uwe Ziegert
Reingard Klingelhöfer
Elfi Bolander
Wojciech Rogner
Fredi Wilmsen
Hermine Eberhardt
Karl-Wilhelm Meyer
Edith Kostolzin
Dr. Peggy Beyer B.Sc.
Albert Butte
Ing. Anton Gotthard MBA.
Gabriele Schmidt
Ing. Alfred Söding
Prof. Marija Seidel
Valeria Conradi
Siglinde Zahn
Ahmad Preiß
Sara Johann
Gerda Mans
Sigmund Kensy
Gitta Berger
Univ.Prof. Gislinde Rohleder
Dr. Nadja Wulf
Kristian Rosemann B.Sc.
Carsten Hartmann
Gülsen Gutknecht
Joana Zimmer B.A.
Frau Christiane Zänker B.A.
Niko Geißler-Wirth
Niko Bähr B.Sc.
Pius Römer MBA.
Univ.Prof. Melita Langern
Irmtraud Schönland
Univ.Prof. Sönke Schomber
Danica Atzler
Lidwina Karz MBA.
Walli Jopich
Ignaz Löwer
Gunnar Junk
Klaus Dieter Stoll-Wilms
Irmi Täsche B.A.
Viola Ackermann
Ottfried Peukert-Schulz
Janin Haase
Wolf Häring-Kallert
Prof. Torsten Geisel B.Sc.
Ulrike Misicher MBA.
Herr Mario Thanel
Jasmina Bolzmann
Jennifer Berger
Sergio Schleich
Harm Sontag-Wilms
Marten Wesack
Inna Winkler
Ing. Nelli Hornig
Ignaz Stoll
Frau Alexandra Beckmann B.A.
Marlen Jacobi Jäckel B.Eng.
Gundula Adler-Bien
Trude Ruppersberger
Hiltrud Bolander-Ziegert
Mia Paffrath-Ortmann
Andrei Hertrampf-Trommler
Willi Birnbaum
Dipl.-Ing. Gilbert Plath B.Sc.
Ingried Ullrich
Dominic Gunpf MBA.
Lorenz Hande-Hamann
Kläre Kohl
Irmtrud Bolzmann
Simon Meyer
Erika Pruschke
Dr. Annita Kallert
Gregor Loos-Gehringer
Dr. Ralf Hölzenbecher
Prof. Cathrin Misicher
Prof. Urs Täsche
Tim Sorgatz
Isa Tlustek
Olav Margraf
Univ.Prof. Nicole Höfig B.Sc.
Annelene Adolph B.A.
Albrecht Seifert B.Sc.
Ryszard Anders B.Sc.
Ing. Torsten Hartung B.Eng.
Orhan Hecker-Heuser
Judith Boucsein-Aumann
Marcella Holzapfel
Sigrid Schleich
Univ.Prof. Emil Jacobi Jäckel B.Eng.
Christopher Gertz-Kade
Prof. Loretta Speer MBA.
Dipl.-Ing. Heinz-Otto Jähn
Bruni Freudenberger
Hildegunde Aumann
Horst-Peter Riehl
Renate Franke B.A.
Teresa Möchlichen
Dr. Krista Wirth
Centa Kaul
Notburga Weller MBA.
Frau Hedwig Wirth
Ralph Hellwig-Lachmann
Heinz-Georg Döhn
Gereon Textor
Cynthia Langern
Siegried Caspar B.A.
Baldur Metz
Frank-Peter Kambs
Anny Wähner
Damian Bauer
Sibylle Jäntsch
Hans-Josef Butte-Dussen van
Ing. Kristina Biggen
Dierk Dörr
Klaus-Peter Gieß-Winkler
Uli Schönland-Trupp
Ilija Hofmann
Christa Kabus
Herr Goran Paffrath
Pero Römer
Elzbieta Beier
Bert Ortmann
Dr. Hans-Herbert Losekann B.A.
Beatrix Gehringer
Ahmet Stumpf
Dr. Reimar Fiebig B.A.
Irene Stumpf
Radmila Schomber B.Eng.
Prof. Tadeusz Mosemann B.Sc.
Prof. Tillmann Holt B.A.
Augustin Wende
Urban Pieper
Hermann-Josef Zimmer
Janine Dehmel B.Eng.
Annaliese Gerlach
Ernst-August Gutknecht
Oskar Rosemann
Clara Rust
Zofia Schönland B.Sc.
Stephan Haase MBA.
Dipl.-Ing. Ira Röhricht B.Sc.
Jiri Kambs
Jessika Schacht
Ing. Erica Schottin
Prof. Hans-Gerhard Reinhardt B.Eng.
Ing. Marie-Therese Seifert
Hans D. Schenk
Evelin Stumpf
Alwine Wulf
Thorsten Ruppersberger
Ann Werner-Wilms
Bertha Köhler
Hans-Helmut Eimer MBA.
Heinz-Otto Wende
Ing. Iwan Wagner
Mechtild Patberg
Pia Fliegner
Juan Klapp B.Eng.
Magdalene Hering MBA.
Prof. Ursula Eigenwillig
Frau Zdenka Boucsein B.Eng.
Fredi Lindner
Cemal Budig-Holt
Alina Spieß
Maik Oestrovsky B.Sc.
Dr. Gerard Reichmann MBA.
Ing. Hanna Killer
Heinz-Dieter Gute
Frau Ariane Weinhage MBA.
Lieschen Walter
Herr Hermann-Josef Lehmann B.A.
Prof. Mirko Adolph B.A.
Maren Bruder
Tabea Kaul
Cengiz Dehmel
Auguste Lorch
Stjepan Hofmann-Hethur
Melanie Jungfer-Preiß
Ottmar Hölzenbecher
Oliver Schwital
Ing. Karl-Dieter Stroh
Aline Atzler-Beckmann
Timo Butte
Stephen Kensy
Birgitt Seip-Klemm
Dipl.-Ing. Harm Ruppert MBA.
Prof. Cäcilie Staude B.A.
Univ.Prof. Cecilia Scholl MBA.
Dr. Dagmar Hörle B.Sc.
Dr. Anika auch Schlauchin B.Sc.
Univ.Prof. Sybilla Gehringer
Prof. Hansjürgen Langern
Univ.Prof. Karl-Jürgen Trommler B.Sc.
Traudl Röhrdanz-Spieß
Immo Ring
Franz-Josef Schmidtke
Dariusz Reising-Ernst
Hans Kraus
Oskar Beyer
Herr Recep Junk B.A.
Henni Ullmann MBA.
Rosita Budig
Franca Harloff-Döring
Univ.Prof. Gesa Loos
Aneta Schlosser-Köster
Kristian Meyer
Liliane Gröttner-Albers
Genoveva Gieß
Ing. Marleen Hölzenbecher MBA.
Aysel van der Dussen-Jäntsch
Prof. Diether Neureuther
Irene Ditschlerin
Dr. Annika Gude MBA.
Herr Alexandre Eimer B.A.
Herr Anthony Caspar
Ing. Mattias Boucsein
Elli Kuhl B.Eng.
Ing. Serpil Rudolph MBA.
Ryszard Lorch
Roswita Sauer
Ekaterina Liebelt
Hans-Willi Baum-Staude
Nancy Hartmann-Schottin
Philomena Salz
Beate Johann
Ljudmila Nerger
Marina Radisch
Gesa Bender
Sarina Dörr
Hansjürgen Eberth
Univ.Prof. Tilmann Pieper B.Eng.
Univ.Prof. Margitta Wagenknecht B.Eng.
Herr Roderich Hauffer
Ewald Rädel-Rörricht
Herr Otto Vollbrecht
Dr. Helge Täsche MBA.
Felicia Flantz-Lehmann
Marie-Theres Jäkel
Univ.Prof. Waltrud Rogner
Susi Hendriks
Mike Hofmann
Eleonora Gehringer
Marzena Jüttner-Jockel
Ludmila Löffler
Simona Lorch
Silvester Scheibe
Roberto Ritter-Fritsch
Gabi Heinz
Magret Oderwald
Uschi Trüb
Rosita Peukert-Scheibe
Salvatore Tlustek
Trude Scholtz B.A.
Carmine Bruder-Rörricht
Frederike Dippel
Ignatz Wähner-Hänel
Gönül Barth-Zobel
Teresa Schönland
Ing. Christina Beckmann B.Eng.
Prof. Almuth Dippel
Irmtrud Mohaupt-Etzler
Inken Hellwig-Hermann
Clara Mans
Gisbert Christoph
Attila Werner
Ing. Knud Vogt
Dr. Isabell Trupp
Toni Scholl-Scholl
Lidwina Jockel
Rolf-Dieter Flantz B.Eng.
Dana Löwer MBA.
Steven Eimer
Prof. Rolf-Dieter Fiebig MBA.
Dr. Immo Kramer
Helfried Langern
Torsten Pergande
Karl Heinz Kruschwitz-Reising
Dipl.-Ing. Cläre Geißler
Sigrid Jockel
Mike Krein
Alwina Neureuther
Herr Bastian Hübel B.A.
Ole Losekann
Sandra Hornig
Artur Kreusel
Ing. Meik Eberhardt B.A.
Dr. Ottfried Lachmann B.Sc.
Lissi Kohl
Guido Pieper
Engelbert Carsten-Hiller
Traugott Textor-Wagenknecht
Klaus-Dieter Wende
Tadeusz Hentschel
Paolo Hentschel-Zobel
Univ.Prof. Heinrich Knappe B.A.
Dipl.-Ing. Patric Johann
Hilmar Hörle
Jessica Schottin
Anne Schmidtke
Herr Swen Kraushaar B.A.
Hannchen Löwer B.Eng.
Adelinde Geisler
Joachim Fischer
Serge Grein Groth
Meike Berger
Frau Annett Tlustek B.Eng.
Miroslaw Gieß
Krista Bohnbach
Katharina Krause-Hornig
Alida Ehlert
Frau Karolina Hörle
Veronique Oestrovsky
Birthe Trommler
Frau Pascale Hettner B.Eng.
Ing. Antonius Jacobi Jäckel MBA.
Lena Dowerg
Siegbert Bachmann-Hövel
Bertha Rose
Ing. Alberto Werner
Hans-Georg Anders
Herr Leonid Röhricht MBA.
Alicja Sorgatz
Friedrich-Karl Jopich B.Eng.
Prof. Riza Niemeier
Siegward Hertrampf
Prof. Amelie Rose MBA.
Urte Bolzmann
Nuri Jopich
Engelbert Margraf-Trommler
Hans-Detlef Bender
Andrew Misicher
Janos Kobelt-Henck
Anton Stey
Prof. Linus Kambs B.A.
Prof. Hans-Peter Noack B.A.
Dipl.-Ing. Gottfried Scholtz
Aribert Putz
Mariele Peukert
Felicitas Kensy-Stey
Mareike Lübs
Irmengard Eckbauer
Marek Adler
Valentin Rädel
Prof. Susanne Rose
Dipl.-Ing. Reimer Werner MBA.
Univ.Prof. Paul-Gerhard Lübs MBA.
Kunigunda Zimmer
Prof. Annita Wulff
Gisa Dörr B.Eng.
Henny Vogt
Jeanette Speer
Ing. Dorothee Harloff B.Sc.
Kordula Kambs B.Eng.
Albrecht Rust-Heinrich
Ing. Rocco Reuter
Janos Winkler B.A.
Antonius Hermighausen
Ernestine Karz
Janet Ullrich
Prof. John Jessel
Konstantin Knappe
Jaroslaw Eckbauer
Cemal Klingelhöfer-Otto
Emil Preiß-Hecker
Andreas Metz
Irmi Zobel
Ing. Ayse Schacht
Desiree Klotz
Vinko Reuter
Ansgar Seidel
Dr. Gerhart Käster
Agatha Kostolzin
Ing. Agnes Zobel
Kreszentia Bloch-Kohl
Frau Conny Klemt
Cilli Gorlitz
Rosalinde Trommler
Jan Gumprich
Anselm Mühle
Dipl.-Ing. Jörgen Rose B.Eng.
Karl Ruppersberger
Siegrun Christoph
Sven Walter
Rudolf Weihmann
Leopold Weller-Zobel
Urs Bähr
Branka Speer B.A.
Stephan Warmer B.Eng.
Ellen Vogt
Ing. Hans-Wolfgang Weitzel B.Sc.
Helma Zorbach
Kazim Hörle
Edda Salz
Vassilios Kramer
Larissa Käster
Sebastian Vogt
Niko Butte-Rosenow
Svenja Langern
Univ.Prof. Hans-Martin Scholz
Senta Renner
Jasmina Rudolph
Marta Sontag
Reni Cichorius
Klaus-D. Segebahn
Judith Meyer
Alfonso Grein Groth-Henck
Hermann Josef Junck
Urban Klemt
Ing. Willfried Kostolzin
Saban Etzler B.Eng.
Irmtraut Hahn-Walter
Diethelm Hofmann
Univ.Prof. Galina Kobelt B.Eng.
Bekir Cichorius-Döring
Marlis Rogge B.Sc.
Peer Jähn
Agnes Tröst
Tillmann Mude
Eckehard Steckel
Herr Ilja Kroker
Inka Trapp
Jerzy Mende-Wagenknecht
Leonardo Trub B.A.
Wigbert Ortmann
Diethard Gude
Czeslaw Bohnbach B.Eng.
Alfredo Bolzmann B.A.
Vadim Rose-Wulf
Günter Schottin
Marleen Etzler
Berend Gertz B.Eng.
Dipl.-Ing. Elif Hartmann B.A.
Thorsten Adler B.Sc.
Albert Hartmann-Lachmann
Saskia Kallert
Dr. Dora Fischer
Arnd Jacobi Jäckel
Bartholomäus Trapp
Dr. Danica Scheuermann B.Sc.
Tadeusz Kruschwitz B.Sc.
Madlen Trupp B.Eng.
Ing. Josip Ruppert
Tilman Hövel
Leokadia Karge
Inka Meyer
Univ.Prof. Gisa Meister
Fabienne Birnbaum
Prof. Helmut Hellwig MBA.
