Student
Silja Kraus-Schuster
Dipl.-Ing. Nina Boucsein MBA.
Elisabet Schuster B.A.
Brian Lehmann B.Eng.
Jana Langern
Claudio Bolnbach
Ilja Wende
Ingried Ullmann
Goran Junck-Bauer
Jochem Hermighausen
Stephan Hauffer
Herr Gunther Flantz
Dagobert Eberhardt B.A.
Ljubica Wohlgemut-Schmidt
Prof. Theodoros Paffrath B.A.
Irmtraut Haase-Hendriks
Lieschen Steckel
Frau Stella Plath B.A.
Pirmin Reising
Philippe Wähner
Carlo Ackermann-Birnbaum
Sina Spieß
Mareile Tschentscher B.A.
Enrico Oderwald
Anastasia Gunpf
Dr. Achim Barth
Ing. Bernfried Pruschke
Lili Weimer
Ing. Georg Lübs
Prof. Marie-Theres Löffler B.Sc.
Prof. Lieschen Mälzer B.Sc.
Eberhardt Warmer
Vinko Reuter
Hans Dieter Junk
Svenja Langern
Hertha Stoll
Ortrun Krebs
Inka Trapp
Dr. Athanasios Noack MBA.
Rainer Gunpf B.Eng.
Heinz-Otto Wende
Mijo Jessel B.A.
Friedericke Ruppersberger
Prof. Susanne Heidrich B.Eng.
Carolin Etzler
Ing. Justina Fiebig
Hanspeter Davids
Trudi Radisch
Dipl.-Ing. Franz Reising
Dr. Annita Kallert
Judith Boucsein-Aumann
Peter Sontag
Florence Davids
Eleni Krause B.A.
Gerard Förster
Frau Aleksandra Bähr B.Eng.
Univ.Prof. Josefine Lindau
Dr. Erkan Stroh
Grzegorz Bohlander
Karla Conradi
Annie Harloff B.A.
Burckhard Caspar
Mira Hoffmann
Monja Siering
Cecilia Scholz-Barth
Kazim Rohleder
Cemal Budig-Holt
Mary Staude
Willibald Ziegert-Siering
Bruno Siering MBA.
Jann Geisler
Maurice Hübel
Dipl.-Ing. Lilly Junken MBA.
Ansgar Seidel
Dr. Hildegund Gnatz B.Eng.
Marcel Stumpf
Sieghard Stoll-Harloff
Andrei Wulff
Ing. Liesa Zirme
Heinz-Walter Juncken
Tatiana Kade-Rust
Univ.Prof. Marc Schmiedt
Cathleen Gude
Cora Scholtz
Herr Jan Kobelt
Dr. Denise Girschner B.Sc.
Herr Hans Peter Jacob
Yvette Dietz
Frau Marie-Therese Mielcarek
Ing. Guenther Scholtz B.A.
Dr. Jan-Peter Martin B.Eng.
Univ.Prof. Resi Kobelt
Elzbieta Beier
Melissa Gehringer
Ricarda Steuer
Janet Kade
Michaela Loos-Mentzel
Eberhardt Mielcarek
Slawomir Ortmann
Hans-Dietrich Fliegner
Dr. Cäcilia Henk B.Eng.
Wilhelm Klemm B.A.
Hansgeorg Heuser
Armin Scholz
Friederike Geisler
Susanna Weitzel
Prof. Axel Davids MBA.
Univ.Prof. Philip Kranz B.Sc.
Hanne-Lore Losekann B.Sc.
Herr Claus Killer
Dipl.-Ing. Henriette Lindau
Arzu Stiffel-Drubin
Janette Kallert
