Student
Ing. Margarethe Martin
Hildegard Schlosser-Jacobi Jäckel
Jessica Schottin
Conny Fliegner
Sylvana Holzapfel
Henry Schüler B.Eng.
Henryk Jacobi Jäckel B.Sc.
Ewald Kreusel
Helga Franke
Janus Jessel-Hermann
Radmila Schomber B.Eng.
Gerta Klemt
Dipl.-Ing. Traudel Eigenwillig
Svenja Langern
Francesco Wieloch-Herrmann
Dipl.-Ing. Mahmoud Mühle B.Eng.
Hans-Joachim Pohl
Sibilla Hofmann
Ing. Arndt Schäfer
Gertraude Tintzmann
Zita Klemt
Frau Gertraude Wesack B.Eng.
Liesa Neureuther
Nikolaos Reichmann
Felizitas Becker-Mosemann
Ing. Alexander Mude
Univ.Prof. Tilmann Pieper B.Eng.
Halina Lachmann
Horst-Dieter Gude
Cilli Lindau B.A.
Siegrid Paffrath
Zoltan Preiß B.Eng.
Birthe Graf
Aurelia Sorgatz
Ilona Roskoth-Bolander
Senta Hiller
Nurettin Koch II
Lisbeth Hentschel
Siegfried Knappe
Dr. Theresia Mende
Dr. Fedor Plath B.Sc.
Brigitta Eimer
Cosimo Löffler B.Sc.
Klaus Peter Adler
Dan Schönland MBA.
Dorit Zimmer-Krein
Wilma Paffrath
Paolo Hentschel-Zobel
Prof. Fredy Hahn
Walfried Klotz-Klotz
Annekatrin Wilms
Tino Metz
Prof. Salvatore Römer
Cecilia Eigenwillig
Gunar Dobes B.Sc.
Edmund Scholtz B.Sc.
Dr. Stephanie Ladeck
Maurizio Eckbauer
Univ.Prof. Karl-Jürgen Trommler B.Sc.
Uwe Dussen van
Xenia Hermann
Ditmar Adolph
Dr. Elzbieta Mitschke B.Eng.
Willy Kallert
Dr. Peer Schwital MBA.
Hansjürgen Säuberlich
Anette Bien
Jörn Hörle B.Sc.
Rüdiger Geisler
Alfredo Möchlichen
Theres Beer
Imelda Schäfer
Gerlinde Albers-Hörle
Kevin Etzler
Erica Renner-Trapp
Astrid Schweitzer
Johann Seidel
