Student
Herr Rupert Jüttner MBA.
Nermin Jopich
Eleni Mühle MBA.
Michaele Schacht
Maria-Theresia Scholl
Kuno Dussen van
Aloisia Faust
Wolf-Rüdiger Börner
Amir Reuter
Rosa Hübel
Univ.Prof. Lisbeth Köhler
Thilo Tschentscher
Victor Butte
Marta Sontag
Franka Mitschke B.Sc.
Dipl.-Ing. Kevin Stadelmann
Peer Jähn
Frau Inken Zimmer B.Eng.
Elke Huhn
Guenter Wende
Gabi Gertz
Jasmina Zorbach
Darko Wilms
Lilo Hartung
Theresa Schüler
Jorge Weitzel
Milena Weitzel-Steinberg
Silvester Etzold
Brigitte Knappe
Univ.Prof. Almuth Cichorius B.Eng.
Gordana Budig B.A.
Evelin Wagenknecht-Döhn
Herr Mario Pergande
Yvette Margraf-Wernecke
Jaroslav Benthin
Gunhild Zimmer
Margareta Schmidt
Ekkehart Kreusel
Mathilde Wähner-Bien
Dipl.-Ing. Alan Schacht B.Eng.
Dogan Rogge
Meta Eigenwillig
Helga Gerlach-Seifert
Waltraud Trapp-Pechel
Hansjoachim Kraus-Beer
Dr. Ruben Wernecke
Heinz-Georg Döhn
Brigitte Geisler
Edgar Karge
Prof. Katalin Lindner B.Eng.
Univ.Prof. Philippe Thies B.Eng.
Olivia Jäkel
Franz Josef Hoffmann B.Sc.
Wladimir Karge
Herr Ilja Kroker
Dr. Marco Scheuermann
Univ.Prof. Leif Süßebier B.A.
Sinaida Adolph
Dipl.-Ing. Edgar Gehringer B.Eng.
Klaus-D. Hövel
Adriane Stroh
Stephanie Beer
Otto Butte
Dipl.-Ing. Albrecht Metz
Ing. Gundi Boucsein B.Sc.
Heinz-Walter Roskoth-Hertrampf
Ivana Nerger
Lissi Kohl
Hans Jörg Koch
Otmar Gierschner
Anatol Hübel
Christin Hein B.Sc.
Dr. Jorge Kambs B.A.
Aloys Ruppert
Stanislav Hoffmann
Elisabeth Roskoth
Dr. Ante Jüttner B.A.
Reni Cichorius
Ada Ullmann-Hermann
Ilona Roskoth-Bolander
Klaus-Werner Jäkel-Holsten
Bernhard Becker
Bianka Schmidt
Univ.Prof. Horst-Günter Nohlmans B.Eng.
Frau Josefa Henschel B.A.
Dr. Burkard Bolzmann B.A.
Sophie Pruschke
Univ.Prof. Linus Seifert
Till Bolander
Willy Weiß
Othmar Täsche-Loos
Kai-Uwe Mitschke
Margarethe Steckel
Alexandre Häring
Frau Evelyne Süßebier B.Eng.
Prof. Kordula Vollbrecht B.A.
Siegbert Seifert
Svea Krebs-Scheibe
Liesbeth Koch II
Kristin Kaul B.Sc.
Heidelore Stolze
Sybilla Eigenwillig
Reinhart Becker
Prof. Ingetraud Seidel B.Sc.
Sarah Beckmann
Mercedes Blümel
Univ.Prof. Johan Lange
Prof. Oswald Ehlert MBA.
Istvan Scheuermann
Stanislaw Misicher
Ludwig Zimmer MBA.
Diether Vogt B.A.
Ing. Peter Trubin B.Sc.
Justina Zirme
Jozef Kostolzin
Damaris Zirme
Elena Ditschlerin
Gerhild Stiffel
Gregor Buchholz
Herr David Löchel B.A.
Dr. Meral Thies B.Sc.
Rolf-Peter Rosenow MBA.
Herr Recep Junk B.A.
Univ.Prof. Philomena Kensy
Prof. Stefania Briemer
Denny Kusch
Enrico Drewes
Ellen Röhrdanz
Karsten Kraushaar B.A.
Hannah Stiffel-Börner
Ing. Klothilde Hörle B.A.
Josip Stey
Hendrik Gehringer
Meike Berger
Enrico Hellwig
Friedrich Austermühle-Döring
Frederik Bohlander
Mike Röhricht-Hauffer
Elisabet Preiß-Thanel
Hansgeorg Kruschwitz
Enrico Reising MBA.
Resi Margraf
Heidemarie Kreusel
Inge Paffrath
Mirko Eckbauer
Dipl.-Ing. Anneliese Kühnert
Marie Henk B.Sc.
Frau Anny Niemeier B.A.
Ing. Gabriella Bähr
Jadwiga Karge
Thies Blümel
Dipl.-Ing. Richard Gröttner B.A.
Lorenzo Zänker
Hans-Henning Scheel
Dipl.-Ing. Hannelore Kostolzin
Ing. Swen Ehlert
Isidor Atzler
Elmar Patberg
Univ.Prof. Ladislaus Hande
Heide-Marie Beckmann B.Sc.
Sylvester Hamann
Vesna Bähr
Valerij Schulz B.A.
Ing. Berta Oestrovsky B.Eng.
Frau Myriam Walter B.Sc.
Birger Becker
Prof. Angelique Seidel MBA.
Hannelore Weinhold B.Sc.
Prof. Ralf-Peter Schlosser B.Eng.
Walther Hofmann
Erol Röhrdanz
Felicia Hamann
Goran Benthin
Ing. Nicolai Textor B.A.
Cord Tröst
Malte Davids
Nina Ladeck
Frau Maria Jopich
Piotr auch Schlauchin-Reuter
Hartmuth Vollbrecht
Marie-Luise Rogner
Harry Lange
Frau Evelyn Tlustek B.Sc.
Irmtraut Wende
Univ.Prof. Josip Hartung
Prof. Marika Davids B.A.
Hans-Theo Bärer B.Eng.
Norbert Eimer
Janus Ring
Fernando Reising
Erik Wirth B.Eng.
Zoltan Wilms
Ilija Höfig
Heinz-Gerd Beyer
Univ.Prof. Romana Hiller
Margita Schleich-Becker
Univ.Prof. Woldemar Walter
Alla Rohleder
Annelise Jungfer
Ing. Alfred Söding
Dino Kusch-Hiller
Ing. Katarzyna Noack
Kordula Dobes-Buchholz
Aldo Förster
Vlado Kramer B.Eng.
Diane Butte-Schleich
Zbigniew Boucsein
Prof. Petar Köhler
Justina Neureuther
Rosina Ditschlerin-Ortmann
Siegrid Segebahn
Tülay Fiebig
Silke Scheuermann B.Sc.
Martha Dowerg
Prof. Magnus Dörr B.Eng.
Louis Loos B.Eng.
Mattias Henk
Judith Hering B.A.
Univ.Prof. Luka Mende
Diethelm Hofmann
Univ.Prof. Olivia Gnatz MBA.
Frau Hilda Schweitzer B.Eng.
Marzena Hein
Dr. Daniel Trommler
Dana Köster
Frau Suse Zorbach
Ing. Eugenie Birnbaum
Univ.Prof. Herlinde Klotz
Fredi Jäntsch
Univ.Prof. Marleen Kabus
Annelie Schomber
Denny Salz
Tomislav Jopich-van der Dussen
Carl Mühle-Wulf
Bruni Freudenberger
