Student
Prof. Lutz Adolph
Kerstin Heidrich B.A.
Ing. Nadeschda Bohlander
Franco Radisch
Yvette Süßebier
Dipl.-Ing. Konrad Schenk
Univ.Prof. Andrea Gieß B.Eng.
Hanne-Lore Kraus
Marlene Drubin
Univ.Prof. Marc Schmiedt
Ing. Stanislaw Weihmann B.A.
Ron Dobes-Weihmann
Jurij Zimmer
Herr Siegmar Geisler
Marlen Jacobi Jäckel B.Eng.
Babett Pruschke-Schäfer
Dipl.-Ing. Gabriel Roskoth
Dr. Gero Röhricht B.Eng.
Marlies Beckmann
Ing. Dietlind Gieß
Britt Bolander B.A.
Gregor Knappe B.Eng.
Dipl.-Ing. Dörte Häring MBA.
Prof. Janos Werner B.Eng.
Arnulf Säuberlich
Frau Ellinor Tintzmann
Walburga Junk
Sylvana Hornich MBA.
Theodoros Grein Groth
Milica Huhn
Elfie Jäkel
Jan-Peter Scheuermann-Jungfer
Ing. Henning Drub
Reiner Ziegert-Walter
Goran Junck-Bauer
Francesco Drub
Univ.Prof. Ortwin Geisler MBA.
Kornelius Hornig MBA.
Yvonne Kroker
Yvette Schinke
Toni Schottin B.A.
Univ.Prof. Gretchen Sontag B.A.
Michaele Schacht
Dr. Siegfried Heinz B.Eng.
Dr. Erdogan Eigenwillig MBA.
Joana Wähner
Josip Hiller-Hauffer
Ricardo Hesse
Heinz Dieter Trubin
Gerlind Trüb-Losekann
Frau Caren Schmidt MBA.
Frau Linda Weiß B.Eng.
Fabienne Birnbaum
Edda Gertz B.Eng.
Virginia Gorlitz
Ing. Hans-Joachim Ullrich
Prof. Johan van der Dussen
Frederik Rust
Bettina Schlosser
Leonardo Vogt
Fredo Kühnert-Köhler
Univ.Prof. Isabel Ladeck
Nicole Scheibe
Sebastian Karge
Kristin Jacob
Konstanze Mühle
Michel Hermighausen
Cora Stumpf-Gunpf
Ing. Antonius Jacobi Jäckel MBA.
Jacob Süßebier
Dipl.-Ing. Anneliese Kühnert
Kornelius Heintze-Baum
Univ.Prof. Ludwig Jähn B.A.
Marlene Steckel B.A.
Guenter Lachmann
Hans-J. Neureuther
Henriette Pohl
Patrick Döring
Burghard Hamann-Dippel
Ehrentraud Kroker
André Röhrdanz B.A.
Herr Jens Ritter B.Eng.
Julie Schweitzer
Gerti Ullrich
Sandy Römer-Bien
Karl-Wilhelm Meyer
Hansgeorg Kruschwitz
Severin Mende B.A.
Dipl.-Ing. Edda Barth MBA.
Pauline Bolzmann
Dipl.-Ing. Sarina Dörr
Korinna Söding
Dipl.-Ing. Berend Niemeier
Luzia Kranz
Steven Eimer
Hendrik Bolzmann-Henschel
Kristian Rosemann B.Sc.
Ernst Gunpf-Naser
Prof. Grete Müller
Antonietta Kostolzin
Kriemhild Warmer
Tibor Köhler-Schönland
Urte Bolzmann
Antonius Pärtzelt-Jüttner
Gregor Loos-Gehringer
Helge Schuchhardt
Gereon Trapp
Laila Kranz
Carina Hövel
Aneta Heydrich
Orhan Hecker-Heuser
Joachim Steuer
Marietta Heinrich
Lea Heuser
Univ.Prof. Gesa Loos
Dr. Gudula Scheuermann
Dr. Uli Segebahn
Virginia Gieß
Eugenia Anders B.A.
Carl Schmiedt
Amalia Hermann-Schäfer
Judith Boucsein-Aumann
Univ.Prof. Franz-Josef Holt
Elma Heser
Sören Liebelt
Jane Patberg
Gertraut Koch II
Dorle Henck-Sorgatz
Ing. Hedi Wulf
Ing. Pamela Gerlach
Guido Junck
Annelene Steinberg
Annika Wirth
Helma Zorbach
Ing. Brunhilde Albers
