Student
Herr Thomas Baum
Gertraud Mende
Prof. Jelena Naser
Insa Karz-Mangold
Ludmila Karge B.A.
Armin Hellwig-Finke
Heinz-Gerd Beyer
Dipl.-Ing. Christel Beer B.Eng.
Dr. Trude Girschner
Eugenia Riehl
Sigurd Holsten B.Sc.
Astrid Dehmel
Leonore Jäkel
Ludmila Löffler
Ing. Clemens Wirth
Univ.Prof. Eugen Karz
Frau Mechtild Fliegner
Fernando Neuschäfer
Philipp Reising-Harloff
Micha Röhricht B.A.
Hanspeter Benthin
Marco Buchholz
Dagobert Rogge
Dr. Marija Stiebitz
Andre Schlosser
Birte Jüttner
Zita Klemt
Aline Atzler-Beckmann
Hakan Kitzmann-Scholl
Peer Jähn
Remo Köhler
Erol Jäntsch
Margaret Kramer B.A.
Gernot Hornich B.A.
Hans Georg Gorlitz-Schäfer
Hans Josef Thanel
Willi Birnbaum
Prof. Vadim Stroh
Marcella Franke B.A.
Bernhardine Pechel
Carla Ruppersberger
Pius Gierschner-Weitzel
Ing. Herbert Mühle B.Sc.
Dipl.-Ing. Emanuel Nette
Justine Dippel-Rosemann
Ferdinand Junitz B.Eng.
Ivo Börner
Dipl.-Ing. Bertram Gieß MBA.
Eckehard Mude
Uwe Dussen van
Fabienne Holt MBA.
Justine Patberg-Metz
Annelore Riehl
Ing. Diedrich Gotthard MBA.
Karl-Ernst Drewes-Drubin
Elma Junken
Dr. Lilija Butte B.A.
Annika Pieper B.A.
Friedl Barth
Gabriel Roskoth
Evangelia Röhricht
Gabriella Schuster
Malte Schäfer
Lara Stroh
Prof. Denis Segebahn MBA.
Ekrem Spieß
Melanie Segebahn
Karlheinz Stahr
Veronica Benthin
Gesche Kühnert
Regine Häring
Stavros Zirme
Prof. Irma Bien B.Eng.
Ingeburg Radisch-Steckel
Kordula Drub B.Sc.
Toralf Pieper
Mechthilde Lindau B.A.
Rico Putz-Killer
Irmi Gute
Frau Belinda Plath B.A.
René Hölzenbecher-Berger
Filippo Kostolzin
Hermine Eberhardt
Dr. Gerhart Käster
Dipl.-Ing. Jens-Peter Dippel MBA.
Francis Rohleder
Univ.Prof. Sonja Hande MBA.
Prof. Bela Noack
Kathi Wesack
Henryk Bauer
Erwin Weimer-Bohlander
Irmtraut Wende
Kunigunda Fischer
Gisa Atzler
Prof. Guenther Margraf B.Eng.
Adolfine Dippel
Univ.Prof. Gregor Gieß MBA.
Irene Stumpf
Sven Walter
Klaus-Peter Zorbach
Gaetano Köhler
Frank-Peter Haase
Annegrete Pergande
Ludwina Mohaupt
Ing. Gabriella Bähr
Wera Hauffer B.A.
Eggert Börner-Geisler
Isa Knappe-Biggen
Slavko Fliegner B.Sc.
Dr. Vitus Franke
Prof. Heide Krebs
Univ.Prof. Hans-Rudolf Wohlgemut
Marianne Ziegert-Werner
Ing. Valentine Scheibe
Hassan Kroker-Girschner
Jessica Gotthard
Trudel Bloch
Margarethe Wagenknecht
Ing. Heinz-Josef Hoffmann
Ditmar Pölitz B.A.
Tillmann Dobes-Trupp
Igor Zobel B.A.
Hanspeter Koch II-Wohlgemut
Korinna Söding
Patricia Trubin
Sandy Zimmer
Michelle Klingelhöfer B.Eng.
Valentin Klingelhöfer
Monica Drub-Davids
Phillip Rosemann-Bachmann
Dr. Valentina Knappe
Matthias Dowerg
Ing. Thomas Drewes B.A.
Ing. Gerti Franke
Frau Gilda Ebert
Franz Löwer
Bernard Bien-Lübs
Eckhart Gutknecht
Jurij Zimmer
Elfie Preiß
Rochus Gude
Sandro Schmiedt
Egbert Heintze
Dr. Klothilde Lachmann B.A.
Lisette Mühle
Thilo Tschentscher
Dino Martin
Alexej Liebelt
Celal Mühle
Imelda Geißler
Karl-Josef Thanel
Milan Holzapfel
Marit Weller
Dolores Conradi
Ariane Roskoth
Frau Margit Gehringer MBA.
Wieland Hethur
Hans-Uwe Sager
Pius Jopich B.Eng.
Wera Klemt
Remo Reinhardt
Florentine Bärer B.A.
Klaus-Dieter Hecker
Anna-Marie Zorbach
Stjepan Schmidtke
Lili Döhn-Margraf
Folker Otto
Luciano Klotz
Siegmar Pergande
Janos Ehlert
Herr Ronny Tröst B.Sc.
Stella Barth
Canan auch Schlauchin-Dussen van
Dipl.-Ing. Jose Löchel
Luzie Renner B.A.
Kunibert Trommler-Renner
Frau Juliane Schulz B.Sc.
Kamil Hendriks
Mike Hofmann
Laurenz Ritter
Änne Boucsein B.Sc.
Vanessa Hornig
Alexandre Geisel
Wilfried Börner
Eleni Mühle MBA.
Marianna Rosenow-Weiß
Dr. Valentin Eigenwillig
Kenneth Kramer
Zeljko Kobelt B.Eng.
Gordon Lehmann
Univ.Prof. Luisa Scholz B.Eng.
Roland Ring
Sofia Heinrich
Alfred Rose
Gregor Dippel
Prof. Gabriella Holt B.Eng.
Hans-Günther Scheuermann B.Eng.
Wiltrud Dietz
Prof. Monica Beer MBA.
Ing. Maren Schenk
Dörte Schlosser
Alma Eimer-Seip
Alwine Linke
Waltraut Gehringer
Julian Lehmann-Ortmann
Prof. Alexei Krebs
Univ.Prof. Emine Vogt B.Sc.
Ing. Mahmoud Becker
Richard Mende-Hendriks
Katharina Krause-Hornig
Martin Rose B.A.
Prof. Alina Barth
Rene Berger-Jäkel
Harri Heuser
Veit Etzler
Dipl.-Ing. Ekrem Thanel
Hiltraud Köster MBA.
Hilde Walter
Dr. Myriam Pieper B.Eng.
Eckhard Lindau B.A.
Gino Hartung
Kristin Niemeier
Univ.Prof. Jacqueline Faust
Alois Jungfer B.Eng.
Zofia Roht
Gisela Hornich-Metz
Egbert Tschentscher
Anna-Maria Holzapfel
Frau Änne Gunpf B.Sc.
Ilija Rosenow
Mark Lindau
Prof. Karl-Heinz Ruppersberger
Ivana Mielcarek
Cecilia Gertz
Amanda Fechner-Weinhage
Dr. Zehra Etzler
Alice Lachmann-Finke
Ing. Zofia Ernst
Utz Staude
Leokadia Finke-Dippel
Janette Wiek
Ing. Chantal Schleich B.Eng.
Jeanette Mälzer
Tony Wende
Dr. Anto Wende
Univ.Prof. Edmund Mentzel B.Eng.
Rosalinde Losekann
Annie Noack
Ing. Gerold Mende
Prof. Theobald Mangold
Esther Hoffmann-Hermighausen
Ingrid Rudolph
Prof. Bertha Jacobi Jäckel MBA.
Erich Klotz B.Sc.
Franco Radisch
Susan Warmer
Dr. Gerti Scheel
Jacek Täsche
Rebecca Geißler
Adeline Hein-Metz
Niko Geißler-Wirth
Wulf Kusch
Bastian Röhrdanz
Josefa Lange
Dragica Rosenow
Bayram Gertz-Hendriks
Lukas Juncken MBA.
Freddy Hande
Diether Dussen van-Rohleder
Jan Freudenberger
Ehrentraud Kroker
Albrecht Rust-Heinrich
Filippo Jäntsch
Johanna Stumpf
Lilija Ruppert
Virginia Gieß
Tülay Fiebig
Sophie Scheibe
Hans-Gerd Preiß
Joachim Löffler-Riehl
Klaus-Günter Kreusel
Dipl.-Ing. Eberhardt Fechner
Rena Rohleder
Ekaterina auch Schlauchin
Anke Hettner
Dr. Hildegund Söding B.A.
Stephan Stolze-Holt
Zehra Ernst-Bohnbach
Ernst Gunpf-Naser
Dajana Ruppert
Rene Bruder B.Eng.
Robby Kramer
Lilli Meyer-Reuter
Isolde Seifert
Stephanie Krause
Prof. Sofie Gröttner
Jonas Walter
Rosita Möchlichen-Stumpf
Witold Wulf
Bianka Schuster-Ziegert
Anatoli Caspar
Inka Trapp
Christiana Bauer
Brita Flantz-Knappe
Ing. Corinne Steckel B.A.
Simone Jacobi Jäckel B.A.
Marjan Pölitz B.Eng.
Nadeshda Schenk
Annekatrin Neureuther
Prof. Sandra Klapp
Dr. Rosalinde Stolze B.Eng.
Dipl.-Ing. Konrad Schenk
Prof. Kaspar Mosemann
Marko Renner
Osman Schmidtke
Hansjürgen Faust
Ing. Valentina Börner
Urban Peukert
Alida Tröst
Gert Naser
Prof. Aziz Stumpf
Helen Hahn
Rose-Marie Jäkel
Kristina Wernecke
Bernard Steinberg
Carmela Lindau
Ottfried Peukert-Schulz
Saban Hendriks
Falk Wagenknecht B.Eng.
Karl-Heinrich Schüler
Hans-Bernd Rose
Matthias Hendriks-Koch
Raimund Hande
Univ.Prof. Ilja Hentschel MBA.
Gundula Adler-Bien
Herr Hermann-Josef Hauffer
Karl-Josef Barth
Prof. Romy Bohnbach
Waldtraut Hoffmann
Hans Kostolzin-Ditschlerin
Stefano Wagenknecht
Prof. Karl-Ernst Möchlichen
Albrecht Caspar
Carolin Siering
Ing. Roy Dippel B.A.
Univ.Prof. Nurten Neuschäfer MBA.
Herr Süleyman Karge MBA.
Matteo Krein-Müller
Klaus-Michael Mälzer
Eveline Wagenknecht
