Student
Cläre Heser
Univ.Prof. Veli Etzler
Stavros Meyer
Rafael Blümel
Walter Weller
Käthi Faust-Gorlitz
Heinz-Dieter Gute
Philip Weller B.A.
Detlef Köster
Mirja Wähner
Hansgeorg Kruschwitz
Amalie Gotthard-Beckmann
Valentin Klingelhöfer
Margita Schleich-Becker
Kerstin Niemeier
Dipl.-Ing. Louis Spieß B.A.
Katharina Käster MBA.
Kristiane Hermann
Milos Wiek
Carina Killer
Dittmar Graf
Frank-Peter Kambs
René Säuberlich B.Eng.
Dr. Evangelia Killer B.Sc.
Cilli Röhricht
Erik Trupp MBA.
Ing. Herbert Mühle B.Sc.
Stephen Ackermann B.A.
Frau Stefani Hendriks B.A.
Claus Butte
Calogero Hoffmann B.Eng.
Reinhard Eigenwillig
Halina Austermühle-Bender
Univ.Prof. Roman Misicher
Constantin Kraus
James Nohlmans
Prof. Lotti Löffler
Anika Binner-Löffler
Sybilla Eigenwillig
Ing. Dorothee Harloff B.Sc.
Joachim Kramer
Ing. Lucie Karz
Balthasar Holsten
Jiri Kambs
Franz Steuer
Andrea Hamann
Reni Cichorius
Ing. Ernest Rogge B.A.
Prof. Catherine Knappe MBA.
Jasmina Zorbach
Univ.Prof. Gusti Schlosser
Dr. Kristine Tschentscher
Frau Monique Löchel
Hannes Meyer
Kristina Scheibe
Dipl.-Ing. Stefano Ditschlerin
Heinrich Döring
Ing. Hans-Walter Ackermann
Herr Aleksandr Wiek B.Sc.
Frau Cordula Anders B.Eng.
Annett Dehmel MBA.
Prof. Cathrin Misicher
Prof. Tina Nohlmans MBA.
Doris Kraushaar
Adelinde Geisler
Herr Hartmuth Pruschke
Nikolai Mohaupt
Beatrix Scheibe B.Sc.
Cosimo Zimmer
Patricia Trubin
Heinz-Dieter Caspar-Hande
Aysel van der Dussen-Jäntsch
Anatoli Caspar
Alban Dippel
Emilia Scheel
Emma Sorgatz-Radisch
Helma Zorbach
Winfried Hermann
Dr. Anto Wende
Heinz-Joachim Stiebitz
Univ.Prof. Jeanette Girschner B.Sc.
Fadime Heidrich B.A.
Herr Hermann-Josef Hauffer
Christl Pölitz
Irmgard Hövel
Sandor Ritter
Eitel Hethur
Teresa Schomber B.A.
Anneli Schleich-Ullmann
Kunigunda Hänel-Briemer
Iris Ullrich
Aynur Bohlander
Dr. Heinz-Georg Aumann MBA.
Heide-Marie Beckmann B.Sc.
Gertrud Ditschlerin
Dr. Sonia Hornich B.Eng.
Martine Trupp
Peter Sontag
Halil Löwer
Helmar Barth
Patrizia Spieß
Univ.Prof. Anika Pärtzelt MBA.
Univ.Prof. Paul-Heinz Heinz
Dr. Jasmina Ruppert
Leonardo Vogt
Kornelius Hornig MBA.
Alwine Bien
Ing. Rolf Gertz
Univ.Prof. Bert Gieß
Ing. Wladimir Karz MBA.
Hans-Herbert Gutknecht
Prof. Karl-Heinz Ruppersberger
Ing. Isabell Hartmann MBA.
Hedwig Briemer
Heinz-Willi Geisel
Tilmann Geisler
Dimitrios Kraushaar-Adolph
Dipl.-Ing. Marek Jockel
Gunnar Junk
Prof. Angelique Seidel MBA.
Bozena Meyer
Sabrina Schomber
Philippe Wähner
Ing. Hans Jürgen Häring
Mira Bender
Prof. Mandy Heuser MBA.
Marie-Luise Ring
Ditmar Briemer
Elisabeth Wieloch-Boucsein
Gordana Hertrampf-Speer
Emma Briemer
Friedrich-Karl Sorgatz-Schmiedt
Gisela Paffrath
Knud Zimmer
Dr. Arzu Martin B.Eng.
Senol Heintze-Gerlach
Frau Hilda Schweitzer B.Eng.
Herr Steven Eberhardt
Songül Tschentscher
Egon Paffrath
Malte Bohlander
Gundula Vollbrecht
Carin Pruschke
Katalin Butte
Paola Margraf
Gretel Stroh
Monique Schleich-Kroker
Jenny Scholtz
Herr Süleyman Karge MBA.
Anselm Mühle
Ria Walter
Ivo Börner
Claas Wirth B.Sc.
Jana Drubin-Heß
Gabriel Klotz
Ivo Lorch
Hermine Eberhardt
Irmtrud Röhrdanz
Dr. Abdullah Becker
Dr. Elly Junk
Ladislaus Hande
Fatma Löffler B.Sc.
Theda Stumpf B.Eng.
Ricarda Fröhlich B.A.
Gerta Klemt
Cecilia Gertz
Gundula Otto-Kuhl
Dr. Herbert Jockel B.Eng.
Ing. Karl-Georg Dobes
Margrit Schenk B.A.
Ulrike Rädel B.Eng.
Prof. Gerd Schenk
Ortwin Scholl
Dagmar Jungfer
Ehrhard Bohnbach B.Eng.
Gunnar Hornig
Victor Seifert
Ilias Wagner
Peer Bärer
Uli Zimmer
Henny Wulff
Selim Pieper
Nevenka Fritsch
Catherine Huhn
Gottlieb Kade
Klothilde Blümel B.A.
Klaas Vogt
Joachim Süßebier
Veronique Oestrovsky
Ulrike Hiller
Magret Mans
Ing. Meik Eberhardt B.A.
Univ.Prof. Regina Salz B.Eng.
Lili Heydrich-Beyer
Mohammad Karz MBA.
Frau Hildegunde Koch II
Raphael Barth
Univ.Prof. Horst Scholtz
Ada Ullmann-Hermann
Freia Kraushaar B.A.
Loni van der Dussen B.Sc.
Irmtrud Schaaf-Jacobi Jäckel
Mariele Peukert
Dipl.-Ing. Sigrun Neuschäfer B.Sc.
Ing. Ronny Metz B.A.
Univ.Prof. Samira Drewes
Insa Karz-Mangold
Wolf-Dieter Sölzer-Putz
Ing. Jonas Schaaf
Hanife Täsche-Stiffel
Isabell Eberth-Pechel
Pietro Klingelhöfer
Herr Eberhardt Gierschner
Fernando Neuschäfer
Heinz-Günter Mülichen
Maya Haering-Becker
Ilonka Lange
Herr Roman Schwital MBA.
Ing. Leonore Haering MBA.
Mattias Kruschwitz
Dr. Lieselotte Blümel B.A.
Philomena Salz
Ilija Kohl
Giesela Börner B.Eng.
Marko Renner
Michel Kuhl
Eileen Etzler
Herr Vladimir Zimmer MBA.
Herr Tom Täsche
Felicia Flantz-Lehmann
Waltrud Jacob
