Student
Alma Kaul
Ulla Süßebier
Angelica Klemt
Rosa Tintzmann
Tülay Hettner-Ebert
Jolanta Kühnert
Sönke Gumprich
Hermann Josef Schmiedecke
Peter-Michael Kostolzin
Ing. Christel Margraf MBA.
Rosemarie Hethur
Ellen Hahn-Spieß
Hajo Ziegert-Noack
Jochem Hermighausen
Nevenka Fritsch
Ria Stroh
Hans-J. Atzler
Dipl.-Ing. Theda Weinhold B.Eng.
Phillip Hermann
Herr Hans-Martin Heuser
Tamara Nette-Ladeck
Thilo Berger
Resi Knappe
Anatolij Kroker B.Eng.
Dana Köster
Carin Pruschke
Eva-Maria Geisler
Hans-Eberhard Lübs
Miguel Briemer
Klaus-Michael Hahn
Dr. Anika auch Schlauchin B.Sc.
Robby Weller
Detlev Wilmsen
Dipl.-Ing. Harm van der Dussen
Univ.Prof. Resi Kobelt
Carolin Holt
Nadin Hertrampf-Killer
Gunar Lindner
Univ.Prof. Undine Becker MBA.
Ibrahim Lehmann B.Eng.
Babett Pruschke-Schäfer
Elizabeth Vollbrecht
Ronald Stiebitz
Hubert Weitzel
Juergen Beier B.A.
Marie-Luise Ring
Marzena Hein
Francisco Trupp
Inge Kabus
Solveig Scheibe
Drago Täsche
Ingrid Rudolph
Hakan Kühnert
Pascale Bruder
Balthasar Holsten
Edelbert Bruder
Madeleine Hartung
Vesna Bähr
Margitta Hethur MBA.
Ing. Galina Hahn
Antonie Ladeck
Ruth Wiek-Bloch
Ing. Pius Börner
Zlatko Ritter B.Eng.
Notburga Heuser
Daniele Pieper-Käster
Gerda Kitzmann
Folker Otto
Dipl.-Ing. Janus Roht B.Sc.
Ann Spieß MBA.
Elke Hiller
Herr Yusuf Kabus B.A.
Regina Wende
Christl Wähner
Ing. Carin Zorbach MBA.
Bernadette Sorgatz
Marta Roht B.Sc.
Sina Spieß
Bertold Schenk
Tülay Gnatz-Sorgatz
Sofia Austermühle
Marika Zimmer
Karl Heinz Kruschwitz-Reising
Dr. Silvio Täsche
Wencke Salz
Ingetraud Austermühle-Dowerg
Konstantin Ladeck
Tilly Pergande
Sophie Scheibe
Edgar Bauer
Ralf-Dieter Riehl B.Eng.
Heribert Ring B.A.
Urszula Trapp
Prof. Lotti Löffler
Klaus-Werner Bohlander
Albina Heinz
Dr. Alma Warmer MBA.
Ing. Muharrem Paffrath B.Sc.
Ralf-Peter Gute
Gisa Hornig-Geißler
Timo Huhn
Nermin Martin
Herr Edmund Hesse
Ingried Hauffer-Lübs
Kathrin Johann-Schulz
Dipl.-Ing. Giuseppina Etzler B.Sc.
Univ.Prof. Luka Mende
Anatoli Anders
Brian Lehmann B.Eng.
Dr. Wilfriede Reuter
Bastian Röhrdanz
Ehrentraud Kroker
Sylke Binner B.A.
Kreszentia Scheibe
Oskar Rosemann
Hilma Berger
Benita Juncken
Valeria Finke
Julian Schuchhardt-Dippel
Dr. Kristine Tschentscher
Karoline Carsten
Johannes Bärer
Mechtild Patberg
Mareen Mans
Univ.Prof. Nadja Jacob B.Eng.
Univ.Prof. Inga Hermighausen B.Eng.
Prof. Georgia Zirme MBA.
Gundi Schwital
Reinhart Winkler B.Eng.
Herr Hans-Detlef Grein Groth
Patric Heinrich
Tillmann Dobes-Trupp
Dipl.-Ing. Henriette Schmidtke MBA.
Aribert Schulz B.Eng.
Denny Kusch
Cemil Schweitzer
