Student
Wieland Linke
Regine Häring
Maximilian Jockel
Leopold Rörricht
Marco Kostolzin-Bruder
Lotti Mosemann
Adelinde Putz
Ing. Cord Hermighausen B.Eng.
Alfonso Grein Groth-Henck
Herr Anton Mohaupt B.A.
Justine Kade
Balthasar Müller-Drub
Martin Pechel-Freudenberger
Luciano Klotz
Irmi Biggen
Dagobert Eberhardt B.A.
Pius Jopich B.Eng.
Christiane Blümel
Prof. Ferdinand Gertz B.Sc.
Mark Schottin B.Eng.
Dr. Marco Scheuermann
Artur Budig
Rena Rohleder
Wiltrud Jäkel
Antonius Pärtzelt-Jüttner
Heimo Huhn B.A.
Albrecht Rust-Heinrich
Wiltrud Dietz
Helma Zorbach
Dipl.-Ing. Patric Johann
Renato Bolnbach
Heinrich Putz B.Sc.
Emmy Bohnbach
Dr. Lieselotte Blümel B.A.
Antonie Fischer-Margraf
Prof. Swen Benthin MBA.
Univ.Prof. Lydia Langern
Dipl.-Ing. Hans-Günther Bien
Anselm Mühle
Baptist Radisch MBA.
Ilija Rosenow
Denis Weimer
Justine Lindner
Erdal Bähr
Kornelia Bachmann
Hans-Martin Kohl
Sofia Austermühle
Elmar Patberg
Gundi Hiller
Christl Eigenwillig
Svenja Hartmann
Emilia Römer
Gaby Bähr
Dr. Frithjof Weinhage MBA.
Dipl.-Ing. Claas Ladeck
Magdalena Gude
Dr. Alberto Kabus B.Sc.
Hans-Jochen Stolze
Irmtraud Freudenberger
Werner Kramer B.A.
Hanno Trub
Prof. Alida Mangold MBA.
Isa Weihmann
Evelin Gerlach
Claudio Bolnbach
Gunhild Gorlitz-Heinrich
Marie-Louise Girschner
Eggert Rörricht-Schwital
Fredy Birnbaum-Kensy
Aysel Löchel
Ben Bonbach B.A.
Ludmila Stadelmann
Hans-Herbert Eckbauer
Annaliese Hettner B.A.
Frau Ingelore Gertz
Melita Schleich
Dina Schmiedt MBA.
Baldur Knappe
Angelica Lindau-Heß
Konstantinos Linke B.Eng.
Irmtraut Mülichen B.A.
Urte Bolzmann
Maximilian Hellwig
Klaas Eckbauer
Dipl.-Ing. Slobodan Sölzer
Senta Wernecke B.Sc.
Amalia Schmidtke-Radisch
Celal Seifert
Dr. Theodor Sager
Rosa-Maria Steckel
Harold Bähr B.A.
Dr. Lilija Dowerg MBA.
Dr. Isabell Trupp
Anatoli Anders
Dr. Frederike Hering B.Eng.
Katherina Bien
Dipl.-Ing. Daniele Geißler
Dr. Marian Rust
Miroslaw Gieß
Blanka Birnbaum
Fernando Reising
Dipl.-Ing. Arthur Ziegert
Hildegunde Staude
Fredy Hiller
Wilhelm Tlustek
Dr. Jan-Peter Martin B.Eng.
Guiseppe Rust
Univ.Prof. Jens Weinhage
Klaus-Dieter van der Dussen
Siegrid Bachmann-Schaaf
Heimo Bauer
Pedro Hande B.Sc.
Univ.Prof. Jane Mans B.Eng.
Dr. Friedhilde Adler MBA.
Leander Dobes-Schlosser
Frau Evelyne Süßebier B.Eng.
Herr Darius Heuser
Hans-Detlef Schleich
Frau Else Röhrdanz B.Sc.
Annie Noack
Sara Johann
Astrid Nerger-Tröst
Walentina Eckbauer
Harri Heuser
Mariusz Adler
Leon Rust
Friedrich-Wilhelm Stahr-Henck
Dr. Jasmina Ruppert
Catharina auch Schlauchin
Hanns Bender
Dörthe Mitschke-Holt
Ing. Hanne-Lore Ackermann
Philip Renner
Balthasar Kruschwitz B.A.
Univ.Prof. Hiltrud Löwer
Dr. Czeslaw Neureuther
Univ.Prof. Horst Scholtz
