Student
Prof. Sylvana Trapp
Diether Vogt B.A.
Susanna Weitzel
Ing. Berthold Rosenow
Gerta Hartmann
Hülya Scheibe
Stephanie Weller
Alfred Holzapfel-Hamann
Michelle Pohl
Ralph Fröhlich
Univ.Prof. Milka Bähr
Sylvia Schenk
Karl-Ernst Reuter
Guenter Lachmann
Heinz-Otto Hermighausen
Roselinde Zobel
Bernard Karge
Süleyman Baum
Univ.Prof. Immo Mangold
Herr Guido Knappe B.Eng.
Christin Hein B.Sc.
Elisa Steinberg
Helene Kuhl-Austermühle
Dr. Myriam Häring
Madeleine Hermann B.Sc.
Gülsen Benthin
Celal Mühle
Annemarie Häring
Dorothee Blümel
Janusz Trub-Mühle
Ralf-Dieter Rörricht B.Eng.
Justus Schleich-Drewes
Enver Dehmel
Karl-Dieter Speer
Reimar Pohl
Bodo Ullrich
Gabi Neuschäfer-Oestrovsky
Gudula Niemeier
Ing. Annekatrin Heß
Miroslawa Gude B.Sc.
Hans-Erich Warmer B.A.
Senta Ruppersberger
Resi Margraf
Steven Seifert
Herr Götz Süßebier
Sophie Pruschke
Prof. Dietlind Ullrich B.Sc.
Wolfhard Kensy
Albert Hartmann-Lachmann
Gert Naser
Emilia Scheel
Frau Bruni Krein B.A.
Katerina Hauffer
Semra Gorlitz
Nora Dehmel B.Eng.
Iwan Butte B.Sc.
Gerhart Schenk MBA.
Angelika Roskoth
Torben Roskoth-Wilmsen
Andreas Trapp
Teresa Jessel
Prof. Konrad Neuschäfer
Univ.Prof. Leszek Gieß B.Eng.
Frau Reinhilde Wirth MBA.
Univ.Prof. Monja Staude MBA.
Inga Wieloch
Lars Walter
Renate Franke B.A.
Detlev Weihmann-Schäfer
Annekatrin Neureuther
Karl-Georg Zahn
Dr. Alma Warmer MBA.
Miroslav Krein
Ludmila Löffler
Heinz Dieter Trubin
Caroline Wende
Cosimo Bender
Antonie Fischer-Margraf
Helga Hövel MBA.
Sergio Schleich
Frau Florence Ditschlerin B.Eng.
Karl-Otto Kostolzin
Sönke Gumprich
Ing. Herwig Drub MBA.
Francesco Nerger
Hasso Mans-Buchholz
Reinhart Becker
Gretchen Pohl
Cilli Heintze
Dietlinde Schönland
Jutta Franke-Rosenow
Ing. Marlene Wirth B.Sc.
Univ.Prof. Hans-Eberhard Bauer
Dr. Trude Girschner
Dipl.-Ing. Matteo Baum
Heinz-Georg Heidrich
Klemens Förster
Dr. Sigrun Schönland B.A.
Diedrich Lachmann-Oestrovsky
Meta Wagenknecht
Elsbeth Schmiedecke-Wulf
Wibke Pärtzelt-Wieloch
Karlfried Sorgatz
Martin Dörr
Florentine Bärer B.A.
Laszlo Nerger MBA.
Ing. Marten Hering
Jolanta Kühnert
Evangelia Röhricht
Prof. Janos Werner B.Eng.
Wilhelm Tlustek
Gönül Kallert
Madlen Steinberg
Wilfriede Ziegert
Univ.Prof. Brigitte Rogner
Prof. Danny Bähr B.Eng.
Kira Hartmann B.Sc.
Prof. Gundula Dörr B.Sc.
Julie Schweitzer
Bernadette Sorgatz
Claire Junk
Dipl.-Ing. Hans-Günther Bien
Kirstin Boucsein B.Eng.
Dr. Erkan Stroh
Helga Salz
Univ.Prof. Mira Riehl
Angelina Dörschner-Reichmann
Frau Wenke Klemt
Dr. Zehra Etzler
Amanda Weller
Natalja Seidel
Alexandra Henk MBA.
Prof. Cilli Wulf
Gaetano Söding
Dipl.-Ing. Elisabeth Wiek
Univ.Prof. Antonina Becker
Robin Flantz
Christian Jacobi Jäckel
Justina Zirme
Herr Louis Hövel
Madlen Lübs
Katrin Oestrovsky-Fechner
Franco Loos B.Eng.
Dipl.-Ing. Ismet Käster B.Eng.
Janusz Eberhardt MBA.
Univ.Prof. Cläre Weihmann B.A.
Jacek Bärer
Clarissa Buchholz
Reinhard Rogge
Dipl.-Ing. Leokadia Junk
Dipl.-Ing. Marieluise Löchel
Hildburg Tlustek
Dipl.-Ing. Nuray Mude B.Sc.
Siegrun Ring
Hellmut Hein-Gnatz
Thea Dippel
Prof. Karl-Friedrich Geisler B.A.
Valentine Bähr B.A.
Gina Pieper
Dagmar Schinke B.Sc.
Univ.Prof. Hugo Martin
Univ.Prof. Ivonne Haase B.Sc.
Christopher Fröhlich
Kathrin Beckmann-Heinz
Jorge Killer
Prof. Wolfram Binner B.Eng.
Prof. Gaby Ernst MBA.
Insa Karz-Mangold
Hans-Willi Benthin
James Kostolzin-Staude
Gabriele Käster
Frau Gilda Ebert
Kristian Albers
Gregor Knappe B.Eng.
Susi Hendriks
Herr Alois Thanel B.Sc.
Aribert Schulz B.Eng.
Sarina Dobes
Gotthilf Gertz
Carmen Weinhold
Hans-Karl Rust MBA.
Joachim Rogge
Klara Löchel-Bien
Agathe Söding
Tilman Henschel
Anika Sager
Univ.Prof. Gislinde Rohleder
Damian Dörr
Karlheinz Stahr
José Tschentscher-Textor
Frau Sibel Trommler
Theresa Hethur-Kabus
Wibke Cichorius
Nils Hermighausen
Alina Hoffmann
Esther Eberth-Kensy
Micha Eckbauer B.Sc.
Enno Jockel MBA.
Prof. Timo Schleich MBA.
Wilma Drub B.Eng.
Dominic Martin
Ehrhard Pruschke
Heinz-Günter Fischer
Lilli Harloff
Dr. Frieda Metz
Francisco Wirth
Univ.Prof. Pascal Schweitzer
Carmelo Klapp-Berger
Vassilios Birnbaum
Irmingard Reising
Kläre Mohaupt-Salz
Oxana Schmidtke
Anika Biggen MBA.
Ing. Hanny Schlosser MBA.
Prof. Maya Peukert
Ing. Magda Jäntsch
Tina Radisch
Stephen Kensy
Evelin Wagenknecht-Döhn
Franjo Junitz-Hahn
Prof. Torsten Geisel B.Sc.
Imelda Schäfer
Leon Linke
Alexandre Häring
Faruk Döhn
Serge Kraus B.Eng.
Dr. Laila Peukert
Patrizia Wirth
Hans-Adolf Junken
Gino Hövel B.Sc.
Denis Etzold
Carla Schacht
Patrizia Schleich
Frau Anne-Katrin Rädel
Helmuth Wagner
Emin van der Dussen
Pedro Hande B.Sc.
Dipl.-Ing. Gilbert Plath B.Sc.
Hans-Albert Schwital
Brian van der Dussen
Ing. Leo Schulz
Ing. Lisbeth Fritsch
Melanie Scheel B.A.
Natalija Haering
Marion Weinhold-Pechel
Kornelius Pergande-Weiß
Daniela van der Dussen B.Eng.
Polina Hettner
Univ.Prof. Florentine Schomber B.Eng.
Claire Holt
Jens-Uwe Schlosser
Lucie Gutknecht
Siegried Otto
Wilfried Börner
Konrad Schuster
Prof. Ursula Niemeier B.Eng.
Dr. Karla Christoph
Anto Kostolzin
Vitus Pruschke B.A.
Prof. Friedbert Tschentscher B.Eng.
Heinz-Gerd Gorlitz B.Eng.
Prof. Kata Häring
Univ.Prof. Nevenka Döhn B.Eng.
Gundula Weitzel-Liebelt
Ing. Tanja Scheibe B.Eng.
Dipl.-Ing. Detlef Schacht
Hagen Girschner
Herr Wilhelm Schuchhardt B.A.
Marlen Hesse
Sükrü Fiebig
Dr. Gabriel Junitz
Janko Rose
Emmy Koch
Elmar Förster
Dr. Valentina Knappe
Martha Dowerg
Emma Sauer B.Eng.
Mark Schottin B.Eng.
Dipl.-Ing. Gusti Ditschlerin B.Eng.
Miguel Dussen van B.Eng.
Marc Heintze B.A.
Ignatz Budig
Sigmund Conradi
Ibrahim Lehmann B.Eng.
Mehdi Neureuther
Prof. Klaas Geißler B.A.
Hartmut Hiller B.A.
Harro Trapp B.Eng.
Maurizio Hartmann
Gerwin Bonbach-Fliegner
Dina Koch
Bianca Mans
Univ.Prof. Rafael Pruschke B.A.
Daria Liebelt
Sinaida Adolph
Ing. Karin Werner
Tibor Briemer
Werner Kramer B.A.
Miriam Ehlert MBA.
Josip Hiller-Hauffer
Lieselotte Dussen van MBA.
Hanspeter Davids
Dr. Constance Römer
Anton Müller
Serge Grein Groth
Dipl.-Ing. Milos Klemt
Apollonia Trüb B.A.
Univ.Prof. Margitta Wagenknecht B.Eng.
Hugo Keudel B.A.
Carl Schomber-Mälzer
Ursel Conradi
Hellmuth Söding-Bonbach
Univ.Prof. Matthäus Gude
Siegward Weinhold
Univ.Prof. Pius Kühnert
Kathrin Dussen van
Prof. Karl-Heinz Ruppersberger
Miriam Haering
Dr. Ingelore Winkler
Margita Hentschel
Diethard Trommler
Tanja Henk
Friedo Lorch
Prof. Nikolai Gunpf
Sieghard Kensy
Ingmar Hauffer
Luis Ackermann
Dr. Muzaffer Sauer B.Eng.
Asta Mielcarek-Blümel
Brunhild Briemer B.Sc.
Aziz Hornich
Henriette Bruder
Harro Keudel
Dieter Trupp
Jo Reising
Maren Roht
Dr. Antonia Schomber B.Sc.
Hiltrud Adolph
Dr. Salih Ullmann
Leopoldine Butte
Auguste Buchholz B.Sc.
Mercedes Blümel
Verena Hornich
Marisa Wagenknecht
Ferdinand Junck-Hölzenbecher
Patricia Schäfer
Bernhard Rogner B.Eng.
Ana Klapp MBA.
Univ.Prof. Hans-Martin Scholz
Hansjörg Holsten
Milos Wiek
Jeannette Schleich
Wenzel Wilmsen
Sibylle Jäntsch
Prof. Sonia Blümel
Dr. Frederike Hering B.Eng.
Prof. Antonia Mielcarek B.Eng.
Adelinde Geisler
Solveig Scheibe
Filippo Hermann
Tomislav Mende
Univ.Prof. Halil Staude
Dr. Marian Rust
Michaela Sontag-Dörr
Emine Haase B.A.
Dörte Dobes-Bonbach
Hendrik Gehringer
Maurizio Eckbauer
Krista Junken-Hövel
Irmhild Lorch
Astrid Nerger-Tröst
Dr. Jacqueline Trubin B.Sc.
Alina Spieß
Hans-Theo Vogt-Beckmann
Marleen Etzler
Ing. Diedrich Gotthard MBA.
Hannes Patberg
Bianka Dobes-Seifert
Sofia Austermühle
Ing. Tina Schmiedt B.A.
Melissa Gehringer
Constantin Jacob B.Sc.
Stephen Heidrich
Friedlinde Schenk-Wulff
Tillmann Dobes-Trupp
Dr. Elena Kade B.Sc.
Mechtild Winkler
Rosina Ortmann
Susanna Schaaf
Emilie Bolander
Karla Freudenberger MBA.
Prof. Mohammed Kambs
Andree Budig B.Eng.
Dr. Ralf Hölzenbecher
Aloys Barkholz
Wladimir Möchlichen MBA.
Dipl.-Ing. Sarina Dörr
Augusta Beer
Angelo Pärtzelt
Univ.Prof. Dolores Jäkel
Ing. Wenke Karge B.Sc.
Kristiane Hermann
Franz Schweitzer
