Student
Karl-Heinrich Karz
Necati Koch
Eugenia Riehl
Herr Gunther Flantz
Sybilla Striebitz
Damian Holsten
Dr. Lars Klemt
Uli Stolze MBA.
Janin Hamann
Albert Seifert MBA.
Anni Hänel B.Eng.
Baldur Knappe
Ing. Stella Wagner
Prof. Natalja Mies MBA.
Dajana Meyer
Gunnar Hentschel
Hedda Haase
Ivana Eimer
Stavros Vollbrecht-Geißler
Antonina Wagner
Klaus-Peter Kitzmann
Hans Josef Thanel
Klaus-D. Zirme-Bachmann
Ing. Rotraud Schmidt
Prof. Ullrich Rosenow B.A.
Hans-H. Pergande
Hans-Günther Etzold
Ilija Lindner
Kunigunda Fischer
Ing. Catrin Dippel MBA.
Piotr Schaaf
Sebastian Stiffel B.A.
Corinne Berger
Frau Ingried Rogner B.Sc.
Sevim Junitz
Maxim Wilms-Meister
Maria Mans B.Eng.
Ivanka Berger-Kraus
Josip Stey
Dr. Myriam Häring
Patric Heinrich
Tilo Hande
Metin Hande
Ingried Hänel
Baptist Radisch MBA.
Tibor Köhler-Schönland
Natascha Schinke B.Eng.
Nurettin Mans-Klemt
Lissy Dippel
Jadwiga Gierschner-Schulz
Ing. Madlen Beier B.A.
Luciano Biggen
Dr. Otmar Linke MBA.
Ing. Leander Weimer B.Eng.
Silvester Etzold
Till Tlustek
Aynur Bohlander
Aloys Fechner
Georgine Segebahn
Helma Fliegner
Henriette Sager
Evangelos Ring-Schmiedecke
Brigitte Zirme B.Sc.
Marie-Therese Steuer
Micha Röhricht B.A.
Dipl.-Ing. Harm van der Dussen
Hanne Junk
Herma Möchlichen
Dana Köster
Ing. Sebastian Killer B.A.
Roger Wagenknecht
Ing. Felicia Dörschner B.Sc.
Lilli Atzler
Franz Lange
Univ.Prof. Irene Budig
Dr. Lilly Conradi B.Sc.
Erkan Kuhl-Oestrovsky
Pero Gnatz
Mohamed Stiebitz-Pärtzelt
Mariusz Hartung
Wilma Drub B.Eng.
Janet Jüttner
Leonardo Birnbaum
Tomasz Bolnbach
Deborah Scholtz B.A.
Baldur Metz
Stephan Haase MBA.
