Student
Jasmina Heuser
Hans-Christian Finke
Gertraude Ruppersberger
Kunigunda Zimmer
Prof. Lieschen Bohlander
Univ.Prof. Nikolaus Sölzer B.A.
Renate Bärer
Ing. Wladimir Karz MBA.
Eitel Ernst
Prof. Augustin Stey B.A.
Bodo Ullrich
Stjepan Langern
Pedro Bärer
Marie-Louise Girschner
Asta Hesse
Concetta Dehmel
Rene Hofmann
Torben Roskoth-Wilmsen
Ing. Pavel Weller B.Eng.
Ralph Stahr
Augustin Jopich
Sevim Schmiedt-Döhn
Wera Klemt
Dipl.-Ing. Mirella Franke MBA.
Lissi Kohl
Leonardo Trub B.A.
Renate Franke B.A.
Edit Martin B.Sc.
Hilmar Spieß
Viola Oderwald B.A.
Evelin Stumpf
Tony Wende
Margarete Linke
Annamaria Margraf
Dr. Antonia Schomber B.Sc.
Janine Dehmel B.Eng.
Balthasar Müller-Drub
Klara Löchel-Bien
Ing. Margarete auch Schlauchin MBA.
Dino Martin
Manuel Stolze MBA.
Linus Mans-Röhrdanz
Marie-Theres Jäkel
Muharrem Benthin
Hildegart Weitzel
Univ.Prof. Friedl Tlustek
Ivanka Berger-Kraus
Sina Mende
Univ.Prof. Traude Gertz
Mesut Gute
Gregor Buchholz
Anni Hänel B.Eng.
Mirja Dehmel B.A.
Univ.Prof. Annekatrin Neureuther B.A.
Dagmar Franke-Schleich
Univ.Prof. Andrea Gieß B.Eng.
Artur Briemer
Faruk Döhn
Gunhild Holt-Rust
Margita Meister
Niko Geißler-Wirth
Herr Edmund Hesse
Milos Kuhl B.Sc.
Gerti Ullrich
Susan Seip MBA.
Hermann Bruder
Siegmund Schleich MBA.
Hedy Loos
Henri Wilms
Ing. Justina Beckmann
Sylvie Neuschäfer
Karl-Dieter Seifert
Cordula Schmiedecke-Wilms
Egon Ruppersberger B.Sc.
Univ.Prof. Mira Heser B.Sc.
Fabienne Dobes-Heuser
Dipl.-Ing. Tim Fritsch
Senta Renner
Dragan Trub
Frau Herlinde Kade B.A.
Ivanka Rogge
Wieslaw Löchel
Belinda Reinhardt B.A.
Engin Hofmann
Ing. Margareta Hethur B.A.
Rudolf Weihmann
Matthias Dowerg
Mirja Bähr
Dorothee Seidel
Hartmuth Vollbrecht
Reni Rosemann MBA.
Holger Roskoth B.Sc.
Pascal Freudenberger
Tatiana Pechel
Ing. Jeanette Rosemann B.Eng.
Ingried Ullrich
Reinhold Striebitz
Alessandro Henk-Käster
Rosa-Maria Reising
Janusz Eberhardt MBA.
Cathleen Mies MBA.
Herr Jonathan Beckmann B.A.
Verena Hornich
Cilli Siering
Milica Reichmann
Henrik Hein B.A.
Thorben Rosenow
Prof. Heinz-Peter Thies
Jo Reising
Prof. Amelie Rose MBA.
Hans-Henning Heydrich MBA.
Herr Simon Fliegner MBA.
Felicitas Ruppersberger
Goran Benthin
Ewald Rädel-Rörricht
Ing. Elsa Liebelt
Univ.Prof. Albertine Köhler MBA.
Christiane Roht
Monica Drub-Davids
Simone Harloff B.Eng.
Benno Kraushaar
Univ.Prof. Francesco Schulz B.Eng.
Olga Krein
Diether Vogt B.A.
Hedda Schönland
Ralf-Peter Ebert
Elena Gotthard
Ing. Bianca Paffrath
Heide-Marie Gunpf B.A.
Florence Davids
Kuno Mälzer B.Eng.
Dagmar Jungfer
Dr. Francisco Hänel
Rüdiger Geisler
Dr. Jonas Anders B.Sc.
Univ.Prof. Franz-Josef Holt
Marleen Austermühle-Tintzmann
Isidor Atzler
Marie-Louise Hendriks-Dörschner
Yusuf Steinberg B.A.
Sylvana Hornich MBA.
Dr. Heinz-Georg Aumann MBA.
Frau Anja Haering
Sylvester Neuschäfer-Schacht
Hans-Rainer Rogner
Imre Mülichen
Univ.Prof. Alois Jähn B.Eng.
Bernt Jessel
Dr. Thekla Lindau B.Sc.
Frau Kordula Geisler MBA.
Recep Hecker
Prof. Marija Seidel
Thea Nette
Friedrich-Karl Sorgatz-Schmiedt
Bogdan Zirme
Univ.Prof. Änne Finke B.Sc.
Univ.Prof. Hans-Dietrich Grein Groth B.A.
Dr. Sedat Schäfer
Pauline Mosemann
Oda Henschel
Miroslawa Rose
Inka Trapp
Univ.Prof. Marjan Graf B.Sc.
Cynthia Langern
Leonardo Klingelhöfer B.Sc.
Hanife Ullrich
Friedrich Austermühle-Döring
Gerwin Schuster
Aenne Beyer
Dr. Nadeschda Wulf
Robby Kramer
Ing. Leni Rosenow B.Eng.
Egbert Heintze
Erdal Bruder
Maritta Boucsein
Prof. Claudia Mude
Mirjana Schlosser B.Eng.
Marit Weller
Anneli Butte
Dipl.-Ing. Beatrix Henk B.Eng.
Ing. Kläre Radisch
Irmi Zobel
Silvester Scheibe
Till Bolander
Irmingard Meyer MBA.
Rebecca Oderwald
Hermann-Josef Zimmer
Heiner Pieper
Astrid Dehmel
Prof. Irena Höfig
Bernadette Sorgatz
Univ.Prof. Natalie Flantz
Philipp Walter-Löffler
Dietlinde Söding
Elenore Renner
Mercedes Blümel
Willibald Gude
Frau Notburga Pergande
Friedemann Kostolzin
Dietlind Albers
Ing. Klaus-Dieter Karge MBA.
Krista Bohnbach
Ing. Marie-Therese Schleich
Univ.Prof. Mira Riehl
Rudi Schacht
Prof. Wolf-Dieter Killer B.Sc.
Rosl Trupp
Annemie Herrmann
Marlies Beckmann
Irmtraud Ladeck
