Student
Dipl.-Ing. Hermann-Josef Jüttner
Roy Holt
Urszula Rudolph
Felizitas Jungfer
Dr. Annett Siering
Lucie Trüb-Schmiedt
Miriam Ehlert MBA.
Frau Hilda Schweitzer B.Eng.
Hedda Haase
Johan Baum
Dolores Conradi
Hans-Christian Trüb
Dr. Margita Stiebitz
Frau Bruni Krein B.A.
Anna-Maria Holzapfel
Natascha Schinke B.Eng.
Eduard Ruppersberger
Calogero Staude B.A.
Katrin Ortmann
Angelina Dörschner-Reichmann
Karolina Reuter-Freudenberger
Janos Ehlert
Elfi Roht
Frau Etta Wesack MBA.
Hannah Jacobi Jäckel
Kreszentia Bloch-Kohl
Zbigniew Boucsein
Prof. Dirk Biggen B.Eng.
Friedemann Stoll
Tilly Pergande
Goran Junck-Bauer
Deborah Beier
Erkan Kuhl-Oestrovsky
Margit Klapp
Prof. Gunter Mentzel
Frau Jane Sauer
Prof. Janos Werner B.Eng.
Alicia Kroker
Urs Matthäi
Theo Neuschäfer
Marion Kuhl
Gisela Schwital-Scheel
Freia Lübs
Dr. Franz-Peter Löffler
Heinz-Dieter Caspar-Hande
Brian Preiß
Ingried Hauffer-Lübs
Dr. Erkan Stroh
Birthe Schüler
Gotthard Löwer
Prof. Henriette Killer
Anneliese Wähner
Irmgard Weinhage-Wieloch
Prof. Amir Reising MBA.
Bernd Blümel
Hans-Herbert Gutknecht
Dr. Elwira Hiller
Ben Täsche
Oxana Henschel
Adam Krein-Karge
Ralf-Peter Schacht
Detlev Wilmsen
Herr Recep Junk B.A.
Angelika Rosemann
Dipl.-Ing. Walburga Steckel
Hubert Weitzel
Emilie Bolander
Frau Swantje Heinrich B.A.
Alfredo Oestrovsky
Gerwin Salz
Liane Reuter
Ing. Boris Junck MBA.
Erdal Meyer B.A.
Dorothea Kroker-Misicher
Burkhardt Holt
Zdravko Jacob
Ehrhard Förster
Sinaida Heinz-Gnatz
Ing. Monika Ullrich
Lieschen Steckel
Pascale Bruder
Lorenz Schwital-Stadelmann
Friedo Meister-Klemm
Ing. Hanna Killer
Guenter Kohl-Nette
Ing. Ivana Budig B.Eng.
Eva Wende-Peukert
Bertram Rädel
Arne Dobes
Jozef Bohlander
Carmelo Klapp-Berger
Dr. Heide Jockel B.Sc.
Johann Rust
Prof. Siegbert Scheuermann B.A.
Ryszard Lehmann
Dipl.-Ing. Werner Scholl B.Eng.
Ing. Gertraude Holsten B.Sc.
Hans-Helmut Eimer MBA.
Paolo Wernecke
Erol Eimer
Dr. Senol Beier MBA.
Lilija Döring
Univ.Prof. Ivanka Hübel
Prof. Elzbieta Fechner B.Sc.
Geza Weller
Ing. Aziz Hein
Felicia Flantz-Lehmann
Flora Mühle B.Sc.
Berndt Barkholz
Felix Wilms
Carmelo Stiebitz
Mia Ullmann
Woldemar Heydrich B.Eng.
Herr Mario Pergande
Piotr Speer-Seifert
Ing. Damaris Bonbach
Annemarie Schaaf B.Sc.
Hans-Jörg Lachmann
Tomas Tlustek
Britt Schwital-Seip
Anton Müller
Ing. Stella Wagner
Marta Eigenwillig-Hörle
Karl-Peter Häring-Kruschwitz
Rochus Gude
Frank-Michael Köhler
Aysel van der Dussen-Jäntsch
Annamaria Margraf
Pius Gierschner-Weitzel
Wilfriede Ehlert
Christof Ditschlerin
Heimo Förster
Heimo Knappe
Agathe Trommler
Nikolas Ebert
Ing. Jens-Peter Tschentscher
Ing. Tillmann Geisel
Franz Steuer
Frau Else Röhrdanz B.Sc.
Frau Wendelin Heinrich B.Eng.
Annaliese Gerlach
Nils Stey
Patrick Wohlgemut
Dr. Slawomir Hande
Niklas Scholtz
Prof. Erwin Albers B.Sc.
Lisbeth Hentschel
Pero Gnatz
Gerhild Stiffel
Andre Schinke
Ilonka Buchholz-Köhler
Prof. Ursula Eigenwillig
Remo Köhler
Hedi Bärer
Katharine Mühle
Joana Zimmer B.A.
Dietlinde Söding
Ole Ritter MBA.
Gerolf Döring-Buchholz
Gretel Stroh
Sylke Binner B.A.
Eugenie Pieper
Adriane Wende
Ing. Swen Ehlert
Dorothe Renner
Svenja Hartmann
Gereon Textor
Hans-Hermann Hande
Ing. Siegmar Meyer B.A.
Cordula Mangold
Herta Hoffmann
Manfred Juncken
George Weimer
Jann Schleich
Nadine Schleich
Nelly Schlosser
Hellmuth Hörle
Irmengard Röhrdanz
Dipl.-Ing. Arthur Ziegert
Freia Buchholz
Herr Gordon Meister
Abram Eckbauer B.A.
Ing. Anatolij Heintze
Agathe Gertz-Butte
Marek Schenk B.A.
Melanie Hauffer
Univ.Prof. Gislinde Rohleder
Zeki Henk B.A.
Dipl.-Ing. Christoph Schulz B.Sc.
Ing. Berthold Rosenow
Frau Antonina Kitzmann
Dipl.-Ing. Tamara Seifert B.A.
William Zirme
Lieselotte Nohlmans
Hansgeorg Hettner
James Nohlmans
Stephanie Kranz B.A.
Irmtrud Textor B.Eng.
Oxana Linke B.Eng.
Mandy Loos
Vassilios Davids
Heribert Kensy
Ortrun Krebs
Jo Gnatz
Carsten Hartmann
Hartmut Biggen-Trapp
Dominic Martin
Ralph Binner-Römer
Hellmuth Heidrich
Anatolij Trub
Cynthia Linke
Univ.Prof. German Rörricht
Dr. Tim Hornig B.Sc.
Ronald Hofmann
Inge Dietz B.A.
Phillip Hermann
Hilde Walter
Emma Sauer B.Eng.
Frau Melita Scholz B.A.
Irmi Gute
Rosl Trupp
Ing. Josip Ruppert
Gottlob Seip
Nadin Stiebitz B.Eng.
Madlen Salz
Klemens Knappe
Univ.Prof. Nurten Neuschäfer MBA.
Univ.Prof. Mira Heser B.Sc.
Univ.Prof. Hedwig Krein
Valerij Barth
Ing. Georgia Rogner
Prof. Heinz-Josef Radisch B.A.
Ottilie Blümel
Annika Lindner
Carmen Textor-Krebs
Kai-Uwe Oderwald
Ing. Alwine Scholz
Dipl.-Ing. Lilly Boucsein B.Sc.
Ehrhard Häring B.A.
Herr Burkhardt Bauer B.Eng.
Klaus Peter Adler
Augustin Wende
Kornelius Pergande-Weiß
Jonathan Schottin-Naser
Prof. Dorit Käster B.Sc.
Madeleine Hermann B.Sc.
Prof. Karen Benthin B.Eng.
Katherina Hesse
Natalie Carsten B.A.
Milena Weitzel-Steinberg
Antonino Rogge-Meyer
Evangelos Beyer
Rosa-Maria Steckel
Veit Beckmann
Univ.Prof. Kreszenz Wulf B.A.
Ing. Walli Bolander MBA.
Catherine Huhn
Silke Heydrich-Albers
Claus Butte
Lotti Mosemann
Herr Gustav Noack
Emilie Kallert-Zorbach
Dipl.-Ing. Eberhardt Fechner
Monique Liebelt-Ebert
Patrik Ditschlerin
Monja Siering
Swantje Heinz
Goran Benthin
Ing. Corinne Winkler
Antonietta Lindner MBA.
Josip Kuhl
Univ.Prof. Marita Pohl
Marek Mitschke B.Sc.
Frau Edda Hornig B.Eng.
Ing. Carolin Matthäi
Univ.Prof. Ottfried Scholl
Adeline Hahn
Hiltrud Klemm
Mirjam Stumpf
Larissa Löffler
Tomas Gröttner
Eugenia Anders B.A.
Aleksej Fröhlich
Univ.Prof. Klaus-Günter Renner B.A.
Sandy Fechner
James Kostolzin-Staude
Hans-Günther Etzold
Michaela Loos-Mentzel
Univ.Prof. Edmund Mentzel B.Eng.
Rosa Rosenow B.Eng.
Heide-Marie Heß B.A.
Stefano Atzler
Wilhelm Tlustek
Dipl.-Ing. Cynthia Hauffer B.A.
Sigmund Kensy
Anatolij Steinberg
Mareen Krebs-Hofmann
Boris Bachmann
Univ.Prof. Gino Wagner B.Sc.
Aribert Mitschke
Milka Wohlgemut-Meyer
Univ.Prof. Nermin Rosemann B.Sc.
Birte Gröttner MBA.
Jessica Gotthard
Vesna Bähr
Bettina Klapp
Dana Schäfer
Timm Wende
Prof. Ruth Gehringer
Alicia van der Dussen-Patberg
Nevenka Hörle MBA.
Mareike Scholl
Mandy Scholl-Bohnbach
Univ.Prof. Hans-Martin Scholz
Ing. Kläre Radisch
Gerwin Rust MBA.
Dr. Cengiz Säuberlich
Univ.Prof. Ilja Hentschel MBA.
Werner Kramer B.A.
Gerwin Schuster
Dipl.-Ing. Ante Rust
Dagmar Koch
Notburga Huhn
Ilija Eckbauer-Steinberg
Frau Notburga Pergande
Traude Kuhl
Ljiljana Roht
Dr. Nadeschda Wulf
Hubertus Dörschner
Uta Karz
Madlen Steinberg
Alwin Löffler B.A.
Dr. Jens-Uwe Ruppert
Prof. Rosa Kruschwitz B.Sc.
Justine Kade
Anny Wähner
Waltrud Scholl
Diana Jessel-Geißler
Stavros Meyer
Frau Evelyn Tlustek B.Sc.
Univ.Prof. Till Vogt MBA.
Ottilie Gute
Oskar Rosemann
Brita Klemm
Edda Jungfer
Slavica Vollbrecht
Tadeusz Weller
Jan Freudenberger
Konstanze Zänker MBA.
Hajo Kranz-Heser
Alexandros Ernst
Mattias Kensy
Hansgeorg Kruschwitz
Antonios Walter
Anna-Luise Segebahn
Dr. Janos Reising
Univ.Prof. Arno Kramer B.Eng.
Prof. Mario Butte
Birgit Pergande
Margareta Klingelhöfer
Zofia Gumprich
Imre Sauer
Alice Hesse
Ilja Krause
Tillmann Matthäi B.Eng.
Ilhan Budig
Antje Etzold
Leander Dobes-Schlosser
Irmtraut Hahn-Walter
Wilma Matthäi
Danilo Ehlert
Mechtild Winkler
Dr. Jane Kostolzin
Ernst-Otto Heß-Hartmann
Frau Belinda Plath B.A.
Birger Klapp
Magnus Heidrich
Marion Weinhold-Pechel
Ing. Clemens Wirth
Hans-H. Naser
Univ.Prof. Monja Staude MBA.
Adrian Fiebig-Dörschner
Eva-Maria Geisler
Dr. Ellen Schlosser B.A.
Univ.Prof. Romana Hiller
Dr. Dagmar Hörle B.Sc.
Heidemarie Köhler
Maik Tintzmann B.Sc.
Anastasios Kuhl
Prof. Irmela Hellwig B.Sc.
Florence Schulz
Sedat Matthäi
Janet Kade
Gülay Haase
Andre Metz B.A.
Ernst-Dieter Geisler B.Eng.
Hans-Hinrich Stiffel
Herta Keudel
Sylwia Bolander
Selim Pieper
Dajana Trapp-Kreusel
Fredy Hiller
Prof. Reza Ebert B.Eng.
Luciano Aumann
Salvatore Eberhardt-Ring
Dr. Natascha Schmidtke B.Eng.
Prof. Klaas Geißler B.A.
Dr. Lea Kraushaar B.Eng.
Univ.Prof. Sonja Hande MBA.
Hans-Günther Kohl B.Eng.
Fadime Heidrich B.A.
Dipl.-Ing. Tim Fritsch
