Student
Vito Davids-Schwital
Wally Wähner
Prof. Jolanthe Gude
Paolo Wernecke
Anneliese Wähner
Friederike Geisler
Friedericke Lehmann B.Sc.
Ing. Hannes Jähn B.Sc.
Prof. Linus Kambs B.A.
Herr Mario Pergande
Dipl.-Ing. Eberhardt Fechner
Lilo Hartung
Maritta Bien
Gereon Trapp
Lilli Harloff
Gloria Schulz-Huhn
Veronique Löwer
Ruth Barkholz-Koch II
Ottilie Scheel
Dimitrios Kraushaar-Adolph
Friedemann Stoll
Waltraut Gehringer
Univ.Prof. Fredy Barth MBA.
Carmelo Weinhold
Guenter Kohl-Nette
Univ.Prof. Willfried Werner B.Sc.
Ing. Cynthia Weihmann B.Eng.
Nicolaus Seifert B.A.
Milka Scholl
Bernhardine Wilmsen
Gabriela Gierschner
Maria Mans B.Eng.
Frauke Stadelmann
Reingard Cichorius
Heinz-Willi Jockel
Beate Johann
Ing. Ramazan Kabus B.Eng.
Jorge Killer
Birgid Drewes-Seifert
Bettina Schlosser
Veronique Hartung-Haering
Dr. Dagmar Hörle B.Sc.
Ing. Wolf-Rüdiger Herrmann B.Sc.
Ilias Weiß MBA.
Kristin Kabus
Maria-Theresia Scholl
Uli Oderwald-Freudenberger
Dr. Muzaffer Sauer B.Eng.
Marko Kensy-Atzler
Mirjana Schlosser B.Eng.
Rudolph Etzold
Ellen Vogt
Ivan Plath
Univ.Prof. Jeanette Girschner B.Sc.
Imre Sauer
Emilie Kallert-Zorbach
Käthi Faust-Gorlitz
Aynur Bohlander
Kordula Lange
Gunnar Hentschel
Ekrem Zänker
Francesco Wieloch-Herrmann
Alfredo Möchlichen
Virginia Gieß
Aleksej Fröhlich
Ing. Wolf-Rüdiger Dietz B.Sc.
Delia Rust
Herr Otto Vollbrecht
Nikolas Hövel
Prof. Vadim Stroh
Jeannette Schleich
Robin Junk-Henk
Herr Anthony Caspar
Dörte Dobes-Bonbach
Friedlinde Meyer
Dr. Walburga Kobelt B.Eng.
Nadeschda Barkholz
Cecilia Killer
Ellen Gutknecht
Univ.Prof. Mira Riehl
Univ.Prof. Andrea Gieß B.Eng.
Ralf-Peter Gute
Cindy Stahr
Francesco Drub
William Zirme
Frau Melita Huhn
Torben Säuberlich-Linke
Eileen Hartung
Mareike Wilmsen
Anna-Luise Seip-Hofmann
Norma Jungfer
Janet Johann B.A.
Ing. Romuald Kreusel B.A.
Ing. Czeslaw Geisel
Roselinde Kusch-Röhrdanz
Dipl.-Ing. Rouven Kallert MBA.
Marie-Louise Killer-Etzler
Regina Fliegner
Almuth Haase
Michaela Hecker B.Eng.
Nikola Riehl
