Student
Hermine Eberhardt
Henri Finke-Lehmann
Dieter Trupp
Sylvester Zirme
Herr Emin Trubin
Susi Hendriks
Sevim Ackermann
Hans Josef Striebitz
Dipl.-Ing. Detlef Trommler
Anneliese Gnatz
Xenia Hermann
Priska Wende
Annie Langern
Vassilios Davids
Jelena Jüttner
Prof. Dorit Käster B.Sc.
Gertraut Koch II
Cemal Budig-Holt
Stavros Meyer
Wilfried Steinberg
Enrico Reising MBA.
Marica Seidel B.Eng.
Enno Jockel MBA.
Regine Wende B.A.
Ljudmila Nerger
Veronica Benthin
Dipl.-Ing. Gudula Margraf B.Sc.
Britta Nerger B.Eng.
Joachim Kramer
Victoria Binner
Enrico Hellwig
Ing. Herbert Mühle B.Sc.
Prof. Mechtild Steuer
Canan Beyer
Christos Beier
Robert Herrmann
Annekatrin Wende
Geza Hertrampf B.A.
Klaus-Günter Kreusel
Ekkehard Holzapfel
Lilija Kensy
Wenke Neureuther-Hermighausen
Marijan Kruschwitz
Olaf Hethur
Jolanta Nohlmans-Tschentscher
Krystyna Holsten B.A.
Ing. Jeanette Rosemann B.Eng.
Guenter Wende
Univ.Prof. Mira Heser B.Sc.
Achim Budig
Ilhan Hoffmann-Karz
Marga Vogt
Timo Huhn
Herr Sigismund Gieß MBA.
Emanuel Scholz B.Eng.
Serge Trubin
Aldo Förster
Silvia Eberth
Janus Jessel-Hermann
Radmila Schomber B.Eng.
Annekatrin Neureuther
Brit Anders
Marianna Hofmann
Margitta Wulf-Nerger
Alois Knappe
Univ.Prof. Almuth Cichorius B.Eng.
Dipl.-Ing. Lioba Plath
Ludwina Fritsch
Univ.Prof. Michaele Heser MBA.
Dr. Lina Hiller
Carina Hövel
Georg Misicher
Annaliese Gute
Raissa Mitschke MBA.
Marek Adler
Reinhart Becker
Vera Losekann
Silja Eberhardt-Boucsein
Heimo Förster
Wolf-Dieter Schmiedt
Herr Vincenzo Liebelt
Dajana Ruppert
Evangelia Meyer-Mielcarek
Hansgeorg Beier-Freudenberger
Dr. Friedhilde Adler MBA.
Emin van der Dussen
Hans Dieter Kallert
Nuran Schäfer B.A.
Gülay Weinhold
Friedl Hölzenbecher-Eberth
Ludger Stiffel
Marek Walter MBA.
Resi Knappe
Anne-Katrin Butte MBA.
Ing. Alfred Söding
Brian Dussen van
Dipl.-Ing. Ildiko Löffler B.A.
Adina Söding
Sibylla Klingelhöfer B.Sc.
Hans-Detlef Kobelt
Isidor Zobel-Ritter
Wally Schmidt
Leokadia Herrmann
Elzbieta Beier
Friedlinde Mühle B.A.
Tina van der Dussen
Gabriele Käster
Dipl.-Ing. Jaroslav Henk
Hanni Scholz-Weitzel
Eileen Hartung
Anna-Lena Bloch
Fatma Hesse
Erdal Tintzmann
Gero Schomber
Dr. Angelica Trüb
Dipl.-Ing. Rigo van der Dussen B.Eng.
Angelina Ruppert-Siering
Maren Roht
Mandy Loos
Franz Josef Girschner
Ing. Anika Jüttner
Florian Weimer
Jadwiga Karge
Alfredo Bolzmann B.A.
Dr. Änne Radisch
Ing. Hartmuth Gute B.A.
Geert Etzold
Nicole Scheibe
Janus Ring
Antonios Walter
Ing. Romy Gieß
Dipl.-Ing. Elif Hartmann B.A.
Hans-Günther Wilmsen
Fatima Röhrdanz
Ing. Ivo Weinhold
Henrik Hein B.A.
Cathleen Gude
Prof. Alexei Krebs
Adalbert Hande B.Eng.
Patrick Pärtzelt-Henck
Damaris Eigenwillig
Ulrich Schlosser
Adrian Trupp
Jana Drubin-Heß
Wilhelm Metz
André Kroker
Alexander Hörle
Lissi Rust-Metz
Gabi Löwer MBA.
Dr. Saban Hoffmann B.Eng.
Prof. Mohammad Reinhardt
Heino Zahn-Bähr
Niklas Trubin
Roger Gunpf-Paffrath
Hans-Günther Scheuermann B.Eng.
Prof. Tobias Börner
Margrit Förster
Marion Weihmann
Prof. Norbert Wilms B.A.
Edeltrud Margraf
Mirko Eckbauer
Univ.Prof. Lissi Schomber
Hilde Walter
Margarete Mohaupt B.Sc.
Wulf Schuster
Gerd Wiek MBA.
Hanne-Lore Berger
Vassilios Trommler-Gieß
Ing. Wieslaw Kobelt B.Sc.
Wolf Martin
Helmar Klapp
Franz-Xaver Bachmann
Elke Haase
Dr. Reza Hering B.Sc.
Eleonore Kuhl-Koch
Prof. Anna Kühnert B.Sc.
Theda Stumpf B.Eng.
Gertraud Mende
Krista Putz
Gitta Berger
Roman Bloch
Ann Spieß MBA.
Prof. Wolfgang Mohaupt
Juan Fechner
Carin Mohaupt-Heser
Mareile Tschentscher B.A.
Svea Krebs-Scheibe
Dr. Marian Rust
Herr Franz Geisler B.A.
Rainer Hänel
Ludwina Hölzenbecher
Rüdiger Heinrich
Prof. Klaas Geißler B.A.
Birthe Trommler
Ing. Elsa Liebelt
Cora Stumpf-Gunpf
Dipl.-Ing. Jörg-Peter Conradi B.Sc.
Dipl.-Ing. Dragica Neureuther
Undine Jopich
Regina Ring
Annemarie Seidel
Univ.Prof. Josip Hartung
Lydia Jopich
Herwig Krebs
Reza Kusch
Matthäus Striebitz-Zirme
Hilda Stey B.Eng.
Univ.Prof. Erhard Heuser MBA.
Urte Bolzmann
Philip Fritsch
Herr Evangelos Schacht
Slawomir Ortmann
Nadeschda Pölitz
Heinz-Werner Schleich-Mies
Dr. Gero Röhricht B.Eng.
Frau Alwina Bohnbach B.Eng.
Jolanda Rose
Karlfried Rörricht
Ekkehart Grein Groth
Götz Budig
Valeri Tschentscher
Edgar Rohleder-Fröhlich
Verena Gute-Trüb
Dagobert Eberhardt B.A.
Manuela Sauer
Klaus Lorch-Graf
Alexej Liebelt
Prof. Ana Textor
Undine Scheibe-Stey
Auguste Pruschke
Justus Lorch
Erol Kreusel B.Sc.
Diedrich Lachmann-Oestrovsky
Hansjürgen Säuberlich
Kay-Uwe Pölitz
Univ.Prof. Antonina Becker
Genoveva Gieß
Diether Blümel
Alois Werner
Augustin Hoffmann MBA.
Susanne Etzold
Karl-Wilhelm Anders-Gude
Zeljko Jessel
Elisa Karz-Rohleder
Emilie Kallert-Zorbach
Almuth Rosenow-Schönland
Wenzel Ebert
Hassan Sager
Witold Wulf
Franz Josef Herrmann
Svetlana Bohlander B.Sc.
Eduard Kühnert
Hans-J. Neureuther
Edeltraut Anders-Rohleder
Karl Heinz Eigenwillig
Prof. Fredy Hahn
Univ.Prof. Jeanette Girschner B.Sc.
Berndt Bähr
Leokadia Putz
Frau Caren Schmidt MBA.
Prof. Raymond Söding
Prof. Svea Putz MBA.
Roselinde Ebert
Malte Bohlander
Monique Liebelt-Ebert
Gerti Döring
Herr Goran Paffrath
Danica Atzler
Ruthild Schüler B.Eng.
Knut Gorlitz
Heide Hesse-Bärer
Hanspeter Koch II-Wohlgemut
Theda Klotz
Hans-Bernd Zorbach
Benita Neuschäfer
Hilmar Graf
Wolf-Rüdiger Börner
Notburga Weller MBA.
Resi Ullmann
Hans-Jürgen Barth
Ing. Elenore Kostolzin
Denis Weimer
Dipl.-Ing. Miguel Bärer
Prof. Andrzej Gorlitz
Henny Eberhardt
Kay-Uwe Ziegert
Dr. Tony Ditschlerin
Univ.Prof. Nikolaus Sölzer B.A.
Ahmet Stumpf
Gottfried Hettner-Reising
Klaudia Seidel
Eva-Marie Berger MBA.
Kristin Bohlander B.Eng.
Marlen Flantz
Tilly Pergande
Prof. Timo Schleich MBA.
Adelheid Schinke
Traugott Hövel
Gaby Bähr
Bertram Eigenwillig
Inka Meyer
Linda Kruschwitz
Prof. Necati Stey B.A.
Inga Wieloch
Veronika Kruschwitz B.A.
Nico Drewes
Slavko Fliegner B.Sc.
Roger Hendriks-Ruppersberger
Grit Karz
Olav Thies
Mary Hofmann B.A.
Ferdinand Junck-Hölzenbecher
Ehrhard Pruschke
Gülsen Gutknecht
Hans-Georg Dörschner
Annelene Zänker
Florian Wulff
Helga Mosemann-Hecker
Burkhardt Holt
Apollonia Trüb B.A.
Dipl.-Ing. Marica Sager
Ing. Dierk Striebitz
Ing. Michel Harloff
Annegrete Pohl-Sölzer
Ilija Höfig
Univ.Prof. Dogan Mielcarek
Jennifer Berger
Irmgard Täsche B.A.
Heinz-Werner Buchholz
Prof. Friedo Reuter
Thea Nette
Victor Fritsch B.Eng.
Slawomir Drub-Gute
Svetlana Schenk-Barth
Maria Bruder
Univ.Prof. Galina Kobelt B.Eng.
Zeljko Meyer
Hans-H. Pergande
Prof. Ruthild Nette B.A.
Hüseyin Johann
Bozena Meyer
Sigmund Conradi
Heinz-Walter Juncken
Gerhart Hentschel
Pascale Bruder
Gabriele Schmidt
Eberhardt Schäfer
Gertrude Bärer
Ladislaus Hande
Irmtrud Schmiedt B.Sc.
Eberhard Junitz
Resi Margraf
Giovanni Weller-Söding
Ing. Zofia Ernst
Ing. Eleonora Holzapfel
Erkan Beier
Dipl.-Ing. Wilfried Ortmann
Ing. Ahmet Häring
Brian Ditschlerin
Elli Kuhl B.Eng.
Herr Siegmar Geisler
Yvonne Kroker
Mariana Steckel
Meryem Hänel-Jungfer
Herr Vinzenz Jäntsch B.A.
Univ.Prof. Herlinde Klotz
Erhard Reinhardt
Kirstin Boucsein B.Eng.
Miriam Juncken
Erdal Meyer B.A.
Korinna Söding
Hilma Kuhl
Elena Ditschlerin
Teresa Schomber B.A.
Salih Köster
Dr. Jost Hiller B.Sc.
Enver Börner MBA.
Prof. Wolf-Dietrich Schweitzer MBA.
Johann Baum
Prof. Julia Möchlichen B.A.
Dipl.-Ing. Dajana Beer
Eveline Kruschwitz B.Sc.
Herr Peter-Michael Kensy B.Sc.
Friederike Sölzer-Hentschel
Prof. Heinz-Peter Sager
Prof. Karl-Hermann Pieper B.Eng.
Herr Rudi Neuschäfer
Gordon Klemt-Rörricht
Arne Dobes
Christiana Bauer
Prof. Klaus Peter Bruder
Katharina Etzler
Anna-Lena Sontag-Köhler
Ing. Tina Schmiedt B.A.
Dr. Bernfried Bärer
Eva-Maria Mies MBA.
Victor Butte
Yasemin Hande
Mariusz Adler
Sybilla Hornig
Catrin Bachmann
Andrea Ziegert
Rosl Trupp
Andre Schinke
Melanie Segebahn
Mohamed Schottin
Heide-Marie Heß B.A.
Silvio Scholl B.Eng.
Kathi Seip
Dr. Annett Siering
Hans-Christian Roht
Frau Hildegunde Koch II
Monja Heidrich
Frau Renate Geisler
Univ.Prof. Florentine Schomber B.Eng.
Tilmann Geisler
Dr. Nadeschda Wulf
Mario Bärer
Kordula Drub B.Sc.
Reimar Klemm MBA.
Ryszard Süßebier-Neureuther
Dr. Diedrich Gerlach B.A.
Dipl.-Ing. Theda Weinhold B.Eng.
Elizabeth Wulf
Univ.Prof. Therese Hänel
Sina Patberg
Gordana Bolnbach
Dorit Zimmer-Krein
Erhardt Steinberg
Heinz-Georg Heidrich
Domenico Kade B.A.
Solveig Trapp MBA.
Dipl.-Ing. Amanda Striebitz
Ada Ullmann-Hermann
Patrick Wohlgemut
Anica Kade-Steuer
Hellmuth Hörle
Dipl.-Ing. Christoph Schulz B.Sc.
Ercan Kühnert
Kornelius Winkler
Alicja Pergande
Carl Mühle-Wulf
Wilfried Radisch
