Student
Erica Holsten
Tomislav Jopich-van der Dussen
Arzu Stiffel-Drubin
Erdmute Mosemann
Ing. Dorothee Harloff B.Sc.
Vinko Schmiedecke-Hendriks
Marie-Louise Wulff
Ing. Britt Trupp B.Eng.
Ing. Pavel Weller B.Eng.
Univ.Prof. Erna Köhler B.A.
Woldemar Heinz
Elisa Mälzer
Sören Pechel
Anita Mohaupt
Emilia Römer
Prof. Sarina Hartmann
Ing. Hans-Joachim Ullrich
Gordana Bolnbach
Ing. Käthi Schäfer
Hanife Ackermann
Ing. Ronny Metz B.A.
Dr. Elfie Tintzmann
Ing. Rose-Marie Hölzenbecher
Gisa Gerlach
Eugen Schottin
Laura Wilms
Prof. Timo Schleich MBA.
Ing. Imke Eigenwillig B.A.
Marianna Etzler
Henny Stey
Fritz Schenk B.A.
Canan auch Schlauchin-Dussen van
Ilja Hölzenbecher-van der Dussen
Christos Ruppert B.A.
Marica Martin
Ing. Galina Schenk
Nuri Jopich
Ronald Rädel
Gregor Dippel
Karl-Peter Häring-Kruschwitz
Antonina Christoph MBA.
Prof. Augustin Stey B.A.
Radmila Schomber B.Eng.
Rolf-Dieter Kensy
Irmtraut Hahn-Walter
Dr. Natascha Schmidtke B.Eng.
Lidwina Karz MBA.
Marjan Segebahn B.Eng.
Ottilie auch Schlauchin B.Eng.
Dipl.-Ing. Robert Köhler
Sandra Scholtz
Berthold Naser
Ignatz Budig
Mohammed Ritter
Sofie Reichmann
Enrico Drewes
Waltrud Scholl
Traude Kuhl
Dr. Sara Niemeier
Univ.Prof. Polina Schmidt B.Eng.
Eileen Geißler
Gerhardt Barkholz B.Eng.
Brunhild Briemer B.Sc.
Wenzel Wilmsen
Etta Hellwig
Jan Linke MBA.
Ben Zahn
Frau Natalija Stey
Franziska Jüttner
Gundolf Walter
Regina Becker
Eberhard Rust B.A.
Hans-Bernd Zobel
Kai-Uwe Stiebitz-Hentschel
Ortwin Scholl
Gunter Schenk B.Sc.
Prof. Monica Beer MBA.
Dipl.-Ing. Matteo Baum
Alexandre Caspar
Univ.Prof. Markus Finke B.Sc.
Celal Seifert
Vera Losekann
Leonore Hettner-Staude
Prof. Romy Bohnbach
Birgitta Beckmann-Thanel
Philip Heß MBA.
Kristian Albers
Claus-Dieter Krause
Prof. Mathilde Segebahn MBA.
Brita Roht MBA.
Svea Hartung B.Eng.
Geert Schuchhardt
Theodor Bolnbach-Kroker
Ernst-Dieter Geisler B.Eng.
Nada Girschner
Roberto Ritter-Fritsch
Hanspeter Benthin
Ercan Oestrovsky B.Eng.
Tatiana Pechel
Gina Wulff B.A.
Frau Gertrud Jüttner
Carmen Weinhold
Constanze Schleich
Prof. Folkert Ernst MBA.
Thilo Patberg
Edelgard Gnatz-Dobes
Andrej van der Dussen B.A.
Univ.Prof. Karin Beier
Mirella Löchel
Sylvia Schenk
Cathrin Weitzel MBA.
Constance Rogge
Herr Gordon Weihmann B.Eng.
Hans-Adolf Junken
Telse Steuer B.Eng.
Lambert Wilmsen
Anneliese Gnatz
Elias Hethur
Klaus-Günter Kreusel
Daniela Weimer
Friedl Hölzenbecher-Eberth
Hans-Helmut Binner B.Sc.
Frau Karolina Hörle
Gretel Hande
Hatice Jessel
Martina Hartung
Cornelia Schinke
Valentine Tschentscher
Radmila Linke MBA.
Christos Bolander
Kunibert Trommler-Renner
Friedl Atzler-Süßebier
Luka Binner
Ing. Melanie Hamann
Univ.Prof. Jürgen Weiß
Anna-Luise Kraushaar
Patrick Wohlgemut
Friedlinde Mühle B.A.
Dorit Köster
Romana Wulff
Virginia Textor
Theresa Hethur-Kabus
Isa Knappe-Biggen
Heidemarie Kreusel
Concetta Neureuther
Leonhard Patberg
Dipl.-Ing. Maik Mende B.Sc.
Viviane Jopich
Dr. Danica Scheuermann B.Sc.
Iwan Schleich
Frau Ingried Rogner B.Sc.
Dipl.-Ing. Woldemar Benthin B.A.
Gerda Kitzmann
Evangelia Stumpf-Ruppersberger
Marc Henck B.Eng.
Frau Katarina Lindner
Gunnar Weimer
Marten Röhricht B.Sc.
James Kostolzin-Haase
Dipl.-Ing. Jost Bruder B.Eng.
Deborah Finke
Herr Ansgar Gnatz
Univ.Prof. Undine Becker MBA.
Ignatz Börner
Felix Wilms
Univ.Prof. Alois Jähn B.Eng.
Valeska Geisler B.Eng.
Karlfried Sorgatz
Ing. Heinz-Josef Hoffmann
Univ.Prof. Dorina Lange
Prof. Theda Hölzenbecher
Falk Wagenknecht B.Eng.
Irmtrud Pohl
Dipl.-Ing. Alexandros Weinhold
George Weimer
Danuta Kreusel
Univ.Prof. Anna-Luise Faust
Anne-Katrin Höfig
Adalbert Ullmann
Emil Grein Groth
Univ.Prof. Anika Jockel MBA.
Bayram Cichorius-Zobel
Claire Faust B.A.
Ilonka Lange
Anne-Katrin Butte MBA.
Gerold Thanel
Susann Henk
Karl Ruppersberger
Ing. Dorothe Junken
Rouven Ziegert
Klaas Vogt
Margot Ullmann
Univ.Prof. Therese Hänel
Hans-Gerd Preiß
Frau Wendelin Heinrich B.Eng.
Andreas Metz
Hans-Albert Schwital
Kai-Uwe Bohnbach
Katherina Hesse
Gaby Bähr
Klaus-D. Segebahn
Monika Hornich MBA.
Folker Otto MBA.
Erhardt Loos
Kornelia Bachmann
Doreen Hornig
Marko Renner
Isa Rose
Arndt Weinhold MBA.
Hanne-Lore Losekann B.Sc.
Dipl.-Ing. Jiri Walter
Sebastian Warmer
Ing. Berta Oestrovsky B.Eng.
Maja Fischer B.A.
Yusuf Seifert
Annie Harloff B.A.
Theda Klotz
Herr Anthony Caspar
Karl Heinz Eigenwillig
Dr. Frederik Dobes MBA.
Gisela Schwital-Scheel
Hellmut Bruder
Melissa Dietz
Katharina Etzler
Margitta Wulf-Nerger
André Röhrdanz B.A.
Branka Speer B.A.
Hans-Detlef Bender
Dipl.-Ing. Jens-Uwe Dobes
Ilija Hofmann
Univ.Prof. Lissi Schomber
Ing. Wolf-Rüdiger Herrmann B.Sc.
Melitta Fliegner
Aynur Bohlander
Mareile Birnbaum
Christin Hein B.Sc.
Marie-Therese Schleich
Svea Krebs-Scheibe
Ing. Wladimir Karz MBA.
Stjepan Wesack-Winkler
Gerwin Salz
Edwin Wilms MBA.
Bert Ortmann
Alexandre Geisel
Bertram Segebahn
Hans-Heinrich Schüler-Seip
Alban Butte
Birgitta Schleich
Irmgard Pieper B.Eng.
Univ.Prof. Rosi Gorlitz B.A.
Domenico Reichmann
Verena Höfig
Kristin Jacob
Ibrahim Lehmann B.Eng.
Rebecca Börner
Maximilian Hellwig
Tamara Nette-Ladeck
Herr Gunther Flantz
Reinhild Patberg
Martin Pechel-Freudenberger
Steven Eimer
Thorben Rosenow
Theo Döring
Herr Hansjoachim Geisler
Imelda Söding
Adina Finke
Elena Ditschlerin
Concetta Wohlgemut
Raymond Misicher
Sibille Liebelt
Ehrentraud Kroker
Elfie Preiß
Wibke Reuter
Dittmar Hövel
Ing. Valentina Börner
Prof. Loretta Speer MBA.
Dipl.-Ing. Sigrun Bärer
Xenia Hermann
Prof. Reza Ebert B.Eng.
Meryem Sager
Inge Dietz B.A.
Kazim Hörle
Rosl Trupp
Ing. Baldur Blümel MBA.
Andrea Hamann
Gerti Ullrich
Margarete Kabus
Mike Röhricht-Hauffer
Hasso Mans-Buchholz
Dipl.-Ing. Petar Wohlgemut
Zdravko Niemeier
Augustin Jopich
Prof. Magdalena Bohlander B.Sc.
Aloys Ruppert
Magret Oderwald
Annemie Margraf
Dr. Friedhilde Adler MBA.
Heinz-Willi Holt
Irmi Schacht
Nikolas Hövel
Elizabeth Wulf
Dipl.-Ing. Peer Kuhl
Sylvana Holzapfel
Josef Berger
Jakob Döring
Ing. Margarethe Martin
Beatrix Möchlichen
Prof. Alina Barth
Dipl.-Ing. Christel Beer B.Eng.
Janusz Kruschwitz B.Eng.
Andrej Geißler-Beckmann
Frau Wenke Klemt
Univ.Prof. Guido Carsten MBA.
Herr Alexandre Eimer B.A.
Univ.Prof. Albin Bärer
Ruth Wiek-Bloch
Maren Roht
Uli Wohlgemut-Stadelmann
Lydia Wirth
Georgios Neuschäfer
Ing. Hermine Warmer B.A.
Dipl.-Ing. Eveline Jäkel MBA.
Rigo Conradi
Ignaz Löwer
Dipl.-Ing. Tomislav Dowerg B.Eng.
Svetlana Schenk-Barth
Dörte Warmer
Balthasar Klemm
Jeannine Heinz-Tlustek
Frithjof van der Dussen
Evangelos Hartmann B.A.
Henry Austermühle
Diether Vogt B.A.
