Student
Zdenka Heser
Utz Christoph-Henck
Ahmad Preiß
Henni Mälzer-Tlustek
Minna Lindner
Danilo Hein-Scheibe
Luzie Renner B.A.
Danielle Ritter B.Eng.
Franka Weinhold
Ilka Faust
Dipl.-Ing. Slobodan Sölzer
Anatolij Jüttner-Bauer
Heidelore Stolze
Jonas Beyer
Theresia Henck
Udo Grein Groth
Susanna Schaaf
Elly Hande
Geert Rust
Reimer Kitzmann
Dipl.-Ing. Marisa Scholl
Dipl.-Ing. Wilfriede Bruder
Zdravko Niemeier
Rocco Trub
Isabell Eberth-Pechel
Virginia Kaul
Dörthe Rädel
Patrizia Spieß
Konstanze Zänker MBA.
Jutta Aumann
Wiebke Gehringer
Francesco Nerger
Lutz Pärtzelt
Hans-Christian Finke
Elma Heser
Oxana Ladeck
Tina van der Dussen
Gerda Gröttner B.Sc.
Clarissa Adler
Mareike Wilmsen
Jane Patberg
Athanasios Jacobi Jäckel
Ing. Alban Mohaupt
Senta Renner
Univ.Prof. Adelbert Zimmer
Carin Mohaupt-Heser
Gebhard Sorgatz
Hans-Wolfgang Harloff
Univ.Prof. Dana Seifert
Ing. Jonas Schaaf
Bernard Bien-Lübs
Herr Filippo Rosemann B.A.
Dr. Agathe Jähn B.A.
Gunhild Zimmer
Dr. Paulina Textor B.A.
Erhardt Loos
Lore Margraf
Bertold Bloch-Beckmann
Irma Neureuther
Theo Neuschäfer
Ing. Torsten Hartung B.Eng.
Prof. Almuth Dippel
Anett Wieloch
Benno Mohaupt
Hildegunde Geißler-Klemm
Univ.Prof. Niklas Mohaupt MBA.
Univ.Prof. Harro Fröhlich
Rouven Bloch B.A.
Prof. Riza Niemeier
Marlen Weihmann-Trub
Ing. Gotthard Reuter B.A.
Denis Etzold
Stilla Hornig B.A.
Anatolij Steinberg
Gislinde Klapp B.Sc.
Laurenz Rosemann
Kristian Albers
Valeri Tschentscher
Dipl.-Ing. Dorina Lindau B.Sc.
Isa Weihmann
Siegfried Kreusel
Dipl.-Ing. Nuray Mude B.Sc.
Uschi Keudel
Christos Beier
Edelgard Neureuther-Vollbrecht
Irmtrud Röhrdanz
Annemie Kade-Kuhl
Ing. Maren Schenk
Willibald Boucsein B.Sc.
Rigo Conradi
Katarina Knappe
Herr Dietrich Gotthard B.A.
Ing. Thekla Beyer B.Sc.
Paulina Oderwald
Gunar Börner
Dietlinde Käster
Univ.Prof. Undine Becker MBA.
Martha Wilmsen
Notburga Pechel B.Eng.
Frau Melita Huhn
Dipl.-Ing. Patric Johann
Andres Sager
