Student
Maren Bachmann-Stumpf
Margit Müller
Irmtrud Schaaf-Jacobi Jäckel
Dipl.-Ing. Reinhart Gotthard B.Eng.
Dipl.-Ing. Dragica Neureuther
Abdul Klapp-Hethur
Czeslaw Fiebig
Frau Carola Scheibe MBA.
Giuseppina Keudel
Mirja Bähr
Dr. Cäcilia Henk B.Eng.
Irmtraud Ladeck
Adelheid Salz
Baptist Radisch MBA.
Univ.Prof. Czeslaw Heuser
Alicja Gieß
Betty Steinberg
Trude Scholtz B.A.
Ingrid Rudolph
Siegmar Pergande
Sonja Löchel
Aenne Hübel-Mühle
Natalie Neureuther
Branka Hering
Dr. Deborah Kade
Sami Mans-Ullrich
Hansgeorg Beier-Freudenberger
Vinzenz Bruder
Ing. Pamela Gerlach
Prof. Sibel Wohlgemut B.Sc.
Mariechen Nohlmans
Luigi Junitz
Philippe Geisler
Anton Müller
Natalie Bender MBA.
Steven Seifert
Mariana Jüttner
Tina Radisch
Helmut Renner
Kornelius Pergande-Weiß
Univ.Prof. Jane Mans B.Eng.
Fernando Neuschäfer
Edgar Rohleder-Fröhlich
Mirjam Stumpf
Prof. Heinz-Willi Hertrampf
Franz-Xaver Bachmann
Torben Wiek-Ring
Susann Mielcarek
Zofia Schönland B.Sc.
Margarete Mohaupt B.Sc.
Nathalie Lehmann
Dr. Halina Mälzer
Dipl.-Ing. Robert Köhler
Dr. Gunther Jähn B.A.
Klara Schlosser
Paola Kroker-Klotz
Nermin Kranz-Austermühle
Prof. Catherine Knappe MBA.
Angela Stiffel
Monique Rose-Schuchhardt
Alida Tröst
Florence Schulz
Ing. Sibel Mies
Annerose Eckbauer
Prof. Mechtild Steuer
Aziz Hornich
Harro Trapp B.Eng.
Siegmar Dowerg
Sevim Schmiedt-Döhn
Jacek Klemt
Kornelius Heintze-Baum
Reinhold Hellwig-Mülichen
Janko Margraf MBA.
Frau Mirja Jüttner B.Eng.
Branka Mentzel
Hedi Gumprich
Wally Schmidt
Adalbert Boucsein
Hans-Willi Kruschwitz B.Sc.
Friedrich-Wilhelm Roht-Wiek
Hedda Baum
Annelie Bloch
Aribert Putz
Prof. Ingbert Nette
Doreen Hornig
Nancy Karz-Bolzmann
Univ.Prof. Dolores Rust
Lilly Seifert
Prof. Gunter Mentzel
Karl-Ernst Reuter
Ernestine Tröst
Frau Cynthia Bähr B.Sc.
Dipl.-Ing. John Ortmann MBA.
Univ.Prof. German Rörricht
Silke Biggen MBA.
Valerie Mangold
Darius Klotz
Frau Brit Stoll
Tilman Killer B.A.
Julian Dussen van B.Eng.
Gerta Klemt
Friedl Briemer-Austermühle
Valerij Weller-Barkholz
Galina Kraus-Hermighausen
Simona Heidrich
Günter Löwer
Hellmuth Drubin-Tschentscher
Dipl.-Ing. Gottfried Scholtz
Herr Gordon Heintze B.Eng.
Theresa Schüler
Lilly Naser
Achim Mülichen-Schleich
Roman Hauffer
Ludwina Mohaupt
Joachim Höfig
Ing. Gotthard Reuter B.A.
Franz-Peter Preiß B.A.
Claire Römer-Hornich
Dipl.-Ing. Cora Baum
Ibrahim Ditschlerin
Erhard Geisel
Tassilo Beckmann
Ibrahim Lehmann B.Eng.
Univ.Prof. Almuth Cichorius B.Eng.
Dipl.-Ing. Sandro Bärer B.A.
Univ.Prof. Mira Mende B.Eng.
Blanka Ladeck
Dr. Hildegund Söding B.A.
Dr. Nadja Wulf
Anja Meyer B.A.
Hermann Josef Drubin
Janusz Rädel B.Sc.
Mehmet Löwer-Trupp
Julia Ruppersberger
Korinna Koch II
Michel Kuhl
Ryszard Anders B.Sc.
Univ.Prof. Friedlinde Bien MBA.
Univ.Prof. Leif Süßebier B.A.
Felizitas Becker-Mosemann
Paul Carsten
Enver Börner MBA.
Ron Dobes-Weihmann
Raimund Hande
Mirja Schottin
Univ.Prof. Athanasios Drub B.Sc.
Karl-Friedrich Nerger
Hans-Gerd Gnatz
Hans-Gerd Holt
Prof. Nikolai Gunpf
Riza Römer
Edith Kostolzin
Hans-Günther Scheuermann B.Eng.
Tomas Gröttner
