Student
Ing. Jürgen Jopich B.A.
Rico Putz-Killer
Dipl.-Ing. Betti Löffler MBA.
Herr Salih Blümel
Ing. Carolin Faust B.A.
Birgitt Seip-Klemm
Elise Heinz
Ing. Nikolai Niemeier B.A.
Ekkehart Grein Groth
Britt Gorlitz
Andree Budig B.Eng.
Lena Holzapfel
Frau Eugenia Matthäi
Leokadia Putz
Ilja Preiß
Gottfried Martin-Martin
Osman Salz MBA.
Lieschen Steckel
Erna Schmiedt
Cornelia Radisch
Stavros Vollbrecht-Geißler
Katharina Speer
Frau Aleksandra Dobes B.A.
Kriemhild Junk MBA.
Frau Minna Steinberg B.Sc.
Antonius Kraus
Dr. Elzbieta Mitschke B.Eng.
Carmen Weinhold
Gotthilf Gertz
Kathi Etzler
Frau Gertraude Wesack B.Eng.
Damian Söding
Univ.Prof. Markus Schottin
Univ.Prof. Amelie Gröttner B.Eng.
Frau Lilli Möchlichen MBA.
Gilda Tintzmann
Prof. Axel Davids MBA.
Gerta Hartmann
Univ.Prof. Michaele Heser MBA.
Sara Johann
Wieslaw Oestrovsky MBA.
Nadeshda Mentzel
Petra Wagner
Ingried Ullrich
Marie Henk B.Sc.
Dr. Burkard Bolzmann B.A.
Gitte Römer-Kroker
Walburga Junk
Karla Freudenberger MBA.
Dipl.-Ing. Adem Gerlach
Edmund Siering
Dipl.-Ing. Ingbert Krebs B.Eng.
Univ.Prof. Bela Kraus
Hilda Metz-Dehmel
Franz-Xaver Bachmann
Manja Stadelmann
Sandy Haering
Frau Anna-Luise Sontag
Johann Oestrovsky
Sandy Dietz
Frau Siegried Margraf B.Sc.
Justus Aumann
Jasmina Bolzmann-Hövel
Birger Klapp
Engin Hofmann
Heinz-Gerd Gorlitz B.Eng.
Patrizia Spieß
Roland Ring
Dipl.-Ing. Serge Nerger
Helfried Seifert-Schönland
Gunhild Nohlmans
Luise Gertz-Fliegner
Janet Kade
Hansjoachim Salz-Junk
Peggy Rogge-Lachmann
Beatrix Möchlichen
Augusta Flantz
Irmtraud Schönland
Ulrike Rädel B.Eng.
Marcella Holzapfel
Prof. Ines Kuhl
Ing. Engelbert Bauer
Univ.Prof. Nadeschda Staude
Dr. Gabriela Geißler
Klaus-Peter Schüler-Schaaf
Miroslaw Holt
Abram Scholz B.Sc.
Ernest Schönland B.Eng.
Philomena Salz
Dr. Gerard Reichmann MBA.
Amanda Fechner-Weinhage
Metin Klemt
Ludmila Patberg
Carola Kusch
Silvester Scheibe
Kasimir Lindau
Nadine Sauer
Ing. Birte Heidrich B.Eng.
Catharina auch Schlauchin
Daria Jopich
Toralf Jessel
Ahmet Eckbauer-Sölzer
Marzena Hein
Valentin Steuer-Mans
Univ.Prof. Amalie Warmer B.Eng.
Ludwina Beer
Tillmann Dobes-Trupp
Moritz Spieß
Mike Sölzer
Mercedes Sauer
Annegrete Pohl-Sölzer
Ernestine Trommler
Dietmar Lindau
Natalja Löchel-Beckmann
Dagobert Sorgatz
Cindy Rogge-Dippel
Sven Walter
Karl-Heinz Buchholz
Maurizio Mans-Ullmann
Rosa-Maria Losekann-Schulz
Dorit Zimmer-Krein
Hans-Karl Bauer B.Eng.
Univ.Prof. Ivonne Haase B.Sc.
Gaetano Lübs
Robert Etzold
Prof. Gunter Mentzel
Jan Linke MBA.
Manuela Sauer
Jasmina Cichorius-Barth
Magnus Heidrich
Carmine Schacht
Karl-Heinrich Schüler
Walentina auch Schlauchin-Albers
Hilde Walter
Anne-Kathrin Ortmann
Leonid Hein B.Sc.
Ing. Helmtrud Dussen van
Herr Gunther Flantz
Ottomar Kraus
Univ.Prof. Samira Drewes
Stanislaw Misicher
Willibald Gude
Francoise Freudenberger-Stey
Ing. Janin Winkler MBA.
Ing. Isabell Hartmann MBA.
Friedl Atzler-Süßebier
Dipl.-Ing. Cynthia Hauffer B.A.
Klaus-Dieter Hänel B.Sc.
Dorle Henck-Sorgatz
Meinrad Barkholz B.Eng.
Isolde Seifert
Ilonka Zimmer
Prof. Guenter Mosemann
Guido Pieper
Tibor Schleich
Prof. Cora Bolander
Ing. Romy Gieß
Ing. Wolf-Rüdiger Herrmann B.Sc.
Ing. Maria Lübs
Dina Schmidtke
Hartmuth Vollbrecht
Prof. Auguste Scholz
Abram Eckbauer B.A.
Antonios Walter
Herr Hilmar Stumpf
Ing. Justus Binner
Kathy Kitzmann
Benita Holzapfel-Hecker
Harold Bohlander B.Sc.
Wolf Häring-Kallert
Veronique Löwer
Jens Drubin
Erica Renner-Trapp
Flora Gotthard
Heinz-Günther Mosemann
Dina Hartung
Ing. Swen Ehlert
Dr. Jacqueline Trubin B.Sc.
George Hörle
Ortrun Eckbauer-Kohl
Ahmet Thies
Kai-Uwe Rogner
Bernhardine Schuchhardt
Dr. Mirko Langern MBA.
Albina Stadelmann
Franziska Wernecke
Dipl.-Ing. Alan Schacht B.Eng.
Frithjof Mielcarek MBA.
Zehra Putz
Alexandre Caspar
Marie-Theres Trupp
Univ.Prof. Andrea Gieß B.Eng.
Eckehard Wernecke
Univ.Prof. Hugo Martin
Frau Annita Beckmann
Muharrem Benthin
Prof. Annita Wulff
Jadwiga Gotthard
Christiane Mentzel
Herr Andy Förster B.A.
Zeljko Henck
Knut Gorlitz
Prof. Sepp Blümel
Alfred Weinhage-Stiffel
Alwina Hettner
Prof. Urs Salz
Fernando Gieß
Dr. Wanda Dippel
Gerta Klemt
Egbert Gertz
Dipl.-Ing. Betty Niemeier MBA.
Mirja Bähr
Georgios Neuschäfer
Cäcilie Haase
Traudel Wilmsen B.A.
Karl-Heinz Rohleder
Anneli Wernecke
Reimer Hethur-Gutknecht
Theresia Liebelt
Marie-Louise Hauffer
Geert Rust
Hartmuth Eberhardt
Nikola Kitzmann
Heinz-Wilhelm Steuer-Mende
Vincent Kranz B.A.
Leon Bauer
Herr Hans-Ludwig Steinberg
Prof. Denis Segebahn MBA.
Hans Jörg Koch
Konstanze Mohaupt
Anatol Hübel
Uwe Sorgatz
Frau Annegrete Junk B.A.
Carin Mohaupt-Heser
Dr. Karl-Hermann Gude
Hans-Christian Finke
Etta Hellwig
Ildiko Mitschke B.Sc.
Hans Dieter Junk
Prof. Ingmar Bonbach
Anthony Patberg
Prof. Susanne Heidrich B.Eng.
Svea Hartung B.Eng.
Heike Karge
Siegmar Kramer
Reinhold Schäfer-Eimer
Alfons Klingelhöfer
Dipl.-Ing. Laila Scheuermann B.Sc.
Herr Valentin Warmer
Volkmar Trub
Heinz-Joachim Spieß
Marietta Heinrich
Prof. Guiseppe Gröttner B.Sc.
Univ.Prof. Clara Heidrich B.Sc.
Christopher Sager
