Student
Dipl.-Ing. Till Säuberlich
Maurizio Hermann
Univ.Prof. Traudl Mentzel B.Eng.
Edmund Junck
Dr. Ottfried Lachmann B.Sc.
Elke Huhn
Hans-H. Naser
Milos Seifert
Bruno Wagenknecht
Fredo Paffrath-Kohl
Gülsen Benthin
Sylvester Bender-Boucsein
Petra Wagner
Maren Heser-Kreusel
Faruk Meister
Franjo Junitz-Hahn
Univ.Prof. Walfried Hövel
Gereon Weitzel
Dipl.-Ing. Mareike Noack B.Sc.
Carina Schaaf
Romy Baum
Jakob Döring
Jacek Klemt
Swetlana Binner
Dr. Jann Wesack B.A.
Rosi Renner-Graf
Henriette Ladeck
Benita Neuschäfer
Univ.Prof. Mira Mende B.Eng.
Käthe Hande
Monja Heidrich
Dr. Friedbert Bauer B.Eng.
Geert Etzold
Joana Zimmer B.A.
Mareile Tschentscher B.A.
Alexandra Butte
Theda van der Dussen
Miroslav Krein
Ing. Damaris Bonbach
Drago Täsche
Gunnar Hentschel
Univ.Prof. Nicole Höfig B.Sc.
Ilja Freudenberger B.A.
Reinhard Zänker
Jonas Walter
Ing. Wolf-Rüdiger Weihmann B.Eng.
Dipl.-Ing. Slawomir Ebert MBA.
Klaus-Dieter Hecker
Walli Jopich
Leo Roskoth B.Sc.
Frank-Peter Bien
Roy Schmidt B.Eng.
Ehrhard Pruschke
Dr. Regine Gotthard
Thorben Ruppert
Dipl.-Ing. Alla Karge
Felicitas Biggen
Wiltrud Ladeck MBA.
Cora Scholtz
Antonius Bonbach-Juncken
Elly Hande
Janusz Killer
Dorota Wilms
Ehrenfried Stiffel
Anne-Rose Hettner B.A.
Herr Muzaffer Schäfer
Camilla Jäntsch
Hildegunde Aumann
Dipl.-Ing. Ingbert Krebs B.Eng.
Franz Ortmann B.Eng.
Jann Geisler
Peter Mitschke
Siegward Hertrampf
Hermann-Josef Zimmer
Univ.Prof. Tina Rose
Katharina Käster MBA.
Rebekka Lindau MBA.
Jorge Killer
Gerda Eberhardt B.Sc.
Vinko Reuter
Dipl.-Ing. Hans-Gerhard Schleich
Kevin Trubin
Wolf-Dieter Eigenwillig
Steven Seifert
Sylwia Wilmsen-Ullmann
Annie Hänel
Univ.Prof. Roger Stadelmann B.Sc.
Ilija Rosenow
Oliver Biggen
Prof. Mario Butte
Dipl.-Ing. Freya Höfig
Prof. Klaas Geißler B.A.
Grzegorz Mende B.A.
Ivanka Gierschner-Pergande
Gebhard Krein
Lidija Trapp
Univ.Prof. Dorina Lange
Bogdan Steckel B.Eng.
Gerhild Beyer
Emanuel Kitzmann
Rosmarie Ullmann
Jacek Täsche
George Weimer
Frau Kordula Geisler MBA.
Augustin Renner
Ing. Konstanze Geisel
Prof. Sibel Wohlgemut B.Sc.
Dr. Markus Roskoth B.Sc.
Resi Ullmann
Dr. Fedor Plath B.Sc.
Brita Roht MBA.
Marek Schenk B.A.
Elfi Kranz
Nadja Ladeck B.Sc.
Stanislav Reuter
Rene Lindau-Jäkel
Univ.Prof. Manuela Heinrich
Prof. Ivonne Boucsein B.Eng.
Klara Blümel
Patrick Pärtzelt-Henck
Hansjürgen Säuberlich
Almut Rogge
Benjamin Stoll
Heide-Marie Koch II
Frauke Söding
Josip Hiller-Hauffer
Gunnar Junk
Ingelore Kobelt MBA.
Prof. Erwin Albers B.Sc.
Liesbeth Huhn
Liesa Sauer
Erhard Reinhardt
Zoltan Wilms
James Kostolzin-Haase
John Roskoth-Rädel
Katharine Mohaupt-Heuser
Jost Roskoth
Dr. Elmar Junk
Imelda Söding
Urban Pieper
André Sauer
Mariusz Hartung
Virginia Eigenwillig
Natascha Eigenwillig
Herr Karlheinz Mans
Nikolas Heß
Prof. Nikolai Gunpf
Prof. Tina Nohlmans MBA.
Nada Butte
Conrad Killer
Brian van der Dussen
Prof. Folker Budig
Ing. Tillmann Geisel
Hans-Detlef Kobelt
Helmtrud Gerlach
Ella Keudel
Marcus Langern
Conrad Paffrath
Damaris Zirme
Frau Emma Kaul B.Eng.
Sibille Kallert
Armin Hellwig-Finke
Hans-Jochen Gorlitz B.Sc.
Dr. Samuel Dobes B.Sc.
Frau Josefa Henschel B.A.
Engelbert Sauer MBA.
Alina Finke
Heimo Huhn B.A.
Dr. Edith Ring B.Sc.
Tanja Rörricht-Haering
André Kroker
Jörg-Peter Dowerg
Friedhilde Wernecke
Dipl.-Ing. Danuta Stumpf B.Eng.
Prof. Theda Hölzenbecher
Anneliese Gnatz
Heide-Marie Gunpf B.A.
Esther Eberth-Kensy
Annie Noack
Jonathan Mohaupt
Achim Etzold MBA.
Nada Hänel
Kasimir Albers-Stiebitz
Jessica Gotthard
Oda Henschel
Murat Linke
Leif Wulff
Friedlinde Sauer
Domenico Gerlach-Kramer
Andrei Wulff
Klaus-D. Sölzer
Julian Schuchhardt-Dippel
Irmtraut Noack
Isabelle Förster-Beyer
Kreszentia Scheibe
Ernst Koch II-Graf
Imke Keudel B.Sc.
Rose Henschel
Hermine Franke B.Eng.
Karin Beckmann
Johann Baum
Kristian Ritter
Univ.Prof. Nadine Gnatz
Ing. Cläre Dowerg
Kordula Lange
Prof. Bertha Jacobi Jäckel MBA.
Univ.Prof. Helge Pieper
Rico Putz-Killer
Dipl.-Ing. Margarete Schmidt
Fredi Jäntsch
Till Karz
Aynur Bohlander
Tomasz Niemeier
Dominik Huhn
Prof. Meinrad Wiek
Annegrete Pohl-Sölzer
Tomas Gröttner
Erdmute Mosemann
Vera Losekann
Cilli Siering
Ernst-Otto Heß-Hartmann
Frederike Stoll
Dietmar Lindau
Ingolf Ruppersberger-Berger
Beatrix Möchlichen
Natalie Werner
Anneli Neuschäfer
Frau Nurten Huhn
Mirko Eckbauer
Gülten Röhrdanz
Freia Hofmann
Marion Wohlgemut B.A.
Gertrude Lehmann-Kostolzin
Frau Anne-Katrin Rädel
Milos Knappe-Scholz
Siegbert Seifert
Ljiljana Roht
Heide Hesse-Bärer
Elisabet Schuster B.A.
Ing. Jessica Mende
Herr Falk Holzapfel
Ing. Wenke Karge B.Sc.
Ing. Gotthard Reuter B.A.
Othmar Weinhage MBA.
Nurettin Mans-Klemt
Nico Drewes
Heinz-Josef Jähn MBA.
Felizitas Becker-Mosemann
Eberhardt Schäfer
Susi Seifert
Vinko Schönland B.Eng.
Enrico Hellwig
Thies Birnbaum B.A.
Frida Süßebier
Senta Schmiedecke
Maximilian Hellwig
Prof. Gülay Birnbaum
Vito Davids-Schwital
Hildegunde Wende-Spieß
Hanspeter Stiffel
Stefania Möchlichen
Jens Löchel
Dr. Elena Kade B.Sc.
Alwine Sager
Dr. Fredy Niemeier
Alessandro Henk-Käster
Silvia Eberth
Giuseppina Linke
Agnes Vollbrecht
Dr. Marie-Luise Klingelhöfer B.Eng.
Gertraude Hahn
Evi Wilmsen MBA.
Brunhilde Mälzer-Warmer
Anka Jäkel-Ackermann
Dana Ebert B.A.
Ernst-August Gutknecht
Auguste Gunpf
Maya Conradi
Damian Bauer
Angelo Pärtzelt
Dajana Trapp-Kreusel
Ludmila Patberg
Franz Josef Haase
Serge Kraus B.Eng.
Edmund Caspar B.Sc.
Adolfine Lange
Mia Paffrath-Ortmann
Lilly Girschner-Ritter
Angelica Lorch B.Eng.
Dr. Valeri Sölzer B.Sc.
Karl-Ernst Drewes-Drubin
Zbigniew Weinhage
Anne-Marie Drewes
Karl-Peter Hofmann B.A.
Elif Wohlgemut
Klemens Thies
Markus Eimer
Helmuth Jäntsch
Ahmed Lange MBA.
Raissa Gehringer-Putz
Saskia Heidrich
Evelin Wagenknecht-Döhn
Gisela Hornich-Metz
Tino Gnatz
Janusz Eberhardt MBA.
Bertha Reuter
Sieghard Kensy
Freia Hamann
Herta Hendriks
Dr. Danica Scheuermann B.Sc.
Urszula Trapp
Wally Kreusel
Ellen Haase
Teresa Jessel
Heinz-Joachim Trüb B.Sc.
Frau Gudrun Huhn B.Sc.
Abram Gunpf
Denny Bohlander B.A.
Ing. Anatolij Heintze
Zehra Ernst-Bohnbach
Herr Julian Gotthard B.Eng.
Ulrike Gierschner-Koch II
Denny Kusch
Meral Bolnbach
Zofia Schönland B.Sc.
Prof. Alma Gumprich
Dogan Kranz
Stephen Reichmann
Martha auch Schlauchin
Univ.Prof. Lisbeth Köhler
Hildegard Roht B.Sc.
Dipl.-Ing. Janus Roht B.Sc.
Mesut Gute
Aleksander Scheuermann
Wolf Schottin-Gunpf
Klara Löchel-Bien
Valentin Klingelhöfer
Ariane Löchel
Hildegund Gunpf
Univ.Prof. Ivanka Hübel
Milos Trüb
Ing. Hans-Joachim Ullrich
Katja Heidrich
Evamaria Berger
Silvio Weimer
Gundi Sager
Hans-Bernd Zobel
Emmerich Killer
Bianka Scheuermann
Jonas Boucsein
Heidelore Pärtzelt MBA.
Christl Wähner
Herr Tom Täsche
Hanni Dippel-Heser
Annekatrin Wilms
Urszula Rudolph
Czeslaw Siering
Ursel Eckbauer
Herr Wieland Hartmann MBA.
Silke Scheuermann B.Sc.
Heinz-Günter Fischer
Gülten Peukert
Ronny Scholtz
Brit Heidrich B.A.
Mahmut Hänel
Theodoros Vollbrecht-Gutknecht
Karsten Kraushaar B.A.
Nick Hermighausen-Krein
Prof. Marija Seidel
Karolin Mitschke
Micha Eckbauer B.Sc.
Zeljko Jessel
Dorle Knappe
Emil Preiß-Hecker
Prof. Ricardo Kensy
Bekir Fechner
Dominik Jungfer
Hansgeorg Beier-Freudenberger
Dr. Carsten Steinberg
Marija Stahr
Alicja Sorgatz
Gabriela Girschner
Claus-Peter Flantz
Dipl.-Ing. Regine Renner
Maik Schottin
Irmtraut Mülichen B.A.
Sibel Weller
Ryszard Lorch
Walburga Junk
Katharine Mühle
Greta Baum
Marit Eberth
Frau Mirja Jüttner B.Eng.
Irina Birnbaum
Dr. Francisco Hänel
Isabell Buchholz
Univ.Prof. Hanspeter Gorlitz
Hannah Jacobi Jäckel
Mike Hofmann
Ditmar Briemer
Ferdi Hoffmann
Andrei Säuberlich
Leonardo Birnbaum
Dipl.-Ing. Jens-Uwe Dobes
Ottomar Hermann
Rene Wernecke
Hans-Dieter Scholl
Klemens Knappe
Theres Heser
Dipl.-Ing. Walfried Rosemann B.Eng.
Uwe Sorgatz
Geza Hertrampf B.A.
Enrico Kobelt-Klemt
Dusan Ruppersberger B.Sc.
Philipp Lorch
Monja Riehl
Bodo Finke
Rosalinde Trommler
Rainer Hänel
Reni Cichorius
Engelbert Carsten-Hiller
Ing. Carmine Kroker
Ing. Pawel Rörricht
Arndt Bachmann B.Eng.
Meral Reinhardt
Prof. Woldemar Beier B.A.
Reinhold Striebitz
Emilie Bolander
Ing. Aldo Pechel B.Eng.
Grit Röhricht-Rosemann
Antonina Neureuther
Bruni Meister B.Sc.
Evangelos Hartmann B.A.
Heide Schottin
Edda Salz
Stavros Schinke
Irmengard Rudolph
Frau Cynthia Bähr B.Sc.
Dipl.-Ing. Jost Bruder B.Eng.
Adelheid Schmidtke
Marika Zänker B.A.
Dipl.-Ing. Oskar Vogt B.A.
Ingmar Beckmann
Hanife Ullrich
Frau Raissa Ruppersberger B.Eng.
Univ.Prof. Pascal Schweitzer
Univ.Prof. Sybilla Gehringer
Dipl.-Ing. Geert Holsten B.Sc.
Gordana Hertrampf-Speer
Irene Ditschlerin
Dr. Iris auch Schlauchin
Eckhard Weitzel
Ali Briemer-Klemm
Annelie Heuser
Wencke Bohlander
Gunhild Gorlitz-Heinrich
Dierk Beier
Maximilian Heß
Ekaterina Liebelt
Antonie Fischer-Margraf
Erdal Tintzmann
Gabor Pechel-Junken
Wieslaw Löchel
Kevin Etzler
Adelinde Kensy B.Eng.
Horst-Peter Löchel
Hans-Günther Scheuermann B.Eng.
Lotte Kitzmann B.A.
Dipl.-Ing. Daniele Geißler
José Tschentscher-Textor
Imre Mülichen
Waltraut Ernst
Falk Höfig
Geraldine Gutknecht
Reimer Scheel B.Eng.
Veli Rädel
Philipp Walter-Löffler
Herr Rüdiger Ruppersberger
Univ.Prof. Olivia Gnatz MBA.
Johannes Bärer
Wendelin Schäfer B.Sc.
Enrico Hornig
Toralf Pieper
Susann Mielcarek
Hans-Günther Kohl B.Eng.
Mercedes Rädel-Drub
Kathrin Beckmann-Heinz
Prof. Vadim Rogner
Hanna Knappe
Ivana Mielcarek
Prof. Monica Beer MBA.
Cilli Lindau B.A.
Pasquale Karge
Tilmann Geisler
Ing. Luisa Oestrovsky
Hans-Detlef auch Schlauchin-Fischer
Karlfried Franke
Ing. Herbert Mühle B.Sc.
Stefani Caspar
Ing. Wladimir Karz MBA.
Walther Hofmann
Frithjof Mielcarek MBA.
Prof. Eckhart Jockel B.Eng.
Annelies Beer
Lidwina Karz MBA.
Wiebke Gehringer
Univ.Prof. Pamela Kambs MBA.
Sylvie Börner
Prof. Natalija Weinhold
Dr. Leo Schlosser MBA.
Rosina Otto
Ing. Eckehard Bloch MBA.
John Gunpf B.Sc.
Univ.Prof. Leif Süßebier B.A.
Karl-Wilhelm Geisel
Prof. Britt Drub B.Eng.
Prof. Josefa Beier B.Sc.
Roberto Ritter-Fritsch
Karla Freudenberger MBA.
Peggy Rogge-Lachmann
Kunibert Trommler-Renner
Reinhard Beer-Etzler
Daniela Weimer
Arnfried Scheuermann
Mark Gute-Faust
Hans-Michael Rudolph
Laila Trüb
Reingard Geisel
Dr. Marija Stiebitz
Nadine Sauer
Ekaterina auch Schlauchin
Dr. Ehrhard Gieß B.Sc.
Antonius Käster
Gesine Graf
Tülay Henschel
Klaudia Löffler-Zorbach
Prof. Meik Blümel B.Sc.
Emilie Scholz
Ivana Eimer
Evelyn Stolze
Birger Klapp
Univ.Prof. Jacqueline Faust
Augustin Carsten
Verena Davids
