Student
Bodo Ullrich
Dajana Ruppert
Nada Girschner
Hülya Conradi
Kazim Tschentscher
Ronald Rädel
Ing. Marcel Gute
Norman Wulf
Herr Ekkehart Sorgatz
Mia Roskoth
Resi Margraf
Detlef Köster
Frau Magarete Mans B.Sc.
Till Karz
Ernst Koch II-Graf
Franca Börner
Kristian Ritter
Dr. Luciano Ortmann
Christos Gumprich
Marten Möchlichen
Bettina Lachmann
Alfredo Möchlichen
Emmerich Killer
Univ.Prof. Kreszenz Wulf B.A.
Reinhart Jopich
Carlos Klotz
Dietrich Kruschwitz
Zita Butte
Eveline Putz
Dipl.-Ing. Dorina Lindau B.Sc.
Malte Schäfer
Juliana Möchlichen
Marica Martin
Hermann Josef Börner
Prof. Apollonia Gerlach B.Sc.
Anni Kraus
Dagobert Hornig
Arnfried Lorch B.A.
Eckehard Nette
Lilli Atzler
Margita Hentschel
Saskia Heidrich
Klaus-Werner Jäkel-Holsten
Wolf Martin
Zbigniew Weinhage
Ricarda Fröhlich B.A.
Frau Melita Huhn
Ing. Marlene Wirth B.Sc.
Francesca Wieloch
Denny Kusch
Dr. Mirko Langern MBA.
Änne Ring MBA.
Hans-Christian Roht
Gotthard Scheuermann
Univ.Prof. Marita Pohl
Regine Sorgatz
Hedda Haase
Ekkehart Kreusel
Maurizio Mans-Ullmann
Frau Kirsten Boucsein
Thilo Tschentscher
Juan Schweitzer
Sigismund Junitz
Ursel Eckbauer
Dagobert Eberhardt B.A.
Dr. Bernfried Bärer
Frau Evamaria Geißler
Luisa Hecker
Hilmar Spieß
Herr Edmund Hesse
Rainer Henk-Gotthard
Carmelo Klapp-Berger
Ing. Katarzyna Noack
Dr. Frank Oderwald MBA.
Univ.Prof. Petra Scheel
Georgine Schinke
Prof. Marie-Theres Löffler B.Sc.
Univ.Prof. Fredi Hölzenbecher
Carlo Bohlander
Helen Tschentscher
Agnes Ullmann
Bertram Segebahn
Bernhardine Bender MBA.
Esther Eberth-Kensy
Riza Heydrich
Frau Kunigunda Schaaf B.A.
Heinrich Ackermann
Ing. Christel Margraf MBA.
Lia Heydrich
Heinz-Wilhelm Werner
Karl-Otto Putz
Simon Meyer
Adelinde Geisler
Branka Mentzel
Kai-Uwe Rogner
Dipl.-Ing. Apollonia Steuer
Francesco Nerger
Frau Yvonne Trupp B.A.
Wilfriede Misicher
Amalie Gotthard-Beckmann
Dipl.-Ing. Beatrix Henk B.Eng.
Meta Harloff
Horst-Peter Löchel
Dierk Beier
Verena Davids
Alexandre Häring
Lisa Rädel-Bender
Herr Frieder Wulff B.Sc.
Hiltrud Bolander-Ziegert
Mario Bärer
Frau Xenia Blümel
Ing. Gerlinde Junken
Stephanie Beer
Prof. Katrin Mülichen B.Eng.
Sylvana Hornich MBA.
Kristin Bohlander B.Eng.
Univ.Prof. Othmar Geisel
Manuela Sauer
Dipl.-Ing. Utz Adler B.A.
Eitel Hethur
Klara Löchel-Bien
Dr. Daniel Trommler
Giuseppe Stahr
Rosa-Maria Knappe
Enrico Oderwald
Annett Dehmel MBA.
Ditmar Dehmel
Frauke Stadelmann
Giuseppe Trupp
Ilonka Döring-Schulz
Trudel Bloch
Uschi Keudel
Konstanze Mühle
Otto Butte
Prof. Sibel Mälzer MBA.
Kläre Beier B.A.
Ing. Carmine Kroker
Wladimir Möchlichen MBA.
Xaver Schönland
Mercedes Sauer
Rosa Heuser
Ing. Ramazan Kabus B.Eng.
Jan Linke MBA.
Francesco Drub
Reinhart Winkler B.Eng.
Hanspeter Koch II-Wohlgemut
Marleen Heser
Slobodan Seip
Wulf Thanel-Scheibe
Univ.Prof. Till Vogt MBA.
Karl-August Liebelt-Köhler
Rita Käster B.A.
Helge Schuchhardt
Leokadia Finke-Dippel
Ilka Lachmann
Janko Stey MBA.
Herr Rupert Jüttner MBA.
Gerta Kallert-auch Schlauchin
Jozef Bohlander
Adem Schleich
Janus Walter
Prof. Arif Mielcarek B.Eng.
Anni Seidel B.Eng.
Hiltraud Köster MBA.
Harriet Ullmann
Ing. Valeria Kruschwitz
Univ.Prof. Paul-Heinz Heinz
Halil Warmer B.Sc.
Pirmin Reising
Anselm Mühle
Univ.Prof. Niklas Mohaupt MBA.
Ing. Stella Wagner
Ing. Gertraude Holsten B.Sc.
Abraham Hoffmann
Herr Ilhan Tröst B.A.
Dorle Dörschner
Carin Huhn
Silja Eberhardt-Boucsein
Dietlinde Söding
Ilja Wende
Bertha Gotthard
Piotr auch Schlauchin-Reuter
Justine Patberg-Metz
Helga Mosemann-Hecker
Berend Rörricht
Ehrentraud Meyer MBA.
Edit Siering
Tanja Plath
Arndt Bachmann B.Eng.
Friedhelm Schleich
Univ.Prof. Hedwig Krein
Dr. Walburga Kobelt B.Eng.
Prof. Hansjürgen Langern
Iwan Renner-Dussen van
Frau Ivanka Killer MBA.
Marta Eigenwillig-Hörle
Abram Peukert MBA.
Heino Römer
Claire Junk
Abdul Trüb MBA.
Ing. Wieslaw Kobelt B.Sc.
Kai-Uwe Hartung
Cläre Bruder-Hentschel
Hartmuth Vollbrecht
Arndt Weinhold MBA.
Ortrun Eckbauer-Kohl
Silvester Etzold
Dr. Anatoli Bonbach
Attila Losekann B.Sc.
Dr. Saban Hoffmann B.Eng.
Hans-Martin Kohl
Ing. Mahmoud Becker
Prof. Knud Salz
Ing. Tilman Kitzmann
Mechthilde Lindau B.A.
Rene Albers
Ing. Romuald Roht B.Sc.
Annelie Metz
Hilma Berger
Claudius Rust-Mans
Herr Ronald Reising B.Sc.
Hartmuth Koch II
Univ.Prof. Jörg-Peter Riehl
Slawomir Tlustek B.A.
Rebecca Oderwald
Frau Trudi Wähner B.A.
Dr. Steven Wohlgemut
Helge Ladeck MBA.
Hildegunde Dörr
Hedy Rudolph MBA.
Mike Sölzer
Ing. Torsten Hartung B.Eng.
Sebastian Stiffel B.A.
Raphael Barth
Ing. Walli Bolander MBA.
Severin Mende B.A.
Gisa Gerlach
Manuel Schenk
Antje Kambs
Halina Römer-Hartung
Natascha Gotthard
Janet Johann B.A.
Dagmar Koch
Annamaria Scholtz
Marcella Höfig
Hajo Jäntsch
Frau Gilda Ebert
Karla Freudenberger MBA.
Univ.Prof. Maxim Matthäi
Joachim Süßebier
Sibylle Stey
Miroslawa Haase
Steven Weinhold B.A.
Süleyman Baum
Calogero Mude-Etzold
Ljudmila Nerger
Volker Adler
Tony Henk MBA.
Elena Wilmsen
Dan Schönland MBA.
Rolf-Dieter Flantz B.Eng.
Ignatz Franke
Konrad Henschel
Milos Wiek
Prof. Conny Klingelhöfer B.Eng.
Gert Fischer
Eveline Wagenknecht
Dipl.-Ing. Bodo Junk B.Eng.
Hedy Loos
Dorina Dowerg
Eugenia Anders B.A.
Burckhard Caspar
Miguel Dussen van B.Eng.
Jörg Pechel
Gerhild Stiffel
Ing. Alfred Söding
Frau Tatiana Hande B.Sc.
Johan Heydrich
Frau Ingried Rogner B.Sc.
Dipl.-Ing. Lioba Plath
Frau Waltraud Weitzel B.A.
