Student
Daniel Zänker
Angelo Schmidtke
Herr Wieland Hartmann MBA.
Antonie Fischer-Margraf
Dipl.-Ing. Engin Jähn B.A.
Carl Scheibe
Univ.Prof. Jaroslav Seifert B.Eng.
Prof. Susanne Rose
Milan Holzapfel
Herr Bastian Hübel B.A.
Michail Pechel
Wolfgang Beier-Mohaupt
Elli Kuhl B.Eng.
Ing. Hatice Gehringer
Prof. John Jessel
Ellinor Kraus
Frau Cordula Anders B.Eng.
Sevim Schmiedt-Döhn
Hella Pergande MBA.
Patrizia Wirth
Giuseppina Linke
Hans-Ulrich Plath B.A.
Mirco Barth
Prof. Vadim Rogner
Micha Schottin
Dr. Burkard Bolzmann B.A.
Julie Radisch MBA.
Sami Mitschke
Benno Mohaupt
Ingried Ullmann
Catrin Weller
Frau Evamaria Geißler
Dipl.-Ing. Tamara Seifert B.A.
Jennifer Berger
Anthony Heintze
Prof. Heinz-Peter Sager
Univ.Prof. Veli Etzler
Lydia Wirth
Wally Kreusel
Blanka Birnbaum
Bianka Schuster-Ziegert
Stella Barth
Hüseyin Wulf-Schmidt
Ing. Leszek Gutknecht B.Sc.
Karsten Schwital
Zbigniew Hahn MBA.
Karl-Wilhelm Rogner
Univ.Prof. Frieder Döhn MBA.
Anna-Marie Heidrich
Edda Junck-Eimer
Romuald Kambs MBA.
Heino Schönland-Hermann
Herta Hendriks
Lilija Ruppert
Alicia Ring
Dr. Mario Lorch
Ing. Michel Harloff
Bertram Rädel
Senta Hiller
Susann Haering
Bertha Köhler
Dr. Patrizia Dörschner B.A.
Herr Louis Hövel
Wanda Vollbrecht-Reinhardt
Prof. Klaus-Ulrich Boucsein MBA.
Dr. Wanda Dippel
Lilija Kensy
Waltrud Jockel B.Eng.
Prof. Guenter Mosemann
Hansjürgen Schlosser
Centa Kaul
Gülay Weinhold
Prof. Konrad Neuschäfer
Alexa Dietz
Jane Reuter
Felizitas Jungfer
Dr. Guntram Kusch
Waltrud Stroh
Hasso Renner
Reinhard Beckmann
Prof. Johan van der Dussen
Univ.Prof. Herlinde Klotz
Univ.Prof. Fatima Hölzenbecher
Sibylla Klingelhöfer B.Sc.
Benita Heser
Jessika Thies
Herr Aleksandr Wiek B.Sc.
Meryem Graf-Lange
Andreas Metz
Natalja Seidel
Ernst Koch II-Graf
Patrick Pärtzelt-Henck
Dr. Dagmar Hörle B.Sc.
Frau Kunigunda Schaaf B.A.
Friedl Hartmann
Univ.Prof. Paul-Heinz Heinz
Folkert Reinhardt B.Sc.
Helen Hahn
René Säuberlich B.Eng.
Ulrike Rädel B.Eng.
Danilo Losekann
Dr. Hans Jörg Zobel
Attila Atzler
Hans-Karl Christoph-Schleich
Hans-Georg Scholz
Urszula Rudolph
Kunigunda Heser
Susanna Söding
Käthi Lübs
Frederike Dippel
Ingetraud Fiebig
Henriette Bruder
