Student
Anastasia Gunpf
Jacob Bähr
Natalia Fröhlich-Kabus
Dipl.-Ing. Bodo Junk B.Eng.
Hans-Eberhard Lübs
Kordula Dobes-Buchholz
Rudolf Weihmann
Univ.Prof. Isabel Ladeck
Volker Adler
Norman Ditschlerin MBA.
Hanife Ullrich
Sevim Junitz
Saban Eimer
Kai-Uwe Stiebitz-Hentschel
Sandro Täsche
Dorit Köster
Cetin Heidrich
Prof. Katarzyna Gehringer B.Eng.
Dr. Dora Fischer
Filippo Jungfer-Kabus
Zlatko Kraus
Ing. Brunhilde Albers
Francisco Budig-Geisler
Faruk Birnbaum
Sofie Staude
Joerg Fritsch-Pieper
Nada Girschner
Dipl.-Ing. Miguel Bärer
Mahmut Hänel
Prof. Bertha Jacobi Jäckel MBA.
Riza Römer
Dr. Sara Niemeier
Gert Hölzenbecher B.Sc.
Dipl.-Ing. Slawomir Ebert MBA.
Anna Lübs
Herr Wieslaw Trupp
Paulo Trommler
Tülay Trapp
Ronald Werner
Hanns Ehlert MBA.
Antonius Bonbach-Juncken
Luigi Hartung
Hans-Ulrich Dussen van
Sami Junitz
Nurettin Dippel
Domenico Reichmann
Pia Fliegner
Prof. Urs Salz
Robert Budig-Ullmann
Josip Stey
Anna-Lena Bloch
Radmila Kraus-Schacht
Vladimir Patberg-Weller
Ilias Freudenberger
Gerti Döring
Birthe Graf
Malte Bohlander
Lissy Dippel
Wulf Schuster
Josef Langern
Ann Stumpf
Fredi Lindner
Hansjürgen Eberth
Zeynep Lehmann
Meryem Graf-Lange
Camilla Jäntsch
José Tschentscher-Textor
Dipl.-Ing. Patric Johann
Korinna Söding
Henryk Jacobi Jäckel B.Sc.
Celal Seifert
Ing. Luisa Oestrovsky
Annamaria Margraf
Nermin Martin
Anny Wagenknecht
Amanda Fechner-Weinhage
Dipl.-Ing. Lara Tlustek
Ing. Zofia Ernst
Dipl.-Ing. Korinna Pärtzelt
David Faust-Holsten
David Warmer
Stanislav Hoffmann
Ing. Kay-Uwe Flantz
Prof. Annita Wulff
Heiderose Bärer
Bruno Wagenknecht
Margaret Kramer B.A.
Frau Inken Zimmer B.Eng.
Hans Josef Striebitz
Magdalene Fröhlich
Sinaida Ruppersberger
Marie-Louise Girschner
Kathi Wesack
Ann Werner-Wilms
Ing. Nadeschda Tschentscher B.A.
Irmi Biggen
Leonardo Birnbaum
Dr. Lidija Metz
Klaus-D. Segebahn
Marit Thanel B.Sc.
Dr. Lidija Weihmann
Hans-Erich Preiß
Gertrud Ditschlerin
Frau Svenja Hövel B.Sc.
Zofia Gutknecht
Wilma Pärtzelt-Huhn
Hendrik Herrmann
Nicolai Gutknecht
Hüseyin Stahr
Annett Mies-Hellwig
Manuel Pärtzelt
Gitta Berger
Marlene Heuser-Trub
Bodo Martin
Regina Wende
Frida Süßebier
Anni Kraus
Sibylle Löchel
Frau Elsa Mälzer
Prof. Frithjof Binner
Edeltraut Anders-Rohleder
Alwina Koch
Univ.Prof. Nadja Jacob B.Eng.
Ing. Mike Stolze
Sylke Binner B.A.
Heinz-Wilhelm Steuer-Mende
Monique Schleich-Kroker
Ivana Nerger
Dr. Aldo Fritsch
Erkan Beier
Eva Wende B.Eng.
Steven Trub
Alena Seip
Georgine Segebahn
Prof. Mechtild Steuer
Hans Jörg Köhler
Univ.Prof. Therese Hänel
Hubert Hertrampf
Elli Kuhl B.Eng.
Univ.Prof. Linus Seifert
Winfried Hermann
Halina Austermühle-Bender
Univ.Prof. Anna-Luise Faust
Hans-Dieter Scholl
Bianka Schmidt
Marek Schenk B.A.
Prof. Irmhild Fritsch
Remo Reinhardt
Wendelin Zorbach MBA.
Emilie Kallert-Zorbach
Dan Scheuermann
Ella Briemer-Siering
Dogan Sauer
Gabor Pechel-Junken
Dipl.-Ing. Georgine Adolph B.Eng.
Irina Birnbaum
Stefanie Pruschke
Gregor Knappe B.Eng.
Prof. Grete Müller
Monika Krein B.Eng.
Univ.Prof. Ignatz Baum
Dr. Annekatrin Striebitz
Ing. Nuran Schaaf
Gudrun Reichmann MBA.
Alois Knappe
Reinhard Eigenwillig
Uwe Dussen van
Anita Mohaupt
Ilija Hofmann
Stefanie Hertrampf MBA.
Dr. Erdogan Eigenwillig MBA.
Änne Möchlichen
Lisbeth Mielcarek
Ing. Alberto Werner
Ellen Trub
Frederik Beyer
Bogdan Löffler
Burkhard Holt-Schleich
Herr Vladimir Zimmer MBA.
Dr. Damian Scheel
Detlef Köster
Salih Köster
Abram Scholz B.Sc.
Dipl.-Ing. Freya Höfig
Herr Louis Hövel
Freia Hofmann
Käthe Hande
Valeska Zimmer-Schleich
Thea Nette
Prof. Cäcilie Staude B.A.
Marion Weihmann
Janet Johann B.A.
Claudio Freudenberger
Univ.Prof. Heinrich Reinhardt MBA.
Hans-Theo Bärer B.Eng.
Renata Holt-Heintze
Gloria Bruder B.A.
Ing. Danica Gieß MBA.
Hannah Stiffel-Börner
Dr. Cäcilia Henk B.Eng.
Martine Trupp
Dr. Timo Ernst
Ing. Jeanette Rosemann B.Eng.
Univ.Prof. Milan Hande
Ernst-Dieter Rörricht B.Eng.
Benita Holzapfel-Hecker
Bogdan Römer B.Eng.
Nicolas Möchlichen MBA.
Dipl.-Ing. Margarethe Holt MBA.
Ralph Binner-Römer
Univ.Prof. Anny Stolze
Prof. Meral Jüttner MBA.
Lilija Ruppert
Reinhart Jopich
Jasmina Rudolph
Univ.Prof. Ortwin Geisler MBA.
Ehrenfried Seidel MBA.
Frau Julie Gunpf
Stefano Koch B.Eng.
Gerold Jacob
Univ.Prof. German Rörricht
Alessandro Henk-Käster
Johan Baum
Dorle Dörschner
Mariana Wirth
Astrid Schweitzer
Marion Drewes
Karl-Heinrich Jacob
Fernando Gieß
Adelheid Hecker
Herr Rolf-Peter Renner MBA.
Arne Ziegert B.Sc.
Ruthild Juncken B.Sc.
Clarissa Buchholz
Prof. Ahmad Rörricht
Margareta Dörschner B.Sc.
Dipl.-Ing. Josip Mies
André Sauer
Frithjof van der Dussen
Ivonne Hahn
Adelinde Kensy B.Eng.
Luigi Wähner
Dr. Tony Ditschlerin
Dipl.-Ing. Tina Kranz MBA.
Traugott Hövel
Carolin Holt
Rosita Budig
Ernst-August Oestrovsky-Kreusel
Osman Schäfer
Reinhild Patberg
Tomas Tlustek
Olaf Wesack
Falko Schüler
Asta Mielcarek-Blümel
Frau Annita Beckmann
Kunigunda Heser
Karsten Schwital
Henning Scholl
Prof. Oswald Ehlert MBA.
Engin Hofmann
Necati Koch
Hans-Detlef Matthäi
Markus Albers
Hermine Schüler
Carsten Hartmann
Ernst Henschel
