Student
Korbinian Werner
Dr. Annekatrin Striebitz
Jadwiga Gotthard
Wolfhard Jäkel MBA.
Iris Kraushaar B.Sc.
Tomas Tlustek
Kreszentia Jockel
Lucie Trüb-Schmiedt
Univ.Prof. Undine Becker MBA.
Marliese Roht
Freia Hamann
Hildburg Tlustek
Dietlinde Söding
Adolfine Dippel
Tabea Rogge
Dipl.-Ing. Elly Davids B.Sc.
Univ.Prof. Nevenka Döhn B.Eng.
Herr Siegmar Geisler
Prof. Meral Jüttner MBA.
Undine Lindner
Vinko Kraus-Schmiedt
Sigmund Hentschel MBA.
Prof. Ruth Gehringer
Ryszard Lehmann
Prof. Rosa Kruschwitz B.Sc.
Natalia Stroh
Univ.Prof. Claus-Dieter Meister B.Eng.
Herr Augustin Thies B.A.
Edeltrud Margraf
Sebastian Vogt
Dr. Gaby Sontag MBA.
Dr. Leila Gunpf B.Sc.
Ing. Bianca Paffrath
Ing. Siegmar Meyer B.A.
Univ.Prof. Sahin Freudenberger B.A.
Herr Jonathan Hänel MBA.
Marina Wilmsen
Änne Möchlichen
Dr. Franco Stumpf B.Eng.
Dolores Atzler B.A.
Jolanta Kühnert
Sybilla Herrmann-Pärtzelt
Rudolph Metz-Mitschke
Irmela Krein-Bolzmann
Wencke Salz
Prof. Ralph Patberg
Dr. Mariusz Beckmann
Erwin Jungfer
Günter Fischer
Cäcilie Schmidt
Cilli Siering
Karl-Otto Kostolzin
Gabriele Stahr
Anto Tröst-Schäfer
Karl-Dieter Segebahn-Köster
Ewa Eimer-Linke
Marie Sorgatz MBA.
Ehrenfried Drubin-Paffrath
Anita Mohaupt
Prof. Concetta Mies B.Eng.
Univ.Prof. Heinz-Werner Renner B.A.
Janet Kade
Dagobert Eberhardt B.A.
Enrico Reising MBA.
Laurenz Scholl
Sibylla Klingelhöfer B.Sc.
Evangelos Staude
Hans-Henning Scheel
Michaela Sontag-Dörr
Inka Hornig B.A.
Klaus-Ulrich Tlustek-Förster
Steve Scholl-Ladeck
Flora Etzold
Werner Kramer B.A.
Mehdi Niemeier-Noack
Gisela Girschner
Jochem Röhrdanz
Alwin Löffler B.A.
Franca Mentzel
Dr. Nadja Wulf
Dipl.-Ing. Gerdi Wende
Johannes Freudenberger
Leokadia Bloch
Albert Butte
Florentine Eimer
Ilja Kitzmann B.A.
Milos Knappe-Scholz
Heimo Hübel MBA.
Marianne Killer
Dominik Naser B.A.
Dr. Hans-Hermann Rosemann B.A.
Siegmar Pergande
Faruk Birnbaum
Ilija Fischer
Nadja Geisler
Danilo Losekann
Dr. Arzu Martin B.Eng.
Jutta Franke-Rosenow
Frau Cordula Anders B.Eng.
Andrea Hamann
Reinhard Eigenwillig
Reinhold Striebitz
Herr Hans-Ludwig Steinberg
Herr Anton Mohaupt B.A.
Ing. Marten Hering
Sylvester Zirme
Claas Wirth B.Sc.
Sibilla Eimer
Sergio Kraushaar-Anders
Marie-Therese Wagner
Chantal Fröhlich
Heribert Steuer
Uli Schönland-Trupp
Rosa Heuser
Gert Hölzenbecher B.Sc.
Anastasios Kuhl
Pirmin Reising
Kornelia Dörr
Hans-Dietrich Fliegner
Franz-Xaver Scholtz
Ferdinand Junitz B.Eng.
Mira Sontag
Rosmarie Kambs MBA.
Insa Peukert
Univ.Prof. Gustav Sölzer
Ulla Süßebier
Meral Liebelt
Dr. Hans-Herbert Losekann B.A.
Gabi Neuschäfer-Oestrovsky
Antonie Ladeck
Univ.Prof. Norbert Röhrdanz B.Sc.
Frau Wenke Riehl
Hedi Bärer
Natalie Werner
Hanni Scholz-Weitzel
Trudel Bloch
Univ.Prof. Dragan Thies MBA.
Boris Kruschwitz
Gaetano Lübs
Reimar Klemm MBA.
Helmtrud Börner B.A.
Elli Täsche B.Eng.
Peggy Holt
Karl-Heinz Hahn
Herr Tom Täsche
Hanspeter Davids
Britt Schwital-Seip
Gertrude Ullmann
Knut Jacob
Rainer Gude-Kaul
Julian Dussen van B.Eng.
Margret Dehmel
Robin Flantz
Rosita Peukert-Scheibe
Wladimir Rogge
Ing. Wendelin Köster B.A.
Mirjana Schlosser B.Eng.
Falko Klemm B.Sc.
Hans Kohl MBA.
Eugen Schottin
Prof. Katalin Heinrich
Frau Annett Tlustek B.Eng.
Dr. Catharina Gerlach B.Eng.
Miroslaw Hentschel-Stoll
Dipl.-Ing. Mathias Metz B.A.
Herwig Jäntsch B.Sc.
Silvester Etzold
Hans-Bernd Rose
Gunhild Gorlitz-Heinrich
Dipl.-Ing. Geert Holsten B.Sc.
Erwin Jopich
Engelbert Sauer MBA.
Herr Günther Krein MBA.
Carmen Weinhold
Julie Radisch MBA.
Roberto Ritter-Fritsch
Leo Roskoth B.Sc.
Herr Rudi Neuschäfer
Ing. Hans Jürgen Häring
Bruno Hethur
Nick Hermighausen-Krein
Univ.Prof. Anna-Luise Faust
Giovanni Weller-Söding
Valeri Mielcarek
Raphael Höfig
Anny Wagenknecht
Horst-Günter Zirme
Ing. Magda Jäntsch
Sabine Gude
Knud Trommler
Enrico Kobelt-Klemt
Dorota Mude
Jeannine Lehmann
Paula Stroh
Dr. Selma Geisel B.Sc.
Nils Hermighausen
Vassilios Kuhl B.Sc.
Elise Hentschel
Alexa Dietz
Ing. Carolin Matthäi
Mary Reuter B.Sc.
Senta Ruppersberger
Bernhardine Pechel
Dipl.-Ing. Hanns Killer B.Sc.
Arnd Jacobi Jäckel
Kevin Trubin
Univ.Prof. Gerhardt Dowerg B.Eng.
Dipl.-Ing. Sibylle Kensy
Catharina auch Schlauchin
Herr Ilja Kroker
Ellinor Schmidtke B.Sc.
Univ.Prof. Josip Hartung
Erich Klotz B.Sc.
Hermann Josef Drubin
Patricia Schäfer
Herr Rüdiger Ruppersberger
Univ.Prof. Marko Schmiedecke MBA.
Hans-Josef Butte-Dussen van
Zbigniew Boucsein
Luise Junk
Mato Patberg-Heintze
Gönül Barth-Zobel
Veronique Hartung-Haering
Fredi Lindner
Anne Zorbach
Dipl.-Ing. Konrad Schenk
Patric Heinrich
Dr. Patrizia Dörschner B.A.
Conny Geißler-Karge
Dr. Wencke Junken B.Eng.
Wilhelm Klemm B.A.
Nicolaus Seifert
Klaus Dieter Rädel
Henri Wirth
Ilja Krause
Janus Weitzel-Koch
Prof. Beatrix Döring MBA.
Dipl.-Ing. Stefano Ditschlerin
Sigurd Holsten B.Sc.
Ursel Juncken-Buchholz
Danilo Hartmann
Rita Käster B.A.
Richard Drub
Bodo Kranz-Striebitz
Maria-Theresia Tschentscher
Renate Franke B.A.
Herr Knud Pölitz B.A.
Dipl.-Ing. Rouven Kallert MBA.
Hilma Kuhl
Inge Dehmel
Natalia Hauffer
George Weimer
Ilja Wende
Peer Nohlmans B.Sc.
Miroslaw Holt
Lilija Ruppert
Gundi Hiller
Frau Nadeshda Ruppert
Ing. Hellmuth Scholl
Univ.Prof. Christa-Maria Lehmann B.A.
Kristin Niemeier
Konstantin Knappe
Herta Keudel
Patrizia Bender-Reuter
Aynur Bohlander
Isidor Atzler
Dipl.-Ing. Mariola Lange B.Sc.
Harm Sontag-Wilms
Waltraud Trapp-Pechel
Georgine Segebahn
Ryszard Anders B.Sc.
Alban Butte
Ing. Damaris Bonbach
Gerold Jacob
Univ.Prof. Suse Lachmann B.Sc.
Ing. Imke Eigenwillig B.A.
Wiltrud Geißler
Henrik Heidrich
Gislinde Lehmann
Ron Sorgatz-Eimer
Gunter Beyer
Marianna Hofmann
Emilia Scheel
Frederik Rust
Mariola Tlustek MBA.
Engin Hofmann
Anka Boucsein
Prof. Norbert Wilms B.A.
Ing. Hartmuth Gute B.A.
Cosimo Zimmer
Kornelia Bachmann
Frauke Söding
Aribert Herrmann
Univ.Prof. Resi Knappe
Dr. Lidija Metz
Slavko Weitzel B.Sc.
Univ.Prof. Jörg Jessel MBA.
Irene Rogner
Bertha Ritter-Drubin
Prof. Bertha Jacobi Jäckel MBA.
Gregor Dippel
Prof. Alma Gumprich
Gunda Warmer
Univ.Prof. Franz-Josef Holt
Fatma Sager
Univ.Prof. Sonja Hande MBA.
Henrik Hein B.A.
Cilli Gorlitz
Konstanze Zänker MBA.
Ing. Andrew Nerger
Univ.Prof. Tabea Dörschner MBA.
Dr. Edit Scheibe B.A.
Wera Schmidt
Natali Löffler
Prof. Clemens Söding
Dipl.-Ing. Sebastiano Käster B.Eng.
Dorothee Seidel
Marta Sontag
Slobodan Seip
Walfried Wohlgemut B.Eng.
Grit Röhricht-Rosemann
Jens-Peter Graf-Schmidt
Caterina Ullrich
Dajana Ruppert
Dr. Annelene Geisel B.Sc.
Benita Hahn-Wieloch
Martha Wilmsen
Hans-Martin Junk-Kuhl
Anika Biggen MBA.
Bernward Fröhlich
Czeslaw Jäkel-Röhrdanz
Damian Jopich B.A.
Univ.Prof. Giovanna Siering MBA.
Friedericke Ruppersberger
Rahel Dörschner
Ing. Hans-Wolfgang Weitzel B.Sc.
Joerg Döhn
Franz Ortmann B.Eng.
Mehdi Kohl B.A.
Wilhelm Metz
Dr. Herbert Jockel B.Eng.
Karl Heinz Kruschwitz-Reising
Florian Wulff
Annaliese Gute
Vera Losekann
Paul Hettner
Herr Muzaffer Schäfer
Hüseyin Johann
Ekaterina Schmiedecke
Deborah Finke
Abram Vogt MBA.
Prof. Grete Müller
Lambert Misicher-Dörschner
Marek Walter MBA.
Ulrike Albers
Prof. Bela Noack
Imelda Schäfer
Priska Wende
Alexandre Häring
Siegrun Reinhardt
Ing. Zdenka Neuschäfer
Sabrina Kohl
Robin Weinhage B.A.
Johannes Schuchhardt-Junitz
Cornelia Römer
Vesna Bähr
Univ.Prof. Aloisia Fröhlich B.A.
Konstantin Eimer-Lehmann
Dr. Theodor Sager
Cosimo Bender
Lieselotte Dussen van MBA.
Igor Dörschner
Hiltraud Köster MBA.
Gisela Carsten B.Sc.
Irina Mielcarek
Edelgard Finke B.Eng.
Brigitte Geisler
Uschi Dobes
Wolfhard Ziegert
Heinrich Ackermann
Stavros Schinke
Arnfried Lorch B.A.
Chantal Kramer
Jessica Schottin
Bruno Martin-Kaul
Bernward Losekann MBA.
Roman Bloch
Frau Herlinde Segebahn
Marion Drewes
Roswita Hofmann MBA.
Michaela Hecker B.Eng.
Herr Wieslaw Trupp
Sevim Junitz
Elizabeth Wulf
Herr Wieland Hartmann MBA.
Ing. Ivonne Nerger
Helge Finke-Wähner
Swetlana Binner
Bayram Meister
Univ.Prof. Karl-Friedrich Mosemann B.Sc.
