Student
Prof. Hubert Heß
Wally Kreusel
Laurenz Rosemann
Dipl.-Ing. Mariana Mohaupt B.Sc.
Marleen Etzler
Dagmar Jungfer
Edda Jungfer
Ing. Aziz Hein
Kornelius Winkler
Sigrid Jockel
Dipl.-Ing. Josip Mies
Baptist Gröttner B.Sc.
Christin Hein B.Sc.
Rainer Gude-Kaul
Ernst-Dieter Rörricht B.Eng.
Univ.Prof. Änne Finke B.Sc.
Hans-Bernd Zobel
Herr Gerolf Hermann B.Eng.
Bertram Eigenwillig
Evelin Gerlach
Lieselotte Dussen van MBA.
Anatol Hübel
Ing. Henning Drub
Ing. Ramazan Kabus B.Eng.
Reingard Klingelhöfer
Ursel Conradi
Klaus-D. Segebahn
Univ.Prof. Waldtraut Riehl
Dipl.-Ing. Sigrun Neuschäfer B.Sc.
Margit Klapp
Melanie Jungfer-Preiß
Maurizio Mans-Ullmann
Ing. Helen Gumprich B.Sc.
Nathalie Krause
Friedrich-Wilhelm Höfig-Johann
Gabi Heinz
Katarina Knappe
Sofia Heinrich
Hanna Speer
Ruthild Juncken B.Sc.
Elli Kohl
Dr. Rosalinde Stolze B.Eng.
Blanka Birnbaum
Stephanie Weller
Mariusz Hartung
Franz Josef Haase
Kai-Uwe Oderwald
Walfried Siering
Hans-Detlef auch Schlauchin-Fischer
Elias Hethur
Prof. Urs Flantz
Frau Suse Zorbach
Regina Wende
Aribert Putz
Horst-Dieter Seifert
Wera Schmidt
Sina Wulff-Dussen van
Ulf Dörschner
Wally Anders B.Eng.
Emilie Kallert-Zorbach
Ilja Krause
Stavros Meyer
Elvira Gute-Käster
Mirko Eckbauer
Caroline Harloff
Fabienne Holt MBA.
Prof. Frithjof Binner
Andrea Hamann
Senta Renner
Adele Stroh
Volkhard Köster-Jüttner
Isabelle Förster-Beyer
Milica Huhn
Univ.Prof. Horst-Günter Nohlmans B.Eng.
Frau Brigitta Bohlander MBA.
Ing. Rosalinde Rogner MBA.
Univ.Prof. Antoinette Wende B.A.
Ali Schmidt-Knappe
Reni Cichorius
Ayse Scheuermann-Sölzer
Frau Friederike Albers
Prof. Diether Neureuther
Gisbert Christoph
Dr. Jan-Peter Martin B.Eng.
Betty Steinberg
Ilse Henschel
Johann Seidel
Emma Briemer
Imelda Söding
Dr. Franz-Peter Löffler
Hans-Erich Mende
Burkhard Schweitzer
Herr André Scholl B.Sc.
Hans-Ulrich Liebelt-Hauffer
Prof. Marten Söding B.A.
