Student
Damian Bauer
Dr. Meinhard Hiller
Sylvio Karge
Ing. Magda Jäntsch
Wilhelm Metz
Raimund Hande
Lieselotte Dussen van MBA.
Sybilla Eigenwillig
Heinz-Wilhelm Säuberlich MBA.
Manuel Pärtzelt
Pedro Bärer
Dr. Lisa Kusch
Ing. Utz Klemt B.A.
Ellen Jessel-Walter
Meral Stroh-Henschel
Concetta Neureuther
Sergio Schleich
Mechthilde Lindau B.A.
Philip Mangold
Gundi Hiller
Dipl.-Ing. Sigrid Hahn
Ing. Pius Börner
Dipl.-Ing. Magrit Junck
Ljiljana Ruppert
Mesut Trommler
Boris Stumpf
Korinna Söding
Philipp Ernst
Dr. Alwina Lorch MBA.
Friederike Sölzer-Hentschel
Liliana Davids
Frau Emma Kaul B.Eng.
Milos Trüb
Cornelius Jacobi Jäckel
Marco Stey
Dietlinde Söding
Jörg Pechel
Univ.Prof. Francesco Schulz B.Eng.
Leni Heß
Prof. Catherine Knappe MBA.
Slavko Weitzel B.Sc.
Monica Drub-Davids
Wilfried Söding
Dipl.-Ing. Till Säuberlich
Ing. Kunigunde Wieloch
Harm Sontag-Wilms
Gisela Girschner
Sandor Ritter
Anastasios Karge
Ing. Arthur Schwital B.Eng.
Ljudmila Trapp
Zofia Gumprich
Ing. Valerij Segebahn B.Eng.
Alfredo Möchlichen
Reinhilde Metz
Mercedes Sauer
Willy Weiß
Nadeschda Rädel
Claus Juncken
Liesbeth Junck-Benthin
Dipl.-Ing. Patricia Werner B.Sc.
Deborah Finke
Alwine Riehl
Trude Ruppersberger
Guenther Schmidt
Dipl.-Ing. Ilse Heß B.Sc.
Meta Eigenwillig
Prof. Anica Haering B.A.
Walli Gnatz
Detlev Heintze
Lorenz Schüler B.A.
Anne-Katrin Rogge
Gudula Niemeier
Herr Jonathan Beckmann B.A.
Ekrem Spieß
Heinz-Dieter Caspar-Hande
Univ.Prof. Cläre Weihmann B.A.
H.-Dieter Gerlach
Dipl.-Ing. Detlef Trommler
Edeltraud Kaul
Univ.Prof. Harro Weller
Ivonne Lachmann
Carmelo Weinhold
Louis Loos B.Eng.
Dr. Friedhilde Adler MBA.
Trudel Bloch
Hertha Butte B.Eng.
Ing. Zofia Ernst
Fabienne Dobes-Heuser
Miriam van der Dussen
Prof. Danny Bähr B.Eng.
Till Bolander
Raymund Koch II-Margraf
Dipl.-Ing. Hanns Nette
Dr. Silvester Krein B.Sc.
Nadja Schleich MBA.
Marliese Drubin
Guiseppe Bien
Hiltrud Pergande
Arne Dobes
Friedrich-Wilhelm Holsten
Lidia Butte
Klaus-D. Zänker-Hein
Michelle Kitzmann
Heribert Steuer
Wilfried Börner
Friedlinde Warmer
Kristian Anders B.Sc.
Jonas Albers
Dörthe Hiller
Hellmuth Heidrich
Adrian Killer
Lydia Losekann MBA.
Univ.Prof. Axel Dörschner B.Sc.
Hans-Jochen Gorlitz B.Sc.
Cristina Salz B.Sc.
Prof. Falko Trapp B.Eng.
Mariola Gnatz
Joachim Rogge
Peer Jähn
Augusta Rosemann
Zdenka Heser
Andre Mülichen-Scholz
Dr. Tim Hornig B.Sc.
Zita Wieloch-Scholtz
Herr Augustin Thies B.A.
Christiana Pohl
Dipl.-Ing. Klaus Geisler
Sofia Hethur
Almuth Haase
Alice Hesse
Margrit Schenk B.A.
Dipl.-Ing. Mirella Franke MBA.
Abraham Hoffmann
Gülay Werner
Karl-Georg Römer B.A.
Ing. Carmine Kroker
Tilman Henschel
James Kostolzin-Staude
Paula Stroh
Timm Freudenberger-Henschel
Dipl.-Ing. Friedrich Hiller B.Eng.
Karl-Georg Sontag B.Sc.
Prof. Magnus Dörr B.Eng.
Ulrike Klemt B.Sc.
Wilfriede Misicher
Maya Haering-Becker
Dipl.-Ing. Ernst-Dieter Harloff MBA.
Andrea Hamann
Amalie Gotthard
Freia Hofmann
Rudolf Mentzel
Univ.Prof. Baptist Mende MBA.
Horst-Peter Ritter
Dr. Jann Wesack B.A.
Hans-J. Wohlgemut
Mandy Huhn B.A.
Traude Kuhl
Frau Therese Henk B.A.
Frederik Rust
Hermine Eberhardt
Gerti Ullrich
Univ.Prof. August Schleich B.A.
Aloys Barkholz
Elmar Fröhlich
Stefani Caspar
Ursel Juncken-Buchholz
Stephan Stolze-Holt
Anne-Katrin Lorch
Dr. Anatoli Bonbach
Holger Gröttner B.Eng.
Alfons Klingelhöfer
Herr Bertold Löffler
Aziz Bähr B.A.
Siegbert Henschel
Univ.Prof. Franz-Josef Zänker
Elizabeth Wulf
Augusta Flantz
Anita Mohaupt
Dr. Heinz-Georg Aumann MBA.
Dr. Annaliese Lindner
Univ.Prof. Claus-Dieter Dippel B.Eng.
Ing. Eckehard Bloch MBA.
Sara Rogge
Heide Knappe
Wolf-Dieter Sölzer-Putz
Andrew Misicher
Victoria Hiller
Leonid Hein B.Sc.
Prof. Petar Köhler
Ing. Maren Schenk
Cornelia Schinke
Gert Seifert
Cläre Bruder-Hentschel
Dr. Lilija Butte B.A.
Ralph Jacobi Jäckel
Gerlind Trüb-Losekann
Univ.Prof. Harro Fröhlich
Stavros Meyer
Filippo Jäntsch
Eberhardt Gute
Hedi Butte-Neuschäfer
Konstantinos Stolze-Biggen
Dr. Peggy Beyer B.Sc.
Bianca Mans
Artur Schaaf
Kristian Rosemann B.Sc.
Geert Schuchhardt
Conrad Killer
Oda Henschel
Kata Gierschner
Ing. Wendelin Köster B.A.
Dorothe Renner
Woldemar Bähr
Marijan Huhn
Alida Tröst
Wojciech Losekann-Seidel
Hakan Kitzmann-Scholl
Prof. Ursula Niemeier B.Eng.
Dolores Stey-Matthäi
Polina Hettner
Zbigniew Weinhage
Univ.Prof. Birger Weihmann MBA.
Götz Hofmann B.A.
Hans Jörg Koch
Berthold Naser
Ismail Steinberg
Prof. Cäcilie Staude B.A.
Prof. Ricardo Kensy
Cord Mende B.Eng.
Univ.Prof. Dogan Mielcarek
Harri Heuser
Wibke Tschentscher-Wulf
Toralf Jessel
Susann Haering
Univ.Prof. Hinrich Eberth
Regina Reuter
Erdal Tintzmann
Ing. Igor Barth
Isabell Kroker B.Eng.
Elfie Jäkel
Frau Hildegart Etzler B.A.
Jochen Naser
Rosi Spieß
Folkert Barth B.Sc.
Walter Weller
Arif Pergande-Wagenknecht
Konstantin Ladeck
Volker Süßebier-Staude
Juan Klapp B.Eng.
Günter Fischer
Dr. Leila Gunpf B.Sc.
Marlen Flantz
Edmund Caspar B.Sc.
Annie Gnatz B.A.
Violetta Beyer
Ing. Walli Bolander MBA.
Benjamin Jäntsch B.Sc.
Steffen Cichorius B.Eng.
Dipl.-Ing. Oskar Vogt B.A.
Dipl.-Ing. Edmund Franke
Hans-Detlef Kobelt
Dipl.-Ing. Berit Weinhage
Hans Jürgen Lange
Franca Mentzel
Patric Geisler-Becker
Dr. Elvira Cichorius B.A.
Natalia Stroh
Klara Schlosser
Juan Noack
Univ.Prof. Frieder Döhn MBA.
Eckart Cichorius
Univ.Prof. Nevenka Döhn B.Eng.
Dipl.-Ing. Regine Renner
Univ.Prof. Polina Schmidt B.Eng.
Kirstin Kusch-Meister
Marika Zänker B.A.
Dipl.-Ing. Giorgio Drubin B.Eng.
Herr Osman Gerlach B.Sc.
Arnd Jacobi Jäckel
Svea Krebs-Scheibe
Olaf Juncken
Sibille Kallert
Dipl.-Ing. Janus Roht B.Sc.
Heinz-Jürgen Adolph
Ehrentraud Hänel-Dussen van
Helmar Barth
Günter Löwer
Univ.Prof. Aleksander Wiek B.A.
Maja Fischer B.A.
Reingard Geisel
John Bauer
Alfredo Oestrovsky
Thea Bauer
Pavel Jessel
Serge Kade
Curt Mühle
Laszlo Nerger MBA.
Stefanie Benthin
Nora Klapp-Finke
Annett Dehmel MBA.
Sofia Etzler B.Eng.
Irmtrud Röhrdanz
Sabrina Kohl
Ruthild Juncken B.Sc.
Stanislaw Misicher
Elena Fiebig
Herr Ansgar Gnatz
Janna Kambs
Timo Spieß
Karl-Heinrich Karz
Mariola Heinrich
Ing. Hans Peter Schenk B.A.
Abraham Junken-Beckmann
Prof. Angelique Seidel MBA.
Madlen Trupp B.Eng.
Dagobert Eberhardt B.A.
Lotte Kitzmann B.A.
Danilo Losekann
Baptist Radisch MBA.
Angelique Adler
Univ.Prof. Jörg Jessel MBA.
Kay-Uwe Trapp
Dr. Hans-Herbert Losekann B.A.
Klaus Dieter Weimer-Hein
Mira Sontag
Dipl.-Ing. Liliana Hartmann
Pamela Mies B.Eng.
Ing. Siglinde Speer MBA.
Elfi Herrmann MBA.
Vesna Döhn
Moritz Spieß
Ilka Lachmann
Bekir Gumprich-Kabus
Marcella Sölzer
Oscar Junitz
Thorben Stiebitz
Danny auch Schlauchin
Mareen Mies B.Eng.
Gusti Vollbrecht
Fredy Birnbaum-Kensy
Dipl.-Ing. Matteo Baum
Ing. Siegmund Hertrampf MBA.
Gertraud Mentzel
Jann Schenk
Frederik Beyer
Emil Preiß-Hecker
Prof. Rolf-Dieter Fiebig MBA.
Mariana Kranz
Gordana Bolnbach
Phillip Hermann
Mareen Krebs-Hofmann
Pierre Köster
Ilonka Noack
Stefano Atzler
Tina Radisch
Frau Clarissa Rosenow B.A.
Ekrem Hornich
Magdalena Löwer B.Eng.
Ilonka Zimmer
Hartmuth Gude B.Eng.
Univ.Prof. Margrit Davids B.Eng.
Norbert Niemeier
Jiri Förster
Aleksej Kühnert B.A.
Univ.Prof. Viktoria Seifert
Polina Kostolzin
Hans-Dietrich Fliegner
Herr Simon Fliegner MBA.
Korbinian Bolander
Dipl.-Ing. Giuseppina Etzler B.Sc.
Daniele Finke
Ing. Tanja Scheibe B.Eng.
Prof. Niko Hethur B.Eng.
Dipl.-Ing. Gisa Jüttner B.Sc.
Liane Gröttner
Dr. Myriam Pieper B.Eng.
Valentin Steuer-Mans
Sükrü Schüler MBA.
Tomislav Jopich-van der Dussen
Hans D. Schenk
Konstantin Knappe
Hans-Bernd Zobel
Wenke Stolze
Univ.Prof. Nermin Rosemann B.Sc.
Inge Paffrath
Carl Scheibe
Edelbert Bruder
Dipl.-Ing. Jens-Peter Dippel MBA.
Leopold Rörricht
Othmar Täsche-Loos
Ole Losekann
Marion Weihmann
Augusta Beer
Prof. Kunigunda Pergande MBA.
Dagmar Koch
Sina Spieß
Univ.Prof. Klaus-Günter Renner B.A.
Dursun Mies
Elisa Karz-Rohleder
Danuta Lachmann-Dussen van
Ingried Hänel
