Student
Insa Peukert
Angelique Wesack B.Eng.
Michaele Ruppert
Ing. Tina Schmiedt B.A.
Lidwina Karz MBA.
Irmtrud Johann
Dr. Leonie Köster
Katrin Oestrovsky-Fechner
Marta Roht B.Sc.
Gerda Stey
Horst Reising
Claus Heser B.Sc.
Miroslaw Gieß
Marlies Seifert-Roht
Berndt Riehl-Bohlander
Annerose Kaul
Danny Mälzer
Stilla Köhler
Susann Haering
Ruth Barkholz-Koch II
Falko Schüler
Herr Hanno Hesse
Agnes Vollbrecht
Bernard Steinberg
Helga Mosemann-Hecker
Prof. Mandy Heuser MBA.
Slawomir Bohnbach
Monja Riehl
Dörthe Rädel
Dipl.-Ing. Utz Adler B.A.
Wilma Paffrath
Fatima Rörricht
Antonius Kraus
Frau Zdenka Boucsein B.Eng.
Gitta Mohaupt
Hans-Christian Roht
Chantal Fröhlich
Marie Hoffmann B.Sc.
Frau Delia Hellwig B.Sc.
Halina Segebahn
Irmtrud Pohl
Prof. Karl-Heinz Ruppersberger
Lydia Schenk
Stephen Ackermann B.A.
Theda Stumpf B.Eng.
Karina Tschentscher-Butte
Ing. Sina Johann MBA.
Hedi Bärer
Ing. Ronny Metz B.A.
Elisabeth Roskoth
Erhard Reinhardt
Nikolas Hövel
Hans-Hinrich Trub
George Paffrath MBA.
Ing. Muharrem Paffrath B.Sc.
Linus Mans-Röhrdanz
Osman Schmidtke
Marlene Steckel B.A.
André Segebahn
Ing. Eckart Becker B.Sc.
Prof. Concetta Mies B.Eng.
Gerhild Stiffel
Karlfried Müller
Ilias Weiß MBA.
Hedwig Matthäi
Alexander Hörle
Dipl.-Ing. Hans-Michael Stiffel B.Sc.
Marianne Ernst-Zirme
Eugen Schottin
Winfried Hermann
Andrei Bolander-Jäkel
Ingolf Ruppersberger-Berger
Eugen Weitzel
Simona Lorch
Dipl.-Ing. Johanna Henck
Katherina Bien
Traugott Textor-Wagenknecht
Babett Süßebier B.A.
Dipl.-Ing. Charles Täsche
Fernando Tschentscher-Schacht
Ditmar Adolph
Dorle Killer
Zeljko Kobelt B.Eng.
Urte Bolzmann
Gloria Schulz-Huhn
Lilli Harloff
Dipl.-Ing. Gilbert Plath B.Sc.
Tomislav Girschner
Andy Jockel B.Eng.
Maik Schottin
Prof. Erwin Albers B.Sc.
Jiri Hoffmann B.Sc.
Pierre Ortmann
Ivana Eimer
Univ.Prof. Aleksander Wiek B.A.
Eberhardt Warmer
Univ.Prof. Resi Kobelt
Dagmar Schinke B.Sc.
Herr Valerij Heydrich
Dr. Lea Kraushaar B.Eng.
Hans-Albert Schwital
Prof. Marijan Hoffmann
Dr. Marie-Theres Möchlichen B.A.
Michael Scholz
Irmi Jüttner
Adelgunde Wagenknecht
Marie-Luise Rogner
Univ.Prof. Markus Schottin
Frau Elfi Winkler MBA.
Magrit Lange
Edeltraud Bärer
Hansjürgen Säuberlich
Prof. Salvatore Römer
Liliana Zorbach MBA.
Athanasios Bloch
Hagen Girschner
Dierk Gunpf B.A.
Friedericke Roht
Siegrid Segebahn
Leo Gunpf-Bolzmann
Alena Holzapfel
Siegmar Ullmann-Fritsch
Gilda Faust
Domenico Kade B.A.
Mirja Bähr
Anni Kraus
Birgitta Hettner
Hanns Zänker B.A.
Juan Schweitzer
Herr Falk Holzapfel
Niko Bähr B.Sc.
Ilse Nette
Dr. Elwira Hiller
Imre Mülichen
Hans-Herbert Flantz
Jo Dussen van
Alwine Wulf
Univ.Prof. Walter Barkholz
Thoralf Eimer
Ismail Koch
Mareike Reichmann
Evelin Stumpf
Jonas Albers
Helmuth Zirme
Heidemarie Kreusel
Reinhard Eigenwillig
Stilla Dobes
Wolf-Dieter Sölzer-Putz
Ilona Roskoth-Bolander
Eleni Franke
Irmtraut Süßebier
Liselotte Lindau
Milica Huhn
Angelina Ruppert-Siering
Roswita Henck
Nadia Herrmann
Philipp Reising-Harloff
Gereon Weitzel
