Student
Marcella Holzapfel
Theda Stumpf B.Eng.
Jonathan Schottin-Naser
Magret Mans
Sibilla Eimer
Edeltraud Mülichen
Suzanne Holzapfel
Univ.Prof. Gislinde Rohleder
Melitta Drewes
Prof. Julia Möchlichen B.A.
Dr. Peggy Beyer B.Sc.
Prof. Jonas Scholtz
Ellen Vogt
Lia Heydrich
Rotraut Ullrich
Günter Rudolph B.Eng.
Gudrun Reichmann MBA.
Stephen Trommler
Reimar Rädel
Prof. Manuela Schleich B.Sc.
Frau Therese Henk B.A.
Prof. Vadim Rogner
Apollonia Trüb B.A.
Oskar Weitzel
Anatolij Junk
Stjepan Langern
Rosa Christoph-Sontag
Ing. Käthe Plath B.Eng.
Ekkehart Binner
Dipl.-Ing. Zeljko Stumpf B.A.
Dr. Peer Schwital MBA.
Klaus-Ulrich Tlustek-Förster
Ing. Justus Binner
Ernst-Dieter Geisler B.Eng.
Mareen Krebs-Hofmann
Paolo Wernecke
Nikolas Heß
Celal Ortmann-Otto
Adem Mühle-Ruppert
Imke Austermühle-Löwer
Hans Josef Reinhardt B.A.
Babett Adler
Anica Ortmann B.A.
Philomena Salz
Janette Wiek
Elsa Beer
Katherina Klapp
Eugenia Anders B.A.
Paul-Gerhard Gunpf
Dipl.-Ing. Gisela Schuster B.A.
Siegrid Paffrath
Maria Hellwig
Domenico Nohlmans-Eberhardt
Artur Schaaf
Ramon Salz
Maximilian Heß
Swetlana Jessel
Matthäus Hübel
Margita Meister
Marek Mitschke B.Sc.
Giovanni Weller-Söding
Jenny Scholtz
Rosi Renner-Graf
Aenne Hübel-Mühle
Ing. Igor Barth
Pawel Schlosser
Miriam Hentschel
Karl-Peter Kramer
Eveline Wagenknecht
Marie-Therese Birnbaum
Ing. Michel Harloff
Gisela Schwital-Scheel
Clara Mans
Heinz-Gerd Gorlitz B.Eng.
Emilia Scheel
Ivonne Lachmann
Sören Etzler
Justina Neureuther
Dipl.-Ing. Gabi Scholtz
Ditmar Niemeier
Eugenie Pieper
Herma Bender-Scholtz
Dr. Jasmina Ruppert
Therese Neureuther
Wolfhard Rosemann B.Eng.
Reimar Hahn-Neureuther
Volker Adler
Baldur Metz
Janine Dehmel B.Eng.
Malte Bohlander
René Kruschwitz
Prof. Kathy Warmer MBA.
Margaretha Heintze-Henk
Paul-Gerhard Jungfer B.Eng.
Oskar Löwer B.Eng.
Apostolos Kreusel-Noack
Urban Pieper
Univ.Prof. Undine Becker MBA.
Ing. Gabriela Dippel MBA.
Gitte Buchholz
Herr Jonathan Hänel MBA.
Hans-Uwe Noack-Fröhlich
Ing. Gotthard Reuter B.A.
Hulda Neuschäfer B.A.
Dr. Gunther Jähn B.A.
Sandro Schmiedt
Gunhild Kroker
Dr. Kai-Uwe Schulz B.A.
Dipl.-Ing. Tim Fritsch
Ing. Hanns Haase B.Eng.
Catherine Huhn
Eberhard Rust B.A.
Ulrike Gierschner-Koch II
Anna-Luise Seip-Hofmann
Magdalena Sauer
Reinhardt Pärtzelt
David Faust-Holsten
Helmuth Wagner
Ing. Maria Lübs
Matthias Hendriks-Koch
Mathilde Kreusel
Mirjam Stumpf
Cora Steuer-Junken
Claus-Peter Flantz
Herr Rolf-Peter Renner MBA.
Lilly Girschner-Ritter
Timo Huhn
Domenico Gertz
Gundula Otto-Kuhl
Anny Dietz
Gitta Mohaupt
Dipl.-Ing. Cläre Geißler
Hassan Kroker-Girschner
Fredi Meyer-Weiß
Reni Rosemann MBA.
Prof. Svea Putz MBA.
Jann Schenk
Dipl.-Ing. Rolf Tröst B.Sc.
Kreszentia Bloch-Steckel
Hanne-Lore Losekann B.Sc.
Ingetraud Fiebig
Ing. Dirk Paffrath
Julia Pärtzelt
Dipl.-Ing. Tomislav Dowerg B.Eng.
Jost Roskoth
Marko Renner
Dipl.-Ing. Friedrich Hiller B.Eng.
Herr Gunther Flantz
Gundolf Schomber-Hellwig
Ercan Oestrovsky B.Eng.
Klaus-Werner Jäkel-Holsten
Hedy Loos
Harro Keudel
Kriemhild Jähn
Ing. Damaris Bonbach
Linda Ziegert-Junken
Mariana Wirth
Nadia Wirth
Ernest Stahr
Alessandro Caspar
Toni Schottin B.A.
Urszula Trapp
Kornelia Bachmann
Karl Zirme
Ing. Adam Klemt MBA.
Eleonora Gehringer
Hüseyin Hethur
Prof. Cäcilie Staude B.A.
Ing. Janin Winkler MBA.
Ing. Annelise Nette B.Eng.
Artur Berger
Babett Pruschke-Schäfer
Gerhart Hentschel
Dipl.-Ing. Harm van der Dussen
Valentin Gute
Herr Anton Mohaupt B.A.
Horst-Peter Löchel
Dipl.-Ing. Edda Barth MBA.
Emmi Adolph
Alena Seip
Hanne Gierschner
Jan Gumprich
Dipl.-Ing. Laurenz Gerlach MBA.
Miroslawa Gude B.Sc.
Trudel Bloch
Konstanze Sontag
Wibke Pärtzelt-Wieloch
Cemal Trapp
Ing. Herwig Drub MBA.
Albina Heinz
Erika Pruschke
Frau Anna Mangold B.A.
Philipp Killer B.A.
Peer Hölzenbecher
Prof. Claudia Mude
Dipl.-Ing. Detlef Trommler
Ing. Helene Jähn B.Eng.
Prof. Niko Hethur B.Eng.
Karsten Kraushaar B.A.
Gabriel Werner
Bernhardine Pechel
Hanni Wieloch
Julia Conradi-Mentzel
Murat Förster
Nuran Schäfer B.A.
Wolfgang Beier-Mohaupt
Mechthilde Lindau B.A.
Cecilia Eigenwillig
Prof. Marko Rohleder B.A.
Nils Stey
Anatol Hübel
Ralph Binner-Römer
Hendrik Bolzmann-Henschel
Urszula Fliegner
Reinhilde Metz
Luka Binner
Ingelore Kobelt MBA.
Prof. Gaby Ernst MBA.
Hans-Günther Etzold
Gunnar Hentschel
Rose-Marie Schüler
Heinz-Josef Jähn MBA.
Anna Linke
Regine Meyer
Manja Stadelmann
Dipl.-Ing. Giorgio Drubin B.Eng.
Jorge Killer
Hansgeorg Heuser
Kirstin Kusch-Meister
Lotte Kitzmann B.A.
Bernard Steinberg
Heinrich Dippel
Ing. Torsten Hartung B.Eng.
Stephan Hauffer
Raphael Höfig
Ing. Muharrem Paffrath B.Sc.
Ahmet Eckbauer-Sölzer
Erik Trupp MBA.
Prof. Magnus Dörr B.Eng.
Univ.Prof. Michaele Heser MBA.
Stjepan Hofmann-Hethur
Univ.Prof. Gottfried Süßebier
Frau Annita Beckmann
Edelgard Finke B.Eng.
Leila Hethur
Dariusz Wirth
Herr Hartmuth Pruschke
Anja Wagner-Hermann
Oscar Fritsch
Antonina Christoph MBA.
Hans-Günther Kohl B.Eng.
Ottmar Hölzenbecher
Janusz Rädel B.Sc.
Fritz Schenk B.A.
David Warmer
Univ.Prof. Ignatz Baum
Yasmin Reising
Darius Trupp
Herr Gordon Meister
Gerolf Döring-Buchholz
Rolf-Peter Rosenow MBA.
Dr. Czeslaw Neureuther
Frauke Stadelmann
Hansjoachim Kraus-Beer
Prof. Loretta Speer MBA.
Kay-Uwe Dippel
Frau Svenja Hövel B.Sc.
Janine Söding
Marco Stey
Dr. Valentin Eigenwillig
Beatrix Scheibe B.Sc.
Hedwig Briemer
Marit Weller
Dipl.-Ing. Oskar Vogt B.A.
Annaliese Heser B.Sc.
Grete Rudolph
Alexej Liebelt
Mike Matthäi
Krista Putz
Marco Conradi
Dursun Mies
Ing. Toralf Wiek
Cord Haase
Aloisia Faust
Asta Knappe
Univ.Prof. Hartwig Holsten B.Sc.
Arif Pergande-Wagenknecht
Klothilde Zänker
Univ.Prof. Gundel Atzler B.Eng.
Karl-Wilhelm Geisel
Ignaz Löwer
Adam Seifert
Frau Theodora Hettner B.A.
Herr Frank-Peter Jopich
Univ.Prof. Luisa Scholz B.Eng.
Ing. Romuald Kreusel B.A.
Univ.Prof. Karl-Jürgen Trommler B.Sc.
Dr. Jan-Peter Martin B.Eng.
Frau Lilli Möchlichen MBA.
Heidelore Pärtzelt MBA.
Univ.Prof. Anny Stolze
Dr. Annaliese Lindner
Karl Heinz Hörle
Sevim Vollbrecht B.A.
Virginia Textor
Ing. Valeria Kruschwitz
Dipl.-Ing. Annelise Naser
Dipl.-Ing. Hans-Günther Bien
Ing. Christel Margraf MBA.
Dipl.-Ing. Cristina Vogt
Robert Budig-Ullmann
Gertrude Lehmann-Kostolzin
Annelene Reuter B.A.
Isa Rose
Robby Kramer
Prof. Heinz-Peter Sager
Gülay Weinhold
Milan Holzapfel
Mijo Jessel B.A.
Elena Ditschlerin
Frau Hildegund Vogt B.A.
Claudio Freudenberger
Hans-Wolfgang Harloff
Ignaz Beer-Eckbauer
Kazim Rohleder
Magda Geißler
Hans Peter Beckmann
Nancy Eckbauer
Engin Johann-Weihmann
Frau Ingelore Gertz
Ingo Löffler
Tina Henschel
Gesine Graf
Cläre Mohaupt
Ludwina Beer
Hinrich Römer
Karl-Heinz Rohleder
Frank-Peter Ullmann
Univ.Prof. Sebastian Sontag
Isa Koch
Ludmilla Pieper
Emine Vollbrecht B.Eng.
Arnulf Säuberlich
Franziska Hörle B.Sc.
Josef Butte-Lindau
Evi Wilmsen MBA.
Alma Kaul
Hanns Bender
Gotthilf Gertz
Univ.Prof. Jens Weinhage
Kordula Lange
Mike Krein
Dipl.-Ing. Fred Meister
Sigurd Höfig B.Sc.
Slavko Schüler B.Eng.
