Student
Hans-Bernd Zobel
Dr. Eleni Heser
Elsbeth Schmiedecke-Wulf
Univ.Prof. Markus Schottin
Heinrich Putz B.Sc.
Jost Briemer
Dipl.-Ing. Gottfried Scholtz
Senol Harloff-Lindau
Zoltan Wilms
Mariechen Nohlmans
Ellen Gutknecht
Dipl.-Ing. Lotte Austermühle B.A.
Julia Conradi-Mentzel
Antonina Wagner
Danuta Löwer
Ronald Hofmann
Dipl.-Ing. Mathias Metz B.A.
Süleyman Wende
Kläre Mohaupt-Salz
Univ.Prof. Sigurd Fischer B.Eng.
Evelyn Bien
Bertram Segebahn
Valentina Weihmann-Zahn
Prof. Rosa Kruschwitz B.Sc.
Mariola Heinrich
Marzena Jüttner-Jockel
Regine Häring
Tina Henschel
Hardy Weller
Carola Köhler MBA.
Univ.Prof. Nadja Jacob B.Eng.
Vassilios Trommler-Gieß
Ing. Krzysztof Kambs B.Eng.
Kreszentia Jockel
Dr. Edelgard Sauer B.Sc.
Hans-Gerd Preiß
Isa Kramer-Matthäi
Ilka Heß
Nicolaus Seifert
Rebekka Lindau MBA.
Dr. Annekatrin Striebitz
Dipl.-Ing. Anneliese Kühnert
Adam Gertz
Dr. Ralf Hölzenbecher
Aneta Schlosser-Köster
Rudolph Metz-Mitschke
Volkmar Hentschel
Karl-Heinz Rohleder
Ing. Alma Rudolph B.Sc.
Dr. Myriam Pieper B.Eng.
Anneli Schleich-Ullmann
Univ.Prof. Francisco Tröst B.Eng.
Artur Briemer
Judith Hering B.A.
Janusz Beckmann
Gertrude Ullmann
Rolf-Dieter Kensy
Jeannette Heuser
Dr. Sybille Bärer B.Sc.
Bianka Dobes-Seifert
Vitali Walter-Krein
Pia Steuer
Univ.Prof. Cecilia Scholl MBA.
Gitte Briemer
Gabi Gertz
Mirja Bähr
Mercedes Blümel
Univ.Prof. Sahin Freudenberger B.A.
Diana Jessel-Geißler
Antonius Stoll-Krebs
Ing. Eckehard Bloch MBA.
Herr Erich Rosenow
Michelle Klingelhöfer B.Eng.
Ludmila Dobes B.A.
Frank-Michael Klemt
Janin Haase
Dr. Egbert Kraus
Elsa Preiß
Egbert Jüttner
Jörn Hörle B.Sc.
Mary Staude
Juliane Mentzel-Ziegert
Malte Davids
Herr Arnulf Kohl
Dr. Mirko Langern MBA.
Dr. Lars Klemt
Suse Pergande-Gröttner
Adriane Gröttner
Franca Mentzel
Nico Drewes
Blanka Birnbaum
Elzbieta Hartung
Ing. Vitali Hentschel MBA.
Gilda Tintzmann
Emilie Kallert-Zorbach
Waldemar Ladeck
Univ.Prof. Leif Süßebier B.A.
Karl-August Reichmann B.Sc.
Gülsen Junck
Dipl.-Ing. Emmy Börner
Prof. Dietlind Ullrich B.Sc.
Solveig Scheibe
Mirjana Drub
Gitta Mohaupt
Univ.Prof. Gönül Meister B.Sc.
Ernestine Tröst
Lisbeth Mielcarek
Hermann Josef Börner
Heimo Kuhl
Gaby Bähr
Frau Ingried Rogner B.Sc.
Dorothe Adler-Trubin
Ahmed Lange MBA.
Belinda Reinhardt B.A.
Tomas Säuberlich B.A.
Mirja Schottin
Leonardo Birnbaum
Frau Wendelin Heinrich B.Eng.
Clemens Kabus
Victoria Hornig
Konstantin Knappe
Univ.Prof. Marleen Kabus
Willibald Gude
Salih Eckbauer-Renner
Enrico Oderwald
Tino Gnatz
Herr Louis Hövel
Ing. Mattias Boucsein
Viviane Fritsch-Martin
Annelies Beer
Prof. Mohammed Kambs
George Weimer
Hildegard Schlosser-Jacobi Jäckel
Gabor Dobes
Monika Haering
Reimund Kraushaar
Dr. Mariusz Beckmann
Dipl.-Ing. Gerold Kusch B.Eng.
Andreas Gunpf
Frederike Dippel
Ellen Liebelt
Björn Rädel-Rohleder
Juan Briemer-Textor
Univ.Prof. Cynthia Löwer
Christel Mangold
Swantje Binner B.A.
Heinz-Walter Roskoth-Hertrampf
Johann Baum
Heimo Karge-Freudenberger
Janette Kallert
Helmar Klapp
Univ.Prof. Josip Hartung
Dipl.-Ing. Eveline Jäkel MBA.
Prof. Alida Mangold MBA.
Lucia Hermighausen
Louis Loos B.Eng.
Dunja Dörr B.Sc.
Carmela Lindau
Ing. Eva Kitzmann B.A.
Franca Buchholz
Eva-Maria Zänker
Tibor Köhler-Schönland
Wilhelm Metz
Herr Ignatz Boucsein MBA.
Liesa Wilms B.A.
Dorothee Renner
Leokadia Herrmann
Hans-Bernd Eimer-Pechel
Lorenz Schüler B.A.
Univ.Prof. Mira Mende B.Eng.
Zita Holt
Helena Hettner
Ing. Birgid Möchlichen B.A.
Univ.Prof. Jeanette Girschner B.Sc.
Nils Hermighausen
Slavko Fliegner B.Sc.
Dorota Sorgatz B.A.
Harro Keudel
Carin Mohaupt-Heser
Cynthia Linke
Gertrude Gumprich
Gudrun Geisler
Hildegund Ruppersberger
Ditmar Niemeier
Veronika Gröttner
Herr Jacek Budig B.Eng.
Annelore auch Schlauchin-Lorch
Ing. Valentine Scheibe
Sophie Pruschke
Baldur Knappe
Götz Budig
Klaus Dieter Stoll-Wilms
Univ.Prof. Oscar Lindau MBA.
Karsten Schwital
Folkert Reinhardt B.Sc.
Luigi Hartung
Dipl.-Ing. Lilly Junken MBA.
Univ.Prof. Traudl Mentzel B.Eng.
Rena Radisch
Prof. Katrin Mülichen B.Eng.
Dr. Fedor Plath B.Sc.
Frau Hildegunde Koch II
Univ.Prof. Karl-Otto Dowerg MBA.
Dipl.-Ing. Rüdiger Otto B.A.
Sylvester Neuschäfer-Schacht
Herma Bender-Scholtz
Eckehard Mude
Gilda Rohleder
Anne-Marie Stumpf
Marija Stahr
Kata Atzler
Frau Etta Wesack MBA.
Ekkehart Kreusel
Milan Weiß-Schuchhardt
Sybilla Hornig
Sylvester Zirme
Nikolaus Fiebig
Friedo Lorch
Ricardo Hesse
Sibel Weller
Frau Zdenka Boucsein B.Eng.
Philip Heß MBA.
Maurizio Eckbauer
Gunar Börner
Frau Marie-Therese Mielcarek
Berndt Grein Groth B.Sc.
Stilla Hornig B.A.
Käthe Langern-Jacob
Laura Mühle
Iwan Schleich
Alfredo Bolzmann B.A.
Hakan Kühnert
Wilma Pärtzelt-Huhn
Gabriel Kreusel
Imke Gieß B.Sc.
Ekkehart Bruder
Prof. Clarissa Barth
Maik Schottin
Mia Ullmann
Rahel Hartmann
Friedl Barth
Henri Wirth
Liliana Gehringer
Dominic Schönland
Ing. Josip Ruppert
Hertha Stoll
Bogdan Pohl
Ing. Ernest Rogge B.A.
Gerta Hartmann
Ellen auch Schlauchin
Pavel Jessel
Ing. Katarzyna Noack
Elzbieta Putz B.Eng.
Prof. Alma Gumprich
Hella Pergande MBA.
Vlado Hübel B.Eng.
Fredy Birnbaum-Kensy
Hanne Ackermann
Waldemar Hendriks
Wulf Fiebig B.A.
Andreas Birnbaum-Kallert
Herr Jerzy Drub
Kathi Wesack
Theresa Hethur-Kabus
Ingo Heinz
Doreen Hornig
Franz Ortmann B.Eng.
Hilmar Spieß
Uli Wohlgemut-Stadelmann
Evangelos Ring-Schmiedecke
Dr. Elzbieta Mitschke B.Eng.
Gloria Lachmann MBA.
Evangelia Röhricht
Maritta Boucsein
Astrid Dehmel
Bernard Karge
Nils Hering-Loos
Hanife Täsche-Stiffel
Rüdiger Bien-Hübel
Oxana Stumpf
Ing. Cilli Gertz B.A.
Aleksander Dowerg
Dr. Diedrich Atzler
Dr. Rosmarie Seip
Univ.Prof. Annekatrin Neureuther B.A.
Hans Jürgen Winkler
Marika Sager
Cecilia Stoll
Hilma Berger
Jann Fröhlich
Friedrich-Wilhelm Holsten
Dipl.-Ing. Engin Jähn B.A.
Dominic Martin
Hildegart Weitzel
Johann Liebelt MBA.
Hans Dieter Junk
Anett Wieloch
Pedro Pölitz
Maria-Luise Schaaf
Andrej Geißler-Beckmann
Bozena Meyer
Bernhardine Ruppersberger
Ida Weihmann
Antonie Heser B.Sc.
Rosina Ortmann
Benita Neuschäfer
Gudrun Rörricht
Lieschen Walter
Bianka Scheuermann
Alwina Koch
Desiree Köster
Herr Gerhardt Benthin
Prof. Natalija Weinhold
Stefanie Dippel
Franz-Xaver Bachmann
Mareile Oderwald-Hiller
Dirk Graf-Stiffel
Felizitas Becker-Mosemann
Andrew Schlosser
Günter Löwer
Ing. Boris Junck MBA.
Janine Dehmel B.Eng.
Stjepan Langern
Univ.Prof. Lydia Langern
Ilias Seip
Zoran Oestrovsky
Ing. Siglinde Speer MBA.
Dr. Laila Peukert
Sylke Binner B.A.
Jörn Barth-Möchlichen
Matthias Hendriks-Koch
Nuran Schäfer B.A.
Detlev Stadelmann
Patrick Döring
Ing. Ignaz Rose
Dr. Anna-Maria Zahn B.Sc.
Kaspar Aumann
Dipl.-Ing. Gerdi Wende
Theodoros Vollbrecht-Gutknecht
Anica Ortmann B.A.
Swetlana Jessel
Cosimo Bender
Paola Kroker-Klotz
Dipl.-Ing. Petar Lübs
Ing. Wladimir Karz MBA.
Ing. Konstanze Schmidtke MBA.
Branka Mentzel
Herr Bodo Steckel
Carin Rohleder
Isa Koch
Mariele Bolander
Dominik Spieß
Siegmund Schleich MBA.
Brit Anders
Dr. Patrizia Dörschner B.A.
Katherina Klapp
Dr. Annelene Hamann
Gebhard Seidel
Julia Heinrich
Gudrun Reichmann MBA.
Patrik Ditschlerin
Ing. Ahmet Häring
Charles Heinz
Ing. Carolin Anders
Hüseyin Stahr
Univ.Prof. Galina Kobelt B.Eng.
Ulrich Schlosser
Dorle Zirme
Maria-Theresia Tschentscher
Patric Heinrich
Salih Köster
Leonard Kostolzin
Prof. Arnold Caspar B.A.
Siegrid Segebahn
Angelica Klemt
Frau Heidelore Gehringer
Jörgen Lorch
Ernestine Trommler
Lukas Zirme
Nelly Buchholz
Elwira Hellwig
Eugenia Stey
Frau Christiane Zänker B.A.
Thea Dippel
Henny Wulff
Ludwig Reinhardt
Ing. Christiana Seip
Ing. Wieslaw Kobelt B.Sc.
Hans-Christian Trüb
Univ.Prof. Dragan Thies MBA.
Melita Hein
Bernhardine Schuchhardt
Wojciech Losekann-Seidel
Alla Rohleder
Alma Flantz MBA.
Grzegorz Mende B.A.
Margita Meister
Ing. Ernst-August Häring
Hajo Kranz-Heser
Univ.Prof. Robby Vollbrecht
Inna Winkler
Dipl.-Ing. Rouven Kallert MBA.
Univ.Prof. Friedlinde Bien MBA.
Gundi Hiller
Steffi Schmiedt B.Sc.
Marie Henk B.Sc.
Ing. Antonius Jacobi Jäckel MBA.
Agatha Kostolzin
Andrei Wulff
Frau Linda Weiß B.Eng.
Martha Dowerg
Univ.Prof. Roger Stadelmann B.Sc.
Prof. Gerd Schenk
Manfred Juncken
Heinz-Otto Wende
Ilonka Rose
Henrik Heidrich
